Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Beaulieu,Guy Bernatchez,Jay Cowboy,Dennis Drainville,Eric Hébert,Diane Lebouthillier,Jean-Pierre Pigeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 614","New Richmond",58,264,2,31,6,426,108,10,905,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 615","Bonaventure",44,274,4,35,3,449,74,32,915,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 616","Paspébiac",10,170,3,9,2,228,71,9,502,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 617","Paspébiac",8,296,1,5,0,221,40,9,580,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 618","Port-Daniel",13,231,0,12,0,269,41,13,579,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 619","Les Îles-de-la-Madeleine",6,77,0,8,0,83,4,3,181,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 620","Les Îles-de-la-Madeleine",9,106,1,5,0,173,23,3,320,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 621","Les Îles-de-la-Madeleine",14,117,1,5,0,186,12,7,342,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 622","Les Îles-de-la-Madeleine",10,114,2,5,0,139,10,6,286,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine",,Group 1/Groupe 1, 7,6,2,5,0,37,4,2,63,68
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine",,Group 2/Groupe 2, 132,629,17,88,7,921,136,29,1959,
