Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 108","Saint-Fabien",83,18,57,0,0,53,3,3,217,373
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 109","Saint-Narcisse-de-Rimouski",76,26,62,0,0,35,4,3,206,449
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 110","Saint-Narcisse-de-Rimouski",82,20,75,0,0,24,3,6,210,374
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 111","La Trinité-des-Monts",39,6,53,1,0,11,1,1,112,198
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 112","Saint-Eugène-de-Ladrière",47,15,81,1,0,30,1,0,175,341
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 113","Saint-Simon",103,29,48,6,1,41,6,4,238,367
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 114","Saint-Mathieu-de-Rioux",36,12,62,1,0,21,5,2,139,256
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 115","Saint-Mathieu-de-Rioux",52,23,39,0,1,32,1,3,151,284
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 116","Esprit-Saint",77,13,59,0,0,23,2,3,177,302
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 117","Saint-Guy",10,0,14,1,1,5,0,1,32,66
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 118","Notre-Dame-des-Neiges",58,22,20,1,1,26,3,3,134,348
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 119","Notre-Dame-des-Neiges",51,11,45,0,1,24,1,1,134,278
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 120","Notre-Dame-des-Neiges",66,22,18,2,0,21,1,4,134,312
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 121","Saint-Médard",42,21,26,0,1,22,1,1,114,212
