Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Coreen Corcoran,Chris G Jones,Angela Keller-Herzog,Marie-Chantal Leriche,Catherine McKenna,Stuart Ryan,Merylee Sevilla,Emilie Taman,Giang Ha Thu Vo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 23B","Mobile poll/Bureau itinérant",1,2,0,1,1,1,5,1,0,9,1,1,23,16
35075,"Ottawa Centre/Ottawa-Centre"," 24","Ottawa",1,10,0,0,13,0,87,0,2,88,0,1,202,425
35075,"Ottawa Centre/Ottawa-Centre"," 25","Ottawa",1,26,0,1,14,0,88,1,1,46,0,1,179,375
35075,"Ottawa Centre/Ottawa-Centre"," 26","Ottawa",2,23,2,0,17,2,124,2,5,121,0,1,299,652
35075,"Ottawa Centre/Ottawa-Centre"," 27","Ottawa",1,24,0,0,14,0,157,0,4,47,0,2,249,583
35075,"Ottawa Centre/Ottawa-Centre"," 28","Ottawa",1,22,3,1,12,1,121,0,1,52,1,1,216,552
35075,"Ottawa Centre/Ottawa-Centre"," 29","Ottawa",1,50,4,0,19,1,194,0,3,117,0,4,393,857
35075,"Ottawa Centre/Ottawa-Centre"," 30","Ottawa",0,15,2,0,8,0,119,0,1,63,1,1,210,424
35075,"Ottawa Centre/Ottawa-Centre"," 31","Ottawa",0,19,0,0,5,4,129,0,2,78,0,2,239,519
35075,"Ottawa Centre/Ottawa-Centre"," 32","Ottawa",0,25,0,0,16,3,119,1,5,78,0,0,247,467
35075,"Ottawa Centre/Ottawa-Centre"," 33","Ottawa",1,21,1,0,13,1,116,0,3,62,0,0,218,467
35075,"Ottawa Centre/Ottawa-Centre"," 34","Ottawa",0,21,0,0,11,1,139,1,3,95,0,0,271,535
35075,"Ottawa Centre/Ottawa-Centre"," 35","Ottawa",2,27,0,0,23,0,151,1,5,122,0,4,335,578
35075,"Ottawa Centre/Ottawa-Centre"," 36","Ottawa",0,17,1,0,21,0,103,0,1,127,0,1,271,491
35075,"Ottawa Centre/Ottawa-Centre"," 37","Ottawa",0,20,1,1,17,0,104,0,4,65,0,1,213,408
35075,"Ottawa Centre/Ottawa-Centre"," 38","Ottawa",0,16,2,0,20,0,84,1,4,63,0,1,191,444
35075,"Ottawa Centre/Ottawa-Centre"," 39","Ottawa",1,30,0,1,17,0,129,0,6,64,0,1,249,354
35075,"Ottawa Centre/Ottawa-Centre"," 40","Ottawa",0,24,3,0,12,2,140,0,2,65,0,4,252,444
35075,"Ottawa Centre/Ottawa-Centre"," 41","Ottawa",1,23,4,0,19,0,105,0,4,113,0,0,269,522
35075,"Ottawa Centre/Ottawa-Centre"," 42A","Ottawa",1,15,2,1,12,0,77,1,1,69,0,0,179,411
35075,"Ottawa Centre/Ottawa-Centre"," 42B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,,,,16
35075,"Ottawa Centre/Ottawa-Centre"," 43","Ottawa",1,53,5,0,18,2,211,0,2,99,0,6,397,582
35075,"Ottawa Centre/Ottawa-Centre"," 44","Ottawa",0,26,3,0,27,0,114,1,4,113,0,8,296,475
35075,"Ottawa Centre/Ottawa-Centre"," 45","Ottawa",2,21,1,0,18,0,94,0,1,84,0,0,221,385
35075,"Ottawa Centre/Ottawa-Centre"," 46","Ottawa",0,23,2,0,10,0,89,1,1,79,0,1,206,439
35075,"Ottawa Centre/Ottawa-Centre"," 47","Ottawa",0,11,2,0,17,0,77,0,3,73,0,2,185,357
35075,"Ottawa Centre/Ottawa-Centre"," 48","Ottawa",2,9,1,0,19,0,89,0,3,53,0,0,176,343
35075,"Ottawa Centre/Ottawa-Centre"," 49","Ottawa",1,32,2,2,23,0,157,0,0,79,0,2,298,553
35075,"Ottawa Centre/Ottawa-Centre"," 50","Ottawa",1,20,0,0,13,0,103,0,4,83,0,2,226,454
35075,"Ottawa Centre/Ottawa-Centre"," 51A","Ottawa",0,18,2,0,17,0,75,1,0,57,0,2,172,357
35075,"Ottawa Centre/Ottawa-Centre"," 51B","Ottawa",0,17,2,0,9,0,74,0,1,32,0,1,136,192
35075,"Ottawa Centre/Ottawa-Centre"," 52","Ottawa",0,16,0,0,10,0,86,1,3,73,2,2,193,436
35075,"Ottawa Centre/Ottawa-Centre"," 53","Ottawa",0,15,0,2,16,0,89,1,2,123,0,0,248,533
35075,"Ottawa Centre/Ottawa-Centre"," 54","Ottawa",0,21,0,1,16,0,117,0,0,74,0,1,230,417
35075,"Ottawa Centre/Ottawa-Centre"," 55","Ottawa",1,30,1,0,19,0,126,0,0,40,0,0,217,413
35075,"Ottawa Centre/Ottawa-Centre"," 56","Ottawa",1,33,0,0,19,0,118,1,0,52,1,0,225,440
35075,"Ottawa Centre/Ottawa-Centre"," 57","Ottawa",0,15,0,0,17,0,79,0,4,82,0,2,199,450
35075,"Ottawa Centre/Ottawa-Centre"," 58","Ottawa",0,6,1,1,22,0,86,0,3,83,0,0,202,398
35075,"Ottawa Centre/Ottawa-Centre"," 59","Ottawa",1,21,1,1,23,0,82,0,1,86,0,3,219,479
35075,"Ottawa Centre/Ottawa-Centre"," 60","Ottawa",1,18,3,0,20,1,110,0,4,92,0,0,249,464
35075,"Ottawa Centre/Ottawa-Centre"," 61","Ottawa",1,15,3,3,14,0,91,2,1,72,0,0,202,396
35075,"Ottawa Centre/Ottawa-Centre"," 62","Ottawa",1,13,3,0,22,0,75,0,2,77,0,1,194,407
35075,"Ottawa Centre/Ottawa-Centre"," 63","Ottawa",0,18,0,0,21,0,91,0,0,81,0,2,213,450
35075,"Ottawa Centre/Ottawa-Centre"," 64","Ottawa",0,14,0,1,16,0,78,0,1,69,0,0,179,400
35075,"Ottawa Centre/Ottawa-Centre"," 65","Ottawa",0,14,2,0,15,0,54,0,1,66,0,4,156,337
35075,"Ottawa Centre/Ottawa-Centre"," 66","Ottawa",1,23,2,0,25,4,98,1,0,106,1,2,263,558
35075,"Ottawa Centre/Ottawa-Centre"," 67","Ottawa",0,34,1,0,20,0,78,0,2,59,0,0,194,388
35075,"Ottawa Centre/Ottawa-Centre"," 68","Ottawa",0,21,0,0,29,0,115,1,0,52,0,0,218,402
35075,"Ottawa Centre/Ottawa-Centre"," 69","Ottawa",0,21,0,2,13,0,116,0,0,57,0,0,209,457
35075,"Ottawa Centre/Ottawa-Centre"," 70","Ottawa",0,25,1,0,11,1,102,0,0,29,0,0,169,390
35075,"Ottawa Centre/Ottawa-Centre"," 71","Ottawa",0,28,0,0,10,0,130,0,0,55,0,0,223,412
35075,"Ottawa Centre/Ottawa-Centre"," 72","Ottawa",0,29,0,3,12,0,92,0,3,131,0,1,271,549
35075,"Ottawa Centre/Ottawa-Centre"," 73","Ottawa",4,16,4,2,7,2,75,0,2,75,2,2,191,481
35075,"Ottawa Centre/Ottawa-Centre"," 74","Ottawa",0,36,1,1,19,0,98,0,3,71,0,1,230,448
35075,"Ottawa Centre/Ottawa-Centre"," 75","Ottawa",0,26,1,2,16,1,108,1,2,93,0,2,252,520
35075,"Ottawa Centre/Ottawa-Centre"," 76","Ottawa",0,25,2,0,13,1,106,0,3,70,0,0,220,478
35075,"Ottawa Centre/Ottawa-Centre"," 77","Ottawa",1,16,1,0,21,0,95,0,3,88,0,3,228,461
35075,"Ottawa Centre/Ottawa-Centre"," 78","Ottawa",1,35,1,0,19,1,133,0,3,63,0,4,260,422
35075,"Ottawa Centre/Ottawa-Centre"," 79","Ottawa",0,26,1,0,19,1,121,1,1,63,0,0,233,500
35075,"Ottawa Centre/Ottawa-Centre"," 80","Ottawa",1,25,0,0,20,0,168,0,1,90,0,1,306,532
35075,"Ottawa Centre/Ottawa-Centre"," 81","Ottawa",0,23,0,0,32,0,133,1,2,100,0,0,291,551
35075,"Ottawa Centre/Ottawa-Centre"," 82","Ottawa",0,48,1,0,8,0,124,0,1,34,0,0,216,425
35075,"Ottawa Centre/Ottawa-Centre"," 83","Ottawa",0,25,4,3,16,0,94,0,8,76,0,4,230,474
35075,"Ottawa Centre/Ottawa-Centre"," 84","Ottawa",1,26,1,0,21,0,119,1,1,60,0,2,232,469
35075,"Ottawa Centre/Ottawa-Centre"," 85","Ottawa",2,30,1,0,19,0,123,2,0,57,0,5,239,496
35075,"Ottawa Centre/Ottawa-Centre"," 86","Ottawa",1,24,0,0,15,0,110,0,3,46,0,1,200,459
35075,"Ottawa Centre/Ottawa-Centre"," 87","Ottawa",2,24,0,0,16,1,93,0,1,49,2,1,189,387
35075,"Ottawa Centre/Ottawa-Centre"," 88","Ottawa",0,23,2,0,22,0,128,0,4,68,0,1,248,474
35075,"Ottawa Centre/Ottawa-Centre"," 89","Ottawa",0,24,0,1,26,0,123,0,2,56,0,1,233,439
35075,"Ottawa Centre/Ottawa-Centre"," 90","Ottawa",0,14,0,1,14,3,70,0,1,32,0,0,135,323
35075,"Ottawa Centre/Ottawa-Centre"," 91","Ottawa",2,35,3,0,18,0,138,0,1,114,0,2,313,586
35075,"Ottawa Centre/Ottawa-Centre"," 92","Ottawa",4,48,14,4,2,2,77,4,2,35,1,18,211,365
35075,"Ottawa Centre/Ottawa-Centre"," 93A","Ottawa",0,22,0,0,9,2,66,0,2,55,0,3,159,348
35075,"Ottawa Centre/Ottawa-Centre"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°23B,,,,,,,,,,,,,23
35075,"Ottawa Centre/Ottawa-Centre"," 94","Ottawa",1,19,0,0,14,0,98,0,0,90,1,3,226,515
35075,"Ottawa Centre/Ottawa-Centre"," 95","Ottawa",1,17,1,1,13,1,52,1,7,75,0,3,172,420
35075,"Ottawa Centre/Ottawa-Centre"," 96","Ottawa",0,14,2,1,15,0,68,0,5,83,0,3,191,389
35075,"Ottawa Centre/Ottawa-Centre"," 97","Ottawa",0,17,1,0,12,2,79,0,0,43,0,1,155,366
35075,"Ottawa Centre/Ottawa-Centre"," 98","Ottawa",4,12,0,0,14,2,62,0,5,73,0,0,172,407
