Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeffrey Barnes,Frédéric Beauchemin,Maxime Beaudoin,Michel Boudrias,France Gagnon,Jade Hébert,Réjean Monette,Paul Vézina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 79","Terrebonne",5,50,25,159,17,1,9,0,7,273,510
24075,"Terrebonne/Terrebonne"," 80","Terrebonne",3,85,12,168,15,1,12,4,3,303,542
24075,"Terrebonne/Terrebonne"," 81","Terrebonne",1,58,16,119,15,3,16,3,6,237,449
24075,"Terrebonne/Terrebonne"," 82A","Terrebonne",0,40,5,74,13,1,3,0,2,138,377
24075,"Terrebonne/Terrebonne"," 82B","Terrebonne",0,25,6,69,3,0,2,0,2,107,269
24075,"Terrebonne/Terrebonne"," 83","Terrebonne",3,80,20,108,18,0,15,0,2,246,463
24075,"Terrebonne/Terrebonne"," 84","Terrebonne",1,54,15,81,16,0,11,0,4,182,401
24075,"Terrebonne/Terrebonne"," 85","Terrebonne",3,48,16,119,12,0,12,2,7,219,435
24075,"Terrebonne/Terrebonne"," 86","Terrebonne",1,74,19,110,15,0,10,1,4,234,476
24075,"Terrebonne/Terrebonne"," 87","Terrebonne",1,47,18,100,10,0,11,1,5,193,393
24075,"Terrebonne/Terrebonne"," 88","Terrebonne",0,87,17,96,28,0,9,0,2,239,482
24075,"Terrebonne/Terrebonne"," 89","Terrebonne",1,42,5,86,16,1,12,1,2,166,473
24075,"Terrebonne/Terrebonne"," 90","Lachenaie",4,54,24,133,17,1,12,1,1,247,572
24075,"Terrebonne/Terrebonne"," 91","Lachenaie",2,49,21,138,9,1,10,1,5,236,556
24075,"Terrebonne/Terrebonne"," 92","Lachenaie",0,53,22,116,18,1,14,0,4,228,425
24075,"Terrebonne/Terrebonne"," 93","Lachenaie",0,62,20,113,15,0,8,2,8,228,442
24075,"Terrebonne/Terrebonne"," 94","Lachenaie",2,55,24,144,14,1,8,1,6,255,461
24075,"Terrebonne/Terrebonne"," 95","Lachenaie",0,74,26,114,16,0,9,1,10,250,471
24075,"Terrebonne/Terrebonne"," 96","Lachenaie",3,63,21,123,13,0,8,0,3,234,458
24075,"Terrebonne/Terrebonne"," 97","Lachenaie",6,66,16,154,13,1,8,2,8,274,501
24075,"Terrebonne/Terrebonne"," 98","Lachenaie",0,56,27,129,20,1,12,1,3,249,483
24075,"Terrebonne/Terrebonne"," 99","Lachenaie",0,47,8,91,8,0,9,0,3,166,418
24075,"Terrebonne/Terrebonne"," 100","Lachenaie",0,34,13,85,16,1,4,1,5,159,378
24075,"Terrebonne/Terrebonne"," 101","Lachenaie",4,21,19,104,19,2,5,1,1,176,375
24075,"Terrebonne/Terrebonne"," 102","Lachenaie",0,37,15,72,12,0,12,4,2,154,402
