Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre-André Émond,Carole Lennard,Louis Plamondon,Nathalie Rochefort,Richard Synnott,David Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 191","Sainte-Victoire-de-Sorel",20,11,103,25,0,2,3,164,282
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 192","Sainte-Victoire-de-Sorel",34,17,175,36,0,3,8,273,497
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 193","Sainte-Victoire-de-Sorel",37,10,134,36,0,9,3,229,412
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 194","Sainte-Victoire-de-Sorel",10,9,58,25,0,6,3,111,210
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 195","Saint-Aimé",29,18,144,40,1,15,1,248,395
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 196","Massueville",30,6,135,29,0,3,7,210,386
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 197","Saint-Roch-de-Richelieu",19,12,142,39,0,1,2,215,352
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 198","Saint-Roch-de-Richelieu",31,23,190,32,0,16,2,294,499
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 199","Saint-Roch-de-Richelieu",17,10,116,31,1,1,5,181,298
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 200","Saint-Roch-de-Richelieu",19,11,105,37,1,8,0,181,302
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 201","Saint-Roch-de-Richelieu",23,12,175,30,0,12,4,256,458
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 202","Saint-Ours",20,9,95,46,0,7,3,180,376
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 203","Saint-Ours",11,8,80,38,1,8,3,149,330
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 204","Saint-Ours",18,9,105,22,0,6,2,162,328
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 205","Saint-Ours",20,13,135,35,2,10,5,220,380
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 500A","Mobile poll/Bureau itinérant",5,0,17,20,0,2,5,49,122
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 500B","Deschaillons-sur-Saint-Laurent",Merged with No./Fusionné avec le n°2,,,,,,,,4
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 501A","Mobile poll/Bureau itinérant",13,2,66,79,2,2,6,170,216
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 501B","Bécancour",Merged with No./Fusionné avec le n°25,,,,,,,,3
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 501C","Bécancour",Merged with No./Fusionné avec le n°26,,,,,,,,3
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 502A","Mobile poll/Bureau itinérant",8,1,13,11,0,0,1,34,104
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,66
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 503","Mobile poll/Bureau itinérant",4,0,36,27,0,0,9,76,152
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 504","Mobile poll/Bureau itinérant",18,5,76,31,0,0,8,138,186
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 505","Mobile poll/Bureau itinérant",7,1,31,11,0,0,5,55,144
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 506","Mobile poll/Bureau itinérant",13,3,61,59,0,1,2,139,202
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 507A","Mobile poll/Bureau itinérant",13,2,59,42,1,0,11,128,147
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 507B","Sorel-Tracy",Merged with No./Fusionné avec le n°182,,,,,,,,2
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 600","Saint-Pierre-les-Becquets",106,27,269,79,9,21,6,517,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 601","Bécancour",117,39,334,133,13,18,10,664,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 602","Lemieux--Saint-Sylvère",39,6,104,27,0,4,3,183,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 603","Aston-Jonction",80,29,272,78,14,19,12,504,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 604","Sainte-Eulalie--Sainte-Monique",57,16,167,43,3,14,9,309,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 605","Bécancour",148,73,499,209,18,24,8,979,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 606","Nicolet",100,31,449,143,7,22,6,758,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 607","Nicolet",110,29,489,213,10,16,12,879,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 608","Pierreville--Saint-François-du-Lac",21,12,107,41,8,6,2,197,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 609","Pierreville",104,35,589,149,3,18,17,915,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 610","Sainte-Anne-de-Sorel",149,11,386,143,1,17,13,720,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 611","Sainte-Anne-de-Sorel--Yamaska",72,10,196,48,2,10,10,348,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 612","Sainte-Victoire-de-Sorel",93,21,375,79,2,10,13,593,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 613","Sorel-Tracy",221,39,652,195,6,30,26,1169,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 614","Sorel-Tracy",162,27,517,171,5,20,14,916,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 615","Saint-Joseph-de-Sorel",117,18,526,131,4,11,26,833,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 616","Sorel-Tracy",144,24,630,203,3,15,17,1036,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 617","Sorel-Tracy",206,42,622,226,1,32,25,1154,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 618","Sorel-Tracy",139,31,557,169,1,24,13,934,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 619","Sorel-Tracy",174,25,643,205,9,45,17,1118,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 620","Saint-Ours",41,8,250,56,6,14,2,377,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel",,Group 1/Groupe 1, 6,4,17,21,0,3,5,56,55
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel",,Group 2/Groupe 2, 242,63,1418,254,13,69,30,2089,
