Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Susan Hayton,Jan Norris,Guto Penteado,Corey Tochor,Jeff Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 39","Saskatoon",48,35,8,3,106,0,0,200,451
47011,"Saskatoon--University/Saskatoon--University"," 40","Saskatoon",58,29,12,3,118,3,0,223,469
47011,"Saskatoon--University/Saskatoon--University"," 41","Saskatoon",38,17,2,2,136,0,0,195,407
47011,"Saskatoon--University/Saskatoon--University"," 42A","Saskatoon",29,13,8,2,75,0,0,127,282
47011,"Saskatoon--University/Saskatoon--University"," 42B","Saskatoon",34,15,4,2,74,0,0,129,321
47011,"Saskatoon--University/Saskatoon--University"," 43","Saskatoon",74,23,10,4,154,0,3,268,546
47011,"Saskatoon--University/Saskatoon--University"," 44","Saskatoon",48,32,5,2,149,1,2,239,482
47011,"Saskatoon--University/Saskatoon--University"," 45","Saskatoon",25,63,8,2,206,4,0,308,412
47011,"Saskatoon--University/Saskatoon--University"," 46","Saskatoon",41,29,5,0,123,0,1,199,366
47011,"Saskatoon--University/Saskatoon--University"," 47","Saskatoon",84,48,2,2,104,1,1,242,459
47011,"Saskatoon--University/Saskatoon--University"," 48","Saskatoon",34,24,4,3,86,0,1,152,312
47011,"Saskatoon--University/Saskatoon--University"," 49","Saskatoon",69,39,3,1,89,1,0,202,443
47011,"Saskatoon--University/Saskatoon--University"," 50","Saskatoon",65,26,6,1,100,0,0,198,453
47011,"Saskatoon--University/Saskatoon--University"," 51","Saskatoon",57,29,7,4,103,2,0,202,377
47011,"Saskatoon--University/Saskatoon--University"," 52","Saskatoon",67,21,8,4,110,0,1,211,433
47011,"Saskatoon--University/Saskatoon--University"," 53","Saskatoon",73,37,7,3,113,0,2,235,378
47011,"Saskatoon--University/Saskatoon--University"," 54","Saskatoon",60,29,7,2,104,1,1,204,358
47011,"Saskatoon--University/Saskatoon--University"," 55","Saskatoon",47,40,12,4,103,0,0,206,354
47011,"Saskatoon--University/Saskatoon--University"," 56","Saskatoon",56,18,3,2,92,4,0,175,406
47011,"Saskatoon--University/Saskatoon--University"," 57","Saskatoon",67,25,6,1,104,6,0,209,418
47011,"Saskatoon--University/Saskatoon--University"," 58","Saskatoon",75,27,2,2,71,3,1,181,410
47011,"Saskatoon--University/Saskatoon--University"," 59","Saskatoon",72,17,5,2,87,1,0,184,361
47011,"Saskatoon--University/Saskatoon--University"," 60","Saskatoon",78,15,9,0,73,0,0,175,386
47011,"Saskatoon--University/Saskatoon--University"," 61","Saskatoon",77,29,8,7,87,0,1,209,414
47011,"Saskatoon--University/Saskatoon--University"," 62","Saskatoon",50,23,2,1,134,1,0,211,418
47011,"Saskatoon--University/Saskatoon--University"," 63","Saskatoon",61,29,9,3,109,0,0,211,430
47011,"Saskatoon--University/Saskatoon--University"," 64","Saskatoon",49,29,5,6,124,1,1,215,425
47011,"Saskatoon--University/Saskatoon--University"," 65","Saskatoon",61,25,4,5,99,1,0,195,342
47011,"Saskatoon--University/Saskatoon--University"," 66","Saskatoon",33,13,5,1,85,1,0,138,359
47011,"Saskatoon--University/Saskatoon--University"," 67A","Saskatoon",46,22,3,3,71,0,0,145,339
