Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin M. Klerks,Ben Lobb,Tony McQuail,Allan Thompson,Nicholas Wendler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 25","Saugeen Shores",1,59,25,78,6,0,169,374
35040,"Huron--Bruce/Huron--Bruce"," 26","Saugeen Shores",7,103,21,46,5,1,183,403
35040,"Huron--Bruce/Huron--Bruce"," 27","Underwood",3,108,19,79,15,2,226,388
35040,"Huron--Bruce/Huron--Bruce"," 28","Underwood",3,78,21,49,9,1,161,347
35040,"Huron--Bruce/Huron--Bruce"," 29","Underwood",6,85,25,53,7,0,176,327
35040,"Huron--Bruce/Huron--Bruce"," 30","Tiverton",8,81,25,84,7,3,208,344
35040,"Huron--Bruce/Huron--Bruce"," 31","Kincardine",5,92,17,87,9,1,211,391
35040,"Huron--Bruce/Huron--Bruce"," 32","Kincardine",5,96,19,78,2,0,200,352
35040,"Huron--Bruce/Huron--Bruce"," 33","Kincardine",4,106,32,49,5,1,197,314
35040,"Huron--Bruce/Huron--Bruce"," 34","Eden Grove",6,73,13,39,5,1,137,337
35040,"Huron--Bruce/Huron--Bruce"," 35","Eden Grove",6,114,21,55,7,0,203,392
35040,"Huron--Bruce/Huron--Bruce"," 36","Cargill",5,138,24,59,19,3,248,394
35040,"Huron--Bruce/Huron--Bruce"," 37","Chepstow",4,129,19,79,10,4,245,380
35040,"Huron--Bruce/Huron--Bruce"," 38","Riversdale",2,98,13,47,9,1,170,322
35040,"Huron--Bruce/Huron--Bruce"," 39","Lake Rosalind",10,97,21,71,11,0,210,451
35040,"Huron--Bruce/Huron--Bruce"," 40","Maple Hill",4,96,17,56,14,2,189,455
35040,"Huron--Bruce/Huron--Bruce"," 41","Brockton",10,66,34,51,9,0,170,454
35040,"Huron--Bruce/Huron--Bruce"," 42","Walkerton",3,76,24,63,4,1,171,411
35040,"Huron--Bruce/Huron--Bruce"," 43","Walkerton",4,69,23,71,17,1,185,453
35040,"Huron--Bruce/Huron--Bruce"," 44","Walkerton",6,77,39,74,16,2,214,499
35040,"Huron--Bruce/Huron--Bruce"," 45","Walkerton",4,113,22,88,10,2,239,522
35040,"Huron--Bruce/Huron--Bruce"," 46","Kincardine",10,67,29,109,4,1,220,407
35040,"Huron--Bruce/Huron--Bruce"," 47","Kincardine",0,68,20,108,12,1,209,390
35040,"Huron--Bruce/Huron--Bruce"," 48","Kincardine",2,51,11,70,9,1,144,344
35040,"Huron--Bruce/Huron--Bruce"," 49","Kincardine",3,48,17,88,9,4,169,383
35040,"Huron--Bruce/Huron--Bruce"," 50","Walkerton",4,48,24,45,9,0,130,378
35040,"Huron--Bruce/Huron--Bruce"," 51","Walkerton",7,59,17,64,10,2,159,356
35040,"Huron--Bruce/Huron--Bruce"," 52","Dunkeld",4,105,13,41,10,1,174,351
35040,"Huron--Bruce/Huron--Bruce"," 53","Walkerton",5,60,35,45,10,1,156,405
35040,"Huron--Bruce/Huron--Bruce"," 54","Walkerton",5,63,23,84,11,0,186,350
35040,"Huron--Bruce/Huron--Bruce"," 55","Walkerton",12,41,26,59,6,0,144,341
35040,"Huron--Bruce/Huron--Bruce"," 56A","Walkerton",3,47,21,37,9,0,117,268
35040,"Huron--Bruce/Huron--Bruce"," 56B","Mobile poll/Bureau itinérant",1,34,5,39,1,0,80,138
35040,"Huron--Bruce/Huron--Bruce"," 57","Kincardine",2,38,19,77,9,1,146,373
35040,"Huron--Bruce/Huron--Bruce"," 58","Kincardine",3,75,28,100,4,0,210,456
35040,"Huron--Bruce/Huron--Bruce"," 59","Kincardine",4,54,23,90,7,1,179,458
35040,"Huron--Bruce/Huron--Bruce"," 60","Kincardine",7,71,26,86,6,1,197,389
35040,"Huron--Bruce/Huron--Bruce"," 61","Kincardine",3,56,18,74,4,1,156,398
35040,"Huron--Bruce/Huron--Bruce"," 62","Kincardine",3,63,35,73,4,0,178,394
35040,"Huron--Bruce/Huron--Bruce"," 63","Kincardine",1,54,22,103,7,2,189,408
35040,"Huron--Bruce/Huron--Bruce"," 64","Kincardine",4,63,24,103,6,5,205,383
35040,"Huron--Bruce/Huron--Bruce"," 65","Kincardine",3,80,32,103,5,3,226,465
35040,"Huron--Bruce/Huron--Bruce"," 66","Kincardine",1,67,24,84,9,0,185,474
35040,"Huron--Bruce/Huron--Bruce"," 67","Kincardine",7,111,28,117,11,0,274,548
35040,"Huron--Bruce/Huron--Bruce"," 68","Kincardine",1,56,21,52,1,0,131,234
35040,"Huron--Bruce/Huron--Bruce"," 69","Kincardine",10,83,18,29,4,0,144,266
35040,"Huron--Bruce/Huron--Bruce"," 70","Carlsruhe",4,76,17,45,17,0,159,341
35040,"Huron--Bruce/Huron--Bruce"," 71","Otter Creek",4,97,21,61,6,1,190,315
35040,"Huron--Bruce/Huron--Bruce"," 72","Deemerton",4,118,13,70,12,3,220,348
35040,"Huron--Bruce/Huron--Bruce"," 73","Mildmay",3,100,41,81,13,2,240,383
35040,"Huron--Bruce/Huron--Bruce"," 74","Mildmay",6,85,27,81,7,3,209,374
35040,"Huron--Bruce/Huron--Bruce"," 75","Mildmay",5,104,19,52,11,1,192,335
35040,"Huron--Bruce/Huron--Bruce"," 76","Ambleside",1,106,21,65,7,0,200,335
35040,"Huron--Bruce/Huron--Bruce"," 77","Formosa",8,100,30,87,14,1,240,354
35040,"Huron--Bruce/Huron--Bruce"," 78","Huron",3,51,17,100,6,0,177,493
35040,"Huron--Bruce/Huron--Bruce"," 79","Huron",7,66,21,68,3,0,165,403
35040,"Huron--Bruce/Huron--Bruce"," 80","Huron",1,68,10,86,15,0,180,394
35040,"Huron--Bruce/Huron--Bruce"," 81","Pine River",5,81,17,47,9,0,159,402
35040,"Huron--Bruce/Huron--Bruce"," 82","Huron",5,79,38,82,13,0,217,368
35040,"Huron--Bruce/Huron--Bruce"," 83","Pine River",5,103,22,76,15,0,221,344
35040,"Huron--Bruce/Huron--Bruce"," 84","Point Clark",2,95,22,72,9,2,202,331
35040,"Huron--Bruce/Huron--Bruce"," 85","Kinlough",0,75,15,34,9,2,135,308
35040,"Huron--Bruce/Huron--Bruce"," 86","Ripley",3,96,16,53,2,0,170,286
35040,"Huron--Bruce/Huron--Bruce"," 87","Ripley",1,79,12,47,8,0,147,243
35040,"Huron--Bruce/Huron--Bruce"," 88","Huron",1,94,22,54,4,0,175,282
35040,"Huron--Bruce/Huron--Bruce"," 89","Salem",5,138,29,56,7,1,236,355
35040,"Huron--Bruce/Huron--Bruce"," 90","Salem",1,150,21,67,6,0,245,408
35040,"Huron--Bruce/Huron--Bruce"," 91","Teeswater",5,131,22,53,7,5,223,380
35040,"Huron--Bruce/Huron--Bruce"," 92","Culross",1,132,16,56,3,0,208,350
35040,"Huron--Bruce/Huron--Bruce"," 93","Lakelet",1,120,13,62,4,1,201,434
35040,"Huron--Bruce/Huron--Bruce"," 94","Holyrood",2,120,23,37,5,0,187,356
35040,"Huron--Bruce/Huron--Bruce"," 95A","Holyrood",2,111,11,35,5,0,164,343
35040,"Huron--Bruce/Huron--Bruce"," 95B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,26
35040,"Huron--Bruce/Huron--Bruce"," 96","Holyrood",6,91,27,28,8,0,160,351
35040,"Huron--Bruce/Huron--Bruce"," 97","Lucknow",4,122,21,46,12,2,207,377
35040,"Huron--Bruce/Huron--Bruce"," 98","Turnberry",4,122,32,44,7,2,211,412
35040,"Huron--Bruce/Huron--Bruce"," 99","Lower Wingham",5,123,22,41,7,6,204,406
35040,"Huron--Bruce/Huron--Bruce"," 100","Wingham",5,115,17,64,6,2,209,394
35040,"Huron--Bruce/Huron--Bruce"," 101","Wingham",2,99,18,55,11,1,186,344
35040,"Huron--Bruce/Huron--Bruce"," 102","Wingham",8,105,20,50,8,0,191,438
35040,"Huron--Bruce/Huron--Bruce"," 103","Wingham",8,77,22,49,11,1,168,338
35040,"Huron--Bruce/Huron--Bruce"," 104","Wingham",7,84,4,48,10,0,153,320
35040,"Huron--Bruce/Huron--Bruce"," 105","Wingham",4,77,31,47,7,0,166,385
35040,"Huron--Bruce/Huron--Bruce"," 106","Kintail",5,76,28,48,5,0,162,303
35040,"Huron--Bruce/Huron--Bruce"," 107","Kintail",0,116,19,40,6,0,181,298
35040,"Huron--Bruce/Huron--Bruce"," 108","St. Helens",5,80,12,24,6,0,127,270
35040,"Huron--Bruce/Huron--Bruce"," 109","Wroxeter",2,79,18,38,8,0,145,254
35040,"Huron--Bruce/Huron--Bruce"," 110","Wroxeter",7,116,24,40,7,1,195,301
35040,"Huron--Bruce/Huron--Bruce"," 111","Howick",1,119,16,31,8,1,176,288
35040,"Huron--Bruce/Huron--Bruce"," 112","Howick",5,107,14,30,5,3,164,298
35040,"Huron--Bruce/Huron--Bruce"," 113","Howick",7,164,21,40,6,0,238,380
35040,"Huron--Bruce/Huron--Bruce"," 114","Howick",5,126,11,36,4,1,183,322
35040,"Huron--Bruce/Huron--Bruce"," 115","Howick",7,134,10,40,5,3,199,352
35040,"Huron--Bruce/Huron--Bruce"," 116","Turnberry",8,127,17,32,11,0,195,369
35040,"Huron--Bruce/Huron--Bruce"," 117","Bluevale",2,159,27,37,9,2,236,374
35040,"Huron--Bruce/Huron--Bruce"," 118","Belgrave",2,87,15,32,3,0,139,301
35040,"Huron--Bruce/Huron--Bruce"," 119","Belgrave",1,102,15,34,13,0,165,306
35040,"Huron--Bruce/Huron--Bruce"," 120","Belgrave",2,94,16,32,9,0,153,274
35040,"Huron--Bruce/Huron--Bruce"," 121","Port Albert",0,94,38,64,18,3,217,362
35040,"Huron--Bruce/Huron--Bruce"," 122","Ashfield",5,103,34,41,8,1,192,365
35040,"Huron--Bruce/Huron--Bruce"," 123","Dungannon",3,114,26,45,4,0,192,375
35040,"Huron--Bruce/Huron--Bruce"," 124","Westfield",1,128,17,39,6,0,191,295
35040,"Huron--Bruce/Huron--Bruce"," 125","Summerhill",0,111,14,38,12,1,176,274
35040,"Huron--Bruce/Huron--Bruce"," 126","Morris",5,139,22,44,8,1,219,418
35040,"Huron--Bruce/Huron--Bruce"," 127","Huron East",1,133,16,46,14,0,210,382
35040,"Huron--Bruce/Huron--Bruce"," 128","Huron East",8,120,15,37,10,0,190,386
35040,"Huron--Bruce/Huron--Bruce"," 129","Huron East",3,95,21,39,14,1,173,311
35040,"Huron--Bruce/Huron--Bruce"," 130","Huron East",2,97,32,45,5,2,183,309
35040,"Huron--Bruce/Huron--Bruce"," 131","Huron East",5,134,16,39,7,1,202,353
35040,"Huron--Bruce/Huron--Bruce"," 132","Huron East",7,129,12,51,2,5,206,400
35040,"Huron--Bruce/Huron--Bruce"," 133A","Carlow",1,90,20,47,13,0,171,314
35040,"Huron--Bruce/Huron--Bruce"," 133B","Carlow",2,68,21,35,12,0,138,315
35040,"Huron--Bruce/Huron--Bruce"," 134","Colborne",2,44,25,32,5,2,110,287
35040,"Huron--Bruce/Huron--Bruce"," 135","Colborne",5,121,17,49,11,0,203,356
35040,"Huron--Bruce/Huron--Bruce"," 136","Colborne",3,88,32,44,7,2,176,352
35040,"Huron--Bruce/Huron--Bruce"," 137","Blyth",9,115,37,65,8,4,238,412
35040,"Huron--Bruce/Huron--Bruce"," 138","Blyth",7,162,34,47,14,0,264,407
35040,"Huron--Bruce/Huron--Bruce"," 139","Goderich",3,56,34,88,13,0,194,432
35040,"Huron--Bruce/Huron--Bruce"," 140","Goderich",2,55,23,52,4,0,136,350
35040,"Huron--Bruce/Huron--Bruce"," 141","Goderich",6,83,44,77,6,1,217,461
35040,"Huron--Bruce/Huron--Bruce"," 142","Goderich",1,59,30,101,11,1,203,453
35040,"Huron--Bruce/Huron--Bruce"," 143","Goderich",1,71,21,83,5,1,182,444
35040,"Huron--Bruce/Huron--Bruce"," 144","Goderich",5,58,48,84,12,1,208,468
35040,"Huron--Bruce/Huron--Bruce"," 145","Goderich",5,60,59,75,16,6,221,449
35040,"Huron--Bruce/Huron--Bruce"," 146","Goderich",5,77,38,74,12,2,208,458
35040,"Huron--Bruce/Huron--Bruce"," 147","Goderich",3,76,37,73,10,0,199,443
35040,"Huron--Bruce/Huron--Bruce"," 148","Goderich",5,71,53,58,9,1,197,423
35040,"Huron--Bruce/Huron--Bruce"," 149","Goderich",0,54,37,64,9,2,166,375
35040,"Huron--Bruce/Huron--Bruce"," 150","Goderich",2,53,38,56,14,0,163,406
35040,"Huron--Bruce/Huron--Bruce"," 151","Goderich",2,69,40,55,14,0,180,444
35040,"Huron--Bruce/Huron--Bruce"," 152","Goderich",3,97,49,92,8,2,251,556
35040,"Huron--Bruce/Huron--Bruce"," 153","Goderich",0,76,36,71,4,1,188,458
35040,"Huron--Bruce/Huron--Bruce"," 154A","Goderich",10,101,38,54,9,1,213,464
35040,"Huron--Bruce/Huron--Bruce"," 154B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,57
35040,"Huron--Bruce/Huron--Bruce"," 155","Londesborough",5,143,19,51,9,2,229,338
35040,"Huron--Bruce/Huron--Bruce"," 156","Kinburn",1,120,22,33,1,0,177,295
35040,"Huron--Bruce/Huron--Bruce"," 157","Kinburn",6,83,17,26,2,0,134,291
35040,"Huron--Bruce/Huron--Bruce"," 158","Holmesville",2,92,18,48,9,4,173,331
35040,"Huron--Bruce/Huron--Bruce"," 159","Holmesville",2,73,16,49,4,0,144,317
35040,"Huron--Bruce/Huron--Bruce"," 160","Holmesville",2,124,24,42,5,1,198,353
35040,"Huron--Bruce/Huron--Bruce"," 161","Holmesville",5,103,18,38,14,1,179,324
35040,"Huron--Bruce/Huron--Bruce"," 162","Clinton ",3,95,33,41,7,0,179,360
35040,"Huron--Bruce/Huron--Bruce"," 163","Clinton ",0,97,24,32,9,3,165,332
35040,"Huron--Bruce/Huron--Bruce"," 164","Clinton ",7,56,28,36,7,2,136,331
35040,"Huron--Bruce/Huron--Bruce"," 165","Clinton ",4,73,19,32,5,1,134,328
35040,"Huron--Bruce/Huron--Bruce"," 166","Clinton ",1,98,21,34,5,0,159,290
35040,"Huron--Bruce/Huron--Bruce"," 167","Clinton ",3,78,24,41,10,1,157,347
35040,"Huron--Bruce/Huron--Bruce"," 168","Clinton ",2,96,17,37,11,0,163,312
35040,"Huron--Bruce/Huron--Bruce"," 169","Clinton ",1,92,18,29,5,0,145,356
35040,"Huron--Bruce/Huron--Bruce"," 170","Huron East",3,121,19,42,7,2,194,373
35040,"Huron--Bruce/Huron--Bruce"," 171","Huron East",1,134,18,46,15,1,215,433
35040,"Huron--Bruce/Huron--Bruce"," 172","Huron East",4,84,42,56,12,0,198,353
35040,"Huron--Bruce/Huron--Bruce"," 173","Huron East",3,85,32,37,8,1,166,345
35040,"Huron--Bruce/Huron--Bruce"," 174","Huron East",2,117,34,43,8,1,205,376
35040,"Huron--Bruce/Huron--Bruce"," 175","Huron East",1,94,34,51,6,2,188,385
35040,"Huron--Bruce/Huron--Bruce"," 176","Huron East",1,98,31,41,16,1,188,404
35040,"Huron--Bruce/Huron--Bruce"," 177","Huron East",1,106,30,62,10,0,209,363
35040,"Huron--Bruce/Huron--Bruce"," 178","Huron East",5,124,24,25,5,4,187,397
35040,"Huron--Bruce/Huron--Bruce"," 179","Huron East",3,99,25,42,8,1,178,374
35040,"Huron--Bruce/Huron--Bruce"," 180","Huron East",7,92,44,47,5,0,195,422
35040,"Huron--Bruce/Huron--Bruce"," 181","Huron East",12,89,26,44,9,1,181,345
35040,"Huron--Bruce/Huron--Bruce"," 182","Bayfiled",1,133,17,54,7,6,218,403
35040,"Huron--Bruce/Huron--Bruce"," 183","Bayfiled",0,78,30,119,11,1,239,384
35040,"Huron--Bruce/Huron--Bruce"," 184","Bayfiled",7,76,37,89,9,2,220,411
35040,"Huron--Bruce/Huron--Bruce"," 185","Bayfield",0,90,27,96,13,4,230,358
35040,"Huron--Bruce/Huron--Bruce"," 186","Bayfield",4,103,21,92,10,3,233,366
35040,"Huron--Bruce/Huron--Bruce"," 187","Bluewater",0,121,29,29,7,1,187,399
35040,"Huron--Bruce/Huron--Bruce"," 188","Bluewater",5,87,45,92,9,0,238,409
35040,"Huron--Bruce/Huron--Bruce"," 189","Bluewater",6,156,24,35,10,0,231,381
35040,"Huron--Bruce/Huron--Bruce"," 190","Bluewater",1,98,33,62,9,0,203,383
35040,"Huron--Bruce/Huron--Bruce"," 191","Huron East",2,121,37,22,9,1,192,332
35040,"Huron--Bruce/Huron--Bruce"," 192","Bluewater",6,128,39,39,8,1,221,367
35040,"Huron--Bruce/Huron--Bruce"," 193","Bluewater",4,137,31,31,13,0,216,341
35040,"Huron--Bruce/Huron--Bruce"," 194","Bluewater",2,134,33,50,2,2,223,345
35040,"Huron--Bruce/Huron--Bruce"," 195","Bluewater",4,147,23,49,11,3,237,402
35040,"Huron--Bruce/Huron--Bruce"," 196","Bluewater",5,111,32,45,9,0,202,384
35040,"Huron--Bruce/Huron--Bruce"," 197","Bluewater",5,128,38,42,4,4,221,404
35040,"Huron--Bruce/Huron--Bruce"," 198","Bluewater",4,102,20,57,6,2,191,369
35040,"Huron--Bruce/Huron--Bruce"," 199","South Huron",2,92,14,42,5,0,155,333
35040,"Huron--Bruce/Huron--Bruce"," 200","South Huron",2,128,17,34,14,2,197,350
35040,"Huron--Bruce/Huron--Bruce"," 201","South Huron",1,169,24,65,3,4,266,470
35040,"Huron--Bruce/Huron--Bruce"," 202","South Huron",2,96,25,48,18,1,190,365
35040,"Huron--Bruce/Huron--Bruce"," 203","South Huron",2,129,23,46,3,0,203,416
35040,"Huron--Bruce/Huron--Bruce"," 204","South Huron",2,83,27,53,9,1,175,346
35040,"Huron--Bruce/Huron--Bruce"," 205","South Huron",1,96,34,36,4,4,175,387
35040,"Huron--Bruce/Huron--Bruce"," 206","South Huron",0,112,29,22,4,0,167,336
35040,"Huron--Bruce/Huron--Bruce"," 207","South Huron",3,117,20,30,8,0,178,339
35040,"Huron--Bruce/Huron--Bruce"," 208","South Huron",4,63,17,27,16,2,129,254
35040,"Huron--Bruce/Huron--Bruce"," 209","South Huron",0,95,16,26,7,0,144,328
35040,"Huron--Bruce/Huron--Bruce"," 210","South Huron",5,89,29,41,10,2,176,353
35040,"Huron--Bruce/Huron--Bruce"," 211","South Huron",5,108,21,49,6,2,191,350
35040,"Huron--Bruce/Huron--Bruce"," 212","South Huron",8,160,24,33,11,3,239,360
35040,"Huron--Bruce/Huron--Bruce"," 213","Bluewater",8,169,34,44,13,2,270,485
35040,"Huron--Bruce/Huron--Bruce"," 214","Bluewater",5,117,33,58,14,0,227,409
35040,"Huron--Bruce/Huron--Bruce"," 215","South Huron",1,87,16,29,10,1,144,270
35040,"Huron--Bruce/Huron--Bruce"," 216","South Huron",2,59,31,20,10,0,122,280
35040,"Huron--Bruce/Huron--Bruce"," 217","South Huron",3,87,25,42,10,0,167,323
35040,"Huron--Bruce/Huron--Bruce"," 218","South Huron",6,136,30,41,16,0,229,367
35040,"Huron--Bruce/Huron--Bruce"," 219","South Huron",2,145,31,38,9,2,227,357
35040,"Huron--Bruce/Huron--Bruce"," 220","South Huron",6,128,34,90,19,6,283,379
35040,"Huron--Bruce/Huron--Bruce"," 221","South Huron",4,102,21,86,17,3,233,328
35040,"Huron--Bruce/Huron--Bruce"," 222","South Huron",7,187,25,78,12,0,309,500
35040,"Huron--Bruce/Huron--Bruce"," 500","Mobile poll/Bureau itinérant",7,42,7,47,4,4,111,130
35040,"Huron--Bruce/Huron--Bruce"," 501","Mobile poll/Bureau itinérant",1,31,5,56,1,7,101,155
35040,"Huron--Bruce/Huron--Bruce"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56B,,,,,,,42
35040,"Huron--Bruce/Huron--Bruce"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502C,,,,,,,34
35040,"Huron--Bruce/Huron--Bruce"," 502C","Mobile poll/Bureau itinérant",0,33,2,18,1,4,58,28
35040,"Huron--Bruce/Huron--Bruce"," 503A","Mobile poll/Bureau itinérant",1,56,8,30,1,3,99,56
35040,"Huron--Bruce/Huron--Bruce"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,18
35040,"Huron--Bruce/Huron--Bruce"," 503C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,56
35040,"Huron--Bruce/Huron--Bruce"," 504","Mobile poll/Bureau itinérant",0,32,0,16,2,0,50,93
35040,"Huron--Bruce/Huron--Bruce"," 505A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,87
35040,"Huron--Bruce/Huron--Bruce"," 505B","Mobile poll/Bureau itinérant",0,65,5,48,5,2,125,108
35040,"Huron--Bruce/Huron--Bruce"," 506","Mobile poll/Bureau itinérant",1,50,8,24,2,13,98,187
35040,"Huron--Bruce/Huron--Bruce"," 507","Mobile poll/Bureau itinérant",2,34,8,27,1,2,74,149
35040,"Huron--Bruce/Huron--Bruce"," 508","Mobile poll/Bureau itinérant",1,53,2,24,3,9,92,161
35040,"Huron--Bruce/Huron--Bruce"," 600","Port Elgin",18,394,81,481,27,3,1004,
35040,"Huron--Bruce/Huron--Bruce"," 601","Port Elgin",12,302,87,378,36,5,820,
35040,"Huron--Bruce/Huron--Bruce"," 602","Port Elgin",20,372,76,400,37,2,907,
35040,"Huron--Bruce/Huron--Bruce"," 603","Kincardine",10,253,60,238,26,1,588,
35040,"Huron--Bruce/Huron--Bruce"," 604","Kincardine",10,270,69,452,33,3,837,
35040,"Huron--Bruce/Huron--Bruce"," 605","Kincardine",14,424,65,495,30,3,1031,
35040,"Huron--Bruce/Huron--Bruce"," 606","Lucknow",7,392,82,166,21,1,669,
35040,"Huron--Bruce/Huron--Bruce"," 607","Wingham",9,201,18,98,10,0,336,
35040,"Huron--Bruce/Huron--Bruce"," 608","Walkerton",13,304,58,194,19,1,589,
35040,"Huron--Bruce/Huron--Bruce"," 609","Walkerton",11,333,78,360,35,6,823,
35040,"Huron--Bruce/Huron--Bruce"," 610","Walkerton",6,179,43,144,12,2,386,
35040,"Huron--Bruce/Huron--Bruce"," 611","Wingham",4,136,19,47,3,1,210,
35040,"Huron--Bruce/Huron--Bruce"," 612","Wingham",7,287,53,159,18,3,527,
35040,"Huron--Bruce/Huron--Bruce"," 613","Wingham",6,178,32,84,10,0,310,
35040,"Huron--Bruce/Huron--Bruce"," 614","Goderich",12,575,146,430,62,0,1225,
35040,"Huron--Bruce/Huron--Bruce"," 615","Goderich",9,483,193,510,43,13,1251,
35040,"Huron--Bruce/Huron--Bruce"," 616","Clinton ",6,427,84,162,28,1,708,
35040,"Huron--Bruce/Huron--Bruce"," 617","Seaforth",8,427,72,201,33,5,746,
35040,"Huron--Bruce/Huron--Bruce"," 618","Clinton ",10,317,73,204,40,1,645,
35040,"Huron--Bruce/Huron--Bruce"," 619","Zurich",6,185,37,101,14,1,344,
35040,"Huron--Bruce/Huron--Bruce"," 620","Zurich",5,147,28,88,7,3,278,
35040,"Huron--Bruce/Huron--Bruce"," 621","Exeter",6,369,63,143,18,1,600,
35040,"Huron--Bruce/Huron--Bruce"," 622","Exeter",3,281,40,82,11,1,418,
35040,"Huron--Bruce/Huron--Bruce",,Group 1/Groupe 1, 2,26,8,75,10,14,135,157
35040,"Huron--Bruce/Huron--Bruce",,Group 2/Groupe 2, 18,523,200,607,68,21,1437,
