Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Cole,Darren Fisher,Michelle Lindsay,Lil MacPherson,Emma Norton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37","Halifax",20,83,3,21,61,0,188,414
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",28,53,5,23,89,2,200,413
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",23,44,5,17,56,2,147,435
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40","Halifax",18,43,9,23,73,0,166,515
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41","Halifax",16,40,6,24,58,3,147,389
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42","Halifax",18,50,3,13,89,4,177,484
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43","Halifax",48,55,4,11,40,9,167,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 44","Halifax",32,56,4,14,56,1,163,374
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 45","Halifax",26,47,1,21,45,4,144,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 46","Halifax",61,89,9,19,52,0,230,461
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 47","Halifax",38,126,2,15,103,3,287,554
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 48","Halifax",50,127,2,29,86,5,299,567
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 49","Halifax",52,84,3,25,58,0,222,438
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 50","Halifax",25,85,4,23,70,0,207,392
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 51","Halifax",20,93,4,8,51,1,177,345
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 52","Halifax",29,98,6,19,51,2,205,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 53","Halifax",29,98,6,15,56,1,205,347
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 54","Halifax",25,104,2,26,58,2,217,406
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 55","Halifax",21,81,9,20,66,1,198,421
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 56","Halifax",32,54,6,22,49,2,165,382
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 57","Halifax",31,85,1,12,55,2,186,379
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 58","Halifax",60,111,3,23,61,0,258,493
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 59","Halifax",28,91,1,11,50,3,184,396
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 60","Halifax",38,95,2,21,58,2,216,445
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 61","Halifax",39,93,1,19,50,1,203,432
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 62","Halifax",28,72,2,15,61,3,181,377
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 63","Halifax",33,80,6,24,69,2,214,384
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 64","Halifax",38,79,2,17,40,0,176,342
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 65","Halifax",26,60,3,1,74,2,166,347
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 66","Halifax",34,60,4,14,55,1,168,361
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 67","Halifax",27,78,2,17,64,2,190,470
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 68","Halifax",60,114,2,23,49,0,248,609
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 69","Halifax",31,39,1,9,22,0,102,218
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 70","Halifax",26,72,4,20,63,3,188,530
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 71","Halifax",23,140,2,12,73,3,253,542
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 72","Halifax",33,112,5,19,66,2,237,462
