Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Baljit Bawa,Jordan Boswell,David Gershuny,Pawanjit Gosal,Ramesh Sangha,Pauline Thornham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton Centre/Brampton-Centre"," 98","Brampton",5,35,0,42,99,7,0,188,522
35008,"Brampton Centre/Brampton-Centre"," 99","Brampton",2,33,0,35,91,13,3,177,481
35008,"Brampton Centre/Brampton-Centre"," 100","Brampton",1,63,0,57,91,8,2,222,508
35008,"Brampton Centre/Brampton-Centre"," 101","Brampton",8,25,0,38,61,10,0,142,360
35008,"Brampton Centre/Brampton-Centre"," 102","Brampton",5,37,0,55,79,9,1,186,356
35008,"Brampton Centre/Brampton-Centre"," 103","Brampton",5,34,0,57,58,7,1,162,353
35008,"Brampton Centre/Brampton-Centre"," 104","Brampton",4,35,1,75,101,21,1,238,477
35008,"Brampton Centre/Brampton-Centre"," 105","Brampton",1,40,0,64,86,4,2,197,485
35008,"Brampton Centre/Brampton-Centre"," 106","Brampton",4,49,1,67,92,10,3,226,427
35008,"Brampton Centre/Brampton-Centre"," 107","Brampton",0,38,2,68,69,10,0,187,374
35008,"Brampton Centre/Brampton-Centre"," 108","Brampton",2,42,0,62,96,15,3,220,390
35008,"Brampton Centre/Brampton-Centre"," 109","Brampton",2,43,1,32,75,9,4,166,359
35008,"Brampton Centre/Brampton-Centre"," 110","Brampton",2,22,0,37,78,5,2,146,372
35008,"Brampton Centre/Brampton-Centre"," 111","Brampton",4,38,2,56,110,14,4,228,496
35008,"Brampton Centre/Brampton-Centre"," 112","Brampton",4,51,0,50,96,10,3,214,457
35008,"Brampton Centre/Brampton-Centre"," 113","Brampton",3,36,0,45,83,9,2,178,349
35008,"Brampton Centre/Brampton-Centre"," 114","Brampton",3,31,0,68,76,11,6,195,371
35008,"Brampton Centre/Brampton-Centre"," 115","Brampton",2,28,2,53,113,8,1,207,459
35008,"Brampton Centre/Brampton-Centre"," 116","Brampton",2,34,0,39,76,15,1,167,364
35008,"Brampton Centre/Brampton-Centre"," 117","Brampton",6,37,0,45,124,5,5,222,462
35008,"Brampton Centre/Brampton-Centre"," 118","Brampton",3,22,0,42,78,6,4,155,311
35008,"Brampton Centre/Brampton-Centre"," 119","Brampton",0,36,0,48,133,6,2,225,474
35008,"Brampton Centre/Brampton-Centre"," 120","Brampton",4,35,1,39,93,4,3,179,375
35008,"Brampton Centre/Brampton-Centre"," 121","Brampton",3,29,0,30,65,9,3,139,406
35008,"Brampton Centre/Brampton-Centre"," 122","Brampton",6,47,2,64,109,13,0,241,561
35008,"Brampton Centre/Brampton-Centre"," 123","Brampton",0,30,0,31,75,5,2,143,296
35008,"Brampton Centre/Brampton-Centre"," 124","Brampton",5,34,0,46,102,9,1,197,495
35008,"Brampton Centre/Brampton-Centre"," 125","Brampton",1,33,1,56,75,9,3,178,358
35008,"Brampton Centre/Brampton-Centre"," 126","Brampton",7,36,0,41,104,12,4,204,437
35008,"Brampton Centre/Brampton-Centre"," 127","Brampton",4,39,3,48,73,9,4,180,370
35008,"Brampton Centre/Brampton-Centre"," 128","Brampton",4,49,0,57,113,6,2,231,466
35008,"Brampton Centre/Brampton-Centre"," 129","Brampton",2,21,0,47,96,6,0,172,370
35008,"Brampton Centre/Brampton-Centre"," 130","Brampton",3,32,2,49,62,3,0,151,355
35008,"Brampton Centre/Brampton-Centre"," 131","Brampton",4,29,2,51,89,8,3,186,422
35008,"Brampton Centre/Brampton-Centre"," 132","Brampton",1,34,0,40,87,13,4,179,485
35008,"Brampton Centre/Brampton-Centre"," 133A","Brampton",1,24,0,33,72,3,2,135,392
35008,"Brampton Centre/Brampton-Centre"," 133B","Brampton",1,23,1,23,65,7,0,120,425
35008,"Brampton Centre/Brampton-Centre"," 133C","Brampton",1,22,1,20,84,2,4,134,292
35008,"Brampton Centre/Brampton-Centre"," 134","Brampton",1,66,1,38,103,5,2,216,396
35008,"Brampton Centre/Brampton-Centre"," 135","Brampton",6,35,0,43,93,4,5,186,391
