Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Boulet,Jordy Carr,Alex Gomm,Mark King,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 67","North Bay",25,32,17,12,54,1,141,381
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 68","Calvin ",45,96,13,4,75,2,235,459
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69","North Bay",60,53,13,15,73,1,215,512
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 70","North Bay",36,35,9,10,65,0,155,398
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 71","North Bay",54,49,8,9,101,0,221,392
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 72","North Bay",60,27,19,11,65,3,185,396
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 73","North Bay",42,36,10,17,91,1,197,476
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 74","North Bay",80,29,17,11,65,2,204,455
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 75","North Bay",72,28,5,12,59,0,176,363
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 76","North Bay",42,66,9,11,110,0,238,460
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 77","North Bay",38,32,16,10,42,3,141,435
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 78","North Bay",62,39,19,20,52,2,194,487
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 79","North Bay",63,46,21,16,93,1,240,564
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 80","North Bay",68,35,18,14,90,2,227,575
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81","North Bay",62,47,11,9,106,3,238,540
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 82","North Bay",49,20,8,6,79,2,164,412
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 83","North Bay",39,43,13,12,87,2,196,368
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 84","North Bay",38,33,20,17,90,1,199,365
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 85","North Bay",57,32,28,14,83,2,216,389
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 86","North Bay",30,34,12,10,56,2,144,324
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 87","North Bay",48,49,21,17,93,2,230,444
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 88","North Bay",19,22,6,12,87,1,147,276
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 89","North Bay",33,52,6,15,69,0,175,423
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 90","North Bay",36,40,15,8,54,0,153,354
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 91","North Bay",32,47,9,22,69,0,179,405
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 92","North Bay",33,26,10,9,50,2,130,312
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 93","Nipissing 10",77,25,12,4,107,0,225,528
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 94","North Bay",49,32,10,10,69,3,173,368
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 95","North Bay",50,20,9,11,62,1,153,379
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 96","North Bay",59,19,16,6,53,2,155,426
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 97","North Bay",54,24,3,5,49,0,135,364
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 98","North Bay",38,28,15,7,44,1,133,393
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 99","North Bay",42,35,7,7,46,0,137,391
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 100","North Bay",46,47,20,9,56,0,178,384
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 101","North Bay",54,30,17,8,61,0,170,479
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 102","Nipissing 10",63,51,17,8,106,3,248,567
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 103","North Bay",70,22,20,12,70,2,196,438
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 104","North Bay",54,51,23,16,61,0,205,468
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 105","North Bay",33,15,4,8,27,1,88,304
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 106","North Bay",66,26,19,10,116,2,239,451
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 107","North Bay",61,49,9,5,111,2,237,376
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 108","North Bay",45,33,20,12,64,0,174,390
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 109A","North Bay",21,12,8,2,30,0,73,350
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 109B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,43
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 110","North Bay",44,39,14,14,77,0,188,426
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 111","East Ferris",36,82,26,7,103,2,256,439
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 112","East Ferris",37,81,12,8,71,1,210,326
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 113","East Ferris",34,33,11,1,57,1,137,285
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 114","Corbeil",28,55,14,4,65,1,167,356
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 115","Corbeil",44,57,10,5,70,3,189,361
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 116","North Bay",44,6,8,6,39,1,104,397
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 117","North Bay",60,36,21,12,42,1,172,490
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 118","North Bay",31,26,10,12,64,0,143,342
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 119","Garden Village",59,5,7,0,70,1,142,395
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 120","North Bay",48,44,13,13,58,1,177,383
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 121","North Bay",60,37,10,8,77,0,192,470
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 122","North Bay",50,36,10,7,89,1,193,463
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 123","North Bay",42,44,17,14,92,0,209,461
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 124","North Bay",44,45,15,2,64,0,170,370
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 125","North Bay",36,35,8,8,69,3,159,379
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 126","North Bay",65,67,13,24,106,1,276,538
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 127","North Bay",40,53,13,1,57,1,165,396
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 128","North Bay",63,48,18,9,103,3,244,502
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 129","Bonfield",48,84,11,11,109,2,265,659
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 130","Bonfield",31,40,14,8,42,0,135,347
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 131","Nosbosing",35,32,10,4,65,1,147,421
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 132","Bonfield",23,57,9,6,63,1,159,383
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 133","North Bay",45,57,13,13,89,3,220,446
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 134","North Bay",48,54,15,16,126,0,259,607
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 135","North Bay",52,54,21,10,63,4,204,431
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 136","North Bay",30,42,3,12,72,1,160,370
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 137","North Bay",38,32,4,8,42,1,125,290
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 138","North Bay",16,21,13,11,55,1,117,319
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 139","North Bay",37,53,9,3,71,0,173,419
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 140","North Bay",55,54,10,9,49,1,178,407
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 141","North Bay",50,31,3,8,49,0,141,354
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 142","North Bay",39,25,6,9,45,0,124,301
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 143","North Bay",50,34,9,7,55,0,155,362
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 144","North Bay",52,52,10,12,55,3,184,500
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 145","North Bay",39,32,15,7,68,4,165,414
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 146","North Bay",40,72,26,19,97,0,254,518
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 147","North Bay",47,56,13,9,95,0,220,401
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 148","Derland",30,48,14,4,62,0,158,356
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149","Callander",51,78,12,19,80,4,244,472
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 150","Derland",48,90,21,17,80,3,259,558
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 151","North Himsworth",22,71,11,11,69,0,184,376
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 152","Astorville",64,93,10,22,86,2,277,524
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 153","Astorville",32,71,16,9,115,2,245,477
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 154","Astorville",36,62,25,5,102,1,231,437
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 155","Callander",27,75,4,6,119,0,231,517
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 156","North Himsworth",41,73,25,8,49,2,198,363
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 157","North Himsworth",23,63,7,6,53,2,154,389
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 158","North Himsworth",33,93,11,4,49,0,190,418
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 159","Nipissing ",20,69,9,7,51,2,158,345
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 160","North Himsworth",30,64,9,5,46,1,155,376
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 161","Chiswick",25,75,14,22,53,0,189,368
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 162","Alderdale",41,102,28,21,84,2,278,562
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163","Powassan",24,70,9,9,46,0,158,395
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 164","Powassan",29,74,4,16,53,3,179,452
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 165","Powassan",40,113,15,8,68,3,247,563
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 166","Powassan",12,33,2,3,21,1,72,155
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 167","Powassan",25,27,4,3,31,1,91,220
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 168","Powassan",28,66,8,5,55,1,163,346
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 169","Nipissing ",34,67,9,8,37,0,155,333
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 170","Nipissing ",34,87,11,13,45,1,191,435
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 171","Powassan",25,73,6,7,28,2,141,312
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 172","Trout Creek ",41,85,10,13,68,0,217,350
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 173","Nipissing ",19,48,14,5,20,1,107,196
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 174","Calvin ",42,69,15,15,78,0,219,420
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 400","North Bay",13,35,5,7,98,0,158,200
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 401","North Bay",8,15,4,1,87,0,115,171
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 500","Mobile poll/Bureau itinérant",15,35,2,1,79,1,133,194
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 501","Mobile poll/Bureau itinérant",6,19,1,1,52,7,86,168
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 502","Mobile poll/Bureau itinérant",8,14,4,8,40,14,88,165
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 503","Mobile poll/Bureau itinérant",2,13,1,2,57,0,75,121
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 504","Mobile poll/Bureau itinérant",9,21,2,4,57,3,96,190
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 505","Mobile poll/Bureau itinérant",3,5,2,2,55,4,71,102
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 506","Mobile poll/Bureau itinérant",9,22,8,12,82,7,140,205
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 507","Mobile poll/Bureau itinérant",11,36,10,7,86,3,153,244
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 508","Mobile poll/Bureau itinérant",8,5,4,4,35,0,56,156
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 509","Mobile poll/Bureau itinérant",11,26,10,7,36,5,95,161
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 600","Temiskaming Shores",123,192,43,34,349,2,743,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 601","Haileybury",95,132,37,19,256,4,543,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 602","Temagami",57,72,8,13,96,1,247,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 603","North Bay ",36,81,6,16,100,1,240,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 604","North Bay ",48,13,10,5,66,0,142,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 605","North Bay ",126,224,53,63,341,2,809,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 606","North Bay ",246,313,85,81,678,3,1406,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 607","North Bay ",122,152,62,45,304,8,693,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 608","North Bay ",156,136,63,54,354,0,763,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 609","North Bay ",162,289,74,74,546,16,1161,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 610","North Bay ",170,273,69,59,509,11,1091,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 611","Nipissing ",55,209,16,14,97,1,392,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 612","Astorville",116,375,59,57,413,8,1028,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 613","Powassan",98,356,43,51,216,5,769,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 614","Corbeil",58,123,23,26,202,2,434,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 615","North Bay ",37,78,14,23,88,2,242,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 616","Mattawa",81,202,33,19,236,5,576,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 1/Groupe 1, 37,116,21,15,85,17,291,149
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 2/Groupe 2, 344,536,164,78,1066,26,2214,
