Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Hunter,Colin Korol,Tim Moen,Natalie Odd,Gurcharan Singh Sidhu,Jordan Stein,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 24","Calgary",0,2,3,23,16,35,115,1,195,418
48005,"Calgary Confederation/Calgary Confederation"," 25","Calgary",0,1,2,24,13,45,95,0,180,423
48005,"Calgary Confederation/Calgary Confederation"," 26","Calgary",0,4,0,12,25,34,124,2,201,461
48005,"Calgary Confederation/Calgary Confederation"," 27","Calgary",0,2,1,12,22,47,97,2,183,365
48005,"Calgary Confederation/Calgary Confederation"," 28","Calgary",0,2,0,16,31,40,114,1,204,419
48005,"Calgary Confederation/Calgary Confederation"," 29","Calgary",1,2,1,14,13,29,159,3,222,424
48005,"Calgary Confederation/Calgary Confederation"," 30","Calgary",0,2,3,16,35,47,129,0,232,479
48005,"Calgary Confederation/Calgary Confederation"," 31","Calgary",0,7,4,14,25,54,146,2,252,432
48005,"Calgary Confederation/Calgary Confederation"," 32","Calgary",0,8,1,21,11,44,148,2,235,423
48005,"Calgary Confederation/Calgary Confederation"," 33","Calgary",0,4,1,24,41,80,122,3,275,598
48005,"Calgary Confederation/Calgary Confederation"," 34","Calgary",0,1,0,13,28,42,88,0,172,402
48005,"Calgary Confederation/Calgary Confederation"," 35","Calgary",0,3,2,24,26,41,109,0,205,374
48005,"Calgary Confederation/Calgary Confederation"," 36","Calgary",0,4,1,14,20,53,150,0,242,429
48005,"Calgary Confederation/Calgary Confederation"," 37","Calgary",0,6,1,21,19,51,126,2,226,391
48005,"Calgary Confederation/Calgary Confederation"," 38","Calgary",0,8,0,22,21,52,128,1,232,464
48005,"Calgary Confederation/Calgary Confederation"," 39","Calgary",0,6,3,24,29,44,91,0,197,375
48005,"Calgary Confederation/Calgary Confederation"," 40","Calgary",0,3,2,13,53,71,76,0,218,493
48005,"Calgary Confederation/Calgary Confederation"," 41","Calgary",0,5,1,11,19,47,120,3,206,422
48005,"Calgary Confederation/Calgary Confederation"," 42","Calgary",0,4,3,19,23,43,118,1,211,417
48005,"Calgary Confederation/Calgary Confederation"," 43","Calgary",0,4,3,25,34,57,100,1,224,517
48005,"Calgary Confederation/Calgary Confederation"," 44","Calgary",1,3,2,28,31,36,151,2,254,487
