Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Boudreau,Mary Ann Hodge,Shawna Lewkowitz,Mike Mcmullen,Liz Snelgrove,Kate Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London West/London-Ouest"," 48","London",5,16,70,3,65,125,5,289,365
35053,"London West/London-Ouest"," 49","London",2,13,35,2,59,85,1,197,394
35053,"London West/London-Ouest"," 50","London",Merged with No./Fusionné avec le n°53,,,,,,,,259
35053,"London West/London-Ouest"," 51","London",3,9,54,9,67,135,1,278,621
35053,"London West/London-Ouest"," 52","London",3,12,49,8,100,120,0,292,589
35053,"London West/London-Ouest"," 53","London",2,10,56,1,80,155,1,305,334
35053,"London West/London-Ouest"," 54","London",3,12,30,7,78,99,2,231,482
35053,"London West/London-Ouest"," 55","London",1,10,18,6,113,67,2,217,500
35053,"London West/London-Ouest"," 56","London",0,13,95,6,24,91,1,230,415
35053,"London West/London-Ouest"," 57","London",0,11,80,2,23,86,0,202,395
35053,"London West/London-Ouest"," 58","London",1,12,61,3,32,104,5,218,409
35053,"London West/London-Ouest"," 59","London",2,21,54,6,68,114,6,271,340
35053,"London West/London-Ouest"," 60","London",1,11,48,3,56,101,0,220,416
35053,"London West/London-Ouest"," 61","London",0,17,58,0,71,106,1,253,458
35053,"London West/London-Ouest"," 62","London",2,16,58,5,76,114,4,275,474
35053,"London West/London-Ouest"," 63","London",2,28,77,7,43,125,0,282,477
35053,"London West/London-Ouest"," 64","London",0,25,84,5,29,83,2,228,397
35053,"London West/London-Ouest"," 65","London",2,21,81,3,25,80,1,213,413
35053,"London West/London-Ouest"," 66","London",1,22,45,2,78,97,2,247,521
35053,"London West/London-Ouest"," 67","London",3,15,57,4,77,122,1,279,483
35053,"London West/London-Ouest"," 68","London",2,19,53,9,89,141,1,314,530
35053,"London West/London-Ouest"," 69","London",3,14,101,3,30,89,0,240,493
35053,"London West/London-Ouest"," 70","London",0,22,102,6,32,124,0,286,474
35053,"London West/London-Ouest"," 71","London",1,9,95,1,51,96,2,255,412
35053,"London West/London-Ouest"," 72","London",4,12,70,7,25,86,1,205,365
35053,"London West/London-Ouest"," 73","London",1,19,95,7,24,68,1,215,478
35053,"London West/London-Ouest"," 74","London",1,14,71,8,54,79,0,227,462
35053,"London West/London-Ouest"," 75","London",2,13,65,2,41,65,3,191,450
35053,"London West/London-Ouest"," 76","London",1,5,46,6,56,83,0,197,394
35053,"London West/London-Ouest"," 77","London",3,13,38,2,76,132,2,266,511
35053,"London West/London-Ouest"," 78","London",1,15,76,6,77,93,1,269,432
35053,"London West/London-Ouest"," 79","London",3,18,48,3,86,129,3,290,557
35053,"London West/London-Ouest"," 80","London",4,7,58,3,51,117,2,242,580
35053,"London West/London-Ouest"," 81","London",2,9,74,11,56,70,3,225,472
35053,"London West/London-Ouest"," 82","London",1,29,100,4,64,157,2,357,573
35053,"London West/London-Ouest"," 83","London",1,11,78,5,42,132,3,272,530
35053,"London West/London-Ouest"," 84","London",2,13,63,2,24,95,0,199,334
35053,"London West/London-Ouest"," 85","London",1,28,80,5,50,154,1,319,484
35053,"London West/London-Ouest"," 86","London",3,30,79,1,30,120,1,264,437
35053,"London West/London-Ouest"," 87","London",2,15,52,6,53,94,3,225,433
35053,"London West/London-Ouest"," 88","London",0,7,9,2,106,94,0,218,367
35053,"London West/London-Ouest"," 89","London",1,7,13,0,119,82,1,223,372
35053,"London West/London-Ouest"," 90","London",2,24,73,6,35,104,0,244,457
35053,"London West/London-Ouest"," 91","London",1,26,92,2,40,122,2,285,461
35053,"London West/London-Ouest"," 92","London",2,13,90,4,45,125,0,279,473
35053,"London West/London-Ouest"," 93","London",0,19,92,4,46,116,1,278,483
35053,"London West/London-Ouest"," 94","London",1,19,56,3,30,94,2,205,381
35053,"London West/London-Ouest"," 95","London",2,18,85,7,33,97,2,244,438
35053,"London West/London-Ouest"," 96","London",1,11,84,5,30,73,6,210,398
35053,"London West/London-Ouest"," 97","London",1,10,82,2,30,53,2,180,430
35053,"London West/London-Ouest"," 98","London",4,17,71,3,28,55,1,179,387
35053,"London West/London-Ouest"," 99","London",2,11,38,7,69,98,3,228,350
35053,"London West/London-Ouest"," 100","London",0,25,83,7,35,88,1,239,454
35053,"London West/London-Ouest"," 101","London",1,11,72,4,47,76,1,212,393
35053,"London West/London-Ouest"," 102","London",3,14,65,5,39,52,0,178,384
35053,"London West/London-Ouest"," 103","London",2,24,142,9,51,108,2,338,681
35053,"London West/London-Ouest"," 104","London",2,10,40,5,65,74,3,199,434
35053,"London West/London-Ouest"," 105","London",3,6,71,5,51,72,3,211,410
35053,"London West/London-Ouest"," 106","London",2,10,42,5,51,84,0,194,356
35053,"London West/London-Ouest"," 107","London",0,11,34,3,85,85,0,218,391
35053,"London West/London-Ouest"," 108","London",2,11,22,4,79,77,0,195,352
35053,"London West/London-Ouest"," 109","London",2,16,59,9,110,141,3,340,555
35053,"London West/London-Ouest"," 110","London",1,19,28,2,48,84,0,182,348
35053,"London West/London-Ouest"," 111","London",0,18,47,0,53,137,2,257,454
35053,"London West/London-Ouest"," 112","London",0,15,32,1,65,111,3,227,409
35053,"London West/London-Ouest"," 113","London",0,6,69,1,45,86,1,208,505
35053,"London West/London-Ouest"," 114","London",3,19,64,3,75,120,0,284,535
35053,"London West/London-Ouest"," 115","London",1,18,54,4,88,138,0,303,535
35053,"London West/London-Ouest"," 116","London",0,14,43,5,76,112,0,250,415
35053,"London West/London-Ouest"," 117","London",0,17,20,5,79,117,1,239,430
35053,"London West/London-Ouest"," 118","London",3,15,63,5,40,66,0,192,386
35053,"London West/London-Ouest"," 119","London",3,15,77,7,27,47,1,177,363
35053,"London West/London-Ouest"," 120","London",0,21,75,4,61,113,2,276,498
35053,"London West/London-Ouest"," 121","London",1,20,70,12,93,154,0,350,540
35053,"London West/London-Ouest"," 122","London",0,12,10,2,74,75,1,174,396
35053,"London West/London-Ouest"," 123","London",1,14,32,3,115,115,0,280,501
35053,"London West/London-Ouest"," 124","London",1,15,40,4,80,124,2,266,505
35053,"London West/London-Ouest"," 125","London",5,10,68,4,46,66,4,203,458
35053,"London West/London-Ouest"," 126","London",13,22,84,9,55,127,8,318,570
35053,"London West/London-Ouest"," 127","London",3,9,74,4,45,95,1,231,486
35053,"London West/London-Ouest"," 128","London",2,25,105,10,75,100,5,322,601
35053,"London West/London-Ouest"," 129","London",3,12,59,5,52,88,1,220,527
35053,"London West/London-Ouest"," 130","London",4,15,114,3,40,90,3,269,584
35053,"London West/London-Ouest"," 131","London",1,11,51,4,34,82,0,183,349
35053,"London West/London-Ouest"," 132","London",1,14,69,6,41,81,1,213,472
35053,"London West/London-Ouest"," 133","London",0,14,30,7,100,131,1,283,494
35053,"London West/London-Ouest"," 134","London",1,15,58,3,55,96,2,230,380
35053,"London West/London-Ouest"," 135","London",0,17,35,3,69,96,2,222,571
35053,"London West/London-Ouest"," 136","London",2,25,56,6,69,117,0,275,483
35053,"London West/London-Ouest"," 137","London",4,8,59,2,72,72,0,217,445
35053,"London West/London-Ouest"," 138","London",0,8,42,5,73,111,0,239,429
35053,"London West/London-Ouest"," 139","London",1,16,37,4,102,123,1,284,528
35053,"London West/London-Ouest"," 140","London",1,14,37,5,118,134,2,311,580
35053,"London West/London-Ouest"," 141","London",3,23,23,3,115,132,2,301,609
35053,"London West/London-Ouest"," 142","London",2,10,68,5,49,68,4,206,521
35053,"London West/London-Ouest"," 143","London",1,11,43,6,62,86,3,212,379
35053,"London West/London-Ouest"," 144","London",6,12,78,4,77,116,4,297,557
35053,"London West/London-Ouest"," 145","London",4,21,79,6,64,107,2,283,514
35053,"London West/London-Ouest"," 146","London",1,11,56,3,49,73,1,194,425
35053,"London West/London-Ouest"," 147","London",1,6,55,3,36,69,2,172,325
35053,"London West/London-Ouest"," 148","London",2,9,53,6,56,86,1,213,354
35053,"London West/London-Ouest"," 149","London",1,16,41,2,110,140,3,313,567
35053,"London West/London-Ouest"," 150","London",1,9,47,7,46,69,0,179,335
35053,"London West/London-Ouest"," 151","London",4,13,101,3,65,143,3,332,572
35053,"London West/London-Ouest"," 152","London",7,9,93,7,68,105,1,290,523
35053,"London West/London-Ouest"," 153","London",3,2,39,7,54,108,1,214,348
35053,"London West/London-Ouest"," 154","London",2,8,56,2,29,43,1,141,374
35053,"London West/London-Ouest"," 155","London",2,11,55,3,53,107,4,235,386
35053,"London West/London-Ouest"," 156","London",2,2,34,1,25,43,0,107,336
35053,"London West/London-Ouest"," 157","London",2,9,31,3,30,68,2,145,347
35053,"London West/London-Ouest"," 158","London",1,10,33,4,57,84,2,191,350
35053,"London West/London-Ouest"," 159","London",0,21,54,2,78,103,0,258,398
35053,"London West/London-Ouest"," 160","London",2,6,28,3,47,70,2,158,347
35053,"London West/London-Ouest"," 161","London",1,7,49,1,79,90,0,227,458
35053,"London West/London-Ouest"," 162","London",1,2,31,3,93,101,3,234,436
35053,"London West/London-Ouest"," 163","London",3,7,41,3,43,86,6,189,448
35053,"London West/London-Ouest"," 164","London",1,16,49,5,53,80,3,207,416
35053,"London West/London-Ouest"," 165","London",1,7,50,6,79,102,3,248,458
35053,"London West/London-Ouest"," 166","London",2,21,48,8,52,86,1,218,504
35053,"London West/London-Ouest"," 167","London",4,4,30,3,61,83,0,185,350
35053,"London West/London-Ouest"," 168","London",1,27,78,3,84,122,4,319,553
35053,"London West/London-Ouest"," 169","London",1,22,53,3,97,95,0,271,531
35053,"London West/London-Ouest"," 170","London",2,14,27,2,93,98,1,237,450
35053,"London West/London-Ouest"," 171","London",2,18,80,3,66,128,0,297,451
35053,"London West/London-Ouest"," 172","London",3,14,59,1,80,128,2,287,522
35053,"London West/London-Ouest"," 173","London",1,7,61,3,38,73,1,184,401
35053,"London West/London-Ouest"," 174","London",2,5,33,2,91,116,4,253,421
35053,"London West/London-Ouest"," 175","London",1,11,65,4,65,88,1,235,381
35053,"London West/London-Ouest"," 176","London",1,11,53,1,38,64,2,170,364
35053,"London West/London-Ouest"," 177","London",3,6,74,7,79,93,4,266,487
35053,"London West/London-Ouest"," 178","London",3,13,39,2,121,138,1,317,646
35053,"London West/London-Ouest"," 179","London",0,16,38,5,113,128,3,303,626
35053,"London West/London-Ouest"," 180A","London",1,16,27,1,63,81,3,192,376
35053,"London West/London-Ouest"," 180B","London",4,9,38,1,63,77,1,193,364
35053,"London West/London-Ouest"," 181","London",1,6,28,1,90,92,0,218,459
35053,"London West/London-Ouest"," 182A","London",1,12,15,2,57,69,0,156,383
35053,"London West/London-Ouest"," 182B","London",0,1,20,2,89,69,2,183,363
35053,"London West/London-Ouest"," 183","London",1,12,17,0,124,82,0,236,453
35053,"London West/London-Ouest"," 184","London",0,11,43,1,78,108,0,241,416
35053,"London West/London-Ouest"," 185","London",1,8,50,3,129,88,0,279,501
35053,"London West/London-Ouest"," 186","London",0,9,64,2,57,115,0,247,447
35053,"London West/London-Ouest"," 187","London",2,12,28,1,82,74,0,199,446
35053,"London West/London-Ouest"," 188","London",1,11,28,1,66,85,2,194,396
35053,"London West/London-Ouest"," 189","London",0,10,54,4,46,109,1,224,457
35053,"London West/London-Ouest"," 190","London",2,10,42,3,77,112,0,246,440
35053,"London West/London-Ouest"," 191","London",2,7,43,1,71,93,1,218,333
35053,"London West/London-Ouest"," 192","London",0,10,30,1,84,111,0,236,380
35053,"London West/London-Ouest"," 193","London",0,7,24,0,69,83,3,186,316
35053,"London West/London-Ouest"," 194","London",2,7,41,2,86,107,1,246,460
35053,"London West/London-Ouest"," 195","London",2,12,66,0,71,105,1,257,462
35053,"London West/London-Ouest"," 196","London",1,23,35,4,90,118,1,272,557
35053,"London West/London-Ouest"," 197","London",0,11,36,2,48,68,2,167,357
35053,"London West/London-Ouest"," 198","London",1,7,13,2,59,72,1,155,326
35053,"London West/London-Ouest"," 199","London",2,2,38,1,79,115,2,239,463
35053,"London West/London-Ouest"," 200","London",3,16,66,3,52,94,5,239,607
35053,"London West/London-Ouest"," 201","London",1,7,51,2,26,70,1,158,413
35053,"London West/London-Ouest"," 202","London",1,11,40,4,82,114,1,253,527
35053,"London West/London-Ouest"," 203","London",2,11,106,8,53,124,0,304,618
35053,"London West/London-Ouest"," 204","London",6,11,35,6,87,106,3,254,560
35053,"London West/London-Ouest"," 205","London",0,11,73,3,32,74,2,195,442
35053,"London West/London-Ouest"," 206","London",2,2,51,5,54,94,0,208,403
35053,"London West/London-Ouest"," 207","London",4,23,80,8,72,116,0,303,578
35053,"London West/London-Ouest"," 208","London",1,5,45,1,97,121,1,271,521
35053,"London West/London-Ouest"," 209","London",1,13,34,5,109,144,5,311,597
35053,"London West/London-Ouest"," 210","London",1,12,49,3,68,85,0,218,352
35053,"London West/London-Ouest"," 211","London",2,11,62,3,106,118,1,303,538
35053,"London West/London-Ouest"," 212","London",1,11,41,7,68,92,1,221,394
35053,"London West/London-Ouest"," 213","London",1,15,39,0,63,74,0,192,350
35053,"London West/London-Ouest"," 214","London",3,12,53,3,88,93,2,254,376
35053,"London West/London-Ouest"," 400","London",2,5,22,0,44,87,0,160,264
35053,"London West/London-Ouest"," 401","London",0,8,18,3,71,76,2,178,243
35053,"London West/London-Ouest"," 402","London",2,9,25,1,29,61,2,129,182
35053,"London West/London-Ouest"," 403","London",1,11,23,1,51,64,2,153,236
35053,"London West/London-Ouest"," 500","Mobile poll/Bureau itinérant",3,6,12,1,55,70,3,150,291
35053,"London West/London-Ouest"," 501","Mobile poll/Bureau itinérant",1,3,11,1,20,55,0,91,158
35053,"London West/London-Ouest"," 502","Mobile poll/Bureau itinérant",3,10,17,2,54,77,8,171,252
35053,"London West/London-Ouest"," 503","Mobile poll/Bureau itinérant",3,10,12,5,50,66,9,155,283
35053,"London West/London-Ouest"," 600","London",5,27,124,10,219,415,0,800,
35053,"London West/London-Ouest"," 601","London",6,42,113,19,295,391,1,867,
35053,"London West/London-Ouest"," 602","London",5,28,137,12,187,304,3,676,
35053,"London West/London-Ouest"," 603","London",6,47,143,15,382,456,4,1053,
35053,"London West/London-Ouest"," 604","London",2,53,135,13,543,540,4,1290,
35053,"London West/London-Ouest"," 605","London",0,57,133,11,273,370,8,852,
35053,"London West/London-Ouest"," 606","London",11,28,148,18,217,425,0,847,
35053,"London West/London-Ouest"," 607","London",6,58,153,15,311,444,6,993,
35053,"London West/London-Ouest"," 608","London",1,64,125,12,437,466,7,1112,
35053,"London West/London-Ouest"," 609","London",1,45,135,10,321,402,0,914,
35053,"London West/London-Ouest"," 610","London",10,52,106,13,274,301,4,760,
35053,"London West/London-Ouest"," 611","London",2,47,129,12,394,524,5,1113,
35053,"London West/London-Ouest"," 612","London",2,37,124,13,158,206,4,544,
35053,"London West/London-Ouest"," 613","London",1,74,199,4,98,390,1,767,
35053,"London West/London-Ouest"," 614","London",4,41,202,10,130,247,2,636,
35053,"London West/London-Ouest"," 615","London",5,57,204,6,169,412,7,860,
35053,"London West/London-Ouest"," 616","London",2,31,142,16,135,185,2,513,
35053,"London West/London-Ouest"," 617","London",1,31,135,14,162,230,5,578,
35053,"London West/London-Ouest"," 618","London",3,43,175,18,247,389,3,878,
35053,"London West/London-Ouest"," 619","London",2,30,141,16,174,289,2,654,
35053,"London West/London-Ouest",,Group 1/Groupe 1, 2,15,41,6,32,118,9,223,290
35053,"London West/London-Ouest",,Group 2/Groupe 2, 17,140,425,43,678,1223,51,2577,
