Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Emilio Bernardo-Ciddio,Ann Raney,Anna Roberts,Deb Schulte,Anton Strgacic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"King--Vaughan/King--Vaughan"," 140","Vaughan",15,9,66,100,4,1,195,423
35043,"King--Vaughan/King--Vaughan"," 141","Vaughan",25,12,108,149,2,0,296,508
35043,"King--Vaughan/King--Vaughan"," 142","Vaughan",24,11,56,115,5,0,211,421
35043,"King--Vaughan/King--Vaughan"," 143","Vaughan",13,14,98,95,5,5,230,453
35043,"King--Vaughan/King--Vaughan"," 144","Vaughan",9,9,107,114,3,0,242,445
35043,"King--Vaughan/King--Vaughan"," 145","Vaughan",7,2,113,64,2,5,193,375
35043,"King--Vaughan/King--Vaughan"," 146","Vaughan",16,14,97,90,1,3,221,435
35043,"King--Vaughan/King--Vaughan"," 147","Vaughan",11,9,132,98,4,5,259,483
35043,"King--Vaughan/King--Vaughan"," 148","Vaughan",11,6,120,77,4,5,223,467
35043,"King--Vaughan/King--Vaughan"," 149","Vaughan",15,10,117,72,4,4,222,551
35043,"King--Vaughan/King--Vaughan"," 150","Vaughan",23,7,56,104,4,0,194,425
35043,"King--Vaughan/King--Vaughan"," 151","Vaughan",24,6,64,114,1,2,211,483
35043,"King--Vaughan/King--Vaughan"," 152","Vaughan",22,5,54,123,1,0,205,402
35043,"King--Vaughan/King--Vaughan"," 153","Vaughan",25,5,62,132,3,1,228,476
35043,"King--Vaughan/King--Vaughan"," 154","Vaughan",35,9,64,152,6,7,273,557
35043,"King--Vaughan/King--Vaughan"," 155","Vaughan",23,10,73,109,1,2,218,402
35043,"King--Vaughan/King--Vaughan"," 156","Vaughan",19,6,96,147,2,6,276,640
35043,"King--Vaughan/King--Vaughan"," 157","Vaughan",34,4,81,117,0,3,239,524
35043,"King--Vaughan/King--Vaughan"," 158","Vaughan",14,9,76,102,1,3,205,426
35043,"King--Vaughan/King--Vaughan"," 159","Vaughan",21,6,108,105,1,0,241,535
35043,"King--Vaughan/King--Vaughan"," 160","Vaughan",28,7,102,185,3,6,331,494
35043,"King--Vaughan/King--Vaughan"," 161","Vaughan",18,10,88,121,4,2,243,450
35043,"King--Vaughan/King--Vaughan"," 162","Vaughan",22,4,65,125,1,5,222,450
35043,"King--Vaughan/King--Vaughan"," 163","Vaughan",17,7,71,109,6,0,210,382
35043,"King--Vaughan/King--Vaughan"," 164","Vaughan",27,12,107,141,2,2,291,507
35043,"King--Vaughan/King--Vaughan"," 165","Vaughan",25,8,66,118,1,1,219,478
35043,"King--Vaughan/King--Vaughan"," 166","Vaughan",11,6,98,107,1,0,223,493
35043,"King--Vaughan/King--Vaughan"," 167","Vaughan",23,7,109,128,5,4,276,593
35043,"King--Vaughan/King--Vaughan"," 168","Vaughan",22,5,120,100,3,0,250,560
35043,"King--Vaughan/King--Vaughan"," 169","Vaughan",18,2,94,117,0,2,233,576
35043,"King--Vaughan/King--Vaughan"," 170","Vaughan",21,5,90,123,2,0,241,529
35043,"King--Vaughan/King--Vaughan"," 171A","Vaughan",9,4,70,105,1,3,192,450
35043,"King--Vaughan/King--Vaughan"," 171B","Vaughan",7,1,77,92,3,2,182,473
35043,"King--Vaughan/King--Vaughan"," 172A","Vaughan",9,6,95,81,1,2,194,413
35043,"King--Vaughan/King--Vaughan"," 172B","Vaughan",8,8,70,61,1,2,150,379
35043,"King--Vaughan/King--Vaughan"," 173","Vaughan",21,10,81,113,6,3,234,516
35043,"King--Vaughan/King--Vaughan"," 174","Vaughan",28,15,78,134,3,0,258,515
35043,"King--Vaughan/King--Vaughan"," 175","Vaughan",21,3,61,127,0,0,212,495
35043,"King--Vaughan/King--Vaughan"," 176","Vaughan",13,4,53,131,2,5,208,416
35043,"King--Vaughan/King--Vaughan"," 177","Vaughan",22,5,65,100,0,1,193,357
35043,"King--Vaughan/King--Vaughan"," 178","Vaughan",17,14,100,128,1,1,261,399
35043,"King--Vaughan/King--Vaughan"," 179","Vaughan",30,18,55,149,6,2,260,502
35043,"King--Vaughan/King--Vaughan"," 180","Vaughan",23,6,89,150,8,0,276,531
35043,"King--Vaughan/King--Vaughan"," 181A","Vaughan",17,12,149,70,1,6,255,483
35043,"King--Vaughan/King--Vaughan"," 181B","Vaughan",12,9,122,66,2,0,211,435
35043,"King--Vaughan/King--Vaughan"," 182","Vaughan",5,6,237,74,4,2,328,639
35043,"King--Vaughan/King--Vaughan"," 183","Vaughan",12,11,161,122,2,5,313,684
35043,"King--Vaughan/King--Vaughan"," 184","Vaughan",12,15,105,113,4,4,253,474
35043,"King--Vaughan/King--Vaughan"," 185","Vaughan",17,5,121,69,5,1,218,461
35043,"King--Vaughan/King--Vaughan"," 186","Vaughan",4,4,146,80,0,1,235,458
35043,"King--Vaughan/King--Vaughan"," 187","Vaughan",20,8,83,117,6,1,235,403
35043,"King--Vaughan/King--Vaughan"," 188","Vaughan",37,17,116,170,3,6,349,681
35043,"King--Vaughan/King--Vaughan"," 189","Vaughan",27,8,68,137,6,2,248,477
35043,"King--Vaughan/King--Vaughan"," 190","Vaughan",15,10,113,113,3,1,255,430
35043,"King--Vaughan/King--Vaughan"," 191","Vaughan",17,13,78,93,5,2,208,407
35043,"King--Vaughan/King--Vaughan"," 192","Vaughan",17,6,62,96,4,3,188,387
35043,"King--Vaughan/King--Vaughan"," 193","Vaughan",15,9,56,108,3,6,197,428
35043,"King--Vaughan/King--Vaughan"," 194","Vaughan",8,11,44,161,4,19,247,344
35043,"King--Vaughan/King--Vaughan"," 195","Vaughan",23,2,93,100,2,2,222,446
35043,"King--Vaughan/King--Vaughan"," 196","Vaughan",21,6,77,112,6,2,224,428
35043,"King--Vaughan/King--Vaughan"," 197","Vaughan",20,11,54,120,4,3,212,421
35043,"King--Vaughan/King--Vaughan"," 198","Vaughan",24,9,52,155,4,1,245,455
35043,"King--Vaughan/King--Vaughan"," 199A","Vaughan",16,8,106,111,0,0,241,484
35043,"King--Vaughan/King--Vaughan"," 199B","Vaughan",14,1,120,92,2,2,231,426
35043,"King--Vaughan/King--Vaughan"," 199C","Vaughan",22,7,101,92,7,3,232,452
35043,"King--Vaughan/King--Vaughan"," 200","Vaughan",10,3,159,94,2,0,268,624
35043,"King--Vaughan/King--Vaughan"," 201","Vaughan",30,7,100,169,4,1,311,569
35043,"King--Vaughan/King--Vaughan"," 202A","Vaughan",18,5,101,132,3,0,259,475
35043,"King--Vaughan/King--Vaughan"," 202B","Vaughan",21,1,88,104,3,3,220,429
35043,"King--Vaughan/King--Vaughan"," 203A","Vaughan",14,1,97,120,4,0,236,508
35043,"King--Vaughan/King--Vaughan"," 203B","Vaughan",17,6,93,111,2,1,230,473
35043,"King--Vaughan/King--Vaughan"," 204","Vaughan",33,7,129,157,3,2,331,656
35043,"King--Vaughan/King--Vaughan"," 400","King City",8,8,49,82,1,3,151,213
35043,"King--Vaughan/King--Vaughan"," 401","Vaughan",3,2,3,12,0,0,20,34
35043,"King--Vaughan/King--Vaughan"," 402","Vaughan",1,1,25,41,0,2,70,118
35043,"King--Vaughan/King--Vaughan"," 403","Vaughan",4,1,26,65,2,4,102,152
35043,"King--Vaughan/King--Vaughan"," 404","Vaughan",3,1,13,55,0,10,82,122
35043,"King--Vaughan/King--Vaughan"," 405","Vaughan",7,6,69,101,6,2,191,284
35043,"King--Vaughan/King--Vaughan"," 406","Vaughan",4,5,51,101,1,0,162,259
35043,"King--Vaughan/King--Vaughan"," 407","Vaughan",12,10,47,87,2,0,158,287
35043,"King--Vaughan/King--Vaughan"," 408","Vaughan",15,6,72,83,1,2,179,297
35043,"King--Vaughan/King--Vaughan"," 500","Mobile poll/Bureau itinérant",3,2,18,49,1,4,77,144
35043,"King--Vaughan/King--Vaughan"," 501","Mobile poll/Bureau itinérant",5,8,37,88,0,11,149,238
35043,"King--Vaughan/King--Vaughan"," 502","Mobile poll/Bureau itinérant",0,3,30,44,1,4,82,145
35043,"King--Vaughan/King--Vaughan"," 600","King-Schomberg",45,54,312,221,8,3,643,
35043,"King--Vaughan/King--Vaughan"," 601","King-Ketleby",32,60,374,229,11,3,709,
35043,"King--Vaughan/King--Vaughan"," 602","King City",52,74,558,374,8,0,1066,
35043,"King--Vaughan/King--Vaughan"," 603","King-Nobleton",48,82,497,398,23,5,1053,
35043,"King--Vaughan/King--Vaughan"," 604","Vaughan",60,26,460,367,10,3,926,
35043,"King--Vaughan/King--Vaughan"," 605","Vaughan",59,27,527,512,16,3,1144,
35043,"King--Vaughan/King--Vaughan"," 606","Vaughan",20,18,518,224,3,3,786,
35043,"King--Vaughan/King--Vaughan"," 607","Vaughn",21,22,181,173,6,8,411,
35043,"King--Vaughan/King--Vaughan"," 608","Vaughan",52,23,229,402,12,2,720,
35043,"King--Vaughan/King--Vaughan"," 609","Vaughan",56,27,186,355,8,3,635,
35043,"King--Vaughan/King--Vaughan"," 610","Vaughan",36,24,92,614,3,3,772,
35043,"King--Vaughan/King--Vaughan"," 611","Vaughan",29,14,162,276,5,2,488,
35043,"King--Vaughan/King--Vaughan"," 612","Vaughan",29,10,96,235,4,2,376,
35043,"King--Vaughan/King--Vaughan"," 613","Vaughan",38,26,165,265,7,3,504,
35043,"King--Vaughan/King--Vaughan"," 614","Vaughan",71,24,301,439,13,18,866,
35043,"King--Vaughan/King--Vaughan"," 615","Vaughan",36,30,219,395,10,3,693,
35043,"King--Vaughan/King--Vaughan"," 616","Vaughan",40,17,273,285,2,0,617,
35043,"King--Vaughan/King--Vaughan"," 617","Vaughan",34,18,603,230,9,5,899,
35043,"King--Vaughan/King--Vaughan"," 618","Vaughan",26,15,588,196,10,6,841,
35043,"King--Vaughan/King--Vaughan",,Group 1/Groupe 1, 7,4,23,70,2,5,111,181
35043,"King--Vaughan/King--Vaughan",,Group 2/Groupe 2, 118,63,452,627,9,56,1325,
