Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josephbai Macwan,Mary Ng,Peter Remedios,Paul Sahbaz,Chris Williams,Alex Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Markham--Thornhill/Markham--Thornhill"," 90","Markham",1,96,2,16,4,77,0,196,467
35055,"Markham--Thornhill/Markham--Thornhill"," 91","Markham",1,86,1,16,6,66,4,180,499
35055,"Markham--Thornhill/Markham--Thornhill"," 92","Markham",1,90,0,12,5,68,5,181,459
35055,"Markham--Thornhill/Markham--Thornhill"," 93","Markham",0,47,1,9,9,82,3,151,458
35055,"Markham--Thornhill/Markham--Thornhill"," 94","Markham",2,77,5,13,4,59,3,163,509
35055,"Markham--Thornhill/Markham--Thornhill"," 95","Markham",0,77,2,4,10,77,0,170,453
35055,"Markham--Thornhill/Markham--Thornhill"," 96","Markham",2,50,1,4,2,98,2,159,476
35055,"Markham--Thornhill/Markham--Thornhill"," 97","Markham",1,61,7,19,4,94,4,190,631
35055,"Markham--Thornhill/Markham--Thornhill"," 98A","Markham",4,137,3,10,12,168,8,342,504
35055,"Markham--Thornhill/Markham--Thornhill"," 98B","Markham",1,85,0,10,8,108,4,216,335
35055,"Markham--Thornhill/Markham--Thornhill"," 99","Markham",3,97,4,32,6,101,2,245,541
35055,"Markham--Thornhill/Markham--Thornhill"," 100","Markham",1,74,5,16,4,69,2,171,467
35055,"Markham--Thornhill/Markham--Thornhill"," 101","Markham",1,111,3,9,8,94,2,228,473
35055,"Markham--Thornhill/Markham--Thornhill"," 102","Markham",3,62,3,13,9,90,1,181,520
35055,"Markham--Thornhill/Markham--Thornhill"," 103","Markham",0,92,4,7,1,70,1,175,401
35055,"Markham--Thornhill/Markham--Thornhill"," 104","Markham",0,91,3,11,7,74,2,188,468
35055,"Markham--Thornhill/Markham--Thornhill"," 105","Markham",1,92,0,11,6,51,2,163,331
35055,"Markham--Thornhill/Markham--Thornhill"," 106","Markham",2,86,2,12,14,71,0,187,335
35055,"Markham--Thornhill/Markham--Thornhill"," 107","Markham",4,99,3,22,5,89,4,226,473
35055,"Markham--Thornhill/Markham--Thornhill"," 108","Markham",0,81,3,18,8,78,2,190,453
35055,"Markham--Thornhill/Markham--Thornhill"," 109","Markham",0,62,2,8,2,53,1,128,362
35055,"Markham--Thornhill/Markham--Thornhill"," 110","Markham",1,76,0,13,1,72,1,164,343
35055,"Markham--Thornhill/Markham--Thornhill"," 111","Markham",0,104,2,5,6,76,1,194,503
35055,"Markham--Thornhill/Markham--Thornhill"," 112","Markham",0,79,0,8,15,82,0,184,429
35055,"Markham--Thornhill/Markham--Thornhill"," 113","Markham",0,95,2,12,9,76,0,194,463
35055,"Markham--Thornhill/Markham--Thornhill"," 114","Markham",0,28,0,3,3,59,0,93,320
35055,"Markham--Thornhill/Markham--Thornhill"," 115","Markham",0,48,2,8,4,75,0,137,472
35055,"Markham--Thornhill/Markham--Thornhill"," 116","Markham",1,57,1,0,6,59,0,124,326
35055,"Markham--Thornhill/Markham--Thornhill"," 117","Markham",1,66,2,4,3,53,1,130,341
35055,"Markham--Thornhill/Markham--Thornhill"," 118","Markham",0,80,2,3,5,72,0,162,347
35055,"Markham--Thornhill/Markham--Thornhill"," 119","Markham",1,86,0,10,4,82,0,183,466
35055,"Markham--Thornhill/Markham--Thornhill"," 120","Markham",0,81,2,11,6,53,0,153,402
35055,"Markham--Thornhill/Markham--Thornhill"," 121","Markham",0,45,3,7,4,60,0,119,404
35055,"Markham--Thornhill/Markham--Thornhill"," 122","Markham",0,80,3,4,7,57,1,152,396
35055,"Markham--Thornhill/Markham--Thornhill"," 123","Markham",1,81,1,6,9,58,0,156,433
35055,"Markham--Thornhill/Markham--Thornhill"," 124","Markham",0,58,1,14,7,39,0,119,322
35055,"Markham--Thornhill/Markham--Thornhill"," 125","Markham",0,60,1,12,12,36,0,121,370
35055,"Markham--Thornhill/Markham--Thornhill"," 126","Markham",1,59,0,10,4,60,1,135,231
35055,"Markham--Thornhill/Markham--Thornhill"," 127","Markham",0,61,2,17,4,56,0,140,414
35055,"Markham--Thornhill/Markham--Thornhill"," 128","Markham",0,70,2,6,1,75,0,154,460
35055,"Markham--Thornhill/Markham--Thornhill"," 129","Markham",0,90,2,6,2,69,0,169,418
35055,"Markham--Thornhill/Markham--Thornhill"," 130","Markham",0,122,4,14,11,97,3,251,504
35055,"Markham--Thornhill/Markham--Thornhill"," 131","Markham",0,66,0,10,4,46,1,127,347
35055,"Markham--Thornhill/Markham--Thornhill"," 132","Markham",2,119,0,20,10,70,0,221,563
35055,"Markham--Thornhill/Markham--Thornhill"," 133","Markham",0,107,4,23,7,59,0,200,480
35055,"Markham--Thornhill/Markham--Thornhill"," 134","Markham",0,117,2,13,15,64,1,212,500
35055,"Markham--Thornhill/Markham--Thornhill"," 135","Markham",2,91,3,21,11,58,1,187,460
35055,"Markham--Thornhill/Markham--Thornhill"," 136","Markham",1,86,0,20,13,89,1,210,494
35055,"Markham--Thornhill/Markham--Thornhill"," 137","Markham",2,108,4,13,5,90,0,222,491
35055,"Markham--Thornhill/Markham--Thornhill"," 138","Markham",0,119,2,10,7,104,0,242,509
35055,"Markham--Thornhill/Markham--Thornhill"," 139","Markham",0,82,4,17,8,76,1,188,437
35055,"Markham--Thornhill/Markham--Thornhill"," 140","Markham",1,122,5,25,15,59,2,229,533
35055,"Markham--Thornhill/Markham--Thornhill"," 141","Markham",0,96,1,11,13,76,1,198,483
35055,"Markham--Thornhill/Markham--Thornhill"," 142","Markham",0,107,3,20,7,69,2,208,504
35055,"Markham--Thornhill/Markham--Thornhill"," 143","Markham",1,87,0,16,11,76,0,191,449
35055,"Markham--Thornhill/Markham--Thornhill"," 144","Markham",1,110,6,13,13,72,0,215,506
35055,"Markham--Thornhill/Markham--Thornhill"," 145","Markham",0,78,2,13,10,76,3,182,397
35055,"Markham--Thornhill/Markham--Thornhill"," 146","Markham",0,77,1,9,10,49,0,146,330
35055,"Markham--Thornhill/Markham--Thornhill"," 147","Markham",1,60,0,8,8,70,0,147,320
35055,"Markham--Thornhill/Markham--Thornhill"," 148","Markham",0,55,0,12,3,73,0,143,404
35055,"Markham--Thornhill/Markham--Thornhill"," 149","Markham",1,104,2,12,4,93,0,216,453
35055,"Markham--Thornhill/Markham--Thornhill"," 150","Markham",0,53,0,8,8,80,1,150,363
35055,"Markham--Thornhill/Markham--Thornhill"," 151","Markham",0,47,0,9,6,78,2,142,340
35055,"Markham--Thornhill/Markham--Thornhill"," 152","Markham",0,57,1,3,5,103,1,170,362
35055,"Markham--Thornhill/Markham--Thornhill"," 400","Markham",1,65,1,7,6,18,0,98,173
35055,"Markham--Thornhill/Markham--Thornhill"," 401","Markham",0,43,0,7,4,9,2,65,129
35055,"Markham--Thornhill/Markham--Thornhill"," 402","Markham",1,27,2,2,1,57,3,93,141
35055,"Markham--Thornhill/Markham--Thornhill"," 403","Markham",2,159,0,4,4,126,6,301,562
35055,"Markham--Thornhill/Markham--Thornhill"," 404A","Markham",1,105,1,9,8,60,1,185,372
35055,"Markham--Thornhill/Markham--Thornhill"," 404B","Markham",1,77,0,5,6,61,6,156,307
35055,"Markham--Thornhill/Markham--Thornhill"," 405A","Markham",1,78,3,8,5,80,3,178,351
35055,"Markham--Thornhill/Markham--Thornhill"," 405B","Markham",0,86,1,11,5,69,2,174,323
35055,"Markham--Thornhill/Markham--Thornhill"," 406","Markham",0,23,2,3,0,34,3,65,98
35055,"Markham--Thornhill/Markham--Thornhill"," 407","Markham",1,23,0,3,4,64,0,95,157
35055,"Markham--Thornhill/Markham--Thornhill"," 600","Markham",8,893,3,88,25,304,5,1326,
35055,"Markham--Thornhill/Markham--Thornhill"," 601","Markham",5,1088,11,13,16,267,13,1413,
35055,"Markham--Thornhill/Markham--Thornhill"," 602","Markham",3,728,4,86,16,225,10,1072,
35055,"Markham--Thornhill/Markham--Thornhill"," 603","Markham",6,558,5,96,15,268,10,958,
35055,"Markham--Thornhill/Markham--Thornhill"," 604","Markham",7,767,2,99,32,344,6,1257,
35055,"Markham--Thornhill/Markham--Thornhill"," 605","Markham",2,542,7,97,27,369,2,1046,
35055,"Markham--Thornhill/Markham--Thornhill"," 606","Markham",7,434,12,51,25,335,9,873,
35055,"Markham--Thornhill/Markham--Thornhill"," 607","Markham",1,358,8,32,16,288,6,709,
35055,"Markham--Thornhill/Markham--Thornhill"," 608","Markham",1,723,11,63,64,673,10,1545,
35055,"Markham--Thornhill/Markham--Thornhill"," 609","Markham",1,583,4,47,56,779,7,1477,
35055,"Markham--Thornhill/Markham--Thornhill"," 610","Markham",2,499,7,81,57,579,4,1229,
35055,"Markham--Thornhill/Markham--Thornhill",,Group 1/Groupe 1, 0,81,2,11,11,48,14,167,299
35055,"Markham--Thornhill/Markham--Thornhill",,Group 2/Groupe 2, 1,579,4,127,42,349,40,1142,
