Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Navdeep Bains,Prudence Buchanan,Frank Chilelli,Nikki Clarke,Tahir Gora,Christina Porter,Tom Varughese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga--Malton/Mississauga--Malton"," 22","Mississauga",95,0,0,19,0,1,16,1,132,401
35062,"Mississauga--Malton/Mississauga--Malton"," 23","Mississauga",139,0,0,42,2,3,34,0,220,506
35062,"Mississauga--Malton/Mississauga--Malton"," 24","Mississauga",75,2,0,27,0,2,17,1,124,344
35062,"Mississauga--Malton/Mississauga--Malton"," 25","Mississauga",130,2,1,23,0,1,23,1,181,400
35062,"Mississauga--Malton/Mississauga--Malton"," 26","Mississauga",141,0,2,20,0,0,38,4,205,462
35062,"Mississauga--Malton/Mississauga--Malton"," 27","Mississauga",171,0,0,29,1,4,34,9,248,528
35062,"Mississauga--Malton/Mississauga--Malton"," 28","Mississauga",127,1,1,33,0,1,32,3,198,529
35062,"Mississauga--Malton/Mississauga--Malton"," 29","Mississauga",163,4,1,42,3,5,40,2,260,587
35062,"Mississauga--Malton/Mississauga--Malton"," 30","Mississauga",150,3,0,32,4,8,28,7,232,559
35062,"Mississauga--Malton/Mississauga--Malton"," 31","Mississauga",113,2,2,23,1,3,30,0,174,531
35062,"Mississauga--Malton/Mississauga--Malton"," 32","Mississauga",134,1,0,36,1,5,24,6,207,563
35062,"Mississauga--Malton/Mississauga--Malton"," 33","Mississauga",95,0,2,26,1,4,38,5,171,435
35062,"Mississauga--Malton/Mississauga--Malton"," 34","Mississauga",110,1,0,18,4,2,31,3,169,399
35062,"Mississauga--Malton/Mississauga--Malton"," 35","Mississauga",131,2,0,30,2,4,28,5,202,402
35062,"Mississauga--Malton/Mississauga--Malton"," 36","Mississauga",93,1,0,49,0,5,32,7,187,422
35062,"Mississauga--Malton/Mississauga--Malton"," 37","Mississauga",120,0,0,50,1,0,23,0,194,449
35062,"Mississauga--Malton/Mississauga--Malton"," 38","Mississauga",84,0,2,43,2,3,30,0,164,347
35062,"Mississauga--Malton/Mississauga--Malton"," 39","Mississauga",62,1,2,40,2,1,27,1,136,308
35062,"Mississauga--Malton/Mississauga--Malton"," 40","Mississauga",135,1,1,49,4,1,44,2,237,448
35062,"Mississauga--Malton/Mississauga--Malton"," 41","Mississauga",182,1,0,44,1,4,54,4,290,558
35062,"Mississauga--Malton/Mississauga--Malton"," 42","Mississauga",157,2,0,36,2,8,36,4,245,581
35062,"Mississauga--Malton/Mississauga--Malton"," 43","Mississauga",125,1,0,33,3,7,40,0,209,517
35062,"Mississauga--Malton/Mississauga--Malton"," 44","Mississauga",170,5,0,45,2,5,26,5,258,514
35062,"Mississauga--Malton/Mississauga--Malton"," 45","Mississauga",108,2,0,47,7,13,54,2,233,455
35062,"Mississauga--Malton/Mississauga--Malton"," 46","Mississauga",134,1,0,50,2,4,35,2,228,532
35062,"Mississauga--Malton/Mississauga--Malton"," 47","Mississauga",81,0,0,32,1,4,34,3,155,424
35062,"Mississauga--Malton/Mississauga--Malton"," 48","Mississauga",102,0,0,19,4,4,27,1,157,485
35062,"Mississauga--Malton/Mississauga--Malton"," 49","Mississauga",84,0,0,11,1,6,43,2,147,339
35062,"Mississauga--Malton/Mississauga--Malton"," 50","Mississauga",98,2,0,19,2,3,69,5,198,457
35062,"Mississauga--Malton/Mississauga--Malton"," 51","Mississauga",110,2,0,14,2,3,45,2,178,465
35062,"Mississauga--Malton/Mississauga--Malton"," 52","Mississauga",137,1,0,30,2,7,72,4,253,534
35062,"Mississauga--Malton/Mississauga--Malton"," 53","Mississauga",90,0,1,18,1,6,76,0,192,427
35062,"Mississauga--Malton/Mississauga--Malton"," 54","Mississauga",85,2,1,18,2,8,74,2,192,437
35062,"Mississauga--Malton/Mississauga--Malton"," 55","Mississauga",152,1,0,33,0,2,77,2,267,564
35062,"Mississauga--Malton/Mississauga--Malton"," 56","Mississauga",118,0,0,27,3,5,62,4,219,413
35062,"Mississauga--Malton/Mississauga--Malton"," 57","Mississauga",146,0,0,25,0,5,99,4,279,544
35062,"Mississauga--Malton/Mississauga--Malton"," 58","Mississauga",156,1,1,54,0,2,70,4,288,482
35062,"Mississauga--Malton/Mississauga--Malton"," 59","Mississauga",157,0,0,19,0,1,41,0,218,424
35062,"Mississauga--Malton/Mississauga--Malton"," 60","Mississauga",189,2,1,54,0,3,49,1,299,556
35062,"Mississauga--Malton/Mississauga--Malton"," 61","Mississauga",129,0,1,26,0,6,47,3,212,454
35062,"Mississauga--Malton/Mississauga--Malton"," 62","Mississauga",133,2,0,38,1,2,49,2,227,463
35062,"Mississauga--Malton/Mississauga--Malton"," 63","Mississauga",112,2,2,21,2,2,44,1,186,341
35062,"Mississauga--Malton/Mississauga--Malton"," 64","Mississauga",152,4,1,33,3,4,78,0,275,607
35062,"Mississauga--Malton/Mississauga--Malton"," 65","Mississauga",116,0,0,23,1,2,55,4,201,404
35062,"Mississauga--Malton/Mississauga--Malton"," 66","Mississauga",147,4,0,32,1,4,70,4,262,498
35062,"Mississauga--Malton/Mississauga--Malton"," 67","Mississauga",142,0,1,31,3,3,49,0,229,513
35062,"Mississauga--Malton/Mississauga--Malton"," 68","Mississauga",144,1,1,40,2,10,72,1,271,516
35062,"Mississauga--Malton/Mississauga--Malton"," 69","Mississauga",171,1,1,38,0,1,67,4,283,493
35062,"Mississauga--Malton/Mississauga--Malton"," 70","Mississauga",173,3,0,49,4,11,88,4,332,589
35062,"Mississauga--Malton/Mississauga--Malton"," 71","Mississauga",122,1,1,30,0,10,101,0,265,542
35062,"Mississauga--Malton/Mississauga--Malton"," 72","Mississauga",155,0,0,29,2,6,63,1,256,539
35062,"Mississauga--Malton/Mississauga--Malton"," 73","Mississauga",99,1,0,13,0,8,69,2,192,462
35062,"Mississauga--Malton/Mississauga--Malton"," 74","Mississauga",121,0,2,24,7,15,73,1,243,589
35062,"Mississauga--Malton/Mississauga--Malton"," 75","Mississauga",73,1,0,9,0,5,59,3,150,378
35062,"Mississauga--Malton/Mississauga--Malton"," 76","Mississauga",103,0,0,20,2,7,75,0,207,512
35062,"Mississauga--Malton/Mississauga--Malton"," 77","Mississauga",98,1,0,14,4,6,58,1,182,368
35062,"Mississauga--Malton/Mississauga--Malton"," 78","Mississauga",116,3,0,23,0,9,77,2,230,525
35062,"Mississauga--Malton/Mississauga--Malton"," 79","Mississauga",96,2,0,24,1,3,32,0,158,359
35062,"Mississauga--Malton/Mississauga--Malton"," 80","Mississauga",92,2,2,22,1,4,100,1,224,546
35062,"Mississauga--Malton/Mississauga--Malton"," 81","Mississauga",79,0,0,26,0,4,36,2,147,352
35062,"Mississauga--Malton/Mississauga--Malton"," 82","Mississauga",110,1,1,36,1,9,90,1,249,582
35062,"Mississauga--Malton/Mississauga--Malton"," 83","Mississauga",85,2,2,42,3,3,54,1,192,432
35062,"Mississauga--Malton/Mississauga--Malton"," 84","Mississauga",97,0,1,32,6,24,50,1,211,518
