Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guillaume Bourdeau,René-Paul Coly,Alain D'Eer,Samuel Moisan-Domm,Pierre Paul-Hus,Joey Pronovost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 15","Québec",16,37,32,6,68,3,5,167,409
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 16","Québec",25,60,65,8,120,13,5,296,602
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 17","Québec",19,31,49,6,85,6,5,201,556
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18","Québec",20,41,58,19,88,6,7,239,510
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 19","Québec",13,38,58,13,135,4,6,267,546
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 20","Québec",16,44,82,9,96,8,3,258,513
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 21","Québec",16,30,54,8,58,7,4,177,361
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 22","Québec",15,36,39,6,86,4,6,192,417
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 23","Québec",11,23,47,5,89,2,2,179,376
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 24","Québec",6,20,34,3,80,3,5,151,329
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 25","Québec",20,56,60,8,82,8,8,242,509
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 26","Québec",21,53,66,11,79,3,1,234,420
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 27","Québec",10,47,66,4,69,4,6,206,370
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 28","Québec",10,31,79,3,77,5,3,208,384
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 29","Québec",25,45,38,11,111,2,3,235,465
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 30","Québec",13,43,32,2,96,5,5,196,404
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 31","Québec",20,37,53,8,59,2,2,181,383
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 32","Québec",20,51,47,2,61,4,4,189,393
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 33","Québec",20,31,47,5,67,6,4,180,365
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 34","Québec",19,34,39,10,50,5,7,164,363
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 35","Québec",17,33,40,6,49,4,10,159,396
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 36","Québec",32,53,68,9,102,5,3,272,532
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 37","Québec",24,73,82,12,174,6,5,376,655
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 38","Québec",20,50,63,8,99,1,7,248,496
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 39","Québec",20,50,68,5,53,2,2,200,430
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 40","Québec",33,61,59,14,117,6,1,291,533
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 41","Québec",21,32,53,7,115,6,6,240,431
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 42","Québec",22,26,49,5,60,7,5,174,380
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 43","Québec",5,28,39,3,54,3,1,133,335
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 44","Québec",14,43,61,13,90,10,6,237,476
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 45","Québec",6,30,32,3,30,9,0,110,329
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 46","Québec",27,43,50,6,39,2,7,174,455
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 47","Québec",14,28,48,6,66,6,5,173,422
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 48","Québec",30,80,92,11,126,16,4,359,753
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 49","Québec",17,44,43,9,58,4,4,179,353
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 50","Québec",14,45,38,6,70,5,0,178,389
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 51","Québec",11,37,35,7,34,1,2,127,356
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 52","Québec",17,40,45,9,65,2,9,187,408
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 53","Québec",14,62,55,9,69,8,5,222,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 54","Québec",12,45,48,6,62,5,5,183,381
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 55","Québec",16,55,72,6,74,3,0,226,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 56","Québec",18,39,64,8,52,4,4,189,484
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 57","Québec",15,29,59,6,53,3,2,167,462
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 58","Québec",20,51,43,7,106,4,3,234,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 59","Québec",16,46,45,8,74,4,5,198,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 60","Québec",20,34,56,11,95,11,4,231,478
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 61","Québec",8,53,66,7,80,4,5,223,505
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 62","Québec",12,34,26,4,31,1,2,110,445
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 63","Québec",13,39,60,3,58,4,1,178,423
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 64","Québec",13,41,50,9,48,4,5,170,422
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 65","Québec",5,32,32,5,49,6,1,130,355
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 66","Québec",21,25,45,10,44,3,3,151,352
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 67","Québec",14,34,46,5,54,3,1,157,388
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 68","Québec",8,33,54,10,55,2,1,163,355
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 69","Québec",12,29,41,3,70,3,5,163,429
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 70","Québec",9,53,46,7,85,4,5,209,393
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 71","Québec",10,62,74,3,84,3,4,240,605
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 72","Québec",17,45,21,8,61,1,2,155,345
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 73","Québec",13,24,49,5,54,3,3,151,343
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 74","Québec",13,51,54,3,87,6,5,219,425
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 75","Québec",23,44,52,5,54,5,4,187,423
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 76","Québec",20,38,44,8,87,5,7,209,421
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 77","Québec",9,30,41,8,51,6,8,153,354
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 78","Québec",19,47,84,9,76,2,3,240,428
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 79","Québec",14,43,43,10,52,5,3,170,364
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 80","Québec",19,43,65,10,59,5,3,204,357
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 81","Québec",27,49,66,5,56,3,3,209,424
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 82","Québec",9,35,54,2,72,5,5,182,379
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 83","Québec",15,34,34,4,55,0,2,144,405
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 84","Québec",18,68,66,4,82,1,7,246,420
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 85","Québec",12,28,54,4,62,4,0,164,364
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 86","Québec",21,42,55,5,53,8,7,191,393
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 87","Québec",10,36,58,8,59,0,0,171,329
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 88","Québec",18,55,53,16,94,5,5,246,435
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 89","Québec",15,34,37,8,64,6,7,171,395
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 90","Québec",17,39,35,8,59,3,3,164,371
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 91","Québec",8,24,23,6,54,5,3,123,327
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 92","Québec",24,34,53,8,66,2,5,192,409
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 93","Québec",12,28,47,4,70,3,0,164,389
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 94","Québec",21,34,48,7,45,5,3,163,362
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 95","Québec",20,50,47,5,80,4,5,211,454
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 96","Québec",20,44,47,8,58,3,2,182,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 97","Québec",28,77,70,12,73,7,2,269,426
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 98","Québec",14,76,73,5,91,6,4,269,495
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 99","Québec",8,78,39,4,63,5,5,202,353
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 100","Québec",7,12,19,4,92,6,9,149,362
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 101","Québec",16,29,45,4,86,3,9,192,431
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 102","Québec",13,26,37,4,83,6,5,174,392
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 103","Québec",11,30,52,7,106,7,4,217,510
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 104","Québec",8,27,35,3,66,7,7,153,425
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 105","Québec",8,21,36,5,82,4,2,158,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 106","Québec",19,24,28,6,82,7,1,167,392
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 107","Québec",21,27,40,7,89,6,5,195,530
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 108","Québec",14,40,22,5,64,0,1,146,357
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 109","Québec",9,30,30,9,105,8,6,197,449
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 110","Québec",18,25,27,8,93,5,10,186,415
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 111","Québec",22,15,26,6,101,10,3,183,427
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 112","Québec",2,13,22,2,53,0,1,93,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 113","Québec",14,21,39,4,62,5,4,149,372
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 114","Québec",17,25,44,10,108,10,4,218,514
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 115","Québec",15,25,27,9,55,6,5,142,408
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 116","Québec",17,37,39,2,89,6,10,200,498
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 117","Québec",12,23,14,7,96,6,2,160,381
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 118","Québec",11,37,24,4,96,3,6,181,437
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 119","Québec",22,24,45,4,115,7,3,220,482
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 120","Québec",21,37,64,5,57,3,4,191,409
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 121","Québec",14,34,49,6,32,2,2,139,317
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 122","Québec",19,49,80,10,55,2,0,215,350
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 123","Québec",15,46,60,3,52,1,1,178,358
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 124","Québec",29,49,61,13,61,6,0,219,377
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 125","Québec",19,61,57,10,44,3,4,198,408
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 126","Québec",13,34,69,4,68,4,1,193,388
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 127","Québec",24,39,54,8,54,4,5,188,395
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 128","Québec",21,49,68,5,66,5,4,218,405
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 129","Québec",12,33,29,7,58,4,2,145,371
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 130","Québec",14,52,77,7,44,6,2,202,350
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 131","Québec",14,51,79,11,75,6,5,241,427
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 132","Québec",21,52,61,4,63,1,5,207,361
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 133","Québec",21,84,49,3,74,3,8,242,435
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 134","Québec",31,74,68,8,51,4,2,238,432
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 135","Québec",22,54,74,10,59,2,1,222,418
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 136","Québec",18,65,64,8,43,2,1,201,373
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 137","Québec",27,36,56,5,33,4,5,166,404
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 138","Québec",10,18,49,6,40,4,2,129,339
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 139A","Québec",23,25,23,4,26,3,2,106,339
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 139B","Mobile poll/Bureau itinérant",2,25,8,1,1,1,4,42,51
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 140","Québec",28,63,77,10,73,6,6,263,536
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 141","Québec",24,65,70,15,71,7,7,259,511
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 142","Québec",10,48,55,7,37,2,0,159,335
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 143","Québec",19,37,54,2,40,7,3,162,544
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 144A","Québec",6,47,64,7,30,1,7,162,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 144B","Québec",13,36,64,7,40,5,6,171,435
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 145","Québec",23,36,47,7,53,10,3,179,523
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 146","Québec",17,28,19,3,41,1,2,111,303
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 147","Québec",8,31,64,4,46,1,5,159,569
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 148","Québec",25,42,56,8,63,6,4,204,421
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 149A","Québec",16,50,60,13,58,4,4,205,499
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 149B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°139B,,,,,,,,64
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 150","Québec",19,57,60,9,58,5,4,212,423
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 151","Québec",21,65,70,13,54,2,5,230,416
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 152","Québec",34,57,87,20,62,4,3,267,560
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 153","Québec",17,43,40,8,99,6,3,216,393
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 154","Québec",19,33,44,4,88,4,4,196,448
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 155","Québec",17,38,50,11,86,8,2,212,430
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 156","Québec",20,19,50,7,91,3,2,192,419
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 157","Québec",12,25,52,5,83,3,2,182,365
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 158","Québec",27,40,33,11,98,10,4,223,422
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 159","Québec",20,46,72,7,106,7,8,266,601
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 160","Québec",26,21,41,5,70,5,4,172,369
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 161","Québec",25,37,41,7,99,7,0,216,463
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 162","Québec",8,18,54,5,64,4,2,155,394
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 163","Québec",29,42,52,11,139,1,6,280,530
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 164","Québec",15,48,46,6,74,1,4,194,421
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 165","Québec",28,39,44,10,92,7,4,224,457
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 166","Québec",30,42,46,11,113,7,4,253,479
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 167","Québec",24,28,48,8,72,5,3,188,388
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 168","Québec",11,29,37,7,71,6,5,166,385
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 169","Québec",19,24,32,10,97,10,3,195,400
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 170","Québec",15,25,45,5,95,7,19,211,534
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 171","Québec",13,70,55,16,39,1,3,197,413
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 172","Québec",18,52,37,10,46,3,1,167,420
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 173","Québec",9,65,69,15,57,4,2,221,441
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 174","Québec",14,44,54,6,71,5,1,195,392
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 175","Québec",11,26,36,1,44,1,2,121,228
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 176","Québec",29,30,31,8,32,6,2,138,343
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 177","Québec",15,28,49,12,53,2,5,164,399
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 178","Québec",15,58,80,6,64,7,8,238,505
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 179","Québec",23,40,38,7,46,3,6,163,398
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 180","Québec",11,46,53,4,34,4,1,153,521
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 181","Québec",12,26,43,12,43,4,3,143,359
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 182","Québec",14,50,53,7,41,6,8,179,335
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 183","Québec",11,31,37,4,34,8,2,127,367
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 184","Québec",20,41,63,3,48,3,5,183,514
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 185","Québec",10,28,36,2,36,4,3,119,323
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 186","Québec",3,174,77,5,94,0,4,357,463
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 187","Québec",9,54,53,4,51,0,0,171,415
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 188","Québec",11,34,26,7,35,4,2,119,370
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 189","Québec",17,25,31,7,32,1,2,115,349
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 190","Québec",6,106,46,1,72,1,8,240,345
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 191","Québec",13,68,71,3,67,3,6,231,440
