Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Blaine Calkins,Sarah Palmer,Lauren Pezzella,Tiffany Rose,Laura Lynn Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 56","Eckville",183,1,1,2,5,0,192,324
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 57","Lacombe",132,2,14,11,14,0,173,424
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 58","Lacombe",190,10,29,22,13,2,266,606
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 59","Lacombe",205,13,36,25,12,3,294,639
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 60","Lacombe",151,6,20,18,10,1,206,507
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 61","Lacombe",151,9,17,15,12,1,205,512
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 62","Lacombe",148,3,9,6,7,0,173,398
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 63","Lacombe",171,9,22,13,7,1,223,465
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 64","Lacombe",155,3,13,12,9,1,193,421
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 65","Lacombe",176,8,35,8,7,0,234,444
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 66","Lacombe",138,4,16,11,6,1,176,385
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 67","Lacombe",133,4,12,12,15,3,179,376
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 68","Lacombe",122,3,16,16,4,2,163,378
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 69","Lacombe",116,4,15,12,9,0,156,388
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 70","Lacombe",197,5,21,14,13,0,250,596
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 71","Lacombe",129,14,13,8,11,0,175,436
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 72","Lacombe",122,2,20,8,5,1,158,358
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 73","Lacombe",135,6,20,6,14,0,181,426
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 74","Lacombe",129,7,22,12,4,0,174,437
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 75","Lacombe",105,6,12,11,12,3,149,378
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 76","Lacombe",125,6,15,10,12,1,169,426
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 77","Lacombe",186,3,14,15,12,3,233,471
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 78","Lacombe",175,1,14,11,8,1,210,483
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 79","Lacombe County",213,1,9,5,16,1,245,396
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 80","Lacombe County",147,4,6,10,10,0,177,366
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 81","Lacombe County",108,4,9,5,4,0,130,268
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 82","Blackfalds",117,3,6,1,8,0,135,305
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 83","Clive",187,4,8,3,11,0,213,328
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 84","Clive",161,2,4,5,14,0,186,333
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 85","Clive",196,3,6,3,11,0,219,387
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 86","Blackfalds",161,2,6,9,11,0,189,393
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 87","Blackfalds",218,1,19,6,5,0,249,585
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 88","Blackfalds",202,5,32,8,7,1,255,638
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 89","Blackfalds",155,4,15,5,14,0,193,510
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 90","Blackfalds",180,4,15,4,5,0,208,492
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 91","Blackfalds",158,2,17,10,8,0,195,481
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 92","Blackfalds",182,5,23,7,6,2,225,548
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 93","Blackfalds",170,0,15,9,4,0,198,436
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 94","Blackfalds",180,6,23,12,8,0,229,534
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 95","Blackfalds",176,3,13,3,4,0,199,451
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 96","Eckville",133,3,4,4,2,1,147,405
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 97","Sylvan Lake",142,2,14,7,3,0,168,449
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 98","Sylvan Lake",169,3,18,13,6,0,209,547
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 99","Jarvis Bay",139,2,7,3,6,0,157,445
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 100","Sylvan Lake",136,6,19,7,4,0,172,484
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 101","Sylvan Lake",200,5,30,13,8,1,257,569
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 102","Sylvan Lake",143,8,21,22,8,0,202,497
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 103","Sylvan Lake",146,0,9,7,2,1,165,451
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 104","Sylvan Lake",165,1,13,10,7,0,196,499
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 105","Sylvan Lake",190,5,21,13,11,3,243,624
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 106","Red Deer County",191,1,18,6,2,0,218,514
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 107","Mirror",116,3,2,3,7,0,131,228
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 108","Mirror",141,5,6,3,4,0,159,248
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 109","Mirror",197,13,18,10,12,0,250,391
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 110","Sylvan Lake",208,3,15,5,10,2,243,538
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 111","Sylvan Lake",138,3,13,3,2,1,160,421
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 112","Sylvan Lake",160,9,20,13,10,0,212,474
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 113","Sylvan Lake",169,5,33,6,10,1,224,586
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 114","Sylvan Lake",157,6,11,7,4,0,185,461
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 115","Benalto",157,1,9,10,4,0,181,417
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 116","Sylvan Lake",176,4,7,10,9,0,206,448
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 117","Sylvan Lake",160,5,16,8,8,2,199,505
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 118","Sylvan Lake",175,5,13,16,3,0,212,476
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 119","Sylvan Lake",160,4,17,12,4,1,198,528
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 120","Sylvan Lake",188,4,13,11,4,0,220,487
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 121","Sylvan Lake",197,5,27,11,5,0,245,584
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 122","Sylvan Lake",131,5,10,16,9,0,171,410
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 123","Sylvan Lake",142,2,11,7,6,0,168,362
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 124","Red Deer County",183,3,17,12,3,0,218,471
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 125","Red Deer County",85,4,5,7,3,0,104,205
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 126","Red Deer County",149,6,9,3,6,0,173,261
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 127","Red Deer County",147,2,9,3,6,0,167,403
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 128","Red Deer County",136,6,5,10,5,0,162,246
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 129","Red Deer County",186,4,9,7,7,0,213,368
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 130","Blackfalds",140,1,4,6,8,0,159,380
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 131","Blackfalds",203,6,7,8,9,0,233,490
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 132","Blackfalds",153,0,7,1,5,0,166,439
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 133","Blackfalds",169,1,11,8,3,0,192,477
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 134","Blackfalds",157,2,5,6,4,0,174,383
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 135","Blackfalds",217,1,12,11,8,0,249,587
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 136","Red Deer",113,5,17,12,6,4,157,378
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 137","Red Deer",172,1,9,14,10,2,208,398
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 138","Red Deer",158,9,14,13,6,3,203,455
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 139","Red Deer",196,6,11,9,8,0,230,474
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 140","Red Deer",214,4,17,7,5,1,248,487
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 141","Red Deer",159,5,14,3,2,0,183,380
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 142","Red Deer",154,3,11,10,7,2,187,370
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 143","Red Deer",145,8,18,12,9,1,193,365
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 144","Red Deer",160,5,30,23,6,2,226,486
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 145","Red Deer",135,9,26,15,7,0,192,397
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 146","Red Deer",99,3,15,10,4,0,131,374
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 147","Red Deer",130,5,19,17,6,2,179,406
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 148","Red Deer",118,2,17,17,5,1,160,431
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 149","Red Deer",110,3,22,4,6,0,145,351
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 150","Red Deer",173,4,14,14,12,0,217,459
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 151","Red Deer",146,2,25,12,8,2,195,500
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 152","Red Deer",135,6,17,17,9,0,184,389
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 153","Red Deer",124,6,23,12,7,0,172,442
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 154","Red Deer",124,2,24,9,7,1,167,387
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 155","Red Deer",156,3,14,5,3,0,181,446
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 156","Red Deer",143,4,27,19,10,1,204,428
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 157","Red Deer",155,4,14,13,5,1,192,434
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 158","Red Deer",125,6,22,17,4,1,175,400
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 159","Red Deer",129,5,12,12,4,1,163,375
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 160","Red Deer",124,3,26,8,4,1,166,432
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 161","Red Deer",134,12,17,16,6,5,190,455
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 162","Red Deer",165,3,15,10,12,1,206,436
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 163","Red Deer",156,6,20,13,8,0,203,493
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 164","Red Deer",160,12,43,12,5,0,232,506
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 165","Red Deer",132,20,34,14,5,2,207,513
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 166","Red Deer",121,4,25,8,8,0,166,410
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 167","Red Deer",85,6,28,11,2,0,132,353
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 168","Red Deer",103,5,15,15,5,3,146,391
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 169","Red Deer",88,2,13,17,3,2,125,319
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 170","Red Deer",147,6,24,11,2,2,192,498
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 171","Red Deer",122,4,17,7,1,1,152,374
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 172","Red Deer",155,3,20,16,1,0,195,392
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 173","Red Deer",134,10,28,17,17,0,206,474
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 174","Red Deer",119,8,15,12,5,0,159,430
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 175","Red Deer",112,4,14,12,10,1,153,374
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 176","Red Deer County",168,5,24,18,7,0,222,433
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 177","Red Deer County",211,8,11,5,7,0,242,431
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 178","Red Deer County",181,5,25,21,14,1,247,505
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 179","Red Deer County",152,8,21,19,2,0,202,361
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 180","Red Deer",251,8,27,29,13,0,328,539
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 181","Red Deer County",141,8,25,15,4,0,193,387
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 182","Red Deer",212,2,33,27,6,0,280,505
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 183","Red Deer",202,6,25,13,13,0,259,418
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 184","Red Deer",135,4,35,31,6,2,213,390
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 185","Red Deer",185,3,24,21,1,0,234,448
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 186","Red Deer",175,8,21,24,7,0,235,394
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 187","Red Deer",223,4,18,10,11,0,266,460
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 188","Red Deer",114,3,15,7,4,0,143,339
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 189","Red Deer",166,4,27,15,11,0,223,368
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 190","Red Deer",179,2,20,10,6,1,218,495
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 191","Red Deer",138,7,18,10,6,5,184,337
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 192","Red Deer",141,7,23,10,8,1,190,381
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 193","Red Deer",123,10,11,14,10,1,169,348
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 194","Red Deer",110,2,17,11,4,0,144,327
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 195","Red Deer",86,12,27,8,9,0,142,422
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 196","Red Deer",91,6,28,11,6,3,145,439
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 197","Red Deer",70,4,15,11,4,1,105,336
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 198","Red Deer",113,9,33,19,9,0,183,354
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 199","Red Deer",65,6,14,8,1,1,95,315
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 200","Red Deer",86,4,23,10,9,0,132,403
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 201","Red Deer",87,8,32,30,3,1,161,413
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 202","Red Deer",83,2,21,14,3,0,123,346
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 203","Red Deer",87,4,24,16,6,0,137,431
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 204","Red Deer",125,15,29,31,8,1,209,350
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 205","Red Deer",185,8,38,31,12,1,275,497
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 206","Red Deer",160,1,21,20,8,3,213,387
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 207","Red Deer",232,9,27,18,8,0,294,546
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 208","Red Deer",105,6,32,20,3,2,168,353
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 209","Red Deer",137,14,34,12,11,0,208,440
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 210","Red Deer",197,5,42,22,8,0,274,579
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 211","Red Deer",82,5,27,18,5,0,137,361
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 212","Red Deer",157,6,28,13,5,0,209,403
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 213","Red Deer",140,5,21,31,5,2,204,405
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 214","Alix",141,8,9,11,18,1,188,382
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 215","Alix",143,1,6,4,11,1,166,338
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 216","Alix",155,3,9,1,6,1,175,344
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 217","Haynes",255,7,9,6,23,0,300,511
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 400","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,89
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 401","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507B,,,,,,,107
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 500","Mobile poll/Bureau itinérant",68,3,1,7,4,1,84,95
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 501","Mobile poll/Bureau itinérant",47,0,6,7,1,8,69,69
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 502","Mobile poll/Bureau itinérant",36,1,5,2,1,1,46,58
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 503","Mobile poll/Bureau itinérant",75,5,3,10,4,1,98,121
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 504A","Mobile poll/Bureau itinérant",64,3,4,7,1,2,81,97
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,24
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 505A","Mobile poll/Bureau itinérant",59,1,2,5,0,2,69,81
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 505B","Mobile poll/Bureau itinérant",61,5,15,15,5,4,105,27
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 505C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,26
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 506A","Mobile poll/Bureau itinérant",29,8,1,14,2,1,55,72
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 506B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,,67
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 507A","Mobile poll/Bureau itinérant",73,3,7,17,6,5,111,100
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 507B","Mobile poll/Bureau itinérant",58,2,10,18,4,0,92,22
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 508","Mobile poll/Bureau itinérant",133,5,10,13,1,2,164,202
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 600","Rimbey",833,20,10,16,31,2,912,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 601","Rimbey",954,10,33,35,35,4,1071,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 602","Ponoka County",725,15,28,20,26,1,815,
