Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Marc Bélanger,Vincent Cormier,Dominic LeBlanc,Nancy Mercier,Laura Reinsborough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 95","Shediac",14,37,80,6,27,0,164,463
13002,"Beauséjour/Beauséjour"," 96","Shediac",18,21,69,0,45,1,154,369
13002,"Beauséjour/Beauséjour"," 97","Shediac",15,20,80,6,25,2,148,363
13002,"Beauséjour/Beauséjour"," 98","Shediac",11,24,84,4,45,0,168,398
13002,"Beauséjour/Beauséjour"," 99","Shediac",24,39,161,3,63,2,292,665
13002,"Beauséjour/Beauséjour"," 100","Shediac",10,14,62,1,24,1,112,333
13002,"Beauséjour/Beauséjour"," 101","Shediac",14,20,114,4,55,2,209,520
13002,"Beauséjour/Beauséjour"," 102","Shediac",18,27,120,4,49,2,220,532
13002,"Beauséjour/Beauséjour"," 103","Shediac",14,29,96,3,38,4,184,374
13002,"Beauséjour/Beauséjour"," 104","Shediac",10,23,86,3,31,4,157,417
13002,"Beauséjour/Beauséjour"," 105","Shediac Cape",17,53,88,1,44,1,204,316
13002,"Beauséjour/Beauséjour"," 106","Shediac Cape",7,22,43,2,19,0,93,287
13002,"Beauséjour/Beauséjour"," 107","Shediac",14,33,94,8,27,0,176,405
13002,"Beauséjour/Beauséjour"," 108","Shediac Cape",20,59,72,11,52,0,214,361
13002,"Beauséjour/Beauséjour"," 109","Saint-Philippe",19,37,47,7,40,0,150,275
13002,"Beauséjour/Beauséjour"," 110","Saint-Philippe",20,30,25,6,28,0,109,232
13002,"Beauséjour/Beauséjour"," 111","Saint-Paul",19,71,91,9,44,3,237,367
13002,"Beauséjour/Beauséjour"," 112","Saint-Paul",33,51,91,12,43,0,230,355
13002,"Beauséjour/Beauséjour"," 113","Haute-Aboujagane",13,23,137,7,60,4,244,419
13002,"Beauséjour/Beauséjour"," 114","Haute-Aboujagane",11,40,92,3,79,3,228,423
13002,"Beauséjour/Beauséjour"," 115","Baie-Verte",10,53,40,3,61,4,171,300
13002,"Beauséjour/Beauséjour"," 116","Shaw Brook",14,72,37,7,36,1,167,364
13002,"Beauséjour/Beauséjour"," 117","LeBlancville",16,45,62,12,48,1,184,381
13002,"Beauséjour/Beauséjour"," 118","LeBlancville",36,51,43,3,31,1,165,346
13002,"Beauséjour/Beauséjour"," 119","Cap Breton & Scotch Settlement",19,58,86,0,45,0,208,416
13002,"Beauséjour/Beauséjour"," 120","Cap Breton & Scotch Settlement",19,71,68,9,58,2,227,431
13002,"Beauséjour/Beauséjour"," 121","Shaw Brook",26,55,41,10,50,3,185,349
13002,"Beauséjour/Beauséjour"," 122","Ammon",18,59,43,2,27,0,149,297
13002,"Beauséjour/Beauséjour"," 123","Ammon",24,73,51,8,49,2,207,417
13002,"Beauséjour/Beauséjour"," 124","Scoudouc",16,37,83,3,34,0,173,287
13002,"Beauséjour/Beauséjour"," 125","Scoudouc",29,45,134,3,60,0,271,452
13002,"Beauséjour/Beauséjour"," 126","Malakoff",21,53,113,7,42,0,236,411
13002,"Beauséjour/Beauséjour"," 127","Lakeville",8,30,35,4,14,0,91,226
13002,"Beauséjour/Beauséjour"," 128","Lakeville",13,24,24,1,18,2,82,235
13002,"Beauséjour/Beauséjour"," 129","Lakeville",16,40,56,4,29,1,146,358
13002,"Beauséjour/Beauséjour"," 130","Lakeville",17,29,31,7,22,1,107,299
13002,"Beauséjour/Beauséjour"," 131","Lakeville",16,60,44,5,31,1,157,353
13002,"Beauséjour/Beauséjour"," 132","Midgic",14,54,47,0,78,5,198,374
13002,"Beauséjour/Beauséjour"," 133","Gallagher Ridge",26,68,39,8,39,1,181,366
13002,"Beauséjour/Beauséjour"," 134","Stonehurst",33,123,64,17,56,0,293,449
13002,"Beauséjour/Beauséjour"," 135","Dieppe",38,54,82,3,37,2,216,477
13002,"Beauséjour/Beauséjour"," 136","Dieppe",29,45,100,3,43,2,222,585
13002,"Beauséjour/Beauséjour"," 137","Dieppe",39,56,71,10,31,2,209,533
13002,"Beauséjour/Beauséjour"," 138","Dieppe",28,25,99,6,46,1,205,587
13002,"Beauséjour/Beauséjour"," 139","Dieppe",31,47,142,3,46,2,271,627
13002,"Beauséjour/Beauséjour"," 140","Dieppe",14,27,117,2,38,1,199,472
13002,"Beauséjour/Beauséjour"," 141","Dieppe",17,25,113,3,38,0,196,449
13002,"Beauséjour/Beauséjour"," 142","Dieppe",23,31,103,1,38,0,196,464
13002,"Beauséjour/Beauséjour"," 143","Dieppe",17,17,105,1,38,2,180,423
13002,"Beauséjour/Beauséjour"," 144","Dieppe",11,23,90,1,37,0,162,409
13002,"Beauséjour/Beauséjour"," 145","Dieppe",30,49,142,1,41,1,264,624
13002,"Beauséjour/Beauséjour"," 146","Dieppe",16,18,98,1,26,0,159,414
13002,"Beauséjour/Beauséjour"," 147","Dieppe",14,44,94,2,18,0,172,430
13002,"Beauséjour/Beauséjour"," 148","Dieppe",7,32,107,1,28,0,175,536
13002,"Beauséjour/Beauséjour"," 149","Dieppe",21,38,118,3,33,1,214,541
13002,"Beauséjour/Beauséjour"," 150","Dieppe",21,28,122,3,40,0,214,514
13002,"Beauséjour/Beauséjour"," 151","Dieppe",23,23,122,0,32,0,200,533
13002,"Beauséjour/Beauséjour"," 152","Dieppe",42,45,140,5,44,2,278,592
13002,"Beauséjour/Beauséjour"," 153","Meadow Brook",14,47,81,1,43,0,186,431
13002,"Beauséjour/Beauséjour"," 154","Dieppe",41,40,118,7,38,2,246,543
13002,"Beauséjour/Beauséjour"," 155","Dieppe",27,27,95,7,32,1,189,488
13002,"Beauséjour/Beauséjour"," 156","Dieppe",24,39,122,5,49,4,243,564
13002,"Beauséjour/Beauséjour"," 157","Dieppe",23,33,110,3,36,2,207,464
13002,"Beauséjour/Beauséjour"," 158","Dieppe",21,55,118,5,54,1,254,515
13002,"Beauséjour/Beauséjour"," 159","Memramcook Est",9,17,59,5,33,0,123,300
13002,"Beauséjour/Beauséjour"," 160","Memramcook",3,17,44,3,47,0,114,306
13002,"Beauséjour/Beauséjour"," 161","College Bridge",5,10,49,5,31,0,100,234
13002,"Beauséjour/Beauséjour"," 162","College Bridge",11,8,50,3,16,0,88,246
13002,"Beauséjour/Beauséjour"," 163","Pointe-de-Bute",10,31,21,3,30,2,97,148
13002,"Beauséjour/Beauséjour"," 164","Pointe-de-Bute",20,56,37,8,55,2,178,291
13002,"Beauséjour/Beauséjour"," 165","Sackville",27,37,43,6,63,2,178,435
13002,"Beauséjour/Beauséjour"," 166","Sackville",14,29,30,3,59,0,135,355
13002,"Beauséjour/Beauséjour"," 167","Memramcook-Ouest",13,26,65,1,37,0,142,352
13002,"Beauséjour/Beauséjour"," 168","Memramcook-Ouest",12,22,69,3,33,0,139,343
13002,"Beauséjour/Beauséjour"," 169","College Bridge",11,16,65,4,31,0,127,296
13002,"Beauséjour/Beauséjour"," 170","McGinleys Corner",12,10,57,3,38,0,120,309
13002,"Beauséjour/Beauséjour"," 171","McGinleys Corner",6,18,71,1,25,0,121,287
13002,"Beauséjour/Beauséjour"," 172","Memramcook",11,15,80,4,30,0,140,371
13002,"Beauséjour/Beauséjour"," 173","Cormier Cove",6,11,69,1,38,0,125,274
