Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Amanda Kistindey,John Kittredge,Laurel MacDowell,Rob Oliphant,Ian Prittie,Yvonne Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Don Valley West/Don Valley-Ouest"," 56","Toronto",7,3,17,118,3,39,3,190,338
35021,"Don Valley West/Don Valley-Ouest"," 57","North York",8,0,16,47,1,128,1,201,440
35021,"Don Valley West/Don Valley-Ouest"," 58","North York",10,0,4,69,3,112,0,198,452
35021,"Don Valley West/Don Valley-Ouest"," 59","North York",4,4,9,125,3,135,2,282,603
35021,"Don Valley West/Don Valley-Ouest"," 60","North York",11,1,14,65,1,130,1,223,470
35021,"Don Valley West/Don Valley-Ouest"," 61","Toronto",11,1,20,147,1,65,1,246,452
35021,"Don Valley West/Don Valley-Ouest"," 62","Toronto",8,1,12,90,2,84,0,197,444
35021,"Don Valley West/Don Valley-Ouest"," 63","Toronto",8,0,19,89,4,39,1,160,359
35021,"Don Valley West/Don Valley-Ouest"," 64","Toronto",12,2,11,73,1,61,0,160,375
35021,"Don Valley West/Don Valley-Ouest"," 65","Toronto",4,0,8,64,0,75,0,151,377
35021,"Don Valley West/Don Valley-Ouest"," 66","Toronto",10,0,5,105,2,94,1,217,436
35021,"Don Valley West/Don Valley-Ouest"," 67","Toronto",10,0,4,113,2,45,1,175,413
35021,"Don Valley West/Don Valley-Ouest"," 68","East York",9,0,13,99,1,45,0,167,446
35021,"Don Valley West/Don Valley-Ouest"," 69","East York",8,1,35,97,2,50,0,193,415
35021,"Don Valley West/Don Valley-Ouest"," 70","East York",6,3,14,121,0,67,0,211,481
35021,"Don Valley West/Don Valley-Ouest"," 71","East York",14,1,7,119,3,85,0,229,450
35021,"Don Valley West/Don Valley-Ouest"," 72","East York",12,3,39,103,3,47,2,209,417
35021,"Don Valley West/Don Valley-Ouest"," 73","East York",16,2,42,155,5,52,4,276,553
35021,"Don Valley West/Don Valley-Ouest"," 74","North York",8,0,19,147,1,105,0,280,494
35021,"Don Valley West/Don Valley-Ouest"," 75","North York",7,0,7,115,7,59,0,195,354
35021,"Don Valley West/Don Valley-Ouest"," 76","North York",Merged with No./Fusionné avec le n°78B,,,,,,,,121
35021,"Don Valley West/Don Valley-Ouest"," 77","East York",18,2,37,221,3,103,1,385,398
35021,"Don Valley West/Don Valley-Ouest"," 78A","North York",10,1,19,108,0,80,3,221,485
35021,"Don Valley West/Don Valley-Ouest"," 78B","North York",8,0,15,108,3,68,1,203,303
35021,"Don Valley West/Don Valley-Ouest"," 79","East York",Merged with No./Fusionné avec le n°77,,,,,,,,458
35021,"Don Valley West/Don Valley-Ouest"," 80","East York",9,0,13,108,1,70,0,201,421
35021,"Don Valley West/Don Valley-Ouest"," 81","East York",8,0,9,124,2,71,0,214,451
35021,"Don Valley West/Don Valley-Ouest"," 82","East York",5,2,9,53,0,19,5,93,191
35021,"Don Valley West/Don Valley-Ouest"," 83","Toronto",13,0,31,156,3,71,0,274,489
35021,"Don Valley West/Don Valley-Ouest"," 84","Toronto",3,2,10,124,0,67,1,207,397
35021,"Don Valley West/Don Valley-Ouest"," 85","Toronto",17,0,12,137,0,48,1,215,417
35021,"Don Valley West/Don Valley-Ouest"," 86","East York",5,0,24,140,2,60,1,232,433
35021,"Don Valley West/Don Valley-Ouest"," 87","Toronto",13,1,18,97,1,51,3,184,465
35021,"Don Valley West/Don Valley-Ouest"," 88","Toronto",18,1,26,115,4,57,0,221,477
35021,"Don Valley West/Don Valley-Ouest"," 89","Toronto",11,0,15,99,1,41,0,167,353
35021,"Don Valley West/Don Valley-Ouest"," 90","Toronto",7,4,39,133,8,41,8,240,528
35021,"Don Valley West/Don Valley-Ouest"," 91A","East York",4,3,13,177,2,22,7,228,391
35021,"Don Valley West/Don Valley-Ouest"," 91B","East York",2,3,28,142,4,17,1,197,343
35021,"Don Valley West/Don Valley-Ouest"," 92","East York",1,1,9,117,1,14,0,143,415
35021,"Don Valley West/Don Valley-Ouest"," 93","East York",11,1,8,119,1,58,1,199,452
35021,"Don Valley West/Don Valley-Ouest"," 94","East York",8,1,27,136,1,76,1,250,490
35021,"Don Valley West/Don Valley-Ouest"," 95","East York",8,0,26,118,3,65,0,220,403
35021,"Don Valley West/Don Valley-Ouest"," 96","East York",11,0,11,115,1,60,1,199,336
35021,"Don Valley West/Don Valley-Ouest"," 97","Toronto",12,4,46,240,3,71,2,378,648
35021,"Don Valley West/Don Valley-Ouest"," 98","Toronto",10,1,28,125,2,52,1,219,431
35021,"Don Valley West/Don Valley-Ouest"," 99","Toronto",11,2,18,72,0,31,0,134,294
35021,"Don Valley West/Don Valley-Ouest"," 100","Toronto",13,3,49,133,3,48,1,250,545
35021,"Don Valley West/Don Valley-Ouest"," 101","Toronto",16,1,43,160,1,47,6,274,603
35021,"Don Valley West/Don Valley-Ouest"," 102","Toronto",3,1,17,85,3,24,1,134,291
35021,"Don Valley West/Don Valley-Ouest"," 103","Toronto",13,0,23,104,0,44,0,184,411
35021,"Don Valley West/Don Valley-Ouest"," 104","East York",14,1,17,125,0,57,1,215,438
35021,"Don Valley West/Don Valley-Ouest"," 105","East York",17,0,25,236,3,99,6,386,400
35021,"Don Valley West/Don Valley-Ouest"," 106","East York",Merged with No./Fusionné avec le n°105,,,,,,,,368
35021,"Don Valley West/Don Valley-Ouest"," 107","Toronto",12,5,39,84,2,17,0,159,349
35021,"Don Valley West/Don Valley-Ouest"," 108","Toronto",20,3,34,159,3,33,3,255,500
35021,"Don Valley West/Don Valley-Ouest"," 109","Toronto",13,3,37,113,3,30,0,199,397
35021,"Don Valley West/Don Valley-Ouest"," 110","East York",3,2,29,179,5,49,6,273,570
35021,"Don Valley West/Don Valley-Ouest"," 111","East York",7,2,22,159,8,41,7,246,473
35021,"Don Valley West/Don Valley-Ouest"," 112","East York",7,3,19,146,1,25,0,201,438
35021,"Don Valley West/Don Valley-Ouest"," 113","East York",6,4,21,160,4,37,1,233,522
35021,"Don Valley West/Don Valley-Ouest"," 114","Toronto",11,0,13,119,0,51,2,196,416
35021,"Don Valley West/Don Valley-Ouest"," 115","Toronto",10,1,17,108,1,56,1,194,407
35021,"Don Valley West/Don Valley-Ouest"," 116","Toronto",11,3,21,151,3,76,0,265,471
35021,"Don Valley West/Don Valley-Ouest"," 117","Toronto",23,1,21,180,2,55,3,285,445
35021,"Don Valley West/Don Valley-Ouest"," 118","Toronto",11,1,23,147,0,56,1,239,403
35021,"Don Valley West/Don Valley-Ouest"," 119","Toronto",14,1,11,167,3,61,0,257,418
35021,"Don Valley West/Don Valley-Ouest"," 120A","Toronto",8,2,35,88,2,23,3,161,343
35021,"Don Valley West/Don Valley-Ouest"," 120B","Toronto",14,0,23,98,3,31,0,169,380
35021,"Don Valley West/Don Valley-Ouest"," 121","Toronto",11,1,18,97,4,40,0,171,346
35021,"Don Valley West/Don Valley-Ouest"," 122","Toronto",16,3,27,114,2,30,3,195,488
35021,"Don Valley West/Don Valley-Ouest"," 123","East York",17,2,35,215,3,129,0,401,432
35021,"Don Valley West/Don Valley-Ouest"," 124","East York",Merged with No./Fusionné avec le n°123,,,,,,,,399
35021,"Don Valley West/Don Valley-Ouest"," 125","Toronto",16,3,34,121,1,59,5,239,494
35021,"Don Valley West/Don Valley-Ouest"," 126","Toronto",11,2,28,143,3,66,0,253,453
35021,"Don Valley West/Don Valley-Ouest"," 127","Toronto",19,2,19,128,1,61,0,230,386
35021,"Don Valley West/Don Valley-Ouest"," 128","Toronto",16,0,23,148,1,57,1,246,419
35021,"Don Valley West/Don Valley-Ouest"," 129","Toronto",18,0,15,185,2,70,0,290,474
35021,"Don Valley West/Don Valley-Ouest"," 130","East York",10,0,10,122,1,48,0,191,370
35021,"Don Valley West/Don Valley-Ouest"," 131","East York",23,1,17,149,5,82,0,277,525
35021,"Don Valley West/Don Valley-Ouest"," 132","Toronto",16,1,27,165,2,51,3,265,502
35021,"Don Valley West/Don Valley-Ouest"," 133","East York",22,1,27,122,2,55,0,229,509
35021,"Don Valley West/Don Valley-Ouest"," 134","East York",10,0,17,126,1,75,1,230,461
35021,"Don Valley West/Don Valley-Ouest"," 135","East York",10,1,25,146,1,54,1,238,545
35021,"Don Valley West/Don Valley-Ouest"," 136","East York",17,0,17,138,2,95,0,269,596
35021,"Don Valley West/Don Valley-Ouest"," 137","East York",17,2,26,122,2,45,1,215,516
35021,"Don Valley West/Don Valley-Ouest"," 138","Toronto",11,0,19,126,0,56,1,213,384
35021,"Don Valley West/Don Valley-Ouest"," 139","Toronto",9,0,23,164,1,46,3,246,410
35021,"Don Valley West/Don Valley-Ouest"," 140","Toronto",21,0,31,151,2,56,5,266,482
35021,"Don Valley West/Don Valley-Ouest"," 141","Toronto",15,1,18,119,3,53,1,210,427
35021,"Don Valley West/Don Valley-Ouest"," 142","East York",12,1,9,93,2,89,0,206,371
35021,"Don Valley West/Don Valley-Ouest"," 143","East York",8,0,9,111,1,76,0,205,332
35021,"Don Valley West/Don Valley-Ouest"," 400","North York",7,7,18,86,1,49,2,170,369
35021,"Don Valley West/Don Valley-Ouest"," 401","East York",6,0,35,109,2,57,3,212,304
35021,"Don Valley West/Don Valley-Ouest"," 402","East York",12,2,24,152,0,72,4,266,417
35021,"Don Valley West/Don Valley-Ouest"," 403","East York",7,1,25,191,4,41,5,274,696
35021,"Don Valley West/Don Valley-Ouest"," 404","East York",7,2,29,167,2,38,2,247,696
35021,"Don Valley West/Don Valley-Ouest"," 405","Toronto",8,4,16,80,1,17,0,126,205
35021,"Don Valley West/Don Valley-Ouest"," 406","East York",2,2,10,221,1,10,3,249,543
35021,"Don Valley West/Don Valley-Ouest"," 407","East York",1,1,19,210,2,15,7,255,651
35021,"Don Valley West/Don Valley-Ouest"," 408","Toronto",16,1,33,158,2,36,0,246,478
35021,"Don Valley West/Don Valley-Ouest"," 409","Toronto",2,0,17,111,1,65,0,196,327
35021,"Don Valley West/Don Valley-Ouest"," 410","Toronto",10,1,11,75,0,29,1,127,238
35021,"Don Valley West/Don Valley-Ouest"," 411","East York",10,3,11,223,1,55,9,312,348
35021,"Don Valley West/Don Valley-Ouest"," 412","East York",Merged with No./Fusionné avec le n°411,,,,,,,,250
35021,"Don Valley West/Don Valley-Ouest"," 413","East York",1,3,7,166,0,12,2,191,534
35021,"Don Valley West/Don Valley-Ouest"," 414","East York",2,0,11,215,0,6,2,236,641
35021,"Don Valley West/Don Valley-Ouest"," 415","East York",1,1,14,257,0,14,3,290,734
35021,"Don Valley West/Don Valley-Ouest"," 416","East York",0,0,19,192,0,17,3,231,515
35021,"Don Valley West/Don Valley-Ouest"," 417","East York",2,1,13,256,1,14,6,293,792
35021,"Don Valley West/Don Valley-Ouest"," 418","East York",2,3,12,237,0,6,9,269,620
35021,"Don Valley West/Don Valley-Ouest"," 419","Toronto",5,5,18,55,1,18,1,103,241
35021,"Don Valley West/Don Valley-Ouest"," 500","Mobile poll/Bureau itinérant",3,6,8,47,1,9,3,77,102
35021,"Don Valley West/Don Valley-Ouest"," 600","North York",48,7,58,548,8,614,9,1292,
35021,"Don Valley West/Don Valley-Ouest"," 601","North York",33,2,45,399,5,529,8,1021,
35021,"Don Valley West/Don Valley-Ouest"," 602","North York",50,2,57,639,9,894,9,1660,
35021,"Don Valley West/Don Valley-Ouest"," 603","North York",25,3,50,475,6,753,5,1317,
35021,"Don Valley West/Don Valley-Ouest"," 604","Toronto",105,5,98,987,11,804,9,2019,
35021,"Don Valley West/Don Valley-Ouest"," 605","Toronto",61,7,114,729,20,260,5,1196,
35021,"Don Valley West/Don Valley-Ouest"," 606","East York",79,7,146,819,11,275,2,1339,
35021,"Don Valley West/Don Valley-Ouest"," 607","East York",78,9,75,929,12,549,2,1654,
35021,"Don Valley West/Don Valley-Ouest"," 608","East York",72,1,69,888,8,394,8,1440,
35021,"Don Valley West/Don Valley-Ouest"," 609","East York",78,9,102,981,18,442,4,1634,
35021,"Don Valley West/Don Valley-Ouest"," 610","East York",41,7,85,1585,16,197,31,1962,
35021,"Don Valley West/Don Valley-Ouest",,Group 1/Groupe 1, 27,2,24,225,0,77,13,368,551
35021,"Don Valley West/Don Valley-Ouest",,Group 2/Groupe 2, 101,6,141,899,14,389,38,1588,
