Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ashley Duguay,Robert Eastcott,Vanessa Hamilton,Terry Hayward,Rebecca Hein,Robin Lussier,Larry Maguire,Bill Tiessen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 32","Brandon",62,2,1,42,4,5,116,32,0,264,456
46001,"Brandon--Souris/Brandon--Souris"," 33","Brandon",74,1,0,59,3,1,151,35,0,324,503
46001,"Brandon--Souris/Brandon--Souris"," 34","Brandon",79,0,1,31,0,5,103,22,1,242,464
46001,"Brandon--Souris/Brandon--Souris"," 35","Brandon",58,0,1,19,0,4,79,11,2,174,440
46001,"Brandon--Souris/Brandon--Souris"," 36","Brandon",72,1,5,39,1,4,138,15,2,277,521
46001,"Brandon--Souris/Brandon--Souris"," 37","Brandon",98,0,0,53,3,3,118,38,2,315,619
46001,"Brandon--Souris/Brandon--Souris"," 38","Brandon",99,0,0,47,1,7,89,42,0,285,500
46001,"Brandon--Souris/Brandon--Souris"," 39","Brandon",62,0,0,18,1,0,72,15,0,168,449
46001,"Brandon--Souris/Brandon--Souris"," 40","Brandon",34,1,1,26,2,0,36,19,1,120,388
46001,"Brandon--Souris/Brandon--Souris"," 41","Brandon",24,0,1,28,3,2,51,7,0,116,404
46001,"Brandon--Souris/Brandon--Souris"," 42","Brandon",45,1,1,34,0,3,79,37,1,201,358
46001,"Brandon--Souris/Brandon--Souris"," 43","Brandon",44,1,0,14,2,1,38,17,0,117,322
46001,"Brandon--Souris/Brandon--Souris"," 44","Brandon",47,1,2,27,0,5,96,19,0,197,415
46001,"Brandon--Souris/Brandon--Souris"," 45","Brandon",64,3,0,52,2,6,75,19,0,221,420
46001,"Brandon--Souris/Brandon--Souris"," 46","Brandon",62,1,2,22,5,5,57,28,1,183,467
46001,"Brandon--Souris/Brandon--Souris"," 47","Brandon",56,0,3,33,1,3,65,19,0,180,541
46001,"Brandon--Souris/Brandon--Souris"," 48","Brandon",35,0,1,30,2,1,63,13,3,148,402
46001,"Brandon--Souris/Brandon--Souris"," 49","Brandon",56,1,1,51,1,3,140,20,0,273,490
46001,"Brandon--Souris/Brandon--Souris"," 50","Brandon",49,0,1,42,1,2,123,19,1,238,416
46001,"Brandon--Souris/Brandon--Souris"," 51","Brandon",51,0,2,53,0,3,150,24,1,284,463
46001,"Brandon--Souris/Brandon--Souris"," 52","Brandon",53,0,2,51,2,2,99,33,4,246,528
46001,"Brandon--Souris/Brandon--Souris"," 53","Brandon",50,1,1,42,0,6,122,24,0,246,546
46001,"Brandon--Souris/Brandon--Souris"," 54","Brandon",34,0,0,14,1,1,46,5,0,101,319
46001,"Brandon--Souris/Brandon--Souris"," 55","Brandon",45,1,1,20,1,9,76,15,1,169,524
46001,"Brandon--Souris/Brandon--Souris"," 56","Brandon",63,0,0,40,2,8,127,26,0,266,507
46001,"Brandon--Souris/Brandon--Souris"," 57","Brandon",68,1,1,47,1,5,133,26,1,283,587
46001,"Brandon--Souris/Brandon--Souris"," 58","Brandon",46,1,2,51,5,6,117,20,2,250,536
46001,"Brandon--Souris/Brandon--Souris"," 59","Brandon",49,0,1,21,1,2,130,18,0,222,554
46001,"Brandon--Souris/Brandon--Souris"," 60","Brandon",51,0,1,40,2,5,115,15,1,230,500
46001,"Brandon--Souris/Brandon--Souris"," 61","Brandon",60,1,2,39,1,7,129,18,0,257,499
46001,"Brandon--Souris/Brandon--Souris"," 62","Sinclair",5,1,2,3,0,3,95,3,0,112,315
46001,"Brandon--Souris/Brandon--Souris"," 63","Brandon",67,1,0,36,2,3,111,14,2,236,482
46001,"Brandon--Souris/Brandon--Souris"," 64","Brandon",45,0,0,48,3,0,170,25,0,291,496
46001,"Brandon--Souris/Brandon--Souris"," 65","Brandon",47,0,1,32,2,0,157,17,2,258,513
46001,"Brandon--Souris/Brandon--Souris"," 66","Brandon",37,1,3,54,0,5,168,26,2,296,563
46001,"Brandon--Souris/Brandon--Souris"," 67","Brandon",57,0,1,44,0,4,206,22,2,336,565
46001,"Brandon--Souris/Brandon--Souris"," 68","Brandon",69,1,2,42,2,4,98,13,0,231,600
46001,"Brandon--Souris/Brandon--Souris"," 69","Brandon",69,1,3,54,1,5,130,14,1,278,588
46001,"Brandon--Souris/Brandon--Souris"," 70","Brandon",44,0,0,64,1,2,162,14,0,287,578
46001,"Brandon--Souris/Brandon--Souris"," 71","Brandon",59,0,3,28,0,2,167,22,0,281,534
46001,"Brandon--Souris/Brandon--Souris"," 72","Brandon",50,1,0,40,0,1,168,11,1,272,583
46001,"Brandon--Souris/Brandon--Souris"," 73","Brandon",42,0,0,32,0,5,123,9,0,211,440
46001,"Brandon--Souris/Brandon--Souris"," 74","Brandon",30,0,0,15,1,0,105,12,1,164,342
46001,"Brandon--Souris/Brandon--Souris"," 75","Brandon",69,0,1,57,0,5,206,6,1,345,661
46001,"Brandon--Souris/Brandon--Souris"," 76","Alexander",42,1,0,33,1,10,180,22,0,289,415
46001,"Brandon--Souris/Brandon--Souris"," 77","Beresford",16,1,0,12,0,1,106,8,0,144,225
46001,"Brandon--Souris/Brandon--Souris"," 78","Sprucewoods",60,2,1,53,1,14,222,23,3,379,562
46001,"Brandon--Souris/Brandon--Souris"," 79","Chater",66,0,0,23,0,13,144,15,2,263,731
46001,"Brandon--Souris/Brandon--Souris"," 80","Sprucewoods",37,0,2,20,1,13,186,22,0,281,582
46001,"Brandon--Souris/Brandon--Souris"," 81","Brandon",31,1,2,47,0,7,109,10,1,208,372
46001,"Brandon--Souris/Brandon--Souris"," 82","Brandon",40,1,3,42,5,3,126,16,0,236,490
46001,"Brandon--Souris/Brandon--Souris"," 83","Brandon",40,0,2,41,0,3,214,12,1,313,619
46001,"Brandon--Souris/Brandon--Souris"," 84","Brandon",66,0,0,61,1,8,148,21,0,305,514
46001,"Brandon--Souris/Brandon--Souris"," 85","Brandon",45,0,1,70,2,3,176,16,6,319,569
46001,"Brandon--Souris/Brandon--Souris"," 86","Brandon",14,0,0,10,0,1,53,6,0,84,147
46001,"Brandon--Souris/Brandon--Souris"," 87A","Brandon",43,1,1,24,1,3,108,13,0,194,347
46001,"Brandon--Souris/Brandon--Souris"," 87B","Brandon",26,2,1,30,1,2,105,12,0,179,390
46001,"Brandon--Souris/Brandon--Souris"," 88","Beresford",19,0,0,16,0,4,133,8,0,180,276
46001,"Brandon--Souris/Brandon--Souris"," 89","Brandon Hills",19,0,1,19,1,4,144,14,0,202,349
46001,"Brandon--Souris/Brandon--Souris"," 90","Oak Lake",21,0,0,11,3,6,136,8,1,186,277
46001,"Brandon--Souris/Brandon--Souris"," 91","Oak Lake Beach",13,0,0,8,2,0,119,7,1,150,307
46001,"Brandon--Souris/Brandon--Souris"," 92","Oak Lake Beach",5,2,2,12,1,1,188,8,0,219,328
46001,"Brandon--Souris/Brandon--Souris"," 93","Oak Lake Reserve",34,0,0,14,1,0,5,0,0,54,105
46001,"Brandon--Souris/Brandon--Souris"," 94","Deleau",13,0,2,10,1,12,168,8,1,215,363
46001,"Brandon--Souris/Brandon--Souris"," 95","Souris",42,2,0,18,2,8,187,22,2,283,451
46001,"Brandon--Souris/Brandon--Souris"," 96","Souris",22,0,1,36,4,2,173,22,1,261,463
46001,"Brandon--Souris/Brandon--Souris"," 97","Souris",30,0,2,27,1,7,182,27,2,278,492
46001,"Brandon--Souris/Brandon--Souris"," 98","Carroll",16,0,1,13,0,3,140,6,0,179,317
46001,"Brandon--Souris/Brandon--Souris"," 99","Broomhill",3,2,2,4,0,3,125,3,0,142,249
46001,"Brandon--Souris/Brandon--Souris"," 100","Chater",20,0,1,11,1,3,184,19,1,240,376
46001,"Brandon--Souris/Brandon--Souris"," 101","Wawanesa",25,0,0,22,2,12,194,19,1,275,445
46001,"Brandon--Souris/Brandon--Souris"," 102","Nesbitt",21,0,0,22,2,3,171,24,2,245,434
46001,"Brandon--Souris/Brandon--Souris"," 103A","Pipestone",15,0,2,22,1,4,185,7,0,236,371
46001,"Brandon--Souris/Brandon--Souris"," 103B","Pipestone",25,0,0,15,0,0,206,10,1,257,374
46001,"Brandon--Souris/Brandon--Souris"," 104","Stockton",22,1,4,19,0,6,170,10,1,233,446
46001,"Brandon--Souris/Brandon--Souris"," 105","Stockton",15,0,4,31,0,6,170,16,2,244,427
46001,"Brandon--Souris/Brandon--Souris"," 106","Cypress River",18,0,0,7,0,3,143,9,0,180,282
46001,"Brandon--Souris/Brandon--Souris"," 107","Holland",19,1,3,27,8,8,272,20,1,359,539
46001,"Brandon--Souris/Brandon--Souris"," 108","Grande-Clairière",3,0,1,1,1,0,86,4,1,97,201
46001,"Brandon--Souris/Brandon--Souris"," 109","Argue",18,0,3,15,0,10,271,8,0,325,453
46001,"Brandon--Souris/Brandon--Souris"," 110","Elgin-Minto",27,0,2,16,3,3,220,19,0,290,469
46001,"Brandon--Souris/Brandon--Souris"," 111","Greenway",27,1,2,20,3,7,161,19,1,241,420
46001,"Brandon--Souris/Brandon--Souris"," 112","Dunrea",11,2,0,14,3,4,137,14,0,185,266
46001,"Brandon--Souris/Brandon--Souris"," 113","Belmont",15,0,0,11,2,3,198,24,3,256,390
46001,"Brandon--Souris/Brandon--Souris"," 114","Ninette",19,0,2,27,2,3,253,19,3,328,484
46001,"Brandon--Souris/Brandon--Souris"," 115","Melita",12,0,3,15,1,1,196,9,3,240,398
46001,"Brandon--Souris/Brandon--Souris"," 116","Melita",12,1,2,8,0,2,150,10,0,185,349
46001,"Brandon--Souris/Brandon--Souris"," 117","Melita",7,1,0,12,2,3,190,8,0,223,388
46001,"Brandon--Souris/Brandon--Souris"," 118","Deloraine",13,0,0,19,1,3,187,7,4,234,318
46001,"Brandon--Souris/Brandon--Souris"," 119","Deloraine",19,1,2,25,2,5,262,15,4,335,503
46001,"Brandon--Souris/Brandon--Souris"," 120","Pierson",13,0,2,12,1,1,245,3,0,277,447
46001,"Brandon--Souris/Brandon--Souris"," 121","Glenora",10,0,2,18,6,9,159,18,2,224,342
46001,"Brandon--Souris/Brandon--Souris"," 122","Whitewater",12,0,0,9,3,4,141,16,1,186,293
46001,"Brandon--Souris/Brandon--Souris"," 123","Boissevain",20,2,0,16,3,3,178,14,0,236,421
46001,"Brandon--Souris/Brandon--Souris"," 124","Boissevain",18,1,1,7,3,3,111,22,0,166,321
46001,"Brandon--Souris/Brandon--Souris"," 125","Boissevain",12,0,1,21,6,3,125,25,1,194,390
46001,"Brandon--Souris/Brandon--Souris"," 126","Mountainside",4,0,0,8,1,3,108,19,2,145,221
46001,"Brandon--Souris/Brandon--Souris"," 127","Medora-Wascada",6,2,2,10,0,4,167,9,1,201,301
46001,"Brandon--Souris/Brandon--Souris"," 128","Pilot Mound",7,0,1,11,5,4,146,15,1,190,274
46001,"Brandon--Souris/Brandon--Souris"," 129","Pilot Mound",23,1,0,33,4,5,170,53,1,290,459
46001,"Brandon--Souris/Brandon--Souris"," 130","Goodlands",9,0,5,9,8,4,163,10,2,210,333
46001,"Brandon--Souris/Brandon--Souris"," 131","Killarney",17,1,1,17,1,3,134,27,0,201,419
46001,"Brandon--Souris/Brandon--Souris"," 132","Ninga",10,0,0,12,3,1,140,20,0,186,363
46001,"Brandon--Souris/Brandon--Souris"," 133","Killarney",26,0,0,17,1,2,188,11,2,247,393
46001,"Brandon--Souris/Brandon--Souris"," 134","Killarney",14,0,1,16,1,2,102,16,0,152,289
46001,"Brandon--Souris/Brandon--Souris"," 135","Killarney",15,0,0,24,6,4,119,23,2,193,355
46001,"Brandon--Souris/Brandon--Souris"," 136","Ninga",14,0,1,4,8,5,221,16,2,271,516
46001,"Brandon--Souris/Brandon--Souris"," 137","Neelin",7,0,0,15,5,2,180,27,2,238,415
46001,"Brandon--Souris/Brandon--Souris"," 138","Neelin",1,1,0,3,2,0,100,7,1,115,220
46001,"Brandon--Souris/Brandon--Souris"," 139","Mather",11,0,0,12,3,2,137,59,3,227,422
46001,"Brandon--Souris/Brandon--Souris"," 140","Crystal City",8,0,0,10,7,8,220,45,2,300,493
46001,"Brandon--Souris/Brandon--Souris"," 400","Cornwallis",5,0,0,18,1,0,64,5,1,94,115
46001,"Brandon--Souris/Brandon--Souris"," 401","Brandon",9,2,1,43,0,2,113,11,1,182,228
46001,"Brandon--Souris/Brandon--Souris"," 402","Brandon",14,0,1,26,0,1,48,9,4,103,137
46001,"Brandon--Souris/Brandon--Souris"," 403","Brandon",8,0,0,16,4,1,57,1,1,88,101
46001,"Brandon--Souris/Brandon--Souris"," 404","Brandon",16,4,2,23,2,1,41,5,0,94,155
46001,"Brandon--Souris/Brandon--Souris"," 500","Mobile poll/Bureau itinérant",2,0,0,3,1,0,25,1,1,33,66
46001,"Brandon--Souris/Brandon--Souris"," 501","Mobile poll/Bureau itinérant",3,0,1,9,0,1,30,5,2,51,75
46001,"Brandon--Souris/Brandon--Souris"," 502","Mobile poll/Bureau itinérant",7,1,0,15,2,1,33,4,4,67,133
46001,"Brandon--Souris/Brandon--Souris"," 503","Mobile poll/Bureau itinérant",7,0,1,11,3,0,36,0,1,59,117
46001,"Brandon--Souris/Brandon--Souris"," 504","Mobile poll/Bureau itinérant",0,0,0,2,0,0,14,0,1,17,47
46001,"Brandon--Souris/Brandon--Souris"," 505","Mobile poll/Bureau itinérant",1,1,0,9,0,2,30,0,2,45,62
46001,"Brandon--Souris/Brandon--Souris"," 506","Mobile poll/Bureau itinérant",1,1,0,2,0,0,11,1,2,18,45
46001,"Brandon--Souris/Brandon--Souris"," 507","Mobile poll/Bureau itinérant",0,2,1,2,0,1,11,1,2,20,34
46001,"Brandon--Souris/Brandon--Souris"," 508","Mobile poll/Bureau itinérant",1,0,0,5,1,1,17,3,1,29,58
46001,"Brandon--Souris/Brandon--Souris"," 509","Mobile poll/Bureau itinérant",0,0,0,1,0,0,4,1,1,7,14
46001,"Brandon--Souris/Brandon--Souris"," 510","Mobile poll/Bureau itinérant",2,0,2,4,0,0,15,0,0,23,75
46001,"Brandon--Souris/Brandon--Souris"," 511","Mobile poll/Bureau itinérant",0,0,0,14,2,0,19,1,2,38,67
46001,"Brandon--Souris/Brandon--Souris"," 600","Elkhorn-Wallace",29,2,6,43,1,8,472,24,6,591,
46001,"Brandon--Souris/Brandon--Souris"," 601","Souris--Hartney",21,0,2,29,1,6,223,10,0,292,
46001,"Brandon--Souris/Brandon--Souris"," 602","Brandon",82,3,1,67,2,8,301,45,2,511,
46001,"Brandon--Souris/Brandon--Souris"," 603","Brandon",76,1,6,63,2,12,221,32,1,414,
46001,"Brandon--Souris/Brandon--Souris"," 604","Brandon",68,2,2,65,0,11,311,29,1,489,
46001,"Brandon--Souris/Brandon--Souris"," 605","Brandon",70,1,2,76,1,10,426,47,6,639,
46001,"Brandon--Souris/Brandon--Souris"," 606","Brandon",63,0,3,74,1,11,357,30,4,543,
46001,"Brandon--Souris/Brandon--Souris"," 607","Brandon",78,0,3,40,4,6,162,35,2,330,
46001,"Brandon--Souris/Brandon--Souris"," 608","Brandon",50,0,5,46,2,4,225,24,0,356,
46001,"Brandon--Souris/Brandon--Souris"," 609","Brandon",14,0,1,9,0,2,87,10,0,123,
46001,"Brandon--Souris/Brandon--Souris"," 610","Glenboro",14,0,2,11,1,3,102,4,0,137,
46001,"Brandon--Souris/Brandon--Souris"," 611","Melita",23,0,2,7,1,3,212,18,1,267,
46001,"Brandon--Souris/Brandon--Souris"," 612","Deloraine--Boissevain",20,1,0,16,2,3,208,31,0,281,
46001,"Brandon--Souris/Brandon--Souris"," 613","Killarney--Cartwright",10,1,0,21,1,1,166,16,0,216,
46001,"Brandon--Souris/Brandon--Souris"," 614","Pilot Mound",7,0,0,6,2,6,121,34,0,176,
46001,"Brandon--Souris/Brandon--Souris",,Group 1/Groupe 1, 56,4,8,64,2,30,367,25,19,575,140
46001,"Brandon--Souris/Brandon--Souris",,Group 2/Groupe 2, 136,3,7,131,13,9,875,90,20,1284,
