Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randall Garrison,Fidelia Godron,Jeremy Gustafson,Jamie Hammond,Louis Lesosky,David Merner,Philip Ney,Randall Pewarchuk,Josh Steffler,Tyson Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 76","Saanich",87,0,5,38,0,45,0,20,1,0,1,197,429
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 77","Saanich",58,0,1,24,0,42,0,31,0,0,0,156,379
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 78","Saanich",69,0,2,32,2,40,0,45,0,0,0,190,418
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 79","Saanich",102,0,3,42,0,89,1,34,0,0,1,272,524
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 80","Saanich",98,0,8,44,0,72,0,46,1,1,2,272,583
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 81","Saanich",68,0,3,22,0,51,0,31,2,0,1,178,383
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 82A","Saanich",55,0,2,33,2,69,0,27,0,1,0,189,440
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 82B","Saanich",18,2,0,29,0,16,0,12,0,0,1,78,92
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 83","Tillicum",49,0,2,30,0,51,0,22,0,1,0,155,394
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 84","Tillicum",69,0,2,23,0,67,0,28,0,0,0,189,389
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 85","Saanich",62,0,0,26,0,48,0,32,0,0,0,168,385
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 86","Saanich",91,0,5,37,3,50,0,32,2,0,0,220,399
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 87","Saanich",94,1,6,39,3,52,1,37,0,0,0,233,456
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 88","Saanich",73,0,0,37,0,59,2,43,1,0,1,216,449
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 89","Saanich",68,0,5,63,2,66,0,48,1,1,6,260,689
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 90","Lake Hill",71,0,3,37,0,57,0,40,1,0,1,210,558
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 91","Saanich",64,0,2,24,0,40,0,17,2,0,0,149,392
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 92","Lake Hill",55,0,2,27,0,44,0,24,2,2,0,156,432
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 93","Saanich",82,1,2,28,1,56,0,22,3,0,0,195,409
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 94","Saanich",105,0,2,35,0,57,1,35,1,1,1,238,541
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 95","Saanich",60,0,2,26,0,47,0,20,0,1,0,156,403
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 96","Saanich",75,0,4,27,0,64,1,24,1,0,1,197,517
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 97","Colwood",78,0,4,33,1,39,0,39,1,0,0,195,442
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 98","Colwood",114,0,9,42,1,47,0,49,1,0,1,264,558
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 99","Colwood",74,0,3,19,1,49,1,39,0,0,0,186,462
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 100","Colwood",62,1,9,32,1,43,0,62,0,0,0,210,487
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 101","Colwood",71,0,3,30,1,51,0,53,0,3,0,212,572
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 102","Colwood",46,0,1,31,0,32,3,64,0,1,1,179,387
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 103","Colwood",89,0,3,38,0,52,0,37,3,0,1,223,471
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 104","Colwood",48,0,2,25,0,27,0,33,1,0,0,136,380
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 105","Colwood",78,1,6,36,1,27,0,30,1,1,1,182,407
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 106","Colwood",75,0,6,42,0,49,1,42,2,0,0,217,440
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 107","Colwood",58,1,6,34,0,31,0,40,1,0,0,171,437
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 108","Colwood",52,0,1,34,0,17,0,39,2,0,0,145,339
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 109","Colwood",80,0,4,58,1,58,2,59,2,0,0,264,618
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 110","Colwood",65,0,0,49,0,44,0,60,1,1,0,220,508
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 111","Colwood",64,0,2,60,0,30,0,57,0,1,0,214,634
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 112","View Royal",171,1,2,43,0,59,2,43,4,0,2,327,847
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 113","Esquimalt",65,0,2,38,1,36,0,28,1,0,0,171,446
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 114","Esquimalt",68,2,2,44,0,32,0,31,0,0,1,180,457
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 115","New Songhees 1A",74,0,2,28,0,26,0,17,2,0,2,151,422
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 116","New Songhees 1A",108,0,2,30,0,43,0,18,3,0,0,204,435
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 117","Esquimalt",62,0,2,30,0,58,1,25,0,1,2,181,430
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 118","Esquimalt",63,0,4,48,0,44,0,24,0,0,0,183,454
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 119","Esquimalt",53,0,3,52,0,57,0,20,0,0,0,185,441
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 120","Esquimalt",49,0,2,21,0,33,0,18,3,0,0,126,347
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 121","Saanich",71,1,4,19,0,37,1,15,2,0,1,151,446
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 122","Saanich",71,0,3,35,0,60,0,22,0,1,0,192,396
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 123","Tillicum",66,0,1,19,0,48,0,14,1,0,0,149,457
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 124","Saanich",66,1,0,21,0,61,0,19,0,0,0,168,446
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 125","Saanich",61,0,2,23,0,49,0,19,6,0,0,160,402
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 126","Saanich",80,1,5,37,1,37,1,18,1,1,0,182,517
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 127","Saanich",69,0,1,35,1,35,0,14,1,1,1,158,441
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 128","Saanich",117,0,12,30,0,85,1,30,0,1,1,277,614
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 129","Sooke",43,0,9,31,0,37,0,42,0,0,1,163,425
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 130","Sooke",108,1,5,31,1,45,0,60,2,1,0,254,581
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 131","Sooke",85,0,7,29,0,41,2,47,0,0,0,211,503
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 132","Sooke",68,0,0,39,0,33,0,37,1,0,0,178,474
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 133","Sooke",94,0,3,22,1,41,0,28,1,0,2,192,490
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 134","Sooke",81,0,3,34,1,40,0,55,0,0,1,215,541
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 135","Sooke",76,0,2,25,0,41,1,49,2,1,3,200,534
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 136","Sooke",62,0,5,18,0,43,1,46,1,0,1,177,504
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 137","Sooke",94,0,9,24,0,39,0,52,0,0,0,218,557
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 138","Sooke",81,0,3,32,2,56,2,54,1,1,0,232,562
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 139","East Sooke",50,0,3,37,0,43,0,39,1,0,3,176,432
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 140","Colwood",58,0,2,35,2,36,0,30,0,0,1,164,428
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 141","Colwood",106,0,2,38,1,49,0,31,1,1,0,229,485
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 142","Colwood",78,0,1,26,1,39,0,42,2,0,0,189,420
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 143","Colwood",83,0,5,51,0,69,0,49,2,0,0,259,575
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 144","Colwood",104,0,0,30,1,32,1,54,1,3,0,226,417
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 145","Colwood",67,0,1,46,0,55,0,51,1,0,0,221,485
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 146","Colwood",64,0,1,52,0,48,0,48,0,1,0,214,544
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 147","Colwood",89,1,3,37,1,42,0,50,0,0,0,223,491
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 148","Colwood",121,2,2,94,1,90,0,121,2,1,2,436,974
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 149","Colwood",66,0,0,46,0,45,0,73,0,1,0,231,507
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 150","Saanich",80,0,2,25,0,28,0,20,0,1,1,157,409
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 151","Saanich",76,2,1,41,4,56,0,30,1,0,1,212,497
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 152","Saanich",78,0,2,17,1,43,1,19,1,0,3,165,388
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 153","Saanich",81,0,4,28,1,41,0,18,2,0,1,176,461
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 154","Tillicum",103,0,2,38,0,50,0,24,1,0,0,218,458
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 155","Saanich",81,0,0,27,0,50,0,26,2,0,0,186,412
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 156","Saanich",62,0,6,28,0,68,1,29,0,0,0,194,405
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 157","Saanich",69,0,1,36,0,46,0,25,0,0,1,178,444
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 158","Saanich",87,0,0,34,0,41,1,24,1,0,2,190,462
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 159","Saanich",80,0,2,38,1,72,0,33,0,0,1,227,517
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 160","Saanich",55,0,2,20,0,80,0,21,0,1,0,179,403
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 161","Saanich",43,1,2,26,1,42,0,13,0,1,1,130,413
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 162","Saanich",71,1,3,26,1,73,0,20,2,1,2,200,449
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 163","Saanich",60,0,1,27,0,48,0,33,1,0,0,170,455
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 164","Saanich",71,0,2,34,0,90,0,27,0,2,1,227,529
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 165","Saanich",77,2,2,41,0,53,0,22,1,0,1,199,477
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 166","Lake Hill",125,0,1,53,0,72,0,27,1,1,0,280,765
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 167","Saanich",77,1,4,33,0,40,0,30,1,0,0,186,469
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 168","Lake Hill",60,0,4,30,0,37,0,15,0,0,1,147,408
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 169","Saanich",87,0,3,35,1,59,0,30,3,0,3,221,584
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 170","Saanich",60,0,1,26,0,69,0,15,0,0,0,171,377
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 171A","Esquimalt",63,1,4,20,0,36,0,16,0,1,0,141,299
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 171B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°12B,,,,,,,,,,,,45
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 172","Esquimalt",93,0,2,38,0,70,0,20,0,1,2,226,487
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 173","Esquimalt",89,0,5,25,0,41,0,27,0,3,0,190,426
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 174","Esquimalt",106,0,9,39,2,42,0,37,1,0,0,236,548
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 175","Esquimalt",83,0,6,23,0,70,0,30,0,0,0,212,410
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 176","Esquimalt",88,2,4,30,0,61,0,25,1,1,1,213,502
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 177","Esquimalt",96,0,4,20,0,53,0,23,1,2,2,201,477
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 178","Esquimalt",134,1,7,49,0,85,1,36,0,1,0,314,643
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 179","Esquimalt",77,2,3,15,0,37,0,22,0,0,0,156,478
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 180","Esquimalt",97,0,3,44,0,71,0,32,2,0,0,249,562
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 181","Esquimalt",38,0,4,24,0,32,1,17,0,0,0,116,420
