Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payton Ashe,Joseph Di Iorio,Emmanuel Dubourg,Konrad Lamour,Anne-Marie Lavoie,Catherine Lefebvre,Louis Léger,Françoise Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 47","Montréal-Nord",6,6,123,12,34,16,6,0,7,210,455
24015,"Bourassa/Bourassa"," 48","Montréal-Nord",9,2,95,10,28,23,6,0,2,175,381
24015,"Bourassa/Bourassa"," 49","Montréal-Nord",5,0,137,19,37,16,0,1,7,222,456
24015,"Bourassa/Bourassa"," 50","Montréal-Nord",8,0,135,33,68,34,4,0,5,287,464
24015,"Bourassa/Bourassa"," 51","Montréal-Nord",12,0,137,20,36,25,2,0,3,235,476
24015,"Bourassa/Bourassa"," 52","Montréal-Nord",6,1,141,24,23,23,1,0,6,225,437
24015,"Bourassa/Bourassa"," 53","Montréal-Nord",2,0,86,11,15,17,4,2,2,139,347
24015,"Bourassa/Bourassa"," 54","Montréal-Nord",6,0,129,21,41,14,4,0,13,228,444
24015,"Bourassa/Bourassa"," 55","Montréal-Nord",5,2,114,2,29,10,0,0,2,164,509
24015,"Bourassa/Bourassa"," 56","Montréal-Nord",2,1,128,13,54,8,2,0,3,211,465
24015,"Bourassa/Bourassa"," 57","Montréal-Nord",5,3,106,20,39,11,1,0,7,192,447
24015,"Bourassa/Bourassa"," 58","Montréal-Nord",8,1,138,17,39,14,0,0,4,221,458
24015,"Bourassa/Bourassa"," 59","Montréal-Nord",12,1,82,14,44,6,2,0,8,169,392
24015,"Bourassa/Bourassa"," 60","Montréal-Nord",3,0,88,9,21,9,0,0,4,134,365
24015,"Bourassa/Bourassa"," 61","Montréal-Nord",2,0,69,4,6,12,0,0,1,94,278
24015,"Bourassa/Bourassa"," 62","Montréal-Nord",4,3,133,10,30,8,0,0,1,189,469
24015,"Bourassa/Bourassa"," 63","Montréal-Nord",1,1,130,20,24,10,0,0,5,191,410
24015,"Bourassa/Bourassa"," 64","Montréal-Nord",3,1,104,9,22,9,1,0,3,152,359
24015,"Bourassa/Bourassa"," 65","Montréal-Nord",9,0,106,17,34,15,2,0,3,186,468
24015,"Bourassa/Bourassa"," 66","Montréal-Nord",12,1,106,22,50,8,2,1,3,205,402
24015,"Bourassa/Bourassa"," 67","Montréal-Nord",6,1,94,19,72,13,1,0,4,210,421
24015,"Bourassa/Bourassa"," 68","Montréal-Nord",8,1,93,19,62,8,7,0,12,210,431
24015,"Bourassa/Bourassa"," 69","Montréal-Nord",10,3,60,13,87,6,0,0,6,185,438
24015,"Bourassa/Bourassa"," 70","Montréal-Nord",8,0,65,8,42,13,1,1,9,147,394
24015,"Bourassa/Bourassa"," 71","Montréal-Nord",7,1,54,18,27,13,1,0,2,123,301
24015,"Bourassa/Bourassa"," 72A","Montréal-Nord",7,0,87,18,56,6,4,0,5,183,467
24015,"Bourassa/Bourassa"," 72B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,,13
24015,"Bourassa/Bourassa"," 73","Montréal-Nord",0,1,66,3,19,10,1,0,1,101,376
24015,"Bourassa/Bourassa"," 74","Montréal-Nord",5,1,114,19,20,10,1,0,2,172,370
24015,"Bourassa/Bourassa"," 75","Montréal-Nord",7,1,148,7,16,10,2,0,3,194,451
24015,"Bourassa/Bourassa"," 76","Montréal-Nord",2,2,77,7,16,14,0,0,3,121,353
24015,"Bourassa/Bourassa"," 77","Montréal-Nord",5,2,87,10,32,12,0,0,6,154,383
24015,"Bourassa/Bourassa"," 78","Montréal-Nord",1,1,72,7,32,8,1,0,5,127,329
24015,"Bourassa/Bourassa"," 79","Montréal-Nord",1,2,100,11,34,16,0,0,5,169,350
24015,"Bourassa/Bourassa"," 80","Montréal-Nord",5,2,121,17,25,9,3,0,4,186,418
24015,"Bourassa/Bourassa"," 81","Montréal-Nord",2,1,103,21,25,11,1,0,5,169,423
24015,"Bourassa/Bourassa"," 82","Montréal-Nord",4,0,86,10,39,10,3,0,1,153,400
24015,"Bourassa/Bourassa"," 83","Montréal-Nord",4,0,107,12,43,10,6,0,4,186,448
24015,"Bourassa/Bourassa"," 84","Montréal-Nord",5,1,100,18,40,6,0,1,1,172,386
24015,"Bourassa/Bourassa"," 85","Montréal-Nord",6,2,83,12,34,17,0,0,1,155,403
24015,"Bourassa/Bourassa"," 86","Montréal-Nord",2,2,132,10,29,11,0,0,1,187,483
24015,"Bourassa/Bourassa"," 87","Montréal-Nord",3,0,113,15,21,6,0,0,4,162,413
24015,"Bourassa/Bourassa"," 88","Montréal-Nord",3,1,98,10,19,6,2,0,3,142,374
24015,"Bourassa/Bourassa"," 89","Montréal-Nord",9,2,142,29,59,30,7,0,5,283,513
24015,"Bourassa/Bourassa"," 90","Montréal-Nord",5,3,81,13,41,14,0,0,3,160,392
24015,"Bourassa/Bourassa"," 91","Montréal-Nord",4,3,120,4,24,3,3,0,4,165,454
24015,"Bourassa/Bourassa"," 92","Montréal-Nord",6,3,85,12,33,12,1,0,7,159,418
24015,"Bourassa/Bourassa"," 93","Montréal-Nord",3,1,105,8,34,10,1,0,11,173,345
24015,"Bourassa/Bourassa"," 94","Montréal-Nord",6,3,102,13,39,23,1,0,7,194,424
24015,"Bourassa/Bourassa"," 95","Montréal-Nord",8,2,122,10,23,19,0,1,17,202,410
24015,"Bourassa/Bourassa"," 96","Montréal-Nord",2,1,104,10,46,11,1,0,3,178,378
24015,"Bourassa/Bourassa"," 97","Montréal-Nord",4,0,132,11,29,10,2,0,8,196,448
24015,"Bourassa/Bourassa"," 98","Montréal-Nord",4,2,119,15,26,6,1,0,2,175,366
24015,"Bourassa/Bourassa"," 99","Montréal-Nord",6,0,140,23,44,25,1,0,3,242,574
24015,"Bourassa/Bourassa"," 100","Montréal-Nord",2,0,99,8,20,13,1,0,3,146,345
24015,"Bourassa/Bourassa"," 101","Montréal-Nord",8,0,108,21,39,18,2,1,7,204,390
24015,"Bourassa/Bourassa"," 102","Montréal-Nord",5,0,94,13,64,20,0,0,4,200,356
24015,"Bourassa/Bourassa"," 103","Montréal-Nord",3,0,71,21,29,9,2,0,2,137,309
24015,"Bourassa/Bourassa"," 104","Montréal-Nord",7,2,83,15,54,8,0,0,2,171,369
24015,"Bourassa/Bourassa"," 105","Montréal-Nord",1,0,37,3,58,12,0,0,10,121,300
24015,"Bourassa/Bourassa"," 106","Montréal-Nord",8,0,125,22,60,14,0,1,6,236,441
24015,"Bourassa/Bourassa"," 107A","Montréal-Nord",6,1,31,5,47,4,1,2,4,101,268
24015,"Bourassa/Bourassa"," 107B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,,,88
24015,"Bourassa/Bourassa"," 108","Montréal-Nord",4,0,134,5,26,12,2,0,3,186,418
24015,"Bourassa/Bourassa"," 109","Montréal-Nord",4,0,131,10,27,20,0,0,3,195,406
24015,"Bourassa/Bourassa"," 110","Montréal-Nord",12,0,140,15,23,12,2,0,6,210,453
24015,"Bourassa/Bourassa"," 111","Montréal-Nord",5,1,135,16,44,21,0,0,4,226,435
24015,"Bourassa/Bourassa"," 112","Montréal-Nord",11,3,100,11,36,11,1,0,2,175,412
24015,"Bourassa/Bourassa"," 113","Montréal-Nord",8,1,128,17,21,12,3,0,6,196,399
24015,"Bourassa/Bourassa"," 114","Montréal-Nord",4,0,121,14,31,10,0,1,3,184,403
24015,"Bourassa/Bourassa"," 115","Montréal-Nord",4,2,118,14,39,16,0,0,4,197,401
24015,"Bourassa/Bourassa"," 116","Montréal-Nord",3,2,105,17,40,9,0,0,5,181,430
24015,"Bourassa/Bourassa"," 117A","Montréal-Nord",2,0,86,10,27,13,1,0,4,143,379
24015,"Bourassa/Bourassa"," 117B","Montréal-Nord",0,1,32,0,13,5,1,0,4,56,151
24015,"Bourassa/Bourassa"," 118","Montréal-Nord",3,1,142,7,29,9,0,0,4,195,426
24015,"Bourassa/Bourassa"," 119","Montréal-Nord",12,0,80,18,51,9,2,2,1,175,380
24015,"Bourassa/Bourassa"," 120","Montréal-Nord",5,0,126,21,49,13,4,0,5,223,444
24015,"Bourassa/Bourassa"," 121","Montréal-Nord",9,2,105,24,51,18,2,0,6,217,466
24015,"Bourassa/Bourassa"," 122","Montréal-Nord",6,0,82,29,54,19,1,1,5,197,397
24015,"Bourassa/Bourassa"," 123","Montréal-Nord",8,1,82,15,27,6,0,0,6,145,358
24015,"Bourassa/Bourassa"," 124","Montréal-Nord",4,1,111,9,18,10,0,1,3,157,371
24015,"Bourassa/Bourassa"," 125","Montréal-Nord",3,3,170,10,32,18,2,0,6,244,488
24015,"Bourassa/Bourassa"," 126","Montréal-Nord",6,0,166,22,33,13,1,0,3,244,471
24015,"Bourassa/Bourassa"," 127","Montréal-Nord",8,0,168,19,22,14,0,0,1,232,429
24015,"Bourassa/Bourassa"," 128","Montréal-Nord",4,1,148,24,21,22,4,0,4,228,503
24015,"Bourassa/Bourassa"," 129","Montréal-Nord",3,1,142,16,11,6,0,0,7,186,419
24015,"Bourassa/Bourassa"," 130","Montréal-Nord",7,0,166,7,126,22,2,2,14,346,514
24015,"Bourassa/Bourassa"," 131","Montréal-Nord",12,1,106,20,48,16,5,6,3,217,441
24015,"Bourassa/Bourassa"," 132","Montréal-Nord",1,0,128,18,17,7,1,0,1,173,465
24015,"Bourassa/Bourassa"," 133","Montréal-Nord",7,0,112,11,22,9,0,0,8,169,480
24015,"Bourassa/Bourassa"," 134A","Montréal-Nord",3,1,80,22,17,6,1,1,3,134,297
24015,"Bourassa/Bourassa"," 134B","Montréal-Nord",4,1,86,8,13,4,1,1,2,120,312
24015,"Bourassa/Bourassa"," 135","Montréal-Nord",3,1,89,21,43,15,2,0,5,179,361
24015,"Bourassa/Bourassa"," 136","Montréal-Nord",3,0,78,23,20,10,2,0,10,146,383
24015,"Bourassa/Bourassa"," 137","Montréal",8,1,67,16,54,5,0,0,1,152,342
24015,"Bourassa/Bourassa"," 138","Montréal",7,0,135,20,66,7,3,0,6,244,425
24015,"Bourassa/Bourassa"," 139","Montréal",12,1,127,24,53,6,3,1,6,233,426
24015,"Bourassa/Bourassa"," 140","Montréal",15,1,94,20,63,10,1,0,3,207,374
24015,"Bourassa/Bourassa"," 141","Montréal",6,2,96,20,57,12,1,1,6,201,392
24015,"Bourassa/Bourassa"," 142","Montréal",16,0,92,16,54,8,0,0,7,193,333
24015,"Bourassa/Bourassa"," 143","Montréal",12,1,59,22,55,13,1,0,1,164,338
24015,"Bourassa/Bourassa"," 144","Montréal",6,5,139,26,35,22,2,0,3,238,413
24015,"Bourassa/Bourassa"," 145","Montréal",10,1,84,15,49,11,0,0,3,173,388
24015,"Bourassa/Bourassa"," 146","Montréal",11,3,194,27,34,30,2,0,6,307,498
24015,"Bourassa/Bourassa"," 147","Montréal",11,2,118,32,34,14,4,0,2,217,460
24015,"Bourassa/Bourassa"," 148","Montréal",10,0,93,21,67,5,4,0,1,201,485
24015,"Bourassa/Bourassa"," 149","Montréal",17,0,69,31,64,7,6,0,3,197,431
24015,"Bourassa/Bourassa"," 150","Montréal",14,0,82,37,50,6,1,0,4,194,402
24015,"Bourassa/Bourassa"," 151","Montréal",6,0,65,13,45,11,0,0,4,144,325
24015,"Bourassa/Bourassa"," 152","Montréal",8,2,71,15,32,4,1,0,2,135,394
24015,"Bourassa/Bourassa"," 153","Montréal",8,1,88,17,29,7,0,0,1,151,334
24015,"Bourassa/Bourassa"," 154","Montréal",10,0,76,17,49,13,1,1,3,170,305
24015,"Bourassa/Bourassa"," 155","Montréal",25,2,80,25,65,7,1,0,4,209,462
24015,"Bourassa/Bourassa"," 156","Montréal",15,1,143,27,52,23,2,0,4,267,473
24015,"Bourassa/Bourassa"," 157","Montréal",16,0,101,38,82,21,4,0,1,263,458
24015,"Bourassa/Bourassa"," 158","Montréal",7,0,142,16,70,8,2,0,4,249,394
24015,"Bourassa/Bourassa"," 159","Montréal",14,2,133,27,63,12,0,1,11,263,460
24015,"Bourassa/Bourassa"," 160","Montréal",6,1,121,41,59,20,0,0,5,253,431
24015,"Bourassa/Bourassa"," 161","Montréal",7,1,64,17,47,7,0,0,5,148,305
24015,"Bourassa/Bourassa"," 162","Montréal",19,2,89,25,63,9,0,1,4,212,432
24015,"Bourassa/Bourassa"," 163","Montréal",6,1,133,28,48,19,2,1,2,240,379
24015,"Bourassa/Bourassa"," 164","Montréal",18,0,93,18,63,16,1,2,3,214,422
24015,"Bourassa/Bourassa"," 165","Montréal",8,3,126,38,35,23,1,0,6,240,415
24015,"Bourassa/Bourassa"," 166","Montréal",9,3,107,29,57,22,0,1,4,232,529
24015,"Bourassa/Bourassa"," 400","Montréal-Nord",1,1,49,4,34,6,1,0,7,103,188
24015,"Bourassa/Bourassa"," 401","Montréal-Nord",9,2,102,5,48,13,1,1,17,198,271
24015,"Bourassa/Bourassa"," 402A","Montréal-Nord",2,0,40,1,13,8,0,0,2,66,57
24015,"Bourassa/Bourassa"," 402B","Mobile poll/Bureau itinérant",2,2,51,1,10,2,1,1,2,72,206
24015,"Bourassa/Bourassa"," 500A","Mobile poll/Bureau itinérant",0,0,19,1,5,0,0,0,1,26,97
24015,"Bourassa/Bourassa"," 500B","Mobile poll/Bureau itinérant",1,0,18,2,14,4,1,0,1,41,8
24015,"Bourassa/Bourassa"," 501A","Mobile poll/Bureau itinérant",2,1,26,4,10,3,0,2,10,58,87
24015,"Bourassa/Bourassa"," 501B","Montréal-Nord",Merged with No./Fusionné avec le n°115,,,,,,,,,,17
24015,"Bourassa/Bourassa"," 502A","Montréal",Merged with No./Fusionné avec le n°166,,,,,,,,,,25
24015,"Bourassa/Bourassa"," 502B","Montréal",Merged with No./Fusionné avec le n°160,,,,,,,,,,1
24015,"Bourassa/Bourassa"," 502C","Montréal",Merged with No./Fusionné avec le n°160,,,,,,,,,,32
24015,"Bourassa/Bourassa"," 502D","Montréal",Merged with No./Fusionné avec le n°161,,,,,,,,,,17
24015,"Bourassa/Bourassa"," 600","Montréal",32,2,359,46,271,75,6,1,16,808,
24015,"Bourassa/Bourassa"," 601","Montréal",16,3,417,47,203,61,6,1,10,764,
24015,"Bourassa/Bourassa"," 602","Montréal",19,3,419,39,155,54,6,0,14,709,
24015,"Bourassa/Bourassa"," 603","Montréal",10,3,383,31,132,48,7,0,14,628,
24015,"Bourassa/Bourassa"," 604","Montréal",10,5,459,41,186,80,6,0,21,808,
24015,"Bourassa/Bourassa"," 605","Montréal",26,1,300,32,143,33,8,0,9,552,
24015,"Bourassa/Bourassa"," 606","Montréal",14,1,318,46,195,37,11,2,12,636,
24015,"Bourassa/Bourassa"," 607","Montréal",8,1,267,36,110,30,6,4,7,469,
24015,"Bourassa/Bourassa"," 608","Montréal",24,5,405,41,142,63,4,0,12,696,
24015,"Bourassa/Bourassa"," 609","Montréal",17,0,311,48,238,39,6,1,12,672,
24015,"Bourassa/Bourassa"," 610","Montréal",58,4,459,80,436,61,7,2,31,1138,
24015,"Bourassa/Bourassa"," 611","Montréal",37,5,318,55,252,48,4,1,10,730,
24015,"Bourassa/Bourassa",,Group 1/Groupe 1, 6,0,58,4,4,7,2,0,10,91,93
24015,"Bourassa/Bourassa",,Group 2/Groupe 2, 55,3,639,89,200,54,6,3,35,1084,
