Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juanita Burnett,Steve Dyck,Aisha Jahangir,Kornelis Klevering,Lloyd Longfield,Mark Paralovos,Ashish Sachan,Gordon Truscott,Michael Wassilyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 168","Guelph",0,56,24,1,140,4,64,1,0,1,291,540
35032,"Guelph/Guelph"," 169","Guelph",1,93,62,0,113,12,40,2,0,0,323,616
35032,"Guelph/Guelph"," 170","Guelph",1,96,60,3,132,6,43,2,0,1,344,600
35032,"Guelph/Guelph"," 171","Guelph",1,56,27,0,120,2,61,0,1,0,268,538
35032,"Guelph/Guelph"," 172","Guelph",0,69,56,1,119,3,69,0,2,0,319,584
35032,"Guelph/Guelph"," 173","Guelph",0,42,37,1,97,2,51,2,0,2,234,515
35032,"Guelph/Guelph"," 174","Guelph",0,80,40,0,126,5,60,2,1,0,314,566
35032,"Guelph/Guelph"," 175","Guelph",0,96,43,0,120,7,54,1,1,2,324,567
35032,"Guelph/Guelph"," 176","Guelph",0,80,28,0,126,3,57,1,0,3,298,545
35032,"Guelph/Guelph"," 177","Guelph",1,57,33,0,120,5,40,3,0,3,262,537
35032,"Guelph/Guelph"," 178","Guelph",0,78,37,0,115,3,60,2,1,0,296,537
35032,"Guelph/Guelph"," 179","Guelph",1,71,41,1,94,6,58,3,1,1,277,526
35032,"Guelph/Guelph"," 180","Guelph",1,92,29,0,143,2,47,1,0,1,316,467
35032,"Guelph/Guelph"," 181","Guelph",0,80,39,0,94,6,57,2,1,0,279,497
35032,"Guelph/Guelph"," 182","Guelph",1,45,33,0,69,5,27,2,1,0,183,448
35032,"Guelph/Guelph"," 183","Guelph",1,62,35,0,160,8,77,6,0,3,352,634
35032,"Guelph/Guelph"," 184","Guelph",0,50,35,1,137,2,55,1,0,1,282,552
35032,"Guelph/Guelph"," 185","Guelph",2,68,51,0,150,6,99,2,0,0,378,782
35032,"Guelph/Guelph"," 186","Guelph",0,48,18,0,103,3,38,3,0,1,214,458
35032,"Guelph/Guelph"," 187","Guelph",0,57,25,1,102,1,64,0,0,1,251,533
35032,"Guelph/Guelph"," 188","Guelph",0,70,50,0,116,5,47,3,0,1,292,576
35032,"Guelph/Guelph"," 189","Guelph",1,60,22,0,110,5,66,1,0,1,266,491
35032,"Guelph/Guelph"," 190","Guelph",1,43,27,0,104,1,84,4,1,1,266,478
35032,"Guelph/Guelph"," 191","Guelph",0,43,22,0,121,5,59,0,0,0,250,529
35032,"Guelph/Guelph"," 192","Guelph",0,75,22,0,124,4,57,0,0,0,282,519
35032,"Guelph/Guelph"," 193","Guelph",1,70,20,1,157,3,53,1,0,3,309,508
35032,"Guelph/Guelph"," 194","Guelph",0,53,24,0,97,5,56,1,0,0,236,437
35032,"Guelph/Guelph"," 195","Guelph",0,58,19,0,142,0,54,4,1,0,278,502
35032,"Guelph/Guelph"," 196","Guelph",1,48,39,0,123,1,60,0,2,1,275,558
35032,"Guelph/Guelph"," 197","Guelph",1,57,19,0,127,2,64,1,1,1,273,577
35032,"Guelph/Guelph"," 400","Guelph",0,17,10,0,62,0,42,14,2,7,154,52
35032,"Guelph/Guelph"," 401","Guelph",Merged with No./Fusionné avec le n°400,,,,,,,,,,,290
35032,"Guelph/Guelph"," 402","Guelph",2,31,15,0,99,2,41,2,1,1,194,133
35032,"Guelph/Guelph"," 403","Guelph",Merged with No./Fusionné avec le n°402,,,,,,,,,,,202
35032,"Guelph/Guelph"," 404","Guelph",1,19,6,1,128,1,19,1,1,6,183,90
35032,"Guelph/Guelph"," 405","Guelph",Merged with No./Fusionné avec le n°404,,,,,,,,,,,129
35032,"Guelph/Guelph"," 406","Guelph",Merged with No./Fusionné avec le n°404,,,,,,,,,,,109
35032,"Guelph/Guelph"," 407","Guelph",0,30,19,0,92,3,34,1,0,0,179,146
35032,"Guelph/Guelph"," 408","Guelph",Merged with No./Fusionné avec le n°407,,,,,,,,,,,149
35032,"Guelph/Guelph"," 409","Guelph",1,8,2,1,25,1,12,0,1,1,52,244
35032,"Guelph/Guelph"," 410","Guelph",0,25,10,0,50,3,17,0,0,0,105,149
35032,"Guelph/Guelph"," 411","Guelph",0,24,4,0,75,7,29,0,0,2,141,199
35032,"Guelph/Guelph"," 412","Guelph",0,33,26,1,59,1,15,3,1,4,143,75
35032,"Guelph/Guelph"," 413","Guelph",Merged with No./Fusionné avec le n°412,,,,,,,,,,,164
35032,"Guelph/Guelph"," 414","Guelph",0,24,3,0,83,0,33,1,2,9,155,235
