Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Ibrahim El-Khoury,Edline Henri,Mariam Ishak,Shahid Khan,Lisa Mintz,Martin Plante,Lee Weishar,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","Pierrefonds",21,10,20,0,4,2,1,61,3,122,253
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","Pierrefonds",15,11,22,0,6,0,3,72,2,131,339
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17","Pierrefonds",31,29,34,0,10,1,3,79,4,191,439
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 18","Roxboro",24,24,33,2,9,2,3,98,1,196,427
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 19","Roxboro",32,20,23,3,15,2,1,93,3,192,394
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 20","Pierrefonds",19,29,32,0,9,1,5,95,4,194,552
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 21","Roxboro",14,26,25,0,11,0,1,84,2,163,305
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 22","Roxboro",27,12,22,1,10,2,3,83,2,162,346
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 23","Roxboro",35,18,25,1,18,7,2,103,2,211,435
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 24","Pierrefonds",28,21,36,1,13,3,6,113,1,222,502
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 25","Pierrefonds",18,9,29,1,3,2,1,101,1,165,397
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 26","Pierrefonds",39,13,37,1,11,2,2,172,4,281,549
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 27","Pierrefonds",17,10,16,1,4,0,1,101,3,153,320
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 28","Pierrefonds",28,16,39,2,6,3,1,158,3,256,480
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 29","Pierrefonds",16,15,27,0,7,1,7,114,2,189,430
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 30","Pierrefonds",33,13,23,3,7,3,2,125,1,210,464
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 31","Pierrefonds",17,16,33,0,10,1,5,121,3,206,418
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 32","Pierrefonds",20,7,39,2,10,1,2,164,3,248,525
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 33","Pierrefonds",29,9,23,0,6,2,9,105,2,185,408
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 34","Roxboro",22,24,45,0,25,4,0,106,1,227,380
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 35","Pierrefonds",12,23,19,1,9,1,3,65,0,133,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 36","Roxboro",20,16,25,0,11,2,4,101,5,184,368
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 37","Pierrefonds",25,7,24,1,9,1,2,125,12,206,502
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 38","Roxboro",16,16,43,3,20,3,5,152,2,260,511
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 39","Roxboro",17,21,25,0,17,2,1,92,6,181,347
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 40","Roxboro",52,22,29,1,16,1,3,88,1,213,380
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 41","Roxboro",20,15,20,0,21,6,3,127,2,214,373
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 42","Roxboro",30,24,40,2,17,1,4,97,2,217,365
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 43","Dollard-Des Ormeaux",29,8,20,2,4,2,3,79,1,148,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 44","Dollard-Des Ormeaux",28,10,31,3,6,1,3,140,5,227,441
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 45","Pierrefonds",21,7,12,1,9,2,1,99,0,152,337
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 46","Dollard-Des Ormeaux",21,11,21,1,5,2,6,145,0,212,541
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 47","Dollard-Des Ormeaux",22,6,26,2,8,1,2,141,0,208,414
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 48","Dollard-Des Ormeaux",31,2,28,0,7,1,4,143,5,221,427
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 49","Dollard-Des Ormeaux",20,1,14,3,5,0,0,116,0,159,363
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 50","Dollard-Des Ormeaux",16,3,22,1,4,1,0,95,5,147,361
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 51","Dollard-Des Ormeaux",20,4,36,1,3,0,0,82,0,146,423
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 52","Dollard-Des Ormeaux",24,3,21,0,7,0,0,104,0,159,395
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 53","Pierrefonds",25,13,29,1,6,1,2,127,1,205,463
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 54","Pierrefonds",13,7,23,1,4,0,3,126,0,177,480
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 55","Dollard-Des Ormeaux",23,0,45,0,12,0,2,86,2,170,380
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 56","Pierrefonds",28,5,22,1,10,1,3,120,7,197,470
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 57","Pierrefonds",35,15,24,1,9,0,4,132,0,220,422
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 58","Pierrefonds",23,6,24,1,5,4,0,118,2,183,379
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 59","Pierrefonds",17,21,18,0,14,0,3,85,2,160,329
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 60","Pierrefonds",21,17,26,2,13,0,3,98,2,182,414
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 61","Pierrefonds",22,4,41,1,8,1,4,138,2,221,421
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 62","Pierrefonds",21,17,16,0,14,0,4,123,2,197,455
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 63","Pierrefonds",25,7,23,2,14,2,2,96,1,172,422
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 64","Dollard-Des Ormeaux",12,8,16,0,12,2,3,102,3,158,293
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 65","Dollard-Des Ormeaux",16,2,33,2,6,2,0,97,3,161,331
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 66","Dollard-Des Ormeaux",42,14,49,3,7,1,4,151,2,273,529
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 67","Dollard-Des Ormeaux",32,12,42,0,11,5,5,185,6,298,493
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 68","Dollard-Des Ormeaux",32,4,45,3,14,2,1,157,5,263,502
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 69","Dollard-Des Ormeaux",30,10,40,6,9,0,6,124,7,232,540
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 70","Dollard-Des Ormeaux",10,5,9,4,3,1,3,76,1,112,303
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 71","Dollard-Des Ormeaux",20,3,29,1,3,3,4,96,0,159,374
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 72","Dollard-Des Ormeaux",19,12,30,0,5,0,2,118,0,186,392
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 73","Dollard-Des Ormeaux",18,3,34,0,4,0,2,96,0,157,357
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 74","Dollard-Des Ormeaux",32,11,32,0,9,2,1,156,3,246,435
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 75","Dollard-Des Ormeaux",21,4,25,1,6,2,7,123,1,190,424
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 76","Dollard-Des Ormeaux",19,1,12,1,7,2,1,85,4,132,271
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 77","Dollard-Des Ormeaux",36,17,43,6,9,1,4,158,5,279,554
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 78","Dollard-Des Ormeaux",15,0,18,2,4,3,3,83,0,128,365
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 79","Saint-Raphaël-de-l'Île-Bizard",17,39,24,0,5,1,3,97,2,188,394
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 80","Saint-Raphaël-de-l'Île-Bizard",24,48,36,0,17,0,1,144,2,272,531
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 81","Saint-Raphaël-de-l'Île-Bizard",15,42,33,0,3,0,1,102,2,198,374
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 82","Saint-Raphaël-de-l'Île-Bizard",29,31,36,3,8,1,0,117,2,227,398
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 83","Saint-Raphaël-de-l'Île-Bizard",14,23,26,0,13,2,0,91,0,169,328
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 84","Saint-Raphaël-de-l'Île-Bizard",17,39,2,1,7,2,0,70,4,142,380
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 85","Saint-Raphaël-de-l'Île-Bizard",16,23,29,1,5,0,3,68,1,146,329
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 86","Saint-Raphaël-de-l'Île-Bizard",26,47,22,2,21,1,3,76,1,199,422
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 87","Saint-Raphaël-de-l'Île-Bizard",13,35,19,0,13,0,3,92,2,177,395
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 88","Saint-Raphaël-de-l'Île-Bizard",19,66,13,0,18,3,2,65,4,190,449
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 89","Dollard-Des Ormeaux",14,6,10,1,5,1,6,71,1,115,318
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 90","Dollard-Des Ormeaux",20,5,45,0,8,1,3,77,2,161,370
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 91","Dollard-Des Ormeaux",16,8,26,1,6,1,3,90,4,155,402
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 92","Dollard-Des Ormeaux",17,11,40,0,13,2,2,82,1,168,372
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 93","Dollard-Des Ormeaux",13,2,56,0,15,0,1,91,1,179,398
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 94","Dollard-Des Ormeaux",28,9,30,2,17,1,2,105,0,194,423
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 95","Dollard-Des Ormeaux",18,4,46,1,14,0,3,111,6,203,411
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 96","Dollard-Des Ormeaux",19,6,41,0,20,1,5,90,0,182,350
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 97","Dollard-Des Ormeaux",27,2,50,1,10,0,0,86,1,177,441
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 98","Dollard-Des Ormeaux",21,2,70,0,11,1,3,111,2,221,399
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 99","Pierrefonds",33,20,41,0,13,0,0,107,2,216,443
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 100","Pierrefonds",24,7,14,1,15,1,3,116,2,183,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 101","Pierrefonds",19,18,25,0,11,0,1,110,0,184,420
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 102","Pierrefonds",26,13,24,0,10,1,4,86,1,165,353
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 103","Pierrefonds",20,14,24,0,12,3,4,111,3,191,407
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 104","Pierrefonds",20,13,24,3,9,3,5,111,4,192,475
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 105","Pierrefonds",20,3,25,0,12,1,1,99,3,164,417
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 106","Pierrefonds",13,17,31,0,4,1,0,118,6,190,546
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 107","Pierrefonds",21,15,23,0,12,2,3,77,1,154,391
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 108","Pierrefonds",15,14,25,3,6,3,4,173,4,247,482
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 109","Dollard-Des Ormeaux",13,10,27,1,9,0,1,113,3,177,339
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 110","Dollard-Des Ormeaux",16,6,31,1,6,2,0,95,0,157,453
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 111","Dollard-Des Ormeaux",21,8,11,2,9,0,2,92,2,147,454
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 112","Dollard-Des Ormeaux",14,4,9,2,4,1,2,79,1,116,328
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 113","Pierrefonds",33,9,29,3,13,3,3,131,5,229,471
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 114","Pierrefonds",23,9,33,0,4,0,1,115,5,190,446
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 115","Dollard-Des Ormeaux",22,3,30,1,9,0,2,117,1,185,394
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 116","Dollard-Des Ormeaux",23,5,38,0,13,3,2,89,1,174,390
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 117","Pierrefonds",25,8,32,1,8,3,4,129,2,212,472
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 118","Dollard-Des Ormeaux",27,15,40,1,8,1,7,124,0,223,447
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 119","Pierrefonds",22,12,17,0,4,1,3,113,1,173,391
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 120","Dollard-Des Ormeaux",17,0,68,1,7,1,4,98,1,197,393
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 121","Pierrefonds",20,6,22,0,7,2,4,69,2,132,356
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 122","Dollard-Des Ormeaux",10,3,78,1,15,0,1,86,1,195,445
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 123","Saint-Raphaël-de-l'Île-Bizard",24,36,55,1,5,0,2,128,1,252,478
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 124","Saint-Raphaël-de-l'Île-Bizard",32,48,47,0,12,1,1,146,1,288,558
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 125","Saint-Raphaël-de-l'Île-Bizard",20,33,40,1,10,3,3,116,0,226,432
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 126","Saint-Raphaël-de-l'Île-Bizard",15,42,34,1,8,4,3,124,2,233,413
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 127","Saint-Raphaël-de-l'Île-Bizard",29,66,24,0,17,3,0,94,3,236,474
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 128","Saint-Raphaël-de-l'Île-Bizard",21,24,39,1,6,1,4,81,0,177,333
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 129","Saint-Raphaël-de-l'Île-Bizard",17,37,19,0,16,1,3,92,2,187,340
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 130","Saint-Raphaël-de-l'Île-Bizard",17,38,23,0,17,3,2,89,0,189,349
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 131","Dollard-Des Ormeaux",15,7,61,1,13,3,2,143,3,248,527
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 132","Dollard-Des Ormeaux",10,6,58,3,11,0,3,110,2,203,468
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 133","Dollard-Des Ormeaux",26,3,37,2,18,0,0,102,2,190,383
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 134","Dollard-Des Ormeaux",18,9,33,1,7,1,1,123,1,194,484
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 135","Dollard-Des Ormeaux",20,9,40,0,8,0,5,95,0,177,375
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 136","Dollard-Des Ormeaux",19,2,70,1,15,0,1,71,0,179,402
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 137","Dollard-Des Ormeaux",17,1,60,0,6,0,2,92,1,179,394
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 138","Dollard-Des Ormeaux",13,2,45,0,2,0,0,71,0,133,336
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 139","Dollard-Des Ormeaux",15,3,76,0,7,0,3,65,2,171,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 140","Dollard-Des Ormeaux",15,4,29,0,17,2,3,108,1,179,378
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 141","Dollard-Des Ormeaux",20,12,36,1,8,2,0,115,1,195,407
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 142","Dollard-Des Ormeaux",14,6,75,1,7,4,3,76,2,188,448
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 143","Dollard-Des Ormeaux",23,0,39,0,7,1,1,87,0,158,342
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 144","Pierrefonds",13,20,41,3,9,2,1,125,7,221,474
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 145","Dollard-Des Ormeaux",13,6,56,1,3,4,0,96,5,184,351
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 146","Pierrefonds",11,18,22,0,8,0,1,63,4,127,367
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 147","Pierrefonds",16,10,14,1,4,2,1,91,4,143,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 148","Pierrefonds",17,4,17,1,5,0,3,54,5,106,305
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 149","Pierrefonds",17,8,10,0,3,1,3,43,3,88,234
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 150","Pierrefonds",11,10,21,0,4,1,2,89,4,142,359
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 151","Dollard-Des Ormeaux",17,4,24,1,4,1,2,93,4,150,390
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 152","Pierrefonds",18,11,44,1,23,1,3,127,1,229,537
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 153","Pierrefonds",23,21,31,2,9,2,5,108,1,202,450
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 154","Dollard-Des Ormeaux",12,5,52,1,7,1,0,92,1,171,375
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 155","Dollard-Des Ormeaux",8,1,68,0,11,0,4,72,2,166,370
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 156","Dollard-Des Ormeaux",16,5,55,0,8,0,0,101,1,186,381
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 157","Dollard-Des Ormeaux",6,1,33,0,7,0,0,61,0,108,236
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 158","Dollard-Des Ormeaux",29,5,41,1,9,1,2,169,1,258,488
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 159","Dollard-Des Ormeaux",13,1,38,0,6,0,4,95,1,158,351
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 160","Dollard-Des Ormeaux",26,2,36,0,8,1,2,117,0,192,381
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 161","Dollard-Des Ormeaux",19,2,31,0,9,3,5,67,0,136,330
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 162","Dollard-Des Ormeaux",9,1,65,0,9,0,0,89,2,175,426
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 163","Dollard-Des Ormeaux",27,3,53,0,11,2,3,123,4,226,459
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 164","Dollard-Des Ormeaux",23,3,59,2,14,1,1,113,1,217,508
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 165","Dollard-Des Ormeaux",31,8,33,3,12,0,1,113,1,202,448
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 166","Dollard-Des Ormeaux",26,8,16,0,14,0,5,118,0,187,450
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 167","Dollard-Des Ormeaux",24,7,24,1,6,1,0,98,5,166,434
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 168","Dollard-Des Ormeaux",19,9,45,1,6,3,4,136,5,228,597
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 169","Dollard-Des Ormeaux",21,11,43,1,7,1,0,114,1,199,446
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 170","Dollard-Des Ormeaux",22,8,26,1,5,0,4,114,2,182,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 171","Dollard-Des Ormeaux",19,4,20,1,5,1,1,77,2,130,376
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 172","Sainte-Geneviève",3,34,26,1,7,4,1,135,11,222,306
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 173","Saint-Raphaël-de-l'Île-Bizard",12,13,35,1,7,0,3,81,2,154,335
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 174","Saint-Raphaël-de-l'Île-Bizard",14,14,28,0,10,0,1,73,2,142,347
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 175","Saint-Raphaël-de-l'Île-Bizard",12,55,23,1,7,3,1,77,3,182,382
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 176","Saint-Raphaël-de-l'Île-Bizard",24,57,13,1,6,1,1,82,1,186,409
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 177","Saint-Raphaël-de-l'Île-Bizard",25,35,57,1,19,2,4,131,1,275,546
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 178","Saint-Raphaël-de-l'Île-Bizard",16,28,33,0,15,0,3,100,4,199,425
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 179","Saint-Raphaël-de-l'Île-Bizard",20,59,12,1,11,0,4,91,2,200,457
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 180","Saint-Raphaël-de-l'Île-Bizard",26,89,31,1,16,3,3,83,3,255,506
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 181","Saint-Raphaël-de-l'Île-Bizard",14,39,15,0,6,1,4,65,1,145,329
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 182","Saint-Raphaël-de-l'Île-Bizard",17,40,16,3,7,4,0,42,5,134,339
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 183","Dollard-Des Ormeaux",22,5,58,0,6,0,4,118,3,216,601
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 184","Dollard-Des Ormeaux",20,6,28,0,12,7,1,119,1,194,455
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 185","Pierrefonds",24,8,30,2,6,1,4,138,1,214,354
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 186","Pierrefonds",19,13,37,2,9,7,2,115,6,210,408
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 187","Dollard-Des Ormeaux",24,10,13,0,13,1,3,100,0,164,455
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 188","Pierrefonds",32,9,29,0,15,2,4,108,1,200,335
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 189","Dollard-Des Ormeaux",22,7,41,0,14,2,5,131,3,225,407
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 190","Pierrefonds",26,15,30,1,10,1,7,132,2,224,459
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 191","Pierrefonds",25,8,33,1,7,2,4,126,4,210,371
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 192","Dollard-Des Ormeaux",20,15,34,0,11,0,5,135,0,220,378
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 193","Dollard-Des Ormeaux",30,6,40,0,8,0,0,103,2,189,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 194","Dollard-Des Ormeaux",37,12,21,0,12,1,4,157,0,244,380
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 195","Dollard-Des Ormeaux",21,7,25,0,15,1,4,129,0,202,358
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 196","Dollard-Des Ormeaux",32,11,45,1,8,1,2,150,2,252,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 197","Dollard-Des Ormeaux",30,16,30,0,14,3,0,133,2,228,433
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 198","Dollard-Des Ormeaux",18,13,40,1,15,5,2,111,1,206,379
