Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Chaurette,Guy Dostaler,Sylvie Goneau,Mario-Roberto Lam,Steven MacKinnon,Geneviève Nadeau,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Gatineau/Gatineau"," 22","Gatineau",24,6,12,0,85,30,1,3,161,340
24027,"Gatineau/Gatineau"," 23","Gatineau",11,4,16,1,83,46,0,0,161,356
24027,"Gatineau/Gatineau"," 24","Gatineau",35,8,31,1,137,57,1,1,271,611
24027,"Gatineau/Gatineau"," 25A","Gatineau",16,14,26,2,123,59,0,0,240,507
24027,"Gatineau/Gatineau"," 25B","Gatineau",34,9,33,1,123,39,0,2,241,507
24027,"Gatineau/Gatineau"," 26","Gatineau",11,7,15,0,100,48,0,3,184,458
24027,"Gatineau/Gatineau"," 27","Gatineau",19,3,6,3,82,35,0,1,149,332
24027,"Gatineau/Gatineau"," 28","Gatineau",28,11,13,3,104,50,0,3,212,428
24027,"Gatineau/Gatineau"," 29","Gatineau",9,9,26,1,101,36,0,1,183,416
24027,"Gatineau/Gatineau"," 30","Gatineau",16,9,23,0,102,46,0,2,198,378
24027,"Gatineau/Gatineau"," 31","Gatineau",9,6,23,2,76,35,0,2,153,366
24027,"Gatineau/Gatineau"," 32","Gatineau",26,17,21,1,97,61,0,2,225,548
24027,"Gatineau/Gatineau"," 33","Gatineau",20,8,22,1,64,31,0,2,148,332
24027,"Gatineau/Gatineau"," 34","Gatineau",21,10,18,4,101,50,1,1,206,442
24027,"Gatineau/Gatineau"," 35","Gatineau",30,9,26,1,91,30,0,4,191,437
24027,"Gatineau/Gatineau"," 36","Gatineau",21,7,14,0,88,42,0,2,174,381
24027,"Gatineau/Gatineau"," 37","Gatineau",33,6,17,4,95,55,0,5,215,549
24027,"Gatineau/Gatineau"," 38","Gatineau",18,8,16,1,75,43,0,4,165,419
24027,"Gatineau/Gatineau"," 39","Gatineau",14,12,25,1,61,60,0,2,175,407
24027,"Gatineau/Gatineau"," 40","Gatineau",7,3,27,0,56,21,0,2,116,331
24027,"Gatineau/Gatineau"," 41","Gatineau",35,12,16,1,114,48,1,3,230,499
24027,"Gatineau/Gatineau"," 42","Gatineau",29,9,18,2,139,59,0,2,258,515
24027,"Gatineau/Gatineau"," 43","Gatineau",23,8,18,0,124,32,0,3,208,444
24027,"Gatineau/Gatineau"," 44","Gatineau",32,9,25,2,130,52,1,1,252,506
24027,"Gatineau/Gatineau"," 45","Gatineau",30,5,15,4,88,40,0,2,184,405
24027,"Gatineau/Gatineau"," 46","Gatineau",18,11,16,2,120,35,0,0,202,387
24027,"Gatineau/Gatineau"," 47","Gatineau",23,10,11,2,73,42,0,1,162,370
24027,"Gatineau/Gatineau"," 48","Gatineau",30,5,19,2,110,43,0,0,209,424
24027,"Gatineau/Gatineau"," 49","Gatineau",33,4,21,0,93,46,0,1,198,434
24027,"Gatineau/Gatineau"," 50","Gatineau",20,16,14,3,63,22,2,0,140,377
24027,"Gatineau/Gatineau"," 51","Gatineau",20,3,10,1,69,44,0,4,151,366
24027,"Gatineau/Gatineau"," 52","Gatineau",27,15,18,1,75,47,1,7,191,445
24027,"Gatineau/Gatineau"," 53","Gatineau",20,6,21,3,90,46,0,0,186,372
24027,"Gatineau/Gatineau"," 54","Gatineau",45,6,16,1,96,37,0,1,202,480
24027,"Gatineau/Gatineau"," 55","Gatineau",34,7,11,0,80,43,0,1,176,348
24027,"Gatineau/Gatineau"," 56","Gatineau",25,7,17,1,72,39,2,6,169,323
24027,"Gatineau/Gatineau"," 57","Gatineau",17,17,30,0,72,33,0,2,171,384
24027,"Gatineau/Gatineau"," 58","Gatineau",21,8,17,1,82,45,0,5,179,369
24027,"Gatineau/Gatineau"," 59","Gatineau",19,11,22,2,53,29,0,1,137,355
24027,"Gatineau/Gatineau"," 60","Gatineau",22,3,35,3,95,35,1,3,197,377
24027,"Gatineau/Gatineau"," 61","Gatineau",17,3,24,0,67,28,0,0,139,322
24027,"Gatineau/Gatineau"," 62","Gatineau",10,5,31,2,86,55,0,4,193,348
24027,"Gatineau/Gatineau"," 63","Gatineau",19,6,28,0,66,40,0,1,160,394
24027,"Gatineau/Gatineau"," 64","Gatineau",13,7,20,5,91,36,0,4,176,504
24027,"Gatineau/Gatineau"," 65","Gatineau",17,7,29,3,69,36,0,2,163,445
24027,"Gatineau/Gatineau"," 66","Gatineau",32,7,11,2,124,52,0,5,233,470
24027,"Gatineau/Gatineau"," 67","Gatineau",38,11,24,2,126,34,0,2,237,398
24027,"Gatineau/Gatineau"," 68","Gatineau",23,7,24,0,113,48,0,4,219,436
24027,"Gatineau/Gatineau"," 69","Gatineau",31,9,24,3,168,46,0,2,283,462
24027,"Gatineau/Gatineau"," 70","Gatineau",18,12,24,3,141,46,0,3,247,411
24027,"Gatineau/Gatineau"," 71","Gatineau",28,10,11,4,152,37,0,2,244,349
24027,"Gatineau/Gatineau"," 72","Gatineau",20,8,24,1,71,35,0,1,160,290
24027,"Gatineau/Gatineau"," 73","Gatineau",21,11,23,3,99,27,0,5,189,320
24027,"Gatineau/Gatineau"," 74","Gatineau",23,9,14,0,206,63,0,1,316,463
24027,"Gatineau/Gatineau"," 75","Gatineau",29,11,14,4,149,48,0,5,260,446
24027,"Gatineau/Gatineau"," 76","Gatineau",28,6,23,1,94,48,2,5,207,428
24027,"Gatineau/Gatineau"," 77","Gatineau",20,9,28,0,105,64,0,2,228,424
24027,"Gatineau/Gatineau"," 78","Gatineau",26,7,22,2,70,30,2,2,161,345
24027,"Gatineau/Gatineau"," 79","Gatineau",14,4,13,6,75,45,0,7,164,388
24027,"Gatineau/Gatineau"," 80","Gatineau",19,9,10,1,66,24,1,1,131,356
24027,"Gatineau/Gatineau"," 81","Gatineau",33,6,25,1,139,66,0,1,271,530
24027,"Gatineau/Gatineau"," 82","Gatineau",13,3,13,3,93,42,0,2,169,341
24027,"Gatineau/Gatineau"," 83","Gatineau",20,4,21,1,79,42,1,5,173,339
24027,"Gatineau/Gatineau"," 84","Gatineau",19,6,23,1,123,81,0,2,255,467
24027,"Gatineau/Gatineau"," 85","Gatineau",19,7,10,0,63,31,0,2,132,333
24027,"Gatineau/Gatineau"," 86","Gatineau",24,4,13,2,117,54,1,1,216,362
24027,"Gatineau/Gatineau"," 87","Gatineau",21,19,24,1,109,60,0,6,240,492
24027,"Gatineau/Gatineau"," 88","Gatineau",31,11,21,2,126,56,0,5,252,429
24027,"Gatineau/Gatineau"," 89","Gatineau",25,10,20,0,126,35,0,2,218,405
24027,"Gatineau/Gatineau"," 90","Gatineau",17,6,24,1,124,30,0,2,204,448
24027,"Gatineau/Gatineau"," 91","Gatineau",36,5,25,3,118,59,1,3,250,467
24027,"Gatineau/Gatineau"," 92","Gatineau",12,3,12,4,90,45,1,0,167,359
24027,"Gatineau/Gatineau"," 93","Gatineau",15,6,19,3,87,31,0,2,163,324
24027,"Gatineau/Gatineau"," 94","Gatineau",22,9,17,1,100,22,0,3,174,373
24027,"Gatineau/Gatineau"," 95","Gatineau",13,8,15,3,57,29,0,1,126,367
24027,"Gatineau/Gatineau"," 96","Gatineau",29,6,19,5,93,30,0,3,185,387
24027,"Gatineau/Gatineau"," 97","Gatineau",15,10,21,5,57,36,0,4,148,409
24027,"Gatineau/Gatineau"," 98","Gatineau",28,5,16,2,70,32,0,3,156,313
24027,"Gatineau/Gatineau"," 99","Gatineau",25,9,18,0,146,30,0,1,229,481
24027,"Gatineau/Gatineau"," 100","Gatineau",32,6,30,0,84,29,0,2,183,372
24027,"Gatineau/Gatineau"," 101","Gatineau",29,11,16,1,104,29,1,1,192,346
24027,"Gatineau/Gatineau"," 102","Gatineau",26,7,24,1,116,27,0,4,205,422
24027,"Gatineau/Gatineau"," 103","Gatineau",20,11,13,7,104,47,0,3,205,430
24027,"Gatineau/Gatineau"," 104","Gatineau",28,11,13,1,119,48,0,0,220,494
24027,"Gatineau/Gatineau"," 105","Gatineau",29,11,19,2,156,39,0,5,261,465
24027,"Gatineau/Gatineau"," 106","Gatineau",32,12,17,2,97,54,0,3,217,467
24027,"Gatineau/Gatineau"," 107","Gatineau",25,8,22,0,104,55,0,4,218,560
24027,"Gatineau/Gatineau"," 108","Gatineau",20,8,32,4,104,44,0,2,214,541
24027,"Gatineau/Gatineau"," 109","Gatineau",14,6,19,0,96,51,0,2,188,428
24027,"Gatineau/Gatineau"," 110","Gatineau",11,7,17,2,56,19,0,1,113,383
24027,"Gatineau/Gatineau"," 111","Gatineau",19,2,12,1,53,28,0,2,117,387
24027,"Gatineau/Gatineau"," 112","Gatineau",15,5,10,1,72,30,0,3,136,352
24027,"Gatineau/Gatineau"," 113","Gatineau",21,4,16,2,55,19,0,1,118,449
24027,"Gatineau/Gatineau"," 114","Gatineau",18,4,16,2,45,34,2,2,123,399
24027,"Gatineau/Gatineau"," 115","Gatineau",16,1,22,4,71,23,0,2,139,374
24027,"Gatineau/Gatineau"," 116","Gatineau",17,5,31,2,56,42,0,6,159,486
24027,"Gatineau/Gatineau"," 117A","Gatineau",4,3,8,1,34,10,0,1,61,198
24027,"Gatineau/Gatineau"," 117B","Mobile poll/Bureau itinérant",1,2,15,1,99,27,1,10,156,143
24027,"Gatineau/Gatineau"," 118","Gatineau",11,3,15,1,44,26,0,1,101,320
24027,"Gatineau/Gatineau"," 119","Gatineau",17,0,21,2,47,29,0,1,117,351
24027,"Gatineau/Gatineau"," 120","Gatineau",24,7,24,2,98,63,0,4,222,445
24027,"Gatineau/Gatineau"," 121","Gatineau",18,4,15,2,78,30,1,7,155,369
24027,"Gatineau/Gatineau"," 122","Gatineau",16,6,16,1,56,29,0,3,127,314
24027,"Gatineau/Gatineau"," 123","Gatineau",17,1,17,4,61,28,0,2,130,287
24027,"Gatineau/Gatineau"," 124","Gatineau",18,8,15,2,59,27,0,0,129,352
24027,"Gatineau/Gatineau"," 125","Gatineau",14,6,10,5,64,24,0,1,124,312
24027,"Gatineau/Gatineau"," 126","Gatineau",26,4,16,2,75,19,0,5,147,379
24027,"Gatineau/Gatineau"," 127","Gatineau",19,2,17,3,47,29,0,0,117,328
24027,"Gatineau/Gatineau"," 128","Gatineau",11,5,17,1,46,16,0,1,97,296
24027,"Gatineau/Gatineau"," 129","Gatineau",25,1,24,4,69,29,0,2,154,341
24027,"Gatineau/Gatineau"," 130","Gatineau",10,1,10,0,43,8,0,1,73,271
24027,"Gatineau/Gatineau"," 131","Gatineau",19,4,18,2,63,26,0,3,135,320
24027,"Gatineau/Gatineau"," 132","Gatineau",12,5,17,1,63,32,0,2,132,345
24027,"Gatineau/Gatineau"," 133","Gatineau",11,9,14,2,75,25,0,2,138,318
24027,"Gatineau/Gatineau"," 134","Gatineau",14,2,10,4,80,16,0,2,128,411
24027,"Gatineau/Gatineau"," 135","Gatineau",4,1,6,2,66,34,0,3,116,428
24027,"Gatineau/Gatineau"," 136A","Gatineau",5,5,1,1,69,14,1,2,98,251
24027,"Gatineau/Gatineau"," 136B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,60
24027,"Gatineau/Gatineau"," 137","Gatineau",10,7,9,0,71,26,0,1,124,335
24027,"Gatineau/Gatineau"," 138","Gatineau",17,6,27,1,72,41,0,6,170,406
24027,"Gatineau/Gatineau"," 139","Gatineau",17,5,13,0,53,37,0,2,127,369
24027,"Gatineau/Gatineau"," 140","Gatineau",7,5,30,5,190,59,0,2,298,447
24027,"Gatineau/Gatineau"," 141","Gatineau",10,1,20,0,169,26,0,10,236,213
24027,"Gatineau/Gatineau"," 142","Gatineau",24,9,18,4,132,40,0,2,229,399
24027,"Gatineau/Gatineau"," 143","Gatineau",19,8,20,1,90,32,0,1,171,380
24027,"Gatineau/Gatineau"," 144","Gatineau",29,11,14,1,110,41,0,1,207,384
24027,"Gatineau/Gatineau"," 145A","Gatineau",6,1,18,1,98,28,0,2,154,532
24027,"Gatineau/Gatineau"," 145B","Gatineau",Merged with No./Fusionné avec le n°141,,,,,,,,,178
24027,"Gatineau/Gatineau"," 146","Gatineau",21,5,9,3,105,36,0,1,180,362
24027,"Gatineau/Gatineau"," 147","Gatineau",33,11,20,0,111,37,0,0,212,402
24027,"Gatineau/Gatineau"," 148","Gatineau",33,7,19,1,117,30,0,2,209,384
24027,"Gatineau/Gatineau"," 149","Gatineau",34,9,17,1,65,30,0,5,161,508
24027,"Gatineau/Gatineau"," 150","Gatineau",18,6,20,3,48,35,1,3,134,335
24027,"Gatineau/Gatineau"," 151","Gatineau",24,10,20,5,48,37,1,4,149,338
24027,"Gatineau/Gatineau"," 152","Gatineau",31,9,9,2,122,36,0,4,213,354
24027,"Gatineau/Gatineau"," 153","Gatineau",28,12,20,0,133,45,0,0,238,486
24027,"Gatineau/Gatineau"," 154","Gatineau",29,16,15,1,130,44,0,3,238,442
24027,"Gatineau/Gatineau"," 155","Gatineau",23,10,24,1,133,46,0,4,241,441
24027,"Gatineau/Gatineau"," 156","Gatineau",47,7,23,3,115,43,0,2,240,432
24027,"Gatineau/Gatineau"," 157","Gatineau",37,16,16,2,155,67,0,4,297,496
24027,"Gatineau/Gatineau"," 158","Gatineau",15,13,17,0,63,30,0,1,139,320
24027,"Gatineau/Gatineau"," 159","Gatineau",29,26,25,4,182,38,0,0,304,493
24027,"Gatineau/Gatineau"," 160","Gatineau",15,5,27,2,98,33,1,5,186,404
24027,"Gatineau/Gatineau"," 161A","Gatineau",15,6,15,1,85,19,0,0,141,273
24027,"Gatineau/Gatineau"," 161B","Gatineau",9,8,18,4,193,35,1,23,291,487
24027,"Gatineau/Gatineau"," 162","Gatineau",19,5,25,0,114,26,0,3,192,345
24027,"Gatineau/Gatineau"," 163","Gatineau",34,14,22,4,106,33,0,2,215,436
24027,"Gatineau/Gatineau"," 164","Gatineau",26,5,14,5,70,22,0,2,144,445
24027,"Gatineau/Gatineau"," 165","Gatineau",27,14,16,5,106,41,1,4,214,459
24027,"Gatineau/Gatineau"," 166","Gatineau",12,6,20,1,74,31,1,0,145,392
24027,"Gatineau/Gatineau"," 167","Gatineau",17,8,12,0,67,24,0,2,130,353
24027,"Gatineau/Gatineau"," 168","Gatineau",16,8,13,5,99,35,1,0,177,371
24027,"Gatineau/Gatineau"," 169","Gatineau",27,9,21,1,97,43,0,6,204,398
24027,"Gatineau/Gatineau"," 170","Gatineau",29,3,16,0,84,33,0,2,167,345
24027,"Gatineau/Gatineau"," 171","Gatineau",19,6,28,2,86,38,0,2,181,398
24027,"Gatineau/Gatineau"," 172","Gatineau",27,6,18,1,91,25,0,2,170,411
24027,"Gatineau/Gatineau"," 173","Gatineau",27,10,14,1,90,40,0,1,183,374
24027,"Gatineau/Gatineau"," 174","Gatineau",30,7,14,4,72,36,0,1,164,346
24027,"Gatineau/Gatineau"," 175","Gatineau",16,7,7,0,94,33,0,3,160,349
24027,"Gatineau/Gatineau"," 176","Gatineau",34,6,31,1,148,35,0,1,256,520
24027,"Gatineau/Gatineau"," 177","Gatineau",17,6,19,0,96,29,0,3,170,464
24027,"Gatineau/Gatineau"," 178","Gatineau",13,8,12,2,79,29,0,1,144,339
24027,"Gatineau/Gatineau"," 179","Gatineau",13,4,15,3,116,41,0,2,194,409
24027,"Gatineau/Gatineau"," 180","Gatineau",15,6,14,3,99,28,1,2,168,336
24027,"Gatineau/Gatineau"," 181","Gatineau",23,5,19,2,103,45,0,9,206,447
24027,"Gatineau/Gatineau"," 182","Gatineau",10,5,16,0,82,38,3,3,157,354
24027,"Gatineau/Gatineau"," 183","Gatineau",16,20,23,2,123,45,0,3,232,433
24027,"Gatineau/Gatineau"," 184","Gatineau",20,10,11,1,83,38,0,0,163,369
24027,"Gatineau/Gatineau"," 185","Gatineau",34,10,18,1,149,36,0,3,251,447
24027,"Gatineau/Gatineau"," 186","Gatineau",24,6,12,0,73,23,1,2,141,380
24027,"Gatineau/Gatineau"," 187","Gatineau",18,16,19,2,86,46,0,2,189,396
24027,"Gatineau/Gatineau"," 188","Gatineau",19,5,21,0,73,47,1,0,166,364
24027,"Gatineau/Gatineau"," 189","Gatineau",17,9,10,1,96,37,0,4,174,367
24027,"Gatineau/Gatineau"," 190","Gatineau",14,2,26,3,80,26,0,3,154,349
24027,"Gatineau/Gatineau"," 191","Gatineau",19,8,27,5,161,38,0,1,259,430
24027,"Gatineau/Gatineau"," 192","Gatineau",15,6,21,2,88,31,0,3,166,468
24027,"Gatineau/Gatineau"," 193","Gatineau",15,10,14,1,63,17,0,2,122,319
24027,"Gatineau/Gatineau"," 194","Gatineau",8,1,4,1,60,17,1,5,97,419
24027,"Gatineau/Gatineau"," 195","Gatineau",19,8,16,2,82,37,0,2,166,480
24027,"Gatineau/Gatineau"," 196","Gatineau",16,2,17,0,59,33,0,4,131,356
24027,"Gatineau/Gatineau"," 197","Gatineau",17,5,11,5,70,15,0,2,125,337
24027,"Gatineau/Gatineau"," 198","Gatineau",21,6,9,0,48,25,0,3,112,349
24027,"Gatineau/Gatineau"," 199","Gatineau",11,6,10,0,58,27,0,3,115,298
24027,"Gatineau/Gatineau"," 200","Gatineau",24,6,20,0,49,25,0,1,125,352
24027,"Gatineau/Gatineau"," 201","Gatineau",13,7,22,3,62,31,1,5,144,351
24027,"Gatineau/Gatineau"," 202","Gatineau",4,1,9,0,32,17,0,0,63,215
24027,"Gatineau/Gatineau"," 203","Gatineau",21,10,14,2,97,35,0,4,183,357
24027,"Gatineau/Gatineau"," 204","Gatineau",10,4,14,3,74,15,0,2,122,366
24027,"Gatineau/Gatineau"," 205","Gatineau",32,11,17,0,71,34,0,6,171,422
24027,"Gatineau/Gatineau"," 206","Gatineau",15,14,7,4,101,33,1,0,175,335
24027,"Gatineau/Gatineau"," 207","Gatineau",12,7,10,0,41,26,0,6,102,259
24027,"Gatineau/Gatineau"," 500","Mobile poll/Bureau itinérant",1,1,0,1,23,6,0,0,32,76
24027,"Gatineau/Gatineau"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°117B,,,,,,,,,118
24027,"Gatineau/Gatineau"," 502","Mobile poll/Bureau itinérant",2,2,5,1,34,10,0,2,56,57
24027,"Gatineau/Gatineau"," 503","Mobile poll/Bureau itinérant",1,5,7,2,67,18,2,2,104,139
24027,"Gatineau/Gatineau"," 600","Gatineau",83,34,110,16,489,251,1,13,997,
24027,"Gatineau/Gatineau"," 601","Gatineau",113,55,106,16,526,267,1,8,1092,
24027,"Gatineau/Gatineau"," 602","Gatineau",93,26,107,4,440,196,1,4,871,
24027,"Gatineau/Gatineau"," 603","Gatineau",127,48,115,6,696,292,1,13,1298,
24027,"Gatineau/Gatineau"," 604","Gatineau",70,34,82,5,453,181,0,8,833,
24027,"Gatineau/Gatineau"," 605","Gatineau",80,46,89,4,531,259,0,21,1030,
24027,"Gatineau/Gatineau"," 606","Gatineau",75,24,129,6,450,224,0,7,915,
24027,"Gatineau/Gatineau"," 607","Gatineau",76,24,93,4,416,185,3,11,812,
24027,"Gatineau/Gatineau"," 608","Gatineau",54,16,70,5,384,179,0,13,721,
24027,"Gatineau/Gatineau"," 609","Gatineau",98,32,94,7,535,244,1,11,1022,
24027,"Gatineau/Gatineau"," 610","Gatineau",75,45,122,13,486,182,3,12,938,
24027,"Gatineau/Gatineau"," 611","Gatineau",71,36,109,9,679,242,1,17,1164,
24027,"Gatineau/Gatineau"," 612","Gatineau",62,28,70,15,364,191,2,12,744,
24027,"Gatineau/Gatineau"," 613","Gatineau",59,25,95,13,434,146,2,15,789,
24027,"Gatineau/Gatineau"," 614","Gatineau",88,25,93,2,393,171,0,17,789,
24027,"Gatineau/Gatineau"," 615","Gatineau",87,36,113,12,555,249,2,16,1070,
24027,"Gatineau/Gatineau"," 616","Gatineau",77,44,75,9,595,207,4,6,1017,
24027,"Gatineau/Gatineau",,Group 1/Groupe 1, 21,10,48,3,73,8,1,6,170,118
24027,"Gatineau/Gatineau",,Group 2/Groupe 2, 151,89,140,10,707,228,2,27,1354,
