Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Vance Badawey,Nic Bylsma,April Jeffs,Andrew Sainz-Nieto,Michael Tomaino,Robert Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Niagara Centre/Niagara-Centre"," 141","Welland",78,36,1,55,3,6,0,2,181,416
35066,"Niagara Centre/Niagara-Centre"," 142","Welland",86,61,0,46,2,7,0,3,205,492
35066,"Niagara Centre/Niagara-Centre"," 143","Welland",103,54,3,61,6,14,2,2,245,519
35066,"Niagara Centre/Niagara-Centre"," 144","Welland",95,67,0,79,6,11,1,5,264,554
35066,"Niagara Centre/Niagara-Centre"," 145","Welland",104,72,0,55,1,6,1,4,243,559
35066,"Niagara Centre/Niagara-Centre"," 146","Welland",90,63,0,67,7,18,0,1,246,584
35066,"Niagara Centre/Niagara-Centre"," 147","Welland",89,58,1,84,4,11,0,1,248,551
35066,"Niagara Centre/Niagara-Centre"," 148","Welland",102,86,0,115,4,12,0,0,319,571
35066,"Niagara Centre/Niagara-Centre"," 149","Welland",96,69,3,109,6,13,0,2,298,546
35066,"Niagara Centre/Niagara-Centre"," 150","Welland",79,89,3,94,0,16,0,4,285,482
35066,"Niagara Centre/Niagara-Centre"," 151","Welland",76,99,0,94,3,16,0,9,297,496
35066,"Niagara Centre/Niagara-Centre"," 152","Port Colborne",52,56,4,115,5,17,0,0,249,436
35066,"Niagara Centre/Niagara-Centre"," 153","Port Colborne",57,70,1,116,4,23,0,2,273,442
35066,"Niagara Centre/Niagara-Centre"," 154","Port Colborne",46,62,0,70,3,9,0,4,194,470
35066,"Niagara Centre/Niagara-Centre"," 155","Port Colborne",44,93,1,77,3,8,0,2,228,427
35066,"Niagara Centre/Niagara-Centre"," 156","Port Colborne",41,60,4,71,1,8,0,1,186,377
35066,"Niagara Centre/Niagara-Centre"," 157","Port Colborne",56,72,2,99,3,15,1,2,250,469
35066,"Niagara Centre/Niagara-Centre"," 158","Port Colborne",47,69,0,98,2,8,1,2,227,398
35066,"Niagara Centre/Niagara-Centre"," 159","Port Colborne",68,81,1,92,0,9,1,1,253,517
35066,"Niagara Centre/Niagara-Centre"," 160","Port Colborne",43,65,0,60,6,10,0,0,184,441
35066,"Niagara Centre/Niagara-Centre"," 161","Port Colborne",60,65,2,77,3,11,0,2,220,474
35066,"Niagara Centre/Niagara-Centre"," 162","Port Colborne",64,72,2,65,5,10,0,2,220,443
35066,"Niagara Centre/Niagara-Centre"," 163","Port Colborne",64,71,1,60,4,20,0,1,221,408
35066,"Niagara Centre/Niagara-Centre"," 164","Port Colborne",85,81,3,54,4,13,0,3,243,479
35066,"Niagara Centre/Niagara-Centre"," 165","Port Colborne",68,62,0,58,4,13,1,0,206,412
35066,"Niagara Centre/Niagara-Centre"," 166","Port Colborne",23,83,4,45,2,6,0,1,164,386
35066,"Niagara Centre/Niagara-Centre"," 167","Port Colborne",48,70,1,73,2,23,0,0,217,530
35066,"Niagara Centre/Niagara-Centre"," 168","Port Colborne",64,89,2,53,4,13,0,2,227,544
35066,"Niagara Centre/Niagara-Centre"," 169","Port Colborne",67,98,1,75,5,17,1,0,264,528
35066,"Niagara Centre/Niagara-Centre"," 170","Port Colborne",60,106,0,79,0,11,0,0,256,504
35066,"Niagara Centre/Niagara-Centre"," 171","Port Colborne",72,71,1,80,4,8,0,0,236,413
35066,"Niagara Centre/Niagara-Centre"," 172","Port Colborne",66,115,1,89,0,15,0,0,286,486
35066,"Niagara Centre/Niagara-Centre"," 173","Port Colborne",52,121,0,107,3,17,1,3,304,521
35066,"Niagara Centre/Niagara-Centre"," 174","Port Colborne",26,112,1,72,5,9,0,2,227,373
35066,"Niagara Centre/Niagara-Centre"," 175","Port Colborne",65,128,2,120,9,14,0,1,339,613
35066,"Niagara Centre/Niagara-Centre"," 176","Port Colborne",74,100,1,128,4,16,0,2,325,565
35066,"Niagara Centre/Niagara-Centre"," 177","Port Colborne",59,79,1,122,2,16,0,3,282,593
35066,"Niagara Centre/Niagara-Centre"," 178","Port Colborne",87,87,2,79,1,11,1,4,272,548
35066,"Niagara Centre/Niagara-Centre"," 179","Port Colborne",69,76,1,74,6,15,0,8,249,513
35066,"Niagara Centre/Niagara-Centre"," 180","Port Colborne",64,60,2,62,2,16,1,3,210,474
35066,"Niagara Centre/Niagara-Centre"," 181","Port Colborne",88,61,2,50,4,8,0,4,217,547
35066,"Niagara Centre/Niagara-Centre"," 182","Port Colborne",64,45,2,28,6,7,1,1,154,439
35066,"Niagara Centre/Niagara-Centre"," 183","Port Colborne",55,101,3,109,3,23,0,4,298,533
35066,"Niagara Centre/Niagara-Centre"," 500","Mobile poll/Bureau itinérant",11,20,1,12,3,4,1,0,52,209
35066,"Niagara Centre/Niagara-Centre"," 501","Mobile poll/Bureau itinérant",11,35,1,16,1,6,3,2,75,153
35066,"Niagara Centre/Niagara-Centre"," 502","Mobile poll/Bureau itinérant",25,20,0,8,0,1,0,3,57,101
35066,"Niagara Centre/Niagara-Centre"," 503","Mobile poll/Bureau itinérant",18,95,0,52,0,8,0,4,177,246
35066,"Niagara Centre/Niagara-Centre"," 504","Mobile poll/Bureau itinérant",21,71,1,29,2,3,1,3,131,272
35066,"Niagara Centre/Niagara-Centre"," 505","Mobile poll/Bureau itinérant",15,45,1,13,0,2,1,4,81,135
35066,"Niagara Centre/Niagara-Centre"," 506","Mobile poll/Bureau itinérant",21,75,1,30,0,4,1,4,136,219
35066,"Niagara Centre/Niagara-Centre"," 507","Mobile poll/Bureau itinérant",14,25,1,18,1,6,0,1,66,265
35066,"Niagara Centre/Niagara-Centre"," 508","Mobile poll/Bureau itinérant",12,44,3,34,2,5,1,6,107,160
35066,"Niagara Centre/Niagara-Centre"," 600","St. Catharines",154,184,1,196,10,37,0,6,588,
35066,"Niagara Centre/Niagara-Centre"," 601","St. Catharines",109,344,5,293,8,38,1,5,803,
35066,"Niagara Centre/Niagara-Centre"," 602","St. Catharines",144,318,3,225,10,50,1,4,755,
35066,"Niagara Centre/Niagara-Centre"," 603","Thorold",189,243,1,178,7,26,0,5,649,
35066,"Niagara Centre/Niagara-Centre"," 604","Thorold",169,343,4,286,4,21,0,8,835,
35066,"Niagara Centre/Niagara-Centre"," 605","Thorold",69,82,2,110,4,19,0,4,290,
35066,"Niagara Centre/Niagara-Centre"," 606","Thorold",103,222,3,260,7,32,0,1,628,
35066,"Niagara Centre/Niagara-Centre"," 607","Welland",139,219,3,248,7,24,0,3,643,
35066,"Niagara Centre/Niagara-Centre"," 608","Welland",109,268,0,313,16,53,0,1,760,
35066,"Niagara Centre/Niagara-Centre"," 609","Welland",168,355,4,325,9,40,2,12,915,
35066,"Niagara Centre/Niagara-Centre"," 610","Welland",172,297,3,248,13,38,0,3,774,
35066,"Niagara Centre/Niagara-Centre"," 611","Welland",134,154,5,151,9,33,0,4,490,
35066,"Niagara Centre/Niagara-Centre"," 612","Welland",148,239,5,196,12,31,1,11,643,
35066,"Niagara Centre/Niagara-Centre"," 613","Welland",115,152,1,148,5,33,1,7,462,
35066,"Niagara Centre/Niagara-Centre"," 614","Welland",166,291,3,258,3,28,0,3,752,
35066,"Niagara Centre/Niagara-Centre"," 615","Port Colborne",143,238,9,265,12,57,1,9,734,
35066,"Niagara Centre/Niagara-Centre"," 616","Port Colborne",169,431,5,270,8,54,2,9,948,
35066,"Niagara Centre/Niagara-Centre"," 617","Port Colborne",130,183,3,202,13,29,2,9,571,
35066,"Niagara Centre/Niagara-Centre",,Group 1/Groupe 1, 25,64,0,21,4,8,2,6,130,160
35066,"Niagara Centre/Niagara-Centre",,Group 2/Groupe 2, 374,556,7,379,15,121,3,38,1493,
