Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Ayas,Zahia El-Masri,Mélanie Joly,Kathy Laframboise,Jean-Michel Lavarenne,André Parizeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 22","Montréal",1,21,116,15,18,79,1,251,390
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 23","Montréal",0,1,50,4,0,68,2,125,316
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 24","Montréal",1,19,179,12,2,35,25,273,581
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 25","Montréal",0,15,50,11,12,74,4,166,310
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 26","Montréal",1,20,96,9,6,44,0,176,378
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 27","Montréal",4,19,87,7,13,36,0,166,356
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 28","Montréal",0,38,81,15,11,44,2,191,425
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 29","Montréal",1,16,93,11,9,44,1,175,364
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 30","Montréal",0,19,66,7,12,54,2,160,334
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 31","Montréal",2,28,74,6,12,62,1,185,347
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 32","Montréal",1,38,72,15,19,93,4,242,446
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 33","Montréal",1,28,126,8,13,98,3,277,580
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 34","Montréal",2,55,108,5,41,98,4,313,511
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 35","Montréal",1,51,87,6,21,70,3,239,391
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 36","Montréal",12,32,83,11,16,70,3,227,380
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 37","Montréal",1,32,74,11,27,74,2,221,346
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 38","Montréal",0,37,78,11,26,63,3,218,414
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 39","Montréal",0,30,74,6,18,61,3,192,336
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 40","Montréal",0,12,67,6,10,41,2,138,312
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 41","Montréal",2,33,92,10,11,46,1,195,395
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 42","Montréal",0,21,108,4,6,17,2,158,379
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 43","Montréal",1,21,113,13,11,34,1,194,464
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 44","Montréal",1,41,73,11,13,41,0,180,407
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 45","Montréal",1,25,88,6,12,35,1,168,380
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 46","Montréal",0,23,83,4,29,58,1,198,394
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 47","Montréal",4,27,97,5,5,42,2,182,415
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 48","Montréal",6,28,65,16,22,61,5,203,414
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 49","Montréal",0,38,73,3,16,48,4,182,396
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 50","Montréal",0,13,35,6,5,23,1,83,275
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 51","Montréal",2,36,88,4,18,46,4,198,441
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 52","Montréal",0,26,63,12,7,36,2,146,345
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 53","Montréal",1,55,71,6,29,70,4,236,435
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 54","Montréal",0,45,93,9,24,59,7,237,444
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 55","Montréal",3,37,77,6,19,85,1,228,422
