Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Breton,Nathalie Clermont,Darlène Daviault,Andréanne Larouche,Raymonde Plamondon,Mariam Sabbagh,Katherine Turgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 91","Granby",67,17,2,62,17,0,12,8,185,431
24072,"Shefford/Shefford"," 92A","Granby",39,11,1,36,5,0,12,2,106,366
24072,"Shefford/Shefford"," 92B","Granby",62,13,1,33,0,0,2,8,119,224
24072,"Shefford/Shefford"," 93","Granby",47,11,0,35,8,1,8,4,114,341
24072,"Shefford/Shefford"," 94","Granby",40,18,1,45,9,2,3,5,123,364
24072,"Shefford/Shefford"," 95","Granby",63,32,1,70,17,2,10,4,199,426
24072,"Shefford/Shefford"," 96","Granby",46,10,1,51,5,0,12,3,128,377
24072,"Shefford/Shefford"," 97","Granby",43,15,1,43,14,0,7,3,126,383
24072,"Shefford/Shefford"," 98","Granby",63,20,5,82,16,1,6,0,193,461
24072,"Shefford/Shefford"," 99","Granby",45,11,0,38,7,3,5,0,109,399
24072,"Shefford/Shefford"," 100","Granby",36,14,1,55,8,1,11,2,128,368
24072,"Shefford/Shefford"," 101","Granby",56,25,3,62,9,0,4,3,162,435
24072,"Shefford/Shefford"," 102","Granby",65,39,0,54,14,4,5,1,182,420
24072,"Shefford/Shefford"," 103","Shefford",36,21,0,69,13,0,12,4,155,416
24072,"Shefford/Shefford"," 104","Shefford",52,21,1,86,16,4,12,2,194,400
24072,"Shefford/Shefford"," 105","Shefford",85,18,0,100,11,1,18,5,238,490
24072,"Shefford/Shefford"," 106","Granby",38,9,1,57,4,2,8,2,121,295
24072,"Shefford/Shefford"," 107","Granby",74,15,2,84,3,1,5,2,186,441
24072,"Shefford/Shefford"," 108","Granby",101,19,1,84,17,1,15,1,239,446
24072,"Shefford/Shefford"," 109","Granby",100,26,0,95,15,1,11,4,252,490
24072,"Shefford/Shefford"," 110","Granby",52,13,0,52,14,1,8,4,144,319
24072,"Shefford/Shefford"," 111","Granby",47,13,0,64,3,0,4,3,134,359
24072,"Shefford/Shefford"," 112","Granby",35,20,2,46,23,0,13,4,143,306
24072,"Shefford/Shefford"," 113","Granby",70,29,0,71,9,0,7,2,188,437
24072,"Shefford/Shefford"," 114","Granby",91,20,1,80,16,11,10,2,231,504
24072,"Shefford/Shefford"," 115","Granby",82,12,0,71,12,1,11,4,193,442
24072,"Shefford/Shefford"," 116","Shefford",65,23,0,61,4,4,9,6,172,423
24072,"Shefford/Shefford"," 117A","Granby",69,16,1,43,12,1,8,1,151,280
