Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John P. Hendry,Michael Ma,Yasmin Ratansi,Nicholas Thompson,Dan Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 86B","North York",0,34,76,18,4,0,132,259
35019,"Don Valley East/Don Valley-Est"," 87","North York",2,91,222,19,11,4,349,505
35019,"Don Valley East/Don Valley-Est"," 88","North York",1,56,137,37,8,1,240,349
35019,"Don Valley East/Don Valley-Est"," 89A","North York",0,36,65,13,3,0,117,256
35019,"Don Valley East/Don Valley-Est"," 89B","North York",1,45,62,12,2,1,123,281
35019,"Don Valley East/Don Valley-Est"," 90","North York",6,64,115,28,16,2,231,499
35019,"Don Valley East/Don Valley-Est"," 91","North York",3,58,131,31,13,0,236,443
35019,"Don Valley East/Don Valley-Est"," 92","North York",4,59,119,19,11,0,212,470
35019,"Don Valley East/Don Valley-Est"," 93","North York",5,39,78,8,8,0,138,292
35019,"Don Valley East/Don Valley-Est"," 94","North York",4,35,80,23,4,0,146,380
35019,"Don Valley East/Don Valley-Est"," 95","North York",1,33,103,30,12,0,179,428
35019,"Don Valley East/Don Valley-Est"," 96","North York",2,50,97,32,8,1,190,518
35019,"Don Valley East/Don Valley-Est"," 97","North York",1,24,83,10,0,0,118,367
35019,"Don Valley East/Don Valley-Est"," 98","North York",2,28,133,16,4,0,183,473
35019,"Don Valley East/Don Valley-Est"," 99","North York",5,57,193,28,0,1,284,578
35019,"Don Valley East/Don Valley-Est"," 100","North York",3,18,111,23,7,5,167,410
35019,"Don Valley East/Don Valley-Est"," 101A","North York",0,25,82,14,10,1,132,309
35019,"Don Valley East/Don Valley-Est"," 101B","North York",0,19,65,9,7,1,101,334
35019,"Don Valley East/Don Valley-Est"," 102","North York",4,29,119,27,2,3,184,494
35019,"Don Valley East/Don Valley-Est"," 103","North York",2,25,158,17,6,4,212,482
35019,"Don Valley East/Don Valley-Est"," 104","North York",2,22,162,32,6,11,235,550
35019,"Don Valley East/Don Valley-Est"," 105","North York",2,32,91,11,1,5,142,366
35019,"Don Valley East/Don Valley-Est"," 106A","North York",2,5,76,9,2,2,96,296
35019,"Don Valley East/Don Valley-Est"," 106B","North York",2,10,99,7,1,3,122,330
35019,"Don Valley East/Don Valley-Est"," 107","North York",1,25,137,8,8,2,181,424
35019,"Don Valley East/Don Valley-Est"," 108","North York",2,14,150,14,5,12,197,432
35019,"Don Valley East/Don Valley-Est"," 109","North York",0,21,97,20,3,2,143,302
35019,"Don Valley East/Don Valley-Est"," 110","North York",3,69,109,23,9,1,214,330
35019,"Don Valley East/Don Valley-Est"," 111A","East York",3,19,92,13,3,3,133,301
35019,"Don Valley East/Don Valley-Est"," 111B","East York",1,20,76,8,5,2,112,285
35019,"Don Valley East/Don Valley-Est"," 112","North York",3,48,199,21,1,5,277,558
35019,"Don Valley East/Don Valley-Est"," 113","North York",0,18,94,17,8,0,137,300
35019,"Don Valley East/Don Valley-Est"," 114","North York",0,17,162,8,4,3,194,355
35019,"Don Valley East/Don Valley-Est"," 115","North York",0,18,135,21,2,1,177,332
35019,"Don Valley East/Don Valley-Est"," 400","North York",3,21,90,17,4,0,135,364
35019,"Don Valley East/Don Valley-Est"," 401","North York",3,24,88,23,4,1,143,433
35019,"Don Valley East/Don Valley-Est"," 402","North York",1,35,96,25,3,0,160,415
35019,"Don Valley East/Don Valley-Est"," 403","North York",2,29,99,26,2,0,158,427
35019,"Don Valley East/Don Valley-Est"," 404","North York",1,38,72,24,8,0,143,351
35019,"Don Valley East/Don Valley-Est"," 405","North York",3,31,45,10,3,0,92,224
35019,"Don Valley East/Don Valley-Est"," 406","North York",2,61,90,18,10,0,181,367
35019,"Don Valley East/Don Valley-Est"," 407","North York",5,28,145,32,3,8,221,360
35019,"Don Valley East/Don Valley-Est"," 408","North York",3,13,73,6,2,0,97,301
35019,"Don Valley East/Don Valley-Est"," 409","North York",0,34,76,16,3,6,135,208
35019,"Don Valley East/Don Valley-Est"," 410","Scarborough",0,23,103,12,0,3,141,405
35019,"Don Valley East/Don Valley-Est"," 411","North York",0,51,157,21,7,2,238,355
35019,"Don Valley East/Don Valley-Est"," 412","North York",1,20,74,6,17,3,121,162
35019,"Don Valley East/Don Valley-Est"," 413A","North York",2,35,110,23,8,3,181,294
35019,"Don Valley East/Don Valley-Est"," 413B","North York",2,38,121,12,12,0,185,305
35019,"Don Valley East/Don Valley-Est"," 414A","North York",0,29,110,14,11,2,166,300
35019,"Don Valley East/Don Valley-Est"," 414B","North York",5,36,102,17,2,1,163,264
35019,"Don Valley East/Don Valley-Est"," 415","North York",1,57,108,21,5,2,194,323
35019,"Don Valley East/Don Valley-Est"," 416","North York",1,42,87,20,6,1,157,287
35019,"Don Valley East/Don Valley-Est"," 417","North York",0,25,59,12,4,0,100,174
35019,"Don Valley East/Don Valley-Est"," 418","North York",5,83,150,33,5,4,280,458
35019,"Don Valley East/Don Valley-Est"," 419","North York",1,46,105,11,5,1,169,235
35019,"Don Valley East/Don Valley-Est"," 420","North York",4,61,160,41,6,1,273,471
35019,"Don Valley East/Don Valley-Est"," 421","North York",2,53,189,40,14,2,300,456
35019,"Don Valley East/Don Valley-Est"," 422","North York",0,29,112,23,4,2,170,250
35019,"Don Valley East/Don Valley-Est"," 423","North York",1,25,82,10,4,1,123,206
35019,"Don Valley East/Don Valley-Est"," 424","North York",1,41,179,31,11,0,263,403
35019,"Don Valley East/Don Valley-Est"," 425","North York",2,34,60,2,3,4,105,130
35019,"Don Valley East/Don Valley-Est"," 426","Scarborough",2,32,153,13,3,8,211,316
35019,"Don Valley East/Don Valley-Est"," 427","North York",1,31,115,16,6,1,170,322
35019,"Don Valley East/Don Valley-Est"," 428","North York",1,39,169,18,7,1,235,333
35019,"Don Valley East/Don Valley-Est"," 429","North York",4,61,132,16,12,3,228,333
35019,"Don Valley East/Don Valley-Est"," 430","North York",3,16,38,6,0,1,64,181
35019,"Don Valley East/Don Valley-Est"," 431A","North York",0,25,123,19,4,3,174,328
35019,"Don Valley East/Don Valley-Est"," 431B","North York",2,32,111,18,8,1,172,328
35019,"Don Valley East/Don Valley-Est"," 432A","North York",2,27,131,34,2,2,198,358
35019,"Don Valley East/Don Valley-Est"," 432B","North York",1,32,103,21,4,2,163,325
35019,"Don Valley East/Don Valley-Est"," 433","North York",2,30,121,26,5,2,186,423
35019,"Don Valley East/Don Valley-Est"," 434","North York",3,6,160,18,6,10,203,427
35019,"Don Valley East/Don Valley-Est"," 435","North York",3,23,134,25,7,2,194,430
35019,"Don Valley East/Don Valley-Est"," 436","North York",5,48,70,14,8,1,146,244
35019,"Don Valley East/Don Valley-Est"," 437A","North York",0,21,92,18,6,0,137,303
35019,"Don Valley East/Don Valley-Est"," 437B","North York",1,17,90,11,5,1,125,275
35019,"Don Valley East/Don Valley-Est"," 438A","North York",3,11,89,15,1,4,123,281
35019,"Don Valley East/Don Valley-Est"," 438B","North York",2,8,116,16,3,0,145,313
35019,"Don Valley East/Don Valley-Est"," 439","North York",0,49,193,19,8,2,271,492
35019,"Don Valley East/Don Valley-Est"," 440","North York",0,30,97,13,6,0,146,320
35019,"Don Valley East/Don Valley-Est"," 441","North York",1,30,91,11,3,3,139,280
35019,"Don Valley East/Don Valley-Est"," 442","North York",3,34,207,23,4,8,279,519
35019,"Don Valley East/Don Valley-Est"," 443","North York",1,31,233,32,9,6,312,516
35019,"Don Valley East/Don Valley-Est"," 500","Mobile poll/Bureau itinérant",1,14,24,2,0,1,42,58
35019,"Don Valley East/Don Valley-Est"," 501","Mobile poll/Bureau itinérant",1,31,38,2,3,0,75,182
35019,"Don Valley East/Don Valley-Est"," 600","North York",16,242,626,93,37,3,1017,
35019,"Don Valley East/Don Valley-Est"," 601","North York",17,287,533,89,30,3,959,
35019,"Don Valley East/Don Valley-Est"," 602","North York",14,349,585,85,58,11,1102,
35019,"Don Valley East/Don Valley-Est"," 603","North York",9,368,634,98,56,8,1173,
35019,"Don Valley East/Don Valley-Est"," 604","North York",18,353,650,109,54,7,1191,
35019,"Don Valley East/Don Valley-Est"," 605","North York",7,199,393,80,21,5,705,
35019,"Don Valley East/Don Valley-Est"," 606","North York",17,229,388,83,37,6,760,
35019,"Don Valley East/Don Valley-Est"," 607","North York",8,138,504,66,25,10,751,
35019,"Don Valley East/Don Valley-Est"," 608","North York",3,64,255,25,19,0,366,
35019,"Don Valley East/Don Valley-Est"," 609","North York",9,107,429,58,20,4,627,
35019,"Don Valley East/Don Valley-Est"," 610","North York",6,88,514,61,11,5,685,
35019,"Don Valley East/Don Valley-Est"," 611","North York",6,66,374,38,6,2,492,
35019,"Don Valley East/Don Valley-Est",,Group 1/Groupe 1, 2,19,98,13,9,14,155,246
35019,"Don Valley East/Don Valley-Est",,Group 2/Groupe 2, 10,206,573,95,54,27,965,
