Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Bettess,Terry Duguid,Jean-Paul Lapointe,Melanie Maher,Mirwais Nasiri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 38","Winnipeg",4,70,10,103,1,0,188,395
46013,"Winnipeg South/Winnipeg-Sud"," 39","Winnipeg",5,42,14,68,1,0,130,406
46013,"Winnipeg South/Winnipeg-Sud"," 40","Winnipeg",10,48,8,125,0,0,191,363
46013,"Winnipeg South/Winnipeg-Sud"," 41A","Winnipeg",8,66,22,59,0,6,161,332
46013,"Winnipeg South/Winnipeg-Sud"," 41B","Winnipeg",7,55,22,75,0,0,159,337
46013,"Winnipeg South/Winnipeg-Sud"," 42A","Winnipeg",9,83,20,82,5,0,199,392
46013,"Winnipeg South/Winnipeg-Sud"," 42B","Winnipeg",7,58,24,88,0,0,177,365
46013,"Winnipeg South/Winnipeg-Sud"," 43","Winnipeg",2,76,25,72,1,0,176,417
46013,"Winnipeg South/Winnipeg-Sud"," 44","Winnipeg",5,85,49,72,4,3,218,467
46013,"Winnipeg South/Winnipeg-Sud"," 45","Winnipeg",9,66,35,80,1,1,192,363
46013,"Winnipeg South/Winnipeg-Sud"," 46","Winnipeg",7,98,50,85,1,2,243,409
46013,"Winnipeg South/Winnipeg-Sud"," 47","Winnipeg",14,98,22,60,0,2,196,322
46013,"Winnipeg South/Winnipeg-Sud"," 48","Winnipeg",16,128,61,113,3,0,321,558
46013,"Winnipeg South/Winnipeg-Sud"," 49","Winnipeg",9,125,37,97,3,0,271,506
46013,"Winnipeg South/Winnipeg-Sud"," 50","Winnipeg",9,85,27,60,2,1,184,372
46013,"Winnipeg South/Winnipeg-Sud"," 51","Winnipeg",9,88,30,60,1,0,188,376
46013,"Winnipeg South/Winnipeg-Sud"," 52","Winnipeg",9,85,35,85,0,1,215,448
46013,"Winnipeg South/Winnipeg-Sud"," 53","Winnipeg",4,94,53,52,2,3,208,436
46013,"Winnipeg South/Winnipeg-Sud"," 54","Winnipeg",13,54,33,58,3,1,162,337
46013,"Winnipeg South/Winnipeg-Sud"," 55","Winnipeg",14,86,52,125,2,1,280,547
46013,"Winnipeg South/Winnipeg-Sud"," 56","Winnipeg",8,92,54,106,3,0,263,527
46013,"Winnipeg South/Winnipeg-Sud"," 57","Winnipeg",12,84,38,104,5,0,243,490
46013,"Winnipeg South/Winnipeg-Sud"," 58","Winnipeg",2,89,16,117,3,0,227,422
46013,"Winnipeg South/Winnipeg-Sud"," 59","Winnipeg",8,97,46,112,0,2,265,449
46013,"Winnipeg South/Winnipeg-Sud"," 60","Winnipeg",4,84,35,88,0,1,212,376
46013,"Winnipeg South/Winnipeg-Sud"," 61A","Winnipeg",3,53,25,80,0,0,161,362
46013,"Winnipeg South/Winnipeg-Sud"," 61B","Winnipeg",6,68,23,60,5,0,162,350
46013,"Winnipeg South/Winnipeg-Sud"," 62","Winnipeg",11,119,53,87,2,2,274,529
46013,"Winnipeg South/Winnipeg-Sud"," 63","Winnipeg",15,101,40,86,7,2,251,432
46013,"Winnipeg South/Winnipeg-Sud"," 64","Winnipeg",10,108,40,102,2,1,263,600
46013,"Winnipeg South/Winnipeg-Sud"," 65","Winnipeg",13,77,71,67,5,2,235,544
46013,"Winnipeg South/Winnipeg-Sud"," 66","Winnipeg",7,94,30,83,0,1,215,419
46013,"Winnipeg South/Winnipeg-Sud"," 67","Winnipeg",13,114,45,113,0,3,288,530
46013,"Winnipeg South/Winnipeg-Sud"," 68","Winnipeg",8,135,43,94,1,1,282,531
46013,"Winnipeg South/Winnipeg-Sud"," 69","Winnipeg",5,70,29,90,1,2,197,358
46013,"Winnipeg South/Winnipeg-Sud"," 70A","Winnipeg",7,86,28,74,0,0,195,318
46013,"Winnipeg South/Winnipeg-Sud"," 70B","Winnipeg",7,58,15,67,2,2,151,290
46013,"Winnipeg South/Winnipeg-Sud"," 71","Winnipeg",11,104,33,88,3,1,240,518
46013,"Winnipeg South/Winnipeg-Sud"," 72","Winnipeg",16,112,42,88,0,0,258,502
46013,"Winnipeg South/Winnipeg-Sud"," 73A","Winnipeg",12,99,15,91,0,0,217,424
46013,"Winnipeg South/Winnipeg-Sud"," 73B","Winnipeg",13,126,15,93,4,3,254,490
46013,"Winnipeg South/Winnipeg-Sud"," 74","Winnipeg",15,179,56,93,2,4,349,591
46013,"Winnipeg South/Winnipeg-Sud"," 75","Winnipeg",7,101,33,103,4,0,248,436
46013,"Winnipeg South/Winnipeg-Sud"," 76","Winnipeg",10,108,29,86,0,2,235,427
46013,"Winnipeg South/Winnipeg-Sud"," 77","Winnipeg",5,81,25,103,0,4,218,490
46013,"Winnipeg South/Winnipeg-Sud"," 78","Winnipeg",12,80,22,74,1,2,191,331
46013,"Winnipeg South/Winnipeg-Sud"," 79","Winnipeg",10,86,28,67,0,0,191,392
46013,"Winnipeg South/Winnipeg-Sud"," 80","Winnipeg",8,75,41,46,3,3,176,493
46013,"Winnipeg South/Winnipeg-Sud"," 81","Winnipeg",15,55,35,41,2,2,150,338
46013,"Winnipeg South/Winnipeg-Sud"," 82","Winnipeg",7,124,48,91,3,4,277,564
46013,"Winnipeg South/Winnipeg-Sud"," 83","Winnipeg",7,99,35,86,3,2,232,484
46013,"Winnipeg South/Winnipeg-Sud"," 84","Winnipeg",7,104,36,64,4,0,215,384
46013,"Winnipeg South/Winnipeg-Sud"," 85","Winnipeg",18,86,43,80,2,1,230,403
46013,"Winnipeg South/Winnipeg-Sud"," 86","Winnipeg",17,139,42,122,3,2,325,561
46013,"Winnipeg South/Winnipeg-Sud"," 87","Winnipeg",7,61,34,70,1,0,173,311
46013,"Winnipeg South/Winnipeg-Sud"," 88","Winnipeg",11,94,47,100,2,4,258,439
46013,"Winnipeg South/Winnipeg-Sud"," 89","Winnipeg",9,125,51,88,1,1,275,536
46013,"Winnipeg South/Winnipeg-Sud"," 90","Winnipeg",16,119,33,107,4,2,281,484
46013,"Winnipeg South/Winnipeg-Sud"," 91A","Winnipeg",8,120,19,82,3,2,234,383
46013,"Winnipeg South/Winnipeg-Sud"," 91B","Winnipeg",7,82,22,81,1,1,194,334
46013,"Winnipeg South/Winnipeg-Sud"," 92","Winnipeg",14,95,42,99,1,0,251,445
46013,"Winnipeg South/Winnipeg-Sud"," 93A","Winnipeg",12,102,39,77,3,0,233,395
46013,"Winnipeg South/Winnipeg-Sud"," 93B","Winnipeg",6,91,37,78,5,2,219,363
46013,"Winnipeg South/Winnipeg-Sud"," 94","Winnipeg",20,109,29,75,3,1,237,447
46013,"Winnipeg South/Winnipeg-Sud"," 95","Winnipeg",21,133,28,57,9,1,249,423
46013,"Winnipeg South/Winnipeg-Sud"," 96","Winnipeg",6,92,26,66,2,0,192,331
46013,"Winnipeg South/Winnipeg-Sud"," 97","Winnipeg",12,100,26,54,9,3,204,343
46013,"Winnipeg South/Winnipeg-Sud"," 98","Winnipeg",11,97,35,41,2,1,187,382
46013,"Winnipeg South/Winnipeg-Sud"," 99","Winnipeg",16,73,37,30,3,0,159,433
46013,"Winnipeg South/Winnipeg-Sud"," 100","Winnipeg",14,76,20,56,1,0,167,366
46013,"Winnipeg South/Winnipeg-Sud"," 101","Winnipeg",17,72,14,66,1,1,171,329
46013,"Winnipeg South/Winnipeg-Sud"," 102","Winnipeg",6,94,19,67,1,2,189,320
46013,"Winnipeg South/Winnipeg-Sud"," 103","Winnipeg",9,86,20,75,1,0,191,340
46013,"Winnipeg South/Winnipeg-Sud"," 104","Winnipeg",5,93,21,115,0,0,234,492
46013,"Winnipeg South/Winnipeg-Sud"," 105","Winnipeg",4,110,26,66,1,0,207,412
46013,"Winnipeg South/Winnipeg-Sud"," 106","Winnipeg",5,141,31,65,0,0,242,488
46013,"Winnipeg South/Winnipeg-Sud"," 107","Winnipeg",4,80,35,55,0,1,175,400
46013,"Winnipeg South/Winnipeg-Sud"," 108","Winnipeg",11,78,22,86,2,2,201,390
46013,"Winnipeg South/Winnipeg-Sud"," 109","Winnipeg",8,110,29,117,0,1,265,454
46013,"Winnipeg South/Winnipeg-Sud"," 110A","Winnipeg",8,77,13,54,1,0,153,338
46013,"Winnipeg South/Winnipeg-Sud"," 110B","Winnipeg",8,69,28,46,1,0,152,331
46013,"Winnipeg South/Winnipeg-Sud"," 111","Winnipeg",9,121,23,86,2,2,243,410
46013,"Winnipeg South/Winnipeg-Sud"," 112","Winnipeg",15,103,60,112,0,5,295,552
46013,"Winnipeg South/Winnipeg-Sud"," 113","Winnipeg",2,66,16,46,2,1,133,299
46013,"Winnipeg South/Winnipeg-Sud"," 114A","Winnipeg",5,85,41,89,0,1,221,502
46013,"Winnipeg South/Winnipeg-Sud"," 114B","Winnipeg",7,62,35,101,1,0,206,461
46013,"Winnipeg South/Winnipeg-Sud"," 115","Winnipeg",8,153,58,101,4,5,329,709
46013,"Winnipeg South/Winnipeg-Sud"," 116A","Winnipeg",8,96,24,75,2,0,205,420
46013,"Winnipeg South/Winnipeg-Sud"," 116B","Winnipeg",3,71,26,71,0,0,171,372
46013,"Winnipeg South/Winnipeg-Sud"," 117","Winnipeg",3,121,32,78,1,3,238,544
46013,"Winnipeg South/Winnipeg-Sud"," 118","Winnipeg",7,124,42,137,2,1,313,615
46013,"Winnipeg South/Winnipeg-Sud"," 119A","Winnipeg",4,96,33,53,1,0,187,432
46013,"Winnipeg South/Winnipeg-Sud"," 119B","Winnipeg",4,113,29,66,2,4,218,426
46013,"Winnipeg South/Winnipeg-Sud"," 120","Winnipeg",11,92,56,67,2,1,229,473
46013,"Winnipeg South/Winnipeg-Sud"," 121","Winnipeg",8,75,48,76,2,2,211,396
46013,"Winnipeg South/Winnipeg-Sud"," 122","Winnipeg",19,88,20,54,4,0,185,363
46013,"Winnipeg South/Winnipeg-Sud"," 123","Winnipeg",7,86,21,55,0,0,169,335
46013,"Winnipeg South/Winnipeg-Sud"," 124","Winnipeg",7,86,30,76,0,1,200,372
46013,"Winnipeg South/Winnipeg-Sud"," 125","Winnipeg",10,82,46,61,2,2,203,444
46013,"Winnipeg South/Winnipeg-Sud"," 126","Winnipeg",7,119,29,109,1,2,267,446
46013,"Winnipeg South/Winnipeg-Sud"," 127","Winnipeg",9,106,26,79,0,0,220,413
46013,"Winnipeg South/Winnipeg-Sud"," 128","Winnipeg",11,87,55,60,3,0,216,535
46013,"Winnipeg South/Winnipeg-Sud"," 129","Winnipeg",12,114,23,72,1,1,223,391
46013,"Winnipeg South/Winnipeg-Sud"," 130","Winnipeg",9,129,33,122,2,3,298,551
46013,"Winnipeg South/Winnipeg-Sud"," 131","Winnipeg",2,159,30,122,3,2,318,602
46013,"Winnipeg South/Winnipeg-Sud"," 132","Winnipeg",7,108,32,107,4,3,261,444
46013,"Winnipeg South/Winnipeg-Sud"," 133","Winnipeg",18,106,35,156,2,0,317,585
46013,"Winnipeg South/Winnipeg-Sud"," 134","Winnipeg",10,70,33,107,2,0,222,368
46013,"Winnipeg South/Winnipeg-Sud"," 135","Winnipeg",10,75,16,95,6,0,202,373
46013,"Winnipeg South/Winnipeg-Sud"," 136","Winnipeg",11,91,47,106,7,0,262,526
46013,"Winnipeg South/Winnipeg-Sud"," 137","Winnipeg",12,93,56,79,5,0,245,574
46013,"Winnipeg South/Winnipeg-Sud"," 138","Winnipeg",12,55,35,67,2,1,172,350
46013,"Winnipeg South/Winnipeg-Sud"," 139","Winnipeg",15,105,47,90,7,5,269,513
46013,"Winnipeg South/Winnipeg-Sud"," 140","Winnipeg",12,74,27,83,1,1,198,471
46013,"Winnipeg South/Winnipeg-Sud"," 141","Winnipeg",6,59,21,67,0,0,153,413
46013,"Winnipeg South/Winnipeg-Sud"," 142","Winnipeg",8,82,38,83,1,1,213,470
46013,"Winnipeg South/Winnipeg-Sud"," 143","Winnipeg",12,62,42,66,4,4,190,433
46013,"Winnipeg South/Winnipeg-Sud"," 144","Winnipeg",24,137,50,104,6,2,323,535
46013,"Winnipeg South/Winnipeg-Sud"," 145","Winnipeg",17,90,22,59,0,0,188,335
46013,"Winnipeg South/Winnipeg-Sud"," 400","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,192
46013,"Winnipeg South/Winnipeg-Sud"," 401","Winnipeg",5,78,14,49,0,11,157,195
46013,"Winnipeg South/Winnipeg-Sud"," 402","Winnipeg",10,113,29,86,1,4,243,346
46013,"Winnipeg South/Winnipeg-Sud"," 500","Mobile poll/Bureau itinérant",1,19,5,10,0,0,35,118
46013,"Winnipeg South/Winnipeg-Sud"," 501A","Mobile poll/Bureau itinérant",3,30,10,4,2,5,54,283
46013,"Winnipeg South/Winnipeg-Sud"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,15
46013,"Winnipeg South/Winnipeg-Sud"," 502A","Mobile poll/Bureau itinérant",2,30,20,20,2,6,80,162
46013,"Winnipeg South/Winnipeg-Sud"," 502B","Mobile poll/Bureau itinérant",6,35,7,35,2,0,85,98
46013,"Winnipeg South/Winnipeg-Sud"," 600","Winnipeg",22,329,71,590,13,1,1026,
46013,"Winnipeg South/Winnipeg-Sud"," 601","Winnipeg",24,306,94,431,9,0,864,
46013,"Winnipeg South/Winnipeg-Sud"," 602","Winnipeg",17,227,35,188,1,3,471,
46013,"Winnipeg South/Winnipeg-Sud"," 603","Winnipeg",62,453,116,430,8,4,1073,
46013,"Winnipeg South/Winnipeg-Sud"," 604","Winnipeg",40,428,137,373,5,6,989,
46013,"Winnipeg South/Winnipeg-Sud"," 605","Winnipeg",46,402,88,453,5,2,996,
46013,"Winnipeg South/Winnipeg-Sud"," 606","Winnipeg",32,454,109,405,8,2,1010,
46013,"Winnipeg South/Winnipeg-Sud"," 607","Winnipeg",37,413,79,449,5,3,986,
46013,"Winnipeg South/Winnipeg-Sud"," 608","Winnipeg",28,306,68,292,4,4,702,
46013,"Winnipeg South/Winnipeg-Sud"," 609","Winnipeg",21,368,73,356,8,7,833,
46013,"Winnipeg South/Winnipeg-Sud"," 610","Winnipeg",27,358,61,377,5,1,829,
46013,"Winnipeg South/Winnipeg-Sud"," 611","Winnipeg",36,385,107,415,5,1,949,
46013,"Winnipeg South/Winnipeg-Sud"," 612","Winnipeg",38,334,62,348,7,6,795,
46013,"Winnipeg South/Winnipeg-Sud",,Group 1/Groupe 1, 13,79,16,66,1,12,187,186
46013,"Winnipeg South/Winnipeg-Sud",,Group 2/Groupe 2, 64,501,129,466,13,33,1206,
