Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Alderson,Bill Capes,Audrey Festeryga,Chris Lewis,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 40A","Lakeshore",9,6,35,73,88,4,215,426
35026,"Essex/Essex"," 40B","Lakeshore",4,3,31,96,79,1,214,437
35026,"Essex/Essex"," 41","Lakeshore",0,3,40,64,67,2,176,438
35026,"Essex/Essex"," 42","Lakeshore",11,8,27,95,74,2,217,480
35026,"Essex/Essex"," 43","Lakeshore",7,9,50,88,82,0,236,449
35026,"Essex/Essex"," 44","Lakeshore",5,9,37,88,58,2,199,382
35026,"Essex/Essex"," 45","Lakeshore",5,2,50,118,83,0,258,492
35026,"Essex/Essex"," 46","Lakeshore",4,13,21,86,58,0,182,380
35026,"Essex/Essex"," 47","Lakeshore",7,3,19,87,62,0,178,369
35026,"Essex/Essex"," 48","Lakeshore",10,2,44,123,84,3,266,566
35026,"Essex/Essex"," 49","Lakeshore",9,7,47,128,97,0,288,500
35026,"Essex/Essex"," 50","Lakeshore",8,7,36,143,121,3,318,527
35026,"Essex/Essex"," 51","LaSalle",1,3,36,79,70,1,190,440
35026,"Essex/Essex"," 52","LaSalle",5,2,60,76,30,2,175,400
35026,"Essex/Essex"," 53","LaSalle",1,6,58,61,27,3,156,355
35026,"Essex/Essex"," 54","LaSalle",3,1,78,102,54,1,239,510
35026,"Essex/Essex"," 55","LaSalle",8,2,39,63,41,4,157,492
35026,"Essex/Essex"," 56","LaSalle",5,6,47,71,62,0,191,425
35026,"Essex/Essex"," 57","LaSalle",8,2,54,83,80,2,229,488
35026,"Essex/Essex"," 58","LaSalle",4,3,37,81,49,0,174,399
35026,"Essex/Essex"," 59","LaSalle",4,3,52,83,72,3,217,464
35026,"Essex/Essex"," 60","LaSalle",2,5,61,95,66,0,229,456
35026,"Essex/Essex"," 61","LaSalle",14,3,36,62,64,2,181,344
35026,"Essex/Essex"," 62A","LaSalle",7,3,24,52,40,4,130,301
35026,"Essex/Essex"," 62B","LaSalle",2,6,25,51,62,0,146,329
35026,"Essex/Essex"," 63","LaSalle",3,1,59,104,67,1,235,496
