Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julian Bonello-Stauch,Hugo Clénin,Gisèle Desroches,Mathieu Goyette,Marc Labelle,Isabel Sayegh,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 40","Sainte-Julienne",7,0,8,7,2,18,98,4,144,345
24050,"Montcalm/Montcalm"," 41","Sainte-Julienne",9,3,10,1,1,22,65,5,116,318
24050,"Montcalm/Montcalm"," 42","Sainte-Julienne",7,2,13,14,2,24,128,6,196,538
24050,"Montcalm/Montcalm"," 43","Saint-Calixte",7,9,9,7,2,16,67,0,117,428
24050,"Montcalm/Montcalm"," 44","Saint-Calixte",6,0,18,8,4,25,91,4,156,476
24050,"Montcalm/Montcalm"," 45","Saint-Calixte",9,1,12,9,1,17,76,8,133,450
24050,"Montcalm/Montcalm"," 46","Saint-Calixte",11,2,15,12,5,19,79,7,150,407
24050,"Montcalm/Montcalm"," 47","Saint-Calixte",9,3,16,7,3,33,88,1,160,474
24050,"Montcalm/Montcalm"," 48","Saint-Calixte",6,1,9,8,1,24,74,9,132,347
24050,"Montcalm/Montcalm"," 49","Saint-Calixte",12,2,18,8,0,9,56,7,112,396
24050,"Montcalm/Montcalm"," 50","Saint-Calixte",5,4,21,6,4,27,85,5,157,456
24050,"Montcalm/Montcalm"," 51","Saint-Calixte",5,3,11,10,4,27,101,3,164,490
24050,"Montcalm/Montcalm"," 52","Saint-Calixte",2,3,15,2,1,10,61,6,100,296
24050,"Montcalm/Montcalm"," 53","Saint-Calixte",7,3,6,5,2,12,57,3,95,316
24050,"Montcalm/Montcalm"," 54","Saint-Calixte",6,3,22,6,0,22,69,4,132,413
24050,"Montcalm/Montcalm"," 55","Saint-Calixte",2,1,11,9,1,13,63,1,101,286
24050,"Montcalm/Montcalm"," 56","Saint-Calixte",11,1,8,9,2,27,54,3,115,257
24050,"Montcalm/Montcalm"," 57","Saint-Esprit",6,1,24,5,1,41,129,5,212,366
24050,"Montcalm/Montcalm"," 58","Saint-Esprit",9,1,10,10,0,35,66,3,134,244
24050,"Montcalm/Montcalm"," 59","Saint-Esprit",11,2,22,7,2,35,85,8,172,316
24050,"Montcalm/Montcalm"," 60","Saint-Esprit",17,4,13,7,3,33,113,6,196,329
24050,"Montcalm/Montcalm"," 61","Saint-Esprit",19,2,34,14,4,39,135,10,257,370
24050,"Montcalm/Montcalm"," 62","L'Épiphanie",9,2,11,7,1,20,64,0,114,261
24050,"Montcalm/Montcalm"," 63","L'Épiphanie",10,5,20,9,4,43,113,7,211,474
24050,"Montcalm/Montcalm"," 64","L'Épiphanie",14,1,18,4,2,37,90,6,172,436
24050,"Montcalm/Montcalm"," 65","L'Épiphanie",17,0,21,10,5,37,172,4,266,533
24050,"Montcalm/Montcalm"," 66","L'Épiphanie",16,2,13,9,1,33,113,4,191,411
24050,"Montcalm/Montcalm"," 67","L'Épiphanie",18,2,12,9,1,45,100,10,197,417
24050,"Montcalm/Montcalm"," 68","L'Épiphanie",9,1,8,2,1,29,51,3,104,333
24050,"Montcalm/Montcalm"," 69","L'Épiphanie",17,2,17,8,0,48,136,7,235,512
24050,"Montcalm/Montcalm"," 70","L'Épiphanie",13,2,25,11,3,31,117,6,208,422
24050,"Montcalm/Montcalm"," 71","L'Épiphanie",7,0,7,16,2,24,76,4,136,405
24050,"Montcalm/Montcalm"," 72","L'Épiphanie",20,0,14,4,0,42,88,8,176,422
24050,"Montcalm/Montcalm"," 73","L'Épiphanie",14,2,14,12,0,33,118,6,199,410
24050,"Montcalm/Montcalm"," 74","L'Épiphanie",30,3,17,11,1,52,137,7,258,539
24050,"Montcalm/Montcalm"," 75","L'Épiphanie",13,1,14,15,2,39,139,2,225,465
24050,"Montcalm/Montcalm"," 76","L'Épiphanie",10,2,16,9,4,22,85,1,149,372
24050,"Montcalm/Montcalm"," 77","L'Épiphanie",14,0,16,2,0,36,85,0,153,340
24050,"Montcalm/Montcalm"," 78","Saint-Lin--Laurentides",5,1,17,8,3,21,91,8,154,424
24050,"Montcalm/Montcalm"," 79","Saint-Lin--Laurentides",6,1,13,3,1,14,89,7,134,434
24050,"Montcalm/Montcalm"," 80","Saint-Lin--Laurentides",5,0,16,10,0,21,62,1,115,388
24050,"Montcalm/Montcalm"," 81","Saint-Lin--Laurentides",9,1,10,3,1,16,84,3,127,397
24050,"Montcalm/Montcalm"," 82","Saint-Lin--Laurentides",8,1,15,2,2,34,84,9,155,443
24050,"Montcalm/Montcalm"," 83","Saint-Lin--Laurentides",3,3,22,9,1,22,71,1,132,322
24050,"Montcalm/Montcalm"," 84","Saint-Lin--Laurentides",1,2,14,5,2,19,77,2,122,299
24050,"Montcalm/Montcalm"," 85","Saint-Lin--Laurentides",12,5,7,6,1,28,77,3,139,373
24050,"Montcalm/Montcalm"," 86","Saint-Lin--Laurentides",10,2,29,10,0,26,98,5,180,477
24050,"Montcalm/Montcalm"," 87","Saint-Roch-de-l'Achigan",11,0,15,10,1,44,162,3,246,471
24050,"Montcalm/Montcalm"," 88","Saint-Roch-de-l'Achigan",12,2,12,6,0,17,110,1,160,369
24050,"Montcalm/Montcalm"," 89","Saint-Roch-Ouest",19,3,23,13,0,43,150,5,256,488
24050,"Montcalm/Montcalm"," 90","Saint-Roch-de-l'Achigan",10,1,12,6,3,32,87,4,155,353
24050,"Montcalm/Montcalm"," 91","Saint-Roch-de-l'Achigan",10,1,9,7,0,37,91,7,162,370
24050,"Montcalm/Montcalm"," 92","Saint-Roch-de-l'Achigan",6,1,8,10,0,31,89,3,148,317
24050,"Montcalm/Montcalm"," 93","Saint-Roch-de-l'Achigan",7,0,21,8,1,26,101,2,166,362
24050,"Montcalm/Montcalm"," 94","Saint-Roch-de-l'Achigan",5,1,4,5,2,25,87,2,131,269
24050,"Montcalm/Montcalm"," 95","Saint-Roch-Ouest",3,0,15,8,0,23,75,0,124,243
24050,"Montcalm/Montcalm"," 96","Saint-Roch-de-l'Achigan",15,2,13,13,2,43,144,4,236,447
24050,"Montcalm/Montcalm"," 97","Saint-Roch-de-l'Achigan",9,0,7,2,0,17,78,0,113,246
24050,"Montcalm/Montcalm"," 98","Saint-Roch-de-l'Achigan",5,0,6,3,0,29,92,2,137,329
24050,"Montcalm/Montcalm"," 99","Saint-Lin--Laurentides",7,3,12,11,0,31,84,4,152,427
24050,"Montcalm/Montcalm"," 100","Saint-Lin--Laurentides",8,2,26,4,3,35,80,8,166,484
24050,"Montcalm/Montcalm"," 101","Saint-Lin--Laurentides",2,4,12,9,0,15,87,2,131,426
24050,"Montcalm/Montcalm"," 102","Saint-Lin--Laurentides",10,2,10,5,0,35,64,3,129,349
24050,"Montcalm/Montcalm"," 103","Saint-Lin--Laurentides",9,2,24,8,1,28,103,4,179,461
24050,"Montcalm/Montcalm"," 104","Saint-Lin--Laurentides",12,4,27,6,2,40,142,11,244,533
24050,"Montcalm/Montcalm"," 105","Saint-Lin--Laurentides",2,0,9,2,1,14,27,0,55,344
24050,"Montcalm/Montcalm"," 106","Saint-Lin--Laurentides",15,2,37,9,5,62,162,8,300,628
24050,"Montcalm/Montcalm"," 107","Saint-Lin--Laurentides",6,3,17,6,2,24,91,6,155,409
24050,"Montcalm/Montcalm"," 108","Saint-Lin--Laurentides",3,3,10,2,2,28,93,4,145,396
24050,"Montcalm/Montcalm"," 109","Saint-Lin--Laurentides",15,2,13,5,3,24,91,8,161,410
24050,"Montcalm/Montcalm"," 110","Saint-Lin--Laurentides",14,3,21,14,1,30,147,7,237,552
24050,"Montcalm/Montcalm"," 111","Saint-Lin--Laurentides",21,3,20,13,3,35,105,11,211,554
24050,"Montcalm/Montcalm"," 112","Saint-Lin--Laurentides",15,0,19,4,1,31,84,10,164,484
24050,"Montcalm/Montcalm"," 113","Saint-Lin--Laurentides",10,1,27,1,1,48,138,7,233,510
24050,"Montcalm/Montcalm"," 114","Saint-Lin--Laurentides",12,1,16,10,2,34,134,7,216,463
24050,"Montcalm/Montcalm"," 115","Saint-Lin--Laurentides",19,2,13,7,3,48,127,5,224,557
24050,"Montcalm/Montcalm"," 116","Saint-Lin--Laurentides",11,1,22,11,1,29,102,8,185,490
24050,"Montcalm/Montcalm"," 117","Saint-Lin--Laurentides",15,2,33,10,1,43,159,8,271,585
24050,"Montcalm/Montcalm"," 118","Saint-Lin--Laurentides",22,4,20,15,3,33,159,2,258,593
24050,"Montcalm/Montcalm"," 119","Saint-Lin--Laurentides",13,5,19,8,6,33,135,5,224,510
24050,"Montcalm/Montcalm"," 120","Saint-Lin--Laurentides",9,2,24,5,3,31,105,9,188,474
24050,"Montcalm/Montcalm"," 121","Saint-Lin--Laurentides",11,2,20,12,2,22,118,5,192,508
24050,"Montcalm/Montcalm"," 122","Saint-Lin--Laurentides",19,2,23,7,2,30,164,5,252,475
24050,"Montcalm/Montcalm"," 123","Saint-Lin--Laurentides",12,5,25,16,5,46,154,12,275,664
24050,"Montcalm/Montcalm"," 124","Saint-Lin--Laurentides",14,0,21,13,0,34,129,4,215,524
24050,"Montcalm/Montcalm"," 125","Saint-Lin--Laurentides",15,4,18,15,2,28,166,6,254,551
24050,"Montcalm/Montcalm"," 126","Mascouche",12,5,14,5,1,27,117,6,187,419
24050,"Montcalm/Montcalm"," 127","Mascouche",12,1,23,7,1,32,120,5,201,451
24050,"Montcalm/Montcalm"," 128","Mascouche",19,2,17,9,0,42,134,5,228,450
24050,"Montcalm/Montcalm"," 129","Mascouche",17,3,14,9,1,49,109,1,203,373
24050,"Montcalm/Montcalm"," 130","Mascouche",14,1,19,7,0,37,110,7,195,397
24050,"Montcalm/Montcalm"," 131","Mascouche",21,1,10,7,1,35,120,6,201,377
24050,"Montcalm/Montcalm"," 132","Mascouche",15,0,13,7,1,36,103,3,178,340
24050,"Montcalm/Montcalm"," 133","Mascouche",12,2,11,10,0,57,106,4,202,456
24050,"Montcalm/Montcalm"," 134","Mascouche",4,1,14,12,0,24,97,4,156,324
24050,"Montcalm/Montcalm"," 135","Mascouche",8,2,10,6,1,31,79,3,140,358
24050,"Montcalm/Montcalm"," 136","Mascouche",10,4,13,5,3,46,142,5,228,439
24050,"Montcalm/Montcalm"," 137","Mascouche",18,0,17,5,3,41,116,7,207,503
24050,"Montcalm/Montcalm"," 138","Mascouche",10,0,13,7,0,28,79,5,142,279
24050,"Montcalm/Montcalm"," 139","Mascouche",7,0,10,8,1,24,86,3,139,386
24050,"Montcalm/Montcalm"," 140","Mascouche",18,0,14,15,4,27,97,5,180,446
24050,"Montcalm/Montcalm"," 141","Mascouche",17,1,7,10,1,20,85,3,144,335
24050,"Montcalm/Montcalm"," 142","Mascouche",19,1,20,7,0,42,85,4,178,383
24050,"Montcalm/Montcalm"," 143A","Mascouche",13,2,19,13,2,88,124,5,266,620
24050,"Montcalm/Montcalm"," 143B","Mascouche",27,2,29,12,2,77,139,5,293,595
24050,"Montcalm/Montcalm"," 144","Mascouche",22,1,15,6,2,89,130,0,265,479
24050,"Montcalm/Montcalm"," 145","Mascouche",21,2,15,16,1,67,163,0,285,534
24050,"Montcalm/Montcalm"," 146","Mascouche",14,1,16,6,2,46,95,4,184,373
24050,"Montcalm/Montcalm"," 147","Mascouche",17,1,22,15,0,65,133,5,258,415
24050,"Montcalm/Montcalm"," 148","Mascouche",18,1,15,9,1,53,128,4,229,474
24050,"Montcalm/Montcalm"," 149","Mascouche",28,0,13,12,2,54,150,1,260,522
24050,"Montcalm/Montcalm"," 150","Mascouche",8,3,27,7,1,48,77,5,176,353
24050,"Montcalm/Montcalm"," 151","Mascouche",17,6,20,11,1,45,134,1,235,474
24050,"Montcalm/Montcalm"," 152","Mascouche",29,1,12,10,1,33,96,4,186,374
24050,"Montcalm/Montcalm"," 153","Mascouche",19,0,16,19,0,33,101,0,188,435
24050,"Montcalm/Montcalm"," 154","Mascouche",21,2,6,5,1,54,103,3,195,422
24050,"Montcalm/Montcalm"," 155","Mascouche",26,4,26,10,1,62,140,1,270,471
24050,"Montcalm/Montcalm"," 156","Mascouche",38,2,32,26,1,87,194,10,390,682
24050,"Montcalm/Montcalm"," 157","Mascouche",18,3,20,10,1,72,133,8,265,438
24050,"Montcalm/Montcalm"," 158","Mascouche",12,0,8,11,1,29,92,3,156,319
24050,"Montcalm/Montcalm"," 159","Mascouche",28,0,14,4,1,39,120,4,210,359
24050,"Montcalm/Montcalm"," 160","Mascouche",14,0,14,12,1,52,104,3,200,420
24050,"Montcalm/Montcalm"," 161","Mascouche",19,0,13,17,0,47,101,1,198,379
24050,"Montcalm/Montcalm"," 162","Mascouche",17,0,14,12,1,54,121,5,224,535
24050,"Montcalm/Montcalm"," 163","Mascouche",24,1,14,12,0,33,129,3,216,439
24050,"Montcalm/Montcalm"," 164","Mascouche",15,2,9,8,1,48,108,3,194,493
24050,"Montcalm/Montcalm"," 165","Mascouche",12,2,22,8,2,71,105,8,230,488
24050,"Montcalm/Montcalm"," 166","Mascouche",23,10,31,14,1,73,162,1,315,512
24050,"Montcalm/Montcalm"," 167","Mascouche",18,4,29,7,2,54,152,6,272,503
24050,"Montcalm/Montcalm"," 168","Mascouche",21,1,21,9,4,50,122,10,238,427
24050,"Montcalm/Montcalm"," 169","Mascouche",16,0,24,10,2,61,145,6,264,436
24050,"Montcalm/Montcalm"," 170","Mascouche",22,1,18,9,4,50,137,5,246,449
24050,"Montcalm/Montcalm"," 171","Mascouche",3,0,25,1,5,57,107,16,214,321
24050,"Montcalm/Montcalm"," 172","Mascouche",19,0,20,10,1,49,161,9,269,411
24050,"Montcalm/Montcalm"," 173","Mascouche",8,0,26,16,1,58,155,8,272,456
24050,"Montcalm/Montcalm"," 174","Mascouche",18,7,19,12,1,58,149,2,266,480
24050,"Montcalm/Montcalm"," 175","Mascouche",41,3,28,10,1,98,137,10,328,648
24050,"Montcalm/Montcalm"," 176","Mascouche",21,1,7,9,1,35,78,2,154,427
24050,"Montcalm/Montcalm"," 177","Mascouche",16,0,11,7,1,30,92,5,162,486
24050,"Montcalm/Montcalm"," 178","Mascouche",12,1,9,5,2,26,82,0,137,283
24050,"Montcalm/Montcalm"," 179","Mascouche",16,0,18,15,2,57,126,3,237,491
24050,"Montcalm/Montcalm"," 180","Mascouche",23,2,15,9,2,34,157,3,245,456
24050,"Montcalm/Montcalm"," 181","Mascouche",16,3,18,15,0,42,147,4,245,410
24050,"Montcalm/Montcalm"," 182","Mascouche",25,2,25,10,1,86,112,5,266,501
24050,"Montcalm/Montcalm"," 183","Mascouche",33,0,15,13,2,54,148,2,267,431
24050,"Montcalm/Montcalm"," 184","Mascouche",11,1,18,3,0,72,105,4,214,373
24050,"Montcalm/Montcalm"," 185","Mascouche",22,1,11,15,1,59,109,5,223,370
24050,"Montcalm/Montcalm"," 186","Mascouche",11,3,10,5,1,26,78,1,135,369
24050,"Montcalm/Montcalm"," 187","Mascouche",23,0,15,7,0,55,132,13,245,553
24050,"Montcalm/Montcalm"," 188","Mascouche",9,1,16,13,2,73,127,3,244,433
24050,"Montcalm/Montcalm"," 189","Mascouche",16,2,4,6,0,63,121,9,221,549
24050,"Montcalm/Montcalm"," 190","Mascouche",13,1,21,10,1,44,146,1,237,510
24050,"Montcalm/Montcalm"," 191","Mascouche",14,3,17,15,2,64,108,3,226,504
24050,"Montcalm/Montcalm"," 192","Mascouche",37,2,18,8,0,83,131,4,283,566
24050,"Montcalm/Montcalm"," 193","Mascouche",19,2,23,13,0,60,100,6,223,449
24050,"Montcalm/Montcalm"," 194","Mascouche",18,2,11,5,1,68,114,5,224,489
24050,"Montcalm/Montcalm"," 195","Mascouche",22,1,16,17,0,46,112,5,219,510
24050,"Montcalm/Montcalm"," 196","Mascouche",23,1,28,16,3,89,163,11,334,582
24050,"Montcalm/Montcalm"," 197","Mascouche",19,7,25,10,1,89,138,1,290,587
24050,"Montcalm/Montcalm"," 198","Mascouche",8,0,5,6,2,39,82,2,144,302
24050,"Montcalm/Montcalm"," 199","Mascouche",15,1,5,7,2,34,82,1,147,274
24050,"Montcalm/Montcalm"," 200","Mascouche",12,0,15,3,1,36,101,4,172,420
24050,"Montcalm/Montcalm"," 201","Mascouche",6,1,5,9,1,59,81,4,166,432
24050,"Montcalm/Montcalm"," 202","Mascouche",30,2,25,14,1,110,177,0,359,591
24050,"Montcalm/Montcalm"," 203","Mascouche",20,6,21,9,0,85,108,2,251,417
24050,"Montcalm/Montcalm"," 204","Mascouche",14,3,13,10,1,45,105,5,196,461
24050,"Montcalm/Montcalm"," 205","Mascouche",12,2,14,7,2,55,116,8,216,478
24050,"Montcalm/Montcalm"," 206","Mascouche",16,2,19,13,0,35,104,6,195,434
24050,"Montcalm/Montcalm"," 207","Mascouche",21,4,19,13,0,37,77,7,178,379
24050,"Montcalm/Montcalm"," 208","Mascouche",10,3,14,14,4,27,77,7,156,301
24050,"Montcalm/Montcalm"," 209","Mascouche",15,2,17,12,2,26,73,3,150,350
24050,"Montcalm/Montcalm"," 500","Mobile poll/Bureau itinérant",0,0,2,0,0,12,11,2,27,207
24050,"Montcalm/Montcalm"," 501","Mobile poll/Bureau itinérant",3,2,6,1,1,32,21,10,76,207
24050,"Montcalm/Montcalm"," 502","Mobile poll/Bureau itinérant",2,0,2,1,1,22,11,4,43,151
24050,"Montcalm/Montcalm"," 600","Saint-Calixte",24,4,65,11,4,101,338,13,560,
24050,"Montcalm/Montcalm"," 601","Sainte-Julienne",30,11,72,29,3,98,399,16,658,
24050,"Montcalm/Montcalm"," 602","Sainte-Julienne",24,7,70,21,3,100,291,6,522,
24050,"Montcalm/Montcalm"," 603","Saint-Liguori",23,4,45,22,1,91,310,3,499,
24050,"Montcalm/Montcalm"," 604","Saint-Jacques",17,7,52,19,6,101,370,13,585,
24050,"Montcalm/Montcalm"," 605","L'Épiphanie",26,2,75,25,6,126,451,9,720,
24050,"Montcalm/Montcalm"," 606","L'Épiphanie",38,3,43,14,7,80,292,9,486,
24050,"Montcalm/Montcalm"," 607","Saint-Roch-de-l'Achigan--Saint-Esprit",14,1,19,12,0,55,184,4,289,
24050,"Montcalm/Montcalm"," 608","Sainte-Julienne",18,4,52,15,2,118,364,20,593,
24050,"Montcalm/Montcalm"," 609","Saint-Calixte",23,5,80,19,10,79,315,15,546,
24050,"Montcalm/Montcalm"," 610","Saint-Lin--Laurentides",37,17,126,30,12,173,617,27,1039,
24050,"Montcalm/Montcalm"," 611","Saint-Lin--Laurentides",26,8,59,23,11,132,381,30,670,
24050,"Montcalm/Montcalm"," 612","Saint-Lin--Laurentides",23,8,90,23,5,123,476,21,769,
24050,"Montcalm/Montcalm"," 613","Saint-Roch-de-l'Achigan--Saint-Esprit",17,6,37,13,3,113,322,12,523,
24050,"Montcalm/Montcalm"," 614","Mascouche",46,7,69,43,9,161,557,12,904,
24050,"Montcalm/Montcalm"," 615","Mascouche",43,2,71,32,4,197,446,12,807,
24050,"Montcalm/Montcalm"," 616","Mascouche",73,9,110,39,5,255,666,34,1191,
24050,"Montcalm/Montcalm"," 617","Mascouche",64,12,118,57,8,246,631,14,1150,
24050,"Montcalm/Montcalm"," 618","Mascouche",32,12,73,40,7,116,427,15,722,
24050,"Montcalm/Montcalm"," 619","Mascouche",53,6,117,35,2,248,608,12,1081,
24050,"Montcalm/Montcalm"," 620","Mascouche",40,8,76,30,5,242,495,21,917,
24050,"Montcalm/Montcalm",,Group 1/Groupe 1, 3,0,4,3,0,36,11,4,61,61
24050,"Montcalm/Montcalm",,Group 2/Groupe 2, 66,9,72,45,5,163,337,17,714,
