Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Jacques Desgranges,Darcy Neal Donnelly,Francis Drouin,Daniel John Fey,Marc-Antoine Gagnier,Pierre Lemieux,Marthe Lépine,Konstantine Malakos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 57","Coins Gratton",5,0,117,1,0,72,12,20,5,232,447
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 58","Ste-Anne-de-Prescott",3,1,88,0,1,62,16,20,2,193,326
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 59","Breadalbane",2,0,40,3,1,107,5,17,1,176,273
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 60","Plantagenet Station",4,0,103,1,0,67,2,12,4,193,382
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 61","Centrefield",6,0,76,2,2,59,6,31,0,182,366
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 62","Plantagenet Station",5,0,78,0,0,73,3,10,1,170,406
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 63","Clarence-Rockland",9,1,99,0,0,81,18,26,1,235,483
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 64","Clarence-Rockland",3,0,91,0,1,48,8,16,2,169,400
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 65","Clarence-Rockland",9,3,75,0,1,77,12,27,1,205,495
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 66","Clarence-Rockland",4,0,116,0,0,71,15,44,0,250,581
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 67","Clarence-Rockland",1,4,113,0,1,71,6,35,2,233,494
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 68","Clarence-Rockland",4,0,149,2,1,74,7,43,4,284,601
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 69","Clarence-Rockland",3,0,74,0,1,41,6,24,1,150,385
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 70","Clarence-Rockland",0,0,99,1,1,50,8,24,3,186,526
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 71","Clarence-Rockland",0,1,78,1,0,50,7,30,2,169,437
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 72","Clarence-Rockland",4,0,80,0,0,59,3,19,0,165,478
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 73","Wendover",5,1,97,0,0,39,3,17,5,167,288
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 74","Wendover",6,0,201,0,2,80,14,40,2,345,524
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 75","Alfred and Plantagenet",1,0,114,3,1,59,13,29,2,222,352
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 76","Alfred and Plantagenet",8,0,123,0,0,71,8,27,0,237,387
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 77","Wendover",2,0,79,0,1,78,7,22,5,194,349
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 78","Centrefield",8,0,74,0,0,60,4,15,2,163,416
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 79","St-Bernardin",7,0,117,0,4,133,6,25,2,294,449
