Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhéal Fortin,Sylvie Fréchette,Florence Gagnon,Joey Leckman,Normand Michaud,Myriam Ouellette,Nicolas Riqueur-Lainé,Lucie St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 42","Sainte-Sophie",120,17,35,13,2,16,0,1,2,206,443
24063,"Rivière-du-Nord/Rivière-du-Nord"," 43","Sainte-Sophie",75,29,24,6,4,10,0,0,3,151,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 44","Sainte-Sophie",88,16,17,4,0,12,1,1,8,147,341
24063,"Rivière-du-Nord/Rivière-du-Nord"," 45","Sainte-Sophie",101,37,36,10,0,14,1,0,6,205,400
24063,"Rivière-du-Nord/Rivière-du-Nord"," 46A","Sainte-Sophie",44,27,30,14,2,10,3,1,4,135,307
24063,"Rivière-du-Nord/Rivière-du-Nord"," 46B","Sainte-Sophie",71,15,43,8,2,13,0,0,6,158,326
24063,"Rivière-du-Nord/Rivière-du-Nord"," 47","Sainte-Sophie",125,26,41,9,5,24,0,0,5,235,508
24063,"Rivière-du-Nord/Rivière-du-Nord"," 48","Sainte-Sophie",87,30,52,8,4,9,4,0,4,198,449
24063,"Rivière-du-Nord/Rivière-du-Nord"," 49","Sainte-Sophie",66,11,25,2,1,9,0,0,0,114,257
24063,"Rivière-du-Nord/Rivière-du-Nord"," 50","Sainte-Sophie",79,19,31,7,2,6,1,0,7,152,387
24063,"Rivière-du-Nord/Rivière-du-Nord"," 51","Prévost",87,15,59,13,3,10,0,0,0,187,390
24063,"Rivière-du-Nord/Rivière-du-Nord"," 52","Prévost",84,24,39,16,0,11,0,0,6,180,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 53","Prévost",84,13,33,20,3,11,2,1,5,172,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 54","Prévost",138,19,75,19,1,15,0,1,1,269,496
24063,"Rivière-du-Nord/Rivière-du-Nord"," 55","Prévost",113,32,76,13,1,13,1,1,1,251,503
24063,"Rivière-du-Nord/Rivière-du-Nord"," 56A","Prévost",89,10,37,12,1,9,0,1,1,160,320
24063,"Rivière-du-Nord/Rivière-du-Nord"," 56B","Prévost",94,25,76,9,0,5,0,0,1,210,382
24063,"Rivière-du-Nord/Rivière-du-Nord"," 57","Sainte-Sophie",110,18,28,9,1,12,0,0,0,178,405
24063,"Rivière-du-Nord/Rivière-du-Nord"," 58","Sainte-Sophie",120,23,27,10,4,12,0,2,3,201,475
24063,"Rivière-du-Nord/Rivière-du-Nord"," 59","Sainte-Sophie",67,19,23,5,2,7,1,0,4,128,269
24063,"Rivière-du-Nord/Rivière-du-Nord"," 60","Sainte-Sophie",82,22,26,6,0,13,1,0,1,151,359
24063,"Rivière-du-Nord/Rivière-du-Nord"," 61","Sainte-Sophie",57,12,8,6,0,10,1,0,2,96,250
24063,"Rivière-du-Nord/Rivière-du-Nord"," 62","Sainte-Sophie",116,30,25,11,0,19,2,0,7,210,449
24063,"Rivière-du-Nord/Rivière-du-Nord"," 63","Sainte-Sophie",84,19,18,6,0,7,1,0,3,138,305
24063,"Rivière-du-Nord/Rivière-du-Nord"," 64","Sainte-Sophie",61,12,16,7,0,9,1,0,1,107,250
24063,"Rivière-du-Nord/Rivière-du-Nord"," 65","Sainte-Sophie",103,23,23,15,1,16,0,0,1,182,393
24063,"Rivière-du-Nord/Rivière-du-Nord"," 66","Sainte-Sophie",63,11,20,11,3,7,1,0,0,116,296
24063,"Rivière-du-Nord/Rivière-du-Nord"," 67","Sainte-Sophie",74,14,24,10,2,8,1,0,2,135,302
24063,"Rivière-du-Nord/Rivière-du-Nord"," 68","Sainte-Sophie",74,15,25,6,3,12,1,1,6,143,343
24063,"Rivière-du-Nord/Rivière-du-Nord"," 69","Sainte-Sophie",63,15,10,6,3,6,1,0,4,108,312
24063,"Rivière-du-Nord/Rivière-du-Nord"," 70","Sainte-Sophie",55,24,18,5,1,11,0,1,1,116,331
24063,"Rivière-du-Nord/Rivière-du-Nord"," 71","Sainte-Sophie",94,10,19,5,1,8,1,1,2,141,410
24063,"Rivière-du-Nord/Rivière-du-Nord"," 72","Sainte-Sophie",94,17,27,9,0,9,0,1,4,161,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 73","Prévost",133,16,92,34,1,28,0,0,1,305,529
24063,"Rivière-du-Nord/Rivière-du-Nord"," 74","Prévost",141,23,51,24,2,22,1,0,4,268,455
24063,"Rivière-du-Nord/Rivière-du-Nord"," 75","Prévost",112,25,56,19,1,29,1,0,2,245,439
24063,"Rivière-du-Nord/Rivière-du-Nord"," 76","Prévost",113,35,44,33,2,12,0,0,2,241,446
24063,"Rivière-du-Nord/Rivière-du-Nord"," 77A","Prévost",99,26,51,15,0,20,0,0,5,216,383
24063,"Rivière-du-Nord/Rivière-du-Nord"," 77B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°34B,,,,,,,,,,12
24063,"Rivière-du-Nord/Rivière-du-Nord"," 78","Prévost",86,22,49,28,2,12,0,0,3,202,412
24063,"Rivière-du-Nord/Rivière-du-Nord"," 79","Saint-Jérôme",86,25,46,11,1,15,1,1,5,191,395
24063,"Rivière-du-Nord/Rivière-du-Nord"," 80","Saint-Jérôme",96,26,38,7,0,8,2,0,0,177,387
24063,"Rivière-du-Nord/Rivière-du-Nord"," 81","Saint-Jérôme",75,15,43,11,2,15,2,2,0,165,367
24063,"Rivière-du-Nord/Rivière-du-Nord"," 82","Saint-Jérôme",68,22,30,12,1,17,1,0,1,152,344
24063,"Rivière-du-Nord/Rivière-du-Nord"," 83","Saint-Jérôme",61,16,31,7,1,5,1,0,1,123,310
24063,"Rivière-du-Nord/Rivière-du-Nord"," 84","Saint-Jérôme",106,16,42,7,4,18,3,1,3,200,504
24063,"Rivière-du-Nord/Rivière-du-Nord"," 85","Saint-Jérôme",69,15,27,8,0,9,0,0,2,130,385
24063,"Rivière-du-Nord/Rivière-du-Nord"," 86","Saint-Jérôme",81,32,38,13,1,23,1,0,6,195,437
24063,"Rivière-du-Nord/Rivière-du-Nord"," 87","Saint-Jérôme",92,11,18,4,0,12,1,0,3,141,325
24063,"Rivière-du-Nord/Rivière-du-Nord"," 88","Saint-Jérôme",92,13,23,15,3,21,0,0,3,170,454
24063,"Rivière-du-Nord/Rivière-du-Nord"," 89","Saint-Jérôme",72,18,12,9,0,16,2,1,1,131,383
24063,"Rivière-du-Nord/Rivière-du-Nord"," 90A","Saint-Jérôme",70,11,28,16,0,24,1,1,0,151,408
24063,"Rivière-du-Nord/Rivière-du-Nord"," 90B","Saint-Jérôme",65,14,28,16,1,24,0,0,5,153,381
24063,"Rivière-du-Nord/Rivière-du-Nord"," 91","Saint-Jérôme",83,16,24,7,1,14,0,0,9,154,421
24063,"Rivière-du-Nord/Rivière-du-Nord"," 92","Saint-Jérôme",121,49,91,22,0,23,0,0,0,306,582
24063,"Rivière-du-Nord/Rivière-du-Nord"," 93","Saint-Jérôme",82,19,35,9,1,10,0,0,3,159,484
24063,"Rivière-du-Nord/Rivière-du-Nord"," 94","Saint-Jérôme",127,23,45,12,1,20,0,0,2,230,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 95","Saint-Jérôme",84,22,38,11,4,12,0,0,8,179,372
24063,"Rivière-du-Nord/Rivière-du-Nord"," 96","Saint-Jérôme",96,25,58,8,0,13,0,0,9,209,450
24063,"Rivière-du-Nord/Rivière-du-Nord"," 97","Saint-Jérôme",119,25,58,21,2,22,0,1,4,252,495
24063,"Rivière-du-Nord/Rivière-du-Nord"," 98","Saint-Jérôme",68,23,45,13,1,19,1,0,5,175,465
24063,"Rivière-du-Nord/Rivière-du-Nord"," 99","Saint-Jérôme",51,9,34,8,0,12,0,0,4,118,338
24063,"Rivière-du-Nord/Rivière-du-Nord"," 100","Saint-Jérôme",122,19,55,17,1,29,1,1,1,246,507
24063,"Rivière-du-Nord/Rivière-du-Nord"," 101A","Saint-Jérôme",81,21,21,8,1,14,1,0,3,150,307
24063,"Rivière-du-Nord/Rivière-du-Nord"," 101B","Saint-Jérôme",79,15,31,5,1,10,0,0,1,142,305
24063,"Rivière-du-Nord/Rivière-du-Nord"," 102","Saint-Jérôme",46,10,16,2,0,5,1,0,1,81,212
24063,"Rivière-du-Nord/Rivière-du-Nord"," 103","Saint-Jérôme",60,17,14,6,1,7,0,0,2,107,352
24063,"Rivière-du-Nord/Rivière-du-Nord"," 104","Saint-Jérôme",55,14,26,3,1,6,0,0,3,108,465
24063,"Rivière-du-Nord/Rivière-du-Nord"," 105","Saint-Jérôme",23,5,9,2,0,5,1,0,4,49,141
24063,"Rivière-du-Nord/Rivière-du-Nord"," 106","Saint-Jérôme",57,17,24,10,1,9,0,1,0,119,394
24063,"Rivière-du-Nord/Rivière-du-Nord"," 107","Saint-Jérôme",50,14,15,6,0,11,3,1,2,102,297
24063,"Rivière-du-Nord/Rivière-du-Nord"," 108","Saint-Jérôme",93,11,27,8,0,12,0,0,2,153,355
24063,"Rivière-du-Nord/Rivière-du-Nord"," 109","Saint-Jérôme",97,16,39,7,1,15,0,0,1,176,444
24063,"Rivière-du-Nord/Rivière-du-Nord"," 110","Saint-Jérôme",93,10,23,7,0,11,0,0,6,150,366
24063,"Rivière-du-Nord/Rivière-du-Nord"," 111","Saint-Jérôme",70,28,27,6,1,14,1,0,6,153,387
24063,"Rivière-du-Nord/Rivière-du-Nord"," 112A","Saint-Jérôme",59,13,34,4,0,6,0,0,0,116,341
24063,"Rivière-du-Nord/Rivière-du-Nord"," 112B","Mobile poll/Bureau itinérant",9,14,12,0,0,0,1,0,3,39,21
24063,"Rivière-du-Nord/Rivière-du-Nord"," 113","Saint-Jérôme",75,16,34,5,2,3,2,0,7,144,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 114","Saint-Jérôme",71,12,23,8,0,11,0,0,7,132,356
24063,"Rivière-du-Nord/Rivière-du-Nord"," 115","Saint-Jérôme",112,29,36,17,4,21,0,0,6,225,514
24063,"Rivière-du-Nord/Rivière-du-Nord"," 116","Saint-Jérôme",122,25,57,14,0,22,0,0,4,244,450
24063,"Rivière-du-Nord/Rivière-du-Nord"," 117","Saint-Jérôme",81,19,26,11,2,10,1,0,5,155,358
24063,"Rivière-du-Nord/Rivière-du-Nord"," 118","Saint-Jérôme",72,29,54,10,0,14,1,0,3,183,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 119A","Saint-Jérôme",61,12,36,4,0,12,0,0,0,125,365
24063,"Rivière-du-Nord/Rivière-du-Nord"," 119B","Saint-Jérôme",84,26,42,5,2,13,1,0,2,175,366
24063,"Rivière-du-Nord/Rivière-du-Nord"," 120","Saint-Jérôme",136,23,47,10,1,18,2,2,6,245,580
24063,"Rivière-du-Nord/Rivière-du-Nord"," 121A","Saint-Jérôme",89,15,40,2,1,11,0,0,2,160,314
24063,"Rivière-du-Nord/Rivière-du-Nord"," 121B","Saint-Jérôme",53,8,42,8,0,10,0,1,7,129,310
24063,"Rivière-du-Nord/Rivière-du-Nord"," 122","Saint-Jérôme",82,23,39,2,3,19,0,0,0,168,390
24063,"Rivière-du-Nord/Rivière-du-Nord"," 123","Saint-Jérôme",86,13,28,15,0,16,0,0,2,160,443
24063,"Rivière-du-Nord/Rivière-du-Nord"," 124A","Saint-Jérôme",56,14,31,6,0,8,2,0,7,124,325
24063,"Rivière-du-Nord/Rivière-du-Nord"," 124B","Mobile poll/Bureau itinérant",84,20,85,1,1,2,1,1,9,204,205
24063,"Rivière-du-Nord/Rivière-du-Nord"," 124C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°124B,,,,,,,,,,141
24063,"Rivière-du-Nord/Rivière-du-Nord"," 125","Saint-Jérôme",77,9,43,8,0,15,1,0,2,155,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 126","Saint-Jérôme",63,15,37,6,1,10,1,0,3,136,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 127","Saint-Jérôme",101,27,64,9,0,30,0,1,7,239,519
24063,"Rivière-du-Nord/Rivière-du-Nord"," 128","Saint-Jérôme",90,24,51,9,0,23,0,0,3,200,408
24063,"Rivière-du-Nord/Rivière-du-Nord"," 129","Saint-Jérôme",88,11,38,15,1,14,0,0,2,169,437
24063,"Rivière-du-Nord/Rivière-du-Nord"," 130","Saint-Jérôme",57,12,39,7,0,18,2,1,7,143,412
24063,"Rivière-du-Nord/Rivière-du-Nord"," 131","Saint-Jérôme",162,45,78,12,3,28,0,0,6,334,595
24063,"Rivière-du-Nord/Rivière-du-Nord"," 132A","Saint-Jérôme",78,10,21,6,0,5,1,0,6,127,355
24063,"Rivière-du-Nord/Rivière-du-Nord"," 132B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°112B,,,,,,,,,,14
24063,"Rivière-du-Nord/Rivière-du-Nord"," 133","Saint-Jérôme",72,13,31,6,0,7,1,0,0,130,403
24063,"Rivière-du-Nord/Rivière-du-Nord"," 134A","Saint-Jérôme",134,39,106,6,2,10,0,1,8,306,453
24063,"Rivière-du-Nord/Rivière-du-Nord"," 134B","Saint-Jérôme",58,24,45,12,0,28,0,1,0,168,451
24063,"Rivière-du-Nord/Rivière-du-Nord"," 135","Saint-Jérôme",58,11,28,9,1,7,0,1,4,119,324
24063,"Rivière-du-Nord/Rivière-du-Nord"," 136","Saint-Jérôme",115,23,46,15,1,9,1,0,6,216,549
24063,"Rivière-du-Nord/Rivière-du-Nord"," 137","Saint-Jérôme",68,14,37,7,2,8,1,0,1,138,354
24063,"Rivière-du-Nord/Rivière-du-Nord"," 138","Saint-Jérôme",66,12,30,6,1,8,0,2,3,128,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 139","Saint-Jérôme",76,19,27,8,2,18,3,2,4,159,562
24063,"Rivière-du-Nord/Rivière-du-Nord"," 140","Saint-Jérôme",77,25,45,10,2,10,0,1,1,171,376
24063,"Rivière-du-Nord/Rivière-du-Nord"," 141A","Saint-Jérôme",40,9,15,4,1,20,0,0,2,91,304
24063,"Rivière-du-Nord/Rivière-du-Nord"," 141B","Saint-Jérôme",38,8,21,13,0,20,0,0,2,102,309
24063,"Rivière-du-Nord/Rivière-du-Nord"," 142","Saint-Jérôme",52,6,26,6,0,9,0,0,0,99,338
24063,"Rivière-du-Nord/Rivière-du-Nord"," 143","Saint-Jérôme",63,11,24,5,1,14,0,2,3,123,342
24063,"Rivière-du-Nord/Rivière-du-Nord"," 144","Saint-Jérôme",71,6,14,4,1,5,2,0,4,107,348
24063,"Rivière-du-Nord/Rivière-du-Nord"," 145","Saint-Jérôme",62,15,26,6,1,15,1,1,3,130,446
24063,"Rivière-du-Nord/Rivière-du-Nord"," 146","Saint-Jérôme",43,15,10,13,0,6,0,0,2,89,341
24063,"Rivière-du-Nord/Rivière-du-Nord"," 147A","Saint-Jérôme",52,16,28,4,0,18,1,1,2,122,408
24063,"Rivière-du-Nord/Rivière-du-Nord"," 147B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°192C,,,,,,,,,,25
24063,"Rivière-du-Nord/Rivière-du-Nord"," 148","Saint-Jérôme",105,14,29,7,2,9,1,1,6,174,443
24063,"Rivière-du-Nord/Rivière-du-Nord"," 149","Saint-Jérôme",82,18,30,10,0,11,2,0,1,154,375
24063,"Rivière-du-Nord/Rivière-du-Nord"," 150","Saint-Jérôme",74,24,42,3,2,13,0,1,5,164,463
24063,"Rivière-du-Nord/Rivière-du-Nord"," 151","Saint-Jérôme",117,14,40,7,0,11,0,0,2,191,431
24063,"Rivière-du-Nord/Rivière-du-Nord"," 152","Saint-Jérôme",65,21,48,6,0,23,0,0,3,166,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 153A","Saint-Jérôme",86,28,42,10,0,29,0,1,4,200,354
24063,"Rivière-du-Nord/Rivière-du-Nord"," 153B","Saint-Jérôme",94,17,46,15,3,21,1,1,0,198,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 154A","Saint-Jérôme",93,16,48,11,0,14,1,2,3,188,318
24063,"Rivière-du-Nord/Rivière-du-Nord"," 154B","Saint-Jérôme",65,20,33,6,0,9,1,0,2,136,313
24063,"Rivière-du-Nord/Rivière-du-Nord"," 155","Saint-Jérôme",87,10,57,15,1,23,1,2,9,205,476
24063,"Rivière-du-Nord/Rivière-du-Nord"," 156","Saint-Jérôme",83,12,45,12,0,18,0,0,0,170,396
24063,"Rivière-du-Nord/Rivière-du-Nord"," 157","Saint-Jérôme",63,17,25,7,0,10,1,1,0,124,428
24063,"Rivière-du-Nord/Rivière-du-Nord"," 158","Saint-Jérôme",83,14,36,7,1,21,0,0,4,166,376
24063,"Rivière-du-Nord/Rivière-du-Nord"," 159","Saint-Jérôme",34,9,13,2,1,7,0,1,4,71,401
24063,"Rivière-du-Nord/Rivière-du-Nord"," 160","Saint-Jérôme",55,16,21,10,1,11,1,0,3,118,333
24063,"Rivière-du-Nord/Rivière-du-Nord"," 161","Saint-Jérôme",106,27,31,8,2,10,2,0,2,188,466
24063,"Rivière-du-Nord/Rivière-du-Nord"," 162","Saint-Jérôme",49,12,18,6,2,9,0,1,5,102,335
24063,"Rivière-du-Nord/Rivière-du-Nord"," 163","Saint-Jérôme",50,10,20,6,1,6,1,0,6,100,318
24063,"Rivière-du-Nord/Rivière-du-Nord"," 164","Saint-Jérôme",98,17,34,9,0,5,0,0,5,168,426
24063,"Rivière-du-Nord/Rivière-du-Nord"," 165","Saint-Jérôme",72,14,27,11,0,18,2,1,1,146,380
24063,"Rivière-du-Nord/Rivière-du-Nord"," 166","Saint-Jérôme",126,21,35,13,1,17,0,0,2,215,432
24063,"Rivière-du-Nord/Rivière-du-Nord"," 167","Saint-Jérôme",84,14,39,12,1,12,1,0,4,167,396
24063,"Rivière-du-Nord/Rivière-du-Nord"," 168","Saint-Jérôme",99,21,27,9,0,13,0,0,4,173,373
24063,"Rivière-du-Nord/Rivière-du-Nord"," 169","Saint-Jérôme",90,20,42,17,2,15,1,0,3,190,373
24063,"Rivière-du-Nord/Rivière-du-Nord"," 170","Saint-Jérôme",100,31,29,8,0,21,0,0,1,190,384
24063,"Rivière-du-Nord/Rivière-du-Nord"," 171","Saint-Jérôme",99,28,52,13,4,13,4,1,0,214,413
24063,"Rivière-du-Nord/Rivière-du-Nord"," 172","Saint-Jérôme",107,26,41,9,0,21,0,1,4,209,434
24063,"Rivière-du-Nord/Rivière-du-Nord"," 173","Saint-Jérôme",79,20,32,7,2,13,0,0,1,154,357
24063,"Rivière-du-Nord/Rivière-du-Nord"," 174","Saint-Jérôme",74,14,34,4,4,14,1,0,0,145,347
24063,"Rivière-du-Nord/Rivière-du-Nord"," 175","Saint-Jérôme",102,24,28,10,5,31,0,1,5,206,455
24063,"Rivière-du-Nord/Rivière-du-Nord"," 176","Saint-Jérôme",64,16,23,6,0,11,0,0,3,123,374
24063,"Rivière-du-Nord/Rivière-du-Nord"," 177","Saint-Jérôme",110,26,36,14,2,15,0,0,4,207,468
24063,"Rivière-du-Nord/Rivière-du-Nord"," 178","Saint-Jérôme",115,24,28,14,2,11,0,0,2,196,466
24063,"Rivière-du-Nord/Rivière-du-Nord"," 179","Saint-Jérôme",101,15,35,14,0,13,3,0,5,186,454
24063,"Rivière-du-Nord/Rivière-du-Nord"," 180","Saint-Jérôme",66,22,37,14,0,26,0,0,9,174,425
24063,"Rivière-du-Nord/Rivière-du-Nord"," 181","Saint-Jérôme",97,10,39,8,1,19,2,0,1,177,406
24063,"Rivière-du-Nord/Rivière-du-Nord"," 182","Saint-Jérôme",101,18,29,4,1,11,0,0,0,164,339
24063,"Rivière-du-Nord/Rivière-du-Nord"," 183","Saint-Jérôme",89,17,27,5,1,13,1,0,2,155,422
24063,"Rivière-du-Nord/Rivière-du-Nord"," 184A","Saint-Jérôme",87,21,53,3,1,7,0,0,0,172,405
24063,"Rivière-du-Nord/Rivière-du-Nord"," 184B","Saint-Jérôme",90,19,50,7,1,11,0,0,1,179,369
24063,"Rivière-du-Nord/Rivière-du-Nord"," 185","Saint-Jérôme",105,20,29,15,1,16,0,0,3,189,412
24063,"Rivière-du-Nord/Rivière-du-Nord"," 186","Saint-Jérôme",101,28,31,7,1,8,0,0,3,179,391
24063,"Rivière-du-Nord/Rivière-du-Nord"," 187","Saint-Jérôme",108,15,25,4,0,7,0,0,3,162,314
24063,"Rivière-du-Nord/Rivière-du-Nord"," 188","Saint-Jérôme",137,45,47,18,2,22,2,0,6,279,525
24063,"Rivière-du-Nord/Rivière-du-Nord"," 189","Saint-Jérôme",57,14,41,15,2,6,0,0,0,135,449
24063,"Rivière-du-Nord/Rivière-du-Nord"," 190","Saint-Jérôme",36,13,22,4,4,11,0,0,1,91,356
24063,"Rivière-du-Nord/Rivière-du-Nord"," 191","Saint-Jérôme",40,8,21,7,1,8,0,0,1,86,321
24063,"Rivière-du-Nord/Rivière-du-Nord"," 192A","Saint-Jérôme",73,23,28,10,2,6,0,0,1,143,454
24063,"Rivière-du-Nord/Rivière-du-Nord"," 192B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°112B,,,,,,,,,,17
24063,"Rivière-du-Nord/Rivière-du-Nord"," 192C","Mobile poll/Bureau itinérant",16,4,23,2,1,1,0,0,8,55,42
24063,"Rivière-du-Nord/Rivière-du-Nord"," 193","Saint-Jérôme",91,6,34,13,0,9,2,0,2,157,401
24063,"Rivière-du-Nord/Rivière-du-Nord"," 194","Saint-Jérôme",85,22,18,10,3,19,0,1,5,163,520
24063,"Rivière-du-Nord/Rivière-du-Nord"," 195","Saint-Jérôme",79,22,25,7,0,9,3,3,7,155,350
24063,"Rivière-du-Nord/Rivière-du-Nord"," 196","Saint-Jérôme",74,23,36,16,3,15,1,1,2,171,412
24063,"Rivière-du-Nord/Rivière-du-Nord"," 197A","Saint-Jérôme",95,19,30,2,4,26,1,1,3,181,375
