Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Anderson-Fennell,Amarit Bains,Tony Bennett,Tanya Corbet,Craig DeCraene,Angelina Ireland,Carla Qualtrough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 155","Delta",16,0,2,103,13,2,79,0,215,405
59011,"Delta/Delta"," 156","Delta",21,0,1,95,20,3,97,2,239,429
59011,"Delta/Delta"," 157","Delta",33,1,2,125,21,3,109,0,294,577
59011,"Delta/Delta"," 158","Delta",39,1,3,121,27,5,113,1,310,544
59011,"Delta/Delta"," 159","Delta",34,2,2,74,13,4,89,0,218,433
59011,"Delta/Delta"," 160","Delta",22,0,1,92,18,5,83,1,222,491
59011,"Delta/Delta"," 161","Delta",26,2,0,85,27,4,106,2,252,470
59011,"Delta/Delta"," 162","Delta",30,0,0,62,13,4,99,0,208,440
59011,"Delta/Delta"," 163","Delta",20,2,0,92,25,6,90,1,236,424
59011,"Delta/Delta"," 164","Delta",29,1,2,81,20,6,86,0,225,423
59011,"Delta/Delta"," 165","Delta",28,2,1,93,15,5,111,2,257,449
59011,"Delta/Delta"," 166","Delta",41,0,4,198,38,4,197,0,482,425
59011,"Delta/Delta"," 167","Delta",Merged with No./Fusionné avec le n°166,,,,,,,,,381
59011,"Delta/Delta"," 168","Delta",32,2,0,74,22,3,132,0,265,430
59011,"Delta/Delta"," 400","Delta",19,0,0,32,5,0,36,1,93,296
59011,"Delta/Delta"," 500","Mobile poll/Bureau itinérant",10,1,4,11,0,4,15,0,45,52
59011,"Delta/Delta"," 501A","Mobile poll/Bureau itinérant",13,2,1,33,10,1,64,1,125,118
59011,"Delta/Delta"," 501B","Delta",Merged with No./Fusionné avec le n°51,,,,,,,,,13
59011,"Delta/Delta"," 502","Mobile poll/Bureau itinérant",13,0,4,26,8,4,33,7,95,155
59011,"Delta/Delta"," 503A","Mobile poll/Bureau itinérant",8,0,2,35,6,0,62,0,113,168
59011,"Delta/Delta"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,38
59011,"Delta/Delta"," 600","Delta",146,3,4,357,56,14,392,4,976,
59011,"Delta/Delta"," 601","Delta",184,3,8,261,35,15,408,4,918,
59011,"Delta/Delta"," 602","Delta",175,9,6,289,44,14,426,3,966,
59011,"Delta/Delta"," 603","Delta",210,38,10,238,46,13,482,17,1054,
59011,"Delta/Delta"," 604","Delta",158,8,9,259,49,11,442,7,943,
59011,"Delta/Delta"," 605","Delta",194,5,3,241,46,16,400,7,912,
59011,"Delta/Delta"," 606","Delta",165,10,6,451,61,20,376,7,1096,
59011,"Delta/Delta"," 607","Delta",97,3,5,331,41,13,306,2,798,
59011,"Delta/Delta"," 608","Delta",88,2,4,320,41,17,323,6,801,
59011,"Delta/Delta"," 609","Delta",70,3,10,370,57,12,404,2,928,
59011,"Delta/Delta"," 610","Delta",108,10,3,342,70,24,404,6,967,
59011,"Delta/Delta"," 611","Delta",133,3,7,247,74,19,402,7,892,
59011,"Delta/Delta"," 612","Delta",63,1,4,383,75,22,365,1,914,
59011,"Delta/Delta"," 613","Delta",83,2,9,356,80,22,421,6,979,
59011,"Delta/Delta"," 614","Delta",69,0,3,411,78,8,474,2,1045,
59011,"Delta/Delta"," 615","Delta",48,2,3,427,64,21,306,3,874,
59011,"Delta/Delta",,Group 1/Groupe 1, 11,0,0,27,15,2,72,7,134,204
59011,"Delta/Delta",,Group 2/Groupe 2, 209,4,6,593,132,25,643,21,1633,
