Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Michelle Boileau,Kraymr Grenke,Max Kennedy,Renaud Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 37","Timmins",73,67,70,5,6,1,222,457
35107,"Timmins--James Bay/Timmins--Baie James"," 38","Timmins",52,68,84,5,5,1,215,496
35107,"Timmins--James Bay/Timmins--Baie James"," 39","Timmins",79,75,102,10,9,0,275,513
35107,"Timmins--James Bay/Timmins--Baie James"," 40","Ramore",85,33,74,3,14,3,212,409
35107,"Timmins--James Bay/Timmins--Baie James"," 41","Timmins",79,65,90,20,11,1,266,506
35107,"Timmins--James Bay/Timmins--Baie James"," 42","Timmins",106,47,84,17,5,2,261,577
35107,"Timmins--James Bay/Timmins--Baie James"," 43","Timmins",63,41,46,5,5,3,163,405
35107,"Timmins--James Bay/Timmins--Baie James"," 44","Timmins",70,68,67,13,6,4,228,483
35107,"Timmins--James Bay/Timmins--Baie James"," 45","Timmins",61,62,53,6,4,1,187,421
35107,"Timmins--James Bay/Timmins--Baie James"," 46","Timmins",44,51,63,5,4,2,169,383
35107,"Timmins--James Bay/Timmins--Baie James"," 47","Timmins",45,30,36,10,7,0,128,317
35107,"Timmins--James Bay/Timmins--Baie James"," 48","Timmins",78,48,82,15,7,0,230,551
35107,"Timmins--James Bay/Timmins--Baie James"," 49","Timmins",46,88,57,0,3,0,194,343
35107,"Timmins--James Bay/Timmins--Baie James"," 50","Timmins",60,63,43,3,5,0,174,331
35107,"Timmins--James Bay/Timmins--Baie James"," 51","Timmins",63,83,77,7,4,3,237,405
35107,"Timmins--James Bay/Timmins--Baie James"," 52","Timmins",58,114,66,2,3,2,245,432
35107,"Timmins--James Bay/Timmins--Baie James"," 53","Timmins",73,74,59,4,6,1,217,413
35107,"Timmins--James Bay/Timmins--Baie James"," 54","Timmins",61,24,24,3,4,1,117,380
35107,"Timmins--James Bay/Timmins--Baie James"," 55","Timmins",80,57,39,5,5,4,190,450
35107,"Timmins--James Bay/Timmins--Baie James"," 56","Timmins",61,77,59,0,4,2,203,413
35107,"Timmins--James Bay/Timmins--Baie James"," 57","Timmins",34,84,56,6,2,1,183,347
35107,"Timmins--James Bay/Timmins--Baie James"," 58","Timmins",45,77,61,9,3,3,198,370
35107,"Timmins--James Bay/Timmins--Baie James"," 59","Timmins",65,114,83,10,5,6,283,480
35107,"Timmins--James Bay/Timmins--Baie James"," 60","Timmins",103,52,80,10,12,0,257,596
35107,"Timmins--James Bay/Timmins--Baie James"," 61","Timmins",59,43,49,4,5,0,160,359
35107,"Timmins--James Bay/Timmins--Baie James"," 62","Timmins",58,25,49,6,3,1,142,381
35107,"Timmins--James Bay/Timmins--Baie James"," 63","Timmins",66,71,46,9,4,1,197,340
35107,"Timmins--James Bay/Timmins--Baie James"," 64","Timmins",67,84,40,9,4,8,212,423
35107,"Timmins--James Bay/Timmins--Baie James"," 65","Timmins",54,28,32,7,6,3,130,362
35107,"Timmins--James Bay/Timmins--Baie James"," 66","Timmins",77,55,43,3,5,2,185,435
35107,"Timmins--James Bay/Timmins--Baie James"," 67","Timmins",96,72,71,7,5,4,255,519
35107,"Timmins--James Bay/Timmins--Baie James"," 68","Timmins",54,80,67,8,5,0,214,461
35107,"Timmins--James Bay/Timmins--Baie James"," 69","Timmins",56,88,73,7,6,0,230,459
35107,"Timmins--James Bay/Timmins--Baie James"," 70","Timmins",49,73,59,4,2,4,191,431
35107,"Timmins--James Bay/Timmins--Baie James"," 71","Timmins",68,69,60,7,5,0,209,458
35107,"Timmins--James Bay/Timmins--Baie James"," 72","Timmins",61,44,38,3,1,1,148,341
35107,"Timmins--James Bay/Timmins--Baie James"," 73","Timmins",69,44,45,4,1,2,165,349
35107,"Timmins--James Bay/Timmins--Baie James"," 74","Timmins",34,20,36,7,1,2,100,410
35107,"Timmins--James Bay/Timmins--Baie James"," 75","Timmins",120,87,45,3,5,6,266,418
35107,"Timmins--James Bay/Timmins--Baie James"," 76","Timmins",65,53,50,6,4,2,180,408
35107,"Timmins--James Bay/Timmins--Baie James"," 77","Timmins",44,32,30,4,4,0,114,426
35107,"Timmins--James Bay/Timmins--Baie James"," 78","Timmins",54,54,51,5,5,3,172,403
35107,"Timmins--James Bay/Timmins--Baie James"," 79","Timmins",46,65,38,7,5,0,161,375
35107,"Timmins--James Bay/Timmins--Baie James"," 80","Timmins",41,75,27,1,4,6,154,401
35107,"Timmins--James Bay/Timmins--Baie James"," 81","Timmins",39,45,58,3,5,3,153,333
35107,"Timmins--James Bay/Timmins--Baie James"," 82","Timmins",44,39,40,8,3,0,134,407
35107,"Timmins--James Bay/Timmins--Baie James"," 83","Timmins",48,32,28,7,6,3,124,380
35107,"Timmins--James Bay/Timmins--Baie James"," 84","Timmins",37,57,20,7,6,0,127,297
35107,"Timmins--James Bay/Timmins--Baie James"," 85","Timmins",60,52,40,5,4,1,162,317
35107,"Timmins--James Bay/Timmins--Baie James"," 86","Timmins",60,71,36,3,10,1,181,438
35107,"Timmins--James Bay/Timmins--Baie James"," 87","Timmins",40,20,21,4,2,2,89,370
35107,"Timmins--James Bay/Timmins--Baie James"," 88","Timmins",53,36,34,4,4,0,131,398
35107,"Timmins--James Bay/Timmins--Baie James"," 89","Timmins",69,32,35,3,6,1,146,417
35107,"Timmins--James Bay/Timmins--Baie James"," 90","Timmins",69,43,40,16,2,0,170,447
35107,"Timmins--James Bay/Timmins--Baie James"," 91","Timmins",77,64,43,4,5,6,199,380
35107,"Timmins--James Bay/Timmins--Baie James"," 92","Kearns",135,60,70,11,7,7,290,496
