Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Eyolfson,Steven Fletcher,Brian Ho,Kristin Lauhn-Jensen,Marty Morantz,Melissa Penner,Ken St. George,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 104A","Winnipeg",102,5,0,12,95,0,24,3,241,469
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 104B","Winnipeg",Merged with No./Fusionné avec le n°425,,,,,,,,,28
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 105","Winnipeg",118,11,1,11,117,1,36,1,296,539
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 106","Winnipeg",40,6,0,9,125,0,10,1,191,381
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 107","Headingley",31,1,0,3,87,1,14,0,137,243
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 108","Headingley",36,12,0,6,88,0,10,0,152,301
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 109","Headingley",59,9,0,3,154,1,12,0,238,396
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 110","Winnipeg",100,4,0,9,97,0,28,1,239,500
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 111","Winnipeg",88,11,0,24,121,0,22,0,266,552
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 112","Winnipeg",75,6,1,10,60,1,16,1,170,378
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 113","Winnipeg",64,10,0,8,102,0,38,0,222,419
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 114","Winnipeg",58,2,1,14,73,3,29,2,182,394
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 115","Winnipeg",95,8,0,8,119,1,35,0,266,463
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 116","Winnipeg",95,9,0,9,78,2,47,0,240,467
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 117","Winnipeg",105,9,0,6,98,0,25,3,246,475
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 118","Winnipeg",106,6,0,12,123,0,35,1,283,505
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 119","Winnipeg",89,7,0,10,99,1,38,0,244,486
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 120","Winnipeg",113,4,2,11,103,0,31,0,264,472
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 121","Winnipeg",57,11,2,9,63,1,25,0,168,331
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 122","Winnipeg",90,9,0,16,114,2,24,1,256,503
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 123","Winnipeg",61,5,0,9,93,0,18,0,186,374
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 124","Winnipeg",87,16,2,11,109,0,27,1,253,528
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 125","Winnipeg",109,10,1,12,107,2,41,0,282,573
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 126","Winnipeg",72,12,0,10,112,1,21,1,229,478
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 127","Winnipeg",84,9,0,16,108,1,31,0,249,525
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 128","Winnipeg",164,19,4,20,255,0,68,3,533,950
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 129","Winnipeg",77,12,1,13,76,0,22,0,201,354
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 130","Winnipeg",96,10,0,13,93,1,27,0,240,536
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 131","Winnipeg",70,15,0,19,139,1,23,3,270,490
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 400","Winnipeg",Void/Supprimé,,,,,,,,,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 401","Winnipeg",10,2,0,3,25,0,12,1,53,80
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 402","Winnipeg",15,6,2,1,16,1,8,5,54,245
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 403","Winnipeg",74,9,1,7,55,2,11,1,160,223
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 404","Winnipeg",64,10,0,10,95,0,37,3,219,347
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 405","Winnipeg",42,9,1,2,37,0,8,11,110,144
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 406","Winnipeg",35,7,0,4,26,2,5,5,84,129
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 407","Winnipeg",34,11,0,4,35,5,24,4,117,193
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 408","Winnipeg",27,7,2,3,31,0,8,1,79,135
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 409","Winnipeg",56,3,3,5,63,2,11,1,144,217
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 410","Winnipeg",65,10,1,1,63,0,18,0,158,279
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 411","Winnipeg",35,8,1,4,33,1,3,4,89,118
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 412","Winnipeg",25,9,0,4,38,0,10,2,88,156
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 413","Winnipeg",17,10,0,4,12,0,11,3,57,88
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 414","Winnipeg",63,18,0,4,51,0,30,4,170,319
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 415","Winnipeg",51,11,1,4,68,0,24,2,161,279
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 416","Winnipeg",12,2,0,1,17,3,19,2,56,226
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 417","Winnipeg",21,4,0,4,18,0,13,0,60,105
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 418","Winnipeg",3,0,1,1,2,0,5,0,12,34
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 419","Winnipeg",21,4,0,2,13,0,10,0,50,86
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 420","Winnipeg",41,7,1,9,54,2,42,3,159,267
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 421","Winnipeg",44,5,0,1,33,1,20,1,105,186
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 422","Winnipeg",17,0,0,3,10,0,10,0,40,137
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 423","Winnipeg",Merged with No./Fusionné avec le n°101B,,,,,,,,,30
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 424","Winnipeg",13,6,0,1,18,0,7,1,46,70
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 425","Winnipeg",10,1,0,1,11,0,4,0,27,29
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 426","Winnipeg",15,4,0,2,13,0,7,1,42,63
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 427","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,145
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 428","Winnipeg",51,1,0,7,35,0,3,2,99,124
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 500","Mobile poll/Bureau itinérant",14,6,0,1,8,0,5,3,37,152
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 501A","Mobile poll/Bureau itinérant",33,21,2,3,25,2,13,0,99,129
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,24
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 501C","Winnipeg",23,4,0,7,26,0,8,1,69,102
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 600","Winnipeg",66,6,1,6,176,0,21,1,277,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 601","Winnipeg",239,30,3,29,353,3,111,5,773,
