Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Janssen,Brian Kalliecharan,Marty Lancaster,David Patterson,Doug Shipley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 102","Barrie",30,71,27,3,51,1,183,494
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 103","Barrie",42,31,23,6,67,0,169,420
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 104","Barrie",34,85,37,5,85,1,247,590
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 105","Barrie",45,59,21,5,68,0,198,469
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 106","Barrie",39,45,25,5,41,2,157,404
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 107","Barrie",34,71,26,2,78,4,215,416
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 108","Barrie",41,50,24,2,72,0,189,425
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 109","Barrie",34,56,14,5,80,2,191,452
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 110","Barrie",38,53,24,7,51,2,175,573
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 111","Barrie",46,63,45,4,68,2,228,609
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 112","Barrie",47,79,35,5,65,1,232,553
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 113","Barrie",39,78,51,4,70,2,244,554
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 114","Barrie",31,112,60,4,74,2,283,613
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 115","Barrie",62,85,32,8,81,0,268,603
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 116","Barrie",48,78,35,5,90,3,259,586
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 117","Barrie",23,82,33,1,64,0,203,459
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 118","Barrie",37,50,27,4,61,1,180,441
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 119","Barrie",30,67,33,2,31,1,164,460
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 120","Barrie",39,59,25,6,79,1,209,508
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 121","Barrie",32,49,17,4,44,1,147,509
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 122","Barrie",41,46,20,6,43,0,156,543
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 123","Barrie",61,57,31,5,65,2,221,535
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 124","Barrie",39,45,10,2,45,2,143,388
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 125","Barrie",37,44,21,4,33,0,139,474
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 126","Barrie",19,93,26,1,69,6,214,169
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 127","Barrie",41,41,25,6,42,1,156,416
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 128","Barrie",43,68,39,6,54,2,212,496
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 129","Barrie",26,58,32,1,51,0,168,537
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 130A","Barrie",25,27,11,3,21,0,87,293
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 130B","Barrie",Merged with No./Fusionné avec le n°126,,,,,,,161
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 131","Barrie",42,81,38,3,53,1,218,429
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 132","Barrie",45,56,23,1,58,2,185,380
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 133","Barrie",42,95,21,8,102,1,269,582
