Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eileen Clancy Teslenko,Patty Deitch,Pat Finnigan,Mathew Grant Lawson,Allison MacKenzie,Peggy McLean,Ron Nowlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 19","Alnwick",12,15,81,3,5,40,3,5,164,283
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 20","Lagacéville",25,18,136,4,7,51,4,7,252,439
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 21","New Jersey",13,17,80,6,19,70,9,2,216,357
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 22","Escuminac",6,13,86,3,9,68,3,12,200,389
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 23","Escuminac",6,10,44,0,14,61,4,3,142,285
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 24","Hardwicke",5,6,49,0,5,57,2,4,128,272
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 25","Baie-Sainte-Anne",5,11,57,0,14,54,6,2,149,288
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 26","Eel River Bridge",5,11,60,1,4,40,5,1,127,298
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 27","Lower Newcastle",12,18,70,0,11,68,6,0,185,405
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 28","Bartibog Bridge",13,14,40,3,4,54,4,2,134,266
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 29","Lower Newcastle",22,21,75,1,8,83,13,1,224,428
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 30","Miramichi",25,17,63,0,11,71,8,5,200,446
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 31","Miramichi",15,24,74,0,5,67,7,2,194,444
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 32","Miramichi",14,20,97,2,9,90,11,1,244,505
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 33","Miramichi",38,27,87,1,6,105,14,0,278,593
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 34","Bay du Vin",18,19,68,4,16,106,6,8,245,367
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 35","Pointe-Sapin",10,59,153,7,7,57,7,6,306,415
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 36","Bellefond--Beaver Brook",23,24,94,3,9,80,15,0,248,437
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 37","Chatham",25,23,78,0,11,85,7,0,229,367
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 38","Miramichi",20,20,71,0,16,80,4,1,212,346
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 39","Miramichi",19,31,64,2,7,76,4,0,203,354
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 40","Miramichi",20,29,60,1,19,82,11,4,226,422
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 41","Miramichi",26,20,71,1,12,52,10,2,194,407
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 42","Miramichi",28,25,55,1,6,60,8,7,190,391
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 43","Miramichi",19,15,75,2,13,51,10,6,191,415
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 44","Centre Napan",12,28,76,1,19,65,9,3,213,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 45","Lower Napan",21,14,43,0,16,65,7,4,170,315
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 46","Glenwood",17,13,55,2,10,125,13,0,235,411
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 47","Curventon",22,9,48,4,12,95,12,5,207,396
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 48","Maple Glen",3,4,9,0,1,26,4,0,47,169
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 49","Miramichi",25,24,61,1,7,63,15,1,197,445
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 50","Miramichi",30,34,65,4,10,64,6,4,217,456
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 51","Miramichi",15,19,71,2,12,56,5,0,180,408
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 52","Miramichi",21,36,83,1,9,62,11,2,225,489
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 53","Miramichi",15,22,59,0,16,67,15,3,197,504
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 54","St. Margarets",18,10,52,3,3,34,6,0,126,193
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 55","Miramichi",19,3,37,0,2,42,3,0,106,285
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 56","Miramichi",24,22,54,1,8,65,4,3,181,437
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 57","Miramichi",11,28,73,3,4,76,10,3,208,463
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 58","Miramichi",21,12,75,0,12,64,7,3,194,492
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 59","St. Margarets",13,16,39,3,11,123,16,2,223,379
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 60A","Miramichi",23,43,87,4,12,85,6,3,263,435
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 60B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,131
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 61","Miramichi",19,16,83,3,16,71,2,2,212,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 62","Miramichi",29,32,74,1,5,67,5,4,217,329
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 63","Maple Glen",15,9,38,0,10,51,6,0,129,358
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 64","Miramichi",21,18,65,3,8,64,7,0,186,442
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 65","Miramichi",20,21,44,2,3,50,7,0,147,413
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 66","Miramichi",27,23,61,1,7,72,2,1,194,409
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 67","Miramichi",26,24,78,1,4,49,4,0,186,426
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 68","Miramichi",22,11,52,1,7,55,6,5,159,327
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 69","Miramichi",23,10,41,2,5,30,6,1,118,317
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 70","Miramichi",24,12,40,0,11,57,1,2,147,350
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 71","Kouchibouguac",8,38,58,0,1,41,6,7,159,212
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 72","Eel Ground",62,24,109,1,7,13,5,6,227,429
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 73","Miramichi",20,14,93,2,20,84,13,2,248,369
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 74","Miramichi",20,31,56,0,25,78,5,1,216,352
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 75","Miramichi",25,30,42,3,12,75,10,2,199,357
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 76","Nelson",12,19,27,0,8,44,9,1,120,234
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 77","Whitney",24,15,54,2,6,71,10,0,182,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 78","Whitney",13,28,45,0,13,96,5,4,204,361
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 79","Exmoor",8,13,42,1,1,65,3,2,135,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 80","Boom Road",11,9,28,1,1,85,5,0,140,298
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 81","Millerton",12,19,37,0,17,99,10,1,195,334
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 82","Williamstown",29,14,61,1,14,113,8,2,242,398
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 83","Williamstown",11,23,59,1,11,77,12,3,197,365
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 84","Barnaby River",16,18,54,1,6,75,8,0,178,262
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 85","East Collette",0,33,63,0,2,11,5,1,115,206
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 86","Collette",8,28,61,0,4,16,1,4,122,208
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 87","Acadieville",12,30,77,1,2,30,7,1,160,265
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 88","Acadieville",5,23,80,3,1,12,3,1,128,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 89","Rogersville",0,24,43,0,2,11,2,2,84,253
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 90","Rogersville",8,24,94,0,0,15,3,2,146,329
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 91","Rogersville",3,20,87,1,3,11,0,4,129,305
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 92","Rogersville",7,13,66,0,1,14,1,1,103,273
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 93","Rogersville",2,37,85,0,2,18,4,1,149,313
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 94","Warwick Settlement",10,6,37,1,1,53,3,2,113,230
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 95","Warwick Settlement",16,12,63,0,1,30,0,1,123,238
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 96","Red Bank 4",25,10,69,3,1,71,2,3,184,323
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 97","Matthews",13,17,39,3,3,110,4,2,191,321
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 98","Elsipogtog",32,13,42,1,1,4,0,6,99,307
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 99","Elsipogtog",38,29,80,0,0,0,1,2,150,511
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 100","Elsipogtog",15,11,40,3,0,0,1,1,71,218
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 101","Elsipogtog",27,26,59,3,0,5,0,1,121,469
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 102","South Branch--West Branch",15,25,52,23,1,45,1,3,165,251
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 103","South Branch--West Branch",4,31,39,11,0,35,3,1,124,248
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 104","Bass River",5,33,72,12,5,25,2,5,159,276
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 105","Williamstown",14,17,67,2,1,86,5,4,196,337
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 106","Barnaby River",14,11,33,1,14,78,3,2,156,265
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 107","White Rapids",8,10,76,1,6,87,7,7,202,371
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 108","Renous",1,24,39,2,6,87,8,0,167,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 109","Renous",16,20,87,3,6,79,7,0,218,380
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 110","Beersville",11,37,45,9,1,65,6,2,176,319
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 111","Blackville",4,13,42,1,4,99,7,1,171,350
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 112","Blackville",12,16,44,2,1,117,0,1,193,390
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 113","Blackville",5,22,25,3,4,106,4,5,174,365
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 114","Upper Blackville",3,16,39,1,4,78,7,3,151,309
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 115","Harcourt",14,25,49,1,1,38,5,0,133,336
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 116","Blissfield",8,9,31,1,11,92,9,4,165,381
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 117","Storeytown",3,15,34,2,2,84,4,3,147,348
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 118","Blissfield",3,5,28,0,3,74,6,3,122,379
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 119","Holtville",2,8,13,0,2,49,7,0,81,223
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 120","Ludlow",8,13,39,0,0,110,8,0,178,345
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 121","Ludlow",4,16,25,4,3,67,2,0,121,294
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 122","Bloomfield Ridge",17,17,27,3,6,140,10,8,228,518
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 123A","Parker Ridge",11,37,36,0,4,99,11,8,206,385
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 123B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,28
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 124","Chipman",9,6,31,2,2,76,6,0,132,281
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 125","Chipman",11,19,26,2,5,64,7,0,134,324
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 126","Chipman",4,14,19,0,2,46,3,0,88,245
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 127","Northfield",5,14,30,3,4,49,7,1,113,261
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 128","Chipman",7,16,25,1,1,44,10,1,105,358
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 129","Chipman",14,6,25,1,1,54,6,3,110,294
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 130","Chipman",11,15,29,0,2,54,7,0,118,286
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 131","Minto",10,15,30,1,1,41,11,0,109,284
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 132","Northfield",9,17,28,1,1,47,15,0,118,291
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 133","Minto",5,11,19,5,1,55,5,1,102,260
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 134","Minto",9,7,27,4,1,56,3,1,108,296
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 135","Minto",7,14,30,0,0,50,9,2,112,263
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 136","Minto",12,14,28,1,1,53,8,3,120,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 137","Minto",6,8,30,2,1,39,6,2,94,283
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 138","Minto",13,12,31,4,0,68,7,4,139,281
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 139","Newcastle Creek",8,20,44,1,3,68,13,2,159,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 500","Mobile poll/Bureau itinérant",2,3,58,2,2,18,0,10,95,108
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 501","Mobile poll/Bureau itinérant",2,1,30,0,0,12,0,5,50,20
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 502","Mobile poll/Bureau itinérant",3,3,25,3,5,25,5,3,72,126
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 503","Mobile poll/Bureau itinérant",2,2,50,1,0,13,2,3,73,104
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504","Mobile poll/Bureau itinérant",7,4,19,4,0,22,3,0,59,69
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 600","Sunny Corner--Red Bank",33,45,126,1,12,248,21,13,499,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 601","Miramichi",30,57,139,6,16,143,13,10,414,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 602","Miramichi",81,137,440,5,51,454,49,16,1233,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 603","Miramichi",76,145,426,9,38,319,41,28,1082,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 604","Miramichi",83,124,306,5,35,348,21,0,922,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 605","Neguac",47,40,290,6,11,157,7,7,565,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 606","Neguac",46,41,390,7,10,139,16,5,654,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 607","Baie-Sainte-Anne",13,31,209,3,14,163,9,5,447,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 608","Miramichi",41,68,151,3,29,179,21,7,499,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 609","Rogersville",35,118,529,4,13,98,7,14,818,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 610","Rexton",49,46,68,11,2,11,2,3,192,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 611","Rexton",14,35,50,6,2,32,3,0,142,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 612","Blackville",27,49,169,7,8,305,11,6,582,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 613","Deaktown",16,27,105,3,7,240,21,3,422,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 614","Deaktown",11,33,70,2,11,237,10,3,377,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 615","Chipman",19,67,151,8,17,338,30,2,632,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 616","Minto",30,83,181,9,14,285,40,0,642,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,Group 1/Groupe 1, 9,9,34,2,0,6,1,4,65,78
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,Group 2/Groupe 2, 83,168,463,5,38,461,31,42,1291,
