Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lori Campbell,Bardish Chagger,Erika Traub,Kirsten Wright,Jerry Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 23","Waterloo",36,64,6,17,53,0,176,466
35112,"Waterloo/Waterloo"," 24","Waterloo",25,103,4,17,94,2,245,438
35112,"Waterloo/Waterloo"," 25","Waterloo",16,91,2,17,48,0,174,318
35112,"Waterloo/Waterloo"," 26","Waterloo",22,114,3,22,69,2,232,370
35112,"Waterloo/Waterloo"," 27","Waterloo",38,99,3,22,44,1,207,375
35112,"Waterloo/Waterloo"," 28","Waterloo",34,99,8,19,29,1,190,384
35112,"Waterloo/Waterloo"," 29","Waterloo",35,103,13,21,60,2,234,402
35112,"Waterloo/Waterloo"," 30","Waterloo",47,113,3,21,48,4,236,531
35112,"Waterloo/Waterloo"," 31","Waterloo",47,127,7,19,86,0,286,536
35112,"Waterloo/Waterloo"," 32","Waterloo",28,116,3,25,55,0,227,406
35112,"Waterloo/Waterloo"," 33A","Waterloo",13,69,6,17,44,0,149,293
35112,"Waterloo/Waterloo"," 33B","Waterloo",36,66,6,15,47,1,171,313
35112,"Waterloo/Waterloo"," 34","Waterloo",35,142,9,23,72,0,281,495
35112,"Waterloo/Waterloo"," 35","Waterloo",22,143,3,27,76,0,271,475
35112,"Waterloo/Waterloo"," 36","Waterloo",37,134,6,27,51,3,258,476
35112,"Waterloo/Waterloo"," 37","Waterloo",22,109,3,12,81,1,228,383
35112,"Waterloo/Waterloo"," 38","Waterloo",27,113,2,36,60,1,239,408
35112,"Waterloo/Waterloo"," 39","Waterloo",40,148,2,19,66,0,275,460
35112,"Waterloo/Waterloo"," 40","Waterloo",41,136,3,28,55,0,263,379
35112,"Waterloo/Waterloo"," 41","Waterloo",31,94,4,22,54,2,207,366
35112,"Waterloo/Waterloo"," 42","Waterloo",49,103,3,21,55,1,232,386
35112,"Waterloo/Waterloo"," 43","Waterloo",38,112,1,32,65,1,249,398
35112,"Waterloo/Waterloo"," 44","Waterloo",56,110,8,20,41,1,236,536
35112,"Waterloo/Waterloo"," 45","Waterloo",53,83,10,31,40,2,219,473
35112,"Waterloo/Waterloo"," 46","Waterloo",29,95,14,36,43,1,218,438
35112,"Waterloo/Waterloo"," 47","Waterloo",45,85,5,25,55,1,216,517
35112,"Waterloo/Waterloo"," 48","Waterloo",44,100,3,22,52,2,223,443
35112,"Waterloo/Waterloo"," 49","Waterloo",22,110,9,26,63,1,231,393
35112,"Waterloo/Waterloo"," 50","Waterloo",16,93,3,22,62,2,198,351
35112,"Waterloo/Waterloo"," 51","Waterloo",52,117,9,30,67,2,277,477
35112,"Waterloo/Waterloo"," 52","Waterloo",57,135,3,29,52,4,280,437
35112,"Waterloo/Waterloo"," 53","Kitchener",16,118,6,15,124,0,279,555
35112,"Waterloo/Waterloo"," 54","Kitchener",13,108,1,10,70,1,203,460
35112,"Waterloo/Waterloo"," 55","Kitchener",35,164,6,19,102,2,328,600
35112,"Waterloo/Waterloo"," 56","Kitchener",25,52,2,20,82,3,184,340
35112,"Waterloo/Waterloo"," 57","Waterloo",50,104,12,22,52,6,246,525
35112,"Waterloo/Waterloo"," 58","Waterloo",49,116,13,24,53,3,258,474
35112,"Waterloo/Waterloo"," 59","Waterloo",17,106,6,16,57,0,202,421
35112,"Waterloo/Waterloo"," 60","Waterloo",29,79,6,28,64,0,206,443
35112,"Waterloo/Waterloo"," 61","Waterloo",24,127,10,14,89,5,269,537
35112,"Waterloo/Waterloo"," 62","Kitchener",39,83,6,31,64,2,225,471
35112,"Waterloo/Waterloo"," 63","Kitchener",68,99,10,26,75,0,278,465
35112,"Waterloo/Waterloo"," 64","Kitchener",68,111,9,28,103,1,320,500
35112,"Waterloo/Waterloo"," 65","Kitchener",53,90,8,36,96,0,283,517
35112,"Waterloo/Waterloo"," 66","Waterloo",22,83,2,26,61,4,198,421
35112,"Waterloo/Waterloo"," 67","Waterloo",47,137,5,24,68,1,282,539
35112,"Waterloo/Waterloo"," 68","Waterloo",31,82,9,33,46,2,203,405
35112,"Waterloo/Waterloo"," 69","Kitchener",28,110,6,18,61,1,224,374
35112,"Waterloo/Waterloo"," 70","Waterloo",57,132,2,13,56,5,265,432
35112,"Waterloo/Waterloo"," 71","Waterloo",29,130,1,33,80,0,273,445
35112,"Waterloo/Waterloo"," 72","Waterloo",25,105,2,16,83,0,231,443
35112,"Waterloo/Waterloo"," 73","Waterloo",41,94,6,36,53,0,230,402
35112,"Waterloo/Waterloo"," 74","Waterloo",59,139,3,38,72,0,311,548
35112,"Waterloo/Waterloo"," 75","Waterloo",50,98,8,34,61,3,254,437
35112,"Waterloo/Waterloo"," 76","Waterloo",36,103,5,20,65,5,234,413
35112,"Waterloo/Waterloo"," 77","Waterloo",41,85,5,17,40,0,188,379
35112,"Waterloo/Waterloo"," 78","Waterloo",41,119,3,30,54,0,247,424
35112,"Waterloo/Waterloo"," 79","Waterloo",40,80,5,34,47,1,207,427
