Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 24B","Maplewood",Merged with No./Fusionné avec le n°23B,,,,,,,,175
35080,"Oxford/Oxford"," 25A","Harrington",Merged with No./Fusionné avec le n°23A,,,,,,,,170
35080,"Oxford/Oxford"," 25B","Harrington",Merged with No./Fusionné avec le n°23B,,,,,,,,156
35080,"Oxford/Oxford"," 26A","Princeton",2,21,41,38,162,7,1,272,116
35080,"Oxford/Oxford"," 26B","Princeton",0,37,43,44,116,10,0,250,130
35080,"Oxford/Oxford"," 26C","Princeton",2,26,51,40,126,7,0,252,112
35080,"Oxford/Oxford"," 27A","Blandford-Blenheim",Merged with No./Fusionné avec le n°26A,,,,,,,,106
35080,"Oxford/Oxford"," 27B","Blandford-Blenheim",Merged with No./Fusionné avec le n°26B,,,,,,,,82
35080,"Oxford/Oxford"," 27C","Blandford-Blenheim",Merged with No./Fusionné avec le n°26C,,,,,,,,91
35080,"Oxford/Oxford"," 28A","Princeton",Merged with No./Fusionné avec le n°26A,,,,,,,,143
35080,"Oxford/Oxford"," 28B","Princeton",Merged with No./Fusionné avec le n°26B,,,,,,,,147
35080,"Oxford/Oxford"," 28C","Princeton",Merged with No./Fusionné avec le n°26C,,,,,,,,133
35080,"Oxford/Oxford"," 29A","Forest Estates",Merged with No./Fusionné avec le n°26A,,,,,,,,126
35080,"Oxford/Oxford"," 29B","Forest Estates",Merged with No./Fusionné avec le n°26B,,,,,,,,132
35080,"Oxford/Oxford"," 29C","Forest Estates",Merged with No./Fusionné avec le n°26C,,,,,,,,127
35080,"Oxford/Oxford"," 30","Innerkip",2,26,60,57,154,4,2,305,432
35080,"Oxford/Oxford"," 31","Innerkip",0,36,74,58,193,16,2,379,592
35080,"Oxford/Oxford"," 32","East Zorra-Tavistock",4,13,24,35,130,6,1,213,330
35080,"Oxford/Oxford"," 33A","Blandford-Blenheim",2,21,55,73,126,4,24,305,78
35080,"Oxford/Oxford"," 33B","Blandford-Blenheim",1,22,44,60,114,4,3,248,44
35080,"Oxford/Oxford"," 33C","Blandford-Blenheim",1,22,62,65,142,7,15,314,54
35080,"Oxford/Oxford"," 33D","Blandford-Blenheim",2,27,75,81,184,9,5,383,60
35080,"Oxford/Oxford"," 33E","Blandford-Blenheim",5,18,52,79,169,12,5,340,47
35080,"Oxford/Oxford"," 34A","Woodstock",Merged with No./Fusionné avec le n°33A,,,,,,,,56
35080,"Oxford/Oxford"," 34B","Woodstock",Merged with No./Fusionné avec le n°33B,,,,,,,,69
35080,"Oxford/Oxford"," 34C","Woodstock",Merged with No./Fusionné avec le n°33C,,,,,,,,61
35080,"Oxford/Oxford"," 34D","Woodstock",Merged with No./Fusionné avec le n°33D,,,,,,,,65
35080,"Oxford/Oxford"," 34E","Woodstock",Merged with No./Fusionné avec le n°33E,,,,,,,,85
35080,"Oxford/Oxford"," 35A","Woodstock",Merged with No./Fusionné avec le n°33A,,,,,,,,120
35080,"Oxford/Oxford"," 35B","Woodstock",Merged with No./Fusionné avec le n°33B,,,,,,,,73
35080,"Oxford/Oxford"," 35C","Woodstock",Merged with No./Fusionné avec le n°33C,,,,,,,,109
35080,"Oxford/Oxford"," 35D","Woodstock",Merged with No./Fusionné avec le n°33D,,,,,,,,133
35080,"Oxford/Oxford"," 35E","Woodstock",Merged with No./Fusionné avec le n°33E,,,,,,,,125
35080,"Oxford/Oxford"," 36A","Woodstock",Merged with No./Fusionné avec le n°33A,,,,,,,,104
35080,"Oxford/Oxford"," 36B","Woodstock",Merged with No./Fusionné avec le n°33B,,,,,,,,79
35080,"Oxford/Oxford"," 36C","Woodstock",Merged with No./Fusionné avec le n°33C,,,,,,,,109
35080,"Oxford/Oxford"," 36D","Woodstock",Merged with No./Fusionné avec le n°33D,,,,,,,,188
35080,"Oxford/Oxford"," 36E","Woodstock",Merged with No./Fusionné avec le n°33E,,,,,,,,164
35080,"Oxford/Oxford"," 37A","Woodstock",Merged with No./Fusionné avec le n°33A,,,,,,,,121
35080,"Oxford/Oxford"," 37B","Woodstock",Merged with No./Fusionné avec le n°33B,,,,,,,,134
35080,"Oxford/Oxford"," 37C","Woodstock",Merged with No./Fusionné avec le n°33C,,,,,,,,126
35080,"Oxford/Oxford"," 37D","Woodstock",Merged with No./Fusionné avec le n°33D,,,,,,,,149
35080,"Oxford/Oxford"," 37E","Woodstock",Merged with No./Fusionné avec le n°33E,,,,,,,,162
35080,"Oxford/Oxford"," 38A","Woodstock",Merged with No./Fusionné avec le n°33A,,,,,,,,94
