Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Barrett,Brian Deheer,Maggie Farrington,Matthew Gilks,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 13","Fort McMurray",Merged with No./Fusionné avec le n°12B,,,,,,,198
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 14","Fort McMurray",7,2,12,6,166,0,193,321
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 15","Fort McMurray",9,3,14,11,212,1,250,388
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 16","Fort McMurray",7,2,26,17,212,2,266,452
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 17","Fort McMurray",7,1,15,9,224,0,256,395
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 18","Fort McMurray",8,3,13,8,244,1,277,387
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19A","Fort McMurray",Merged with No./Fusionné avec le n°17,,,,,,,108
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19B","Fort McMurray",Merged with No./Fusionné avec le n°16,,,,,,,99
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19C","Fort McMurray",Merged with No./Fusionné avec le n°22,,,,,,,116
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19D","Fort McMurray",Merged with No./Fusionné avec le n°15,,,,,,,118
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 20","Fort McMurray",13,4,21,5,201,0,244,391
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 21","Wood Buffalo",6,1,14,8,203,0,232,426
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 22","Wood Buffalo",8,0,17,10,182,0,217,388
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 23A","Fort McMurray",Merged with No./Fusionné avec le n°20,,,,,,,109
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 23B","Fort McMurray",Merged with No./Fusionné avec le n°21,,,,,,,99
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 23C","Fort McMurray",Merged with No./Fusionné avec le n°14,,,,,,,122
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 23D","Fort McMurray",Merged with No./Fusionné avec le n°18,,,,,,,107
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 24A","Wood Buffalo",5,5,27,7,160,0,204,444
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 24B","Wood Buffalo",Merged with No./Fusionné avec le n°29B,,,,,,,203
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 25","Wood Buffalo",Void/Supprimé,,,,,,,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 26A","Wood Buffalo",9,4,10,8,166,0,197,408
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 26B","Wood Buffalo",8,1,10,5,166,0,190,203
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 27A","Wood Buffalo",3,1,17,8,172,2,203,403
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 27B","Wood Buffalo",Merged with No./Fusionné avec le n°26B,,,,,,,110
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 28","Wood Buffalo",1,4,15,9,141,0,170,438
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 29A","Wood Buffalo",4,0,17,11,140,1,173,449
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 29B","Wood Buffalo",3,2,11,4,159,1,180,245
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 30A","Wood Buffalo",4,1,19,6,163,1,194,411
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 30B","Wood Buffalo",Merged with No./Fusionné avec le n°26B,,,,,,,100
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 31","Wood Buffalo",5,2,17,5,156,1,186,444
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 32A","Wood Buffalo",7,1,5,2,149,0,164,382
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 32B","Wood Buffalo",Merged with No./Fusionné avec le n°37,,,,,,,146
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 33","Fort McMurray",6,1,7,5,204,0,223,401
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 34","Wood Buffalo",6,3,11,3,121,0,144,310
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 35","Wood Buffalo",Merged with No./Fusionné avec le n°39,,,,,,,262
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 36","Wood Buffalo",4,1,12,3,167,0,187,355
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 37","Wood Buffalo",7,1,3,11,138,0,160,222
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 38","Wood Buffalo",7,2,12,9,154,0,184,362
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 39","Fort McMurray",9,2,15,10,206,5,247,294
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 40","Wood Buffalo",6,2,4,6,198,0,216,398
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 41","Wood Buffalo",2,2,12,5,199,1,221,424
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 42","Wood Buffalo",7,1,16,9,196,0,229,417
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 43A","Fort McMurray",Merged with No./Fusionné avec le n°45,,,,,,,93
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 43B","Fort McMurray",Merged with No./Fusionné avec le n°46,,,,,,,89
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 43C","Fort McMurray",Merged with No./Fusionné avec le n°47A,,,,,,,78
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 44A","Wood Buffalo",Merged with No./Fusionné avec le n°40,,,,,,,107
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 44B","Wood Buffalo",Merged with No./Fusionné avec le n°41,,,,,,,91
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 44C","Wood Buffalo",Merged with No./Fusionné avec le n°42,,,,,,,96
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 45","Fort McMurray",6,1,21,12,167,1,208,411
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 46","Wood Buffalo",4,1,18,7,162,0,192,231
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 47A","Wood Buffalo",5,4,22,10,155,0,196,446
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 47B","Wood Buffalo",Merged with No./Fusionné avec le n°46,,,,,,,213
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 48","Wood Buffalo",0,0,11,1,110,0,122,285
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 49A","Wood Buffalo",6,4,9,7,182,1,209,442
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 49B","Wood Buffalo",Merged with No./Fusionné avec le n°50B,,,,,,,137
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 50A","Wood Buffalo",6,0,25,11,147,0,189,441
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 50B","Wood Buffalo",7,1,19,2,144,1,174,164
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 51","Wood Buffalo",4,1,15,6,126,0,152,355
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 52","Wood Buffalo",6,14,10,1,128,1,160,417
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 53A","Wood Buffalo",2,3,20,4,133,1,163,385
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 53B","Wood Buffalo",Merged with No./Fusionné avec le n°50B,,,,,,,125
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 54","Wood Buffalo",3,0,50,5,131,1,190,486
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 55","Wood Buffalo",2,1,38,20,92,1,154,401
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 56","Wood Buffalo",4,0,14,6,163,2,189,347
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 57","Wood Buffalo",9,2,11,20,126,2,170,435
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 58","Wood Buffalo",5,1,37,11,89,0,143,400
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 59","Wood Buffalo",3,1,15,5,108,0,132,347
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 60","Wood Buffalo",5,3,36,12,113,0,169,448
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 61","Wood Buffalo",4,5,40,8,104,0,161,406
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 62","Wood Buffalo",2,4,12,7,101,1,127,365
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 63A","Wood Buffalo",Merged with No./Fusionné avec le n°66,,,,,,,174
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 63B","Wood Buffalo",Merged with No./Fusionné avec le n°69,,,,,,,166
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 63C","Wood Buffalo",Merged with No./Fusionné avec le n°67,,,,,,,161
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 64","Wood Buffalo",10,3,6,7,221,0,247,350
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 65A","Wood Buffalo",Merged with No./Fusionné avec le n°68,,,,,,,162
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 65B","Wood Buffalo",Merged with No./Fusionné avec le n°70,,,,,,,154
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 65C","Wood Buffalo",Merged with No./Fusionné avec le n°64,,,,,,,166
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 66","Fort McMurray",7,3,10,6,174,1,201,322
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 67","Fort McMurray",6,1,25,9,208,0,249,364
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 68","Wood Buffalo",12,1,13,5,267,3,301,448
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 69","Fort McMurray",4,2,25,4,189,2,226,335
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 70","Wood Buffalo",6,1,16,8,217,0,248,363
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 71","Wood Buffalo",5,2,20,17,243,0,287,296
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 72","Fort McMurray",3,2,9,5,154,1,174,350
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 73","Fort McMurray",Merged with No./Fusionné avec le n°71,,,,,,,286
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 74","Wood Buffalo",8,1,8,4,126,0,147,313
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 75","Fort McMurray",6,1,6,6,134,0,153,314
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 76","Fort McMurray",7,0,14,1,136,0,158,361
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 77","Fort McMurray",8,3,10,4,165,0,190,431
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 78A","Wood Buffalo",6,1,24,6,112,1,150,390
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 78B","Wood Buffalo",Merged with No./Fusionné avec le n°85B,,,,,,,108
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 79","Wood Buffalo",6,2,7,3,125,2,145,369
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 80","Wood Buffalo",8,2,9,2,112,0,133,397
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 81","Wood Buffalo",10,3,12,7,155,1,188,449
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 82","Wood Buffalo",4,2,23,6,161,0,196,471
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 83","Wood Buffalo",5,0,20,11,155,4,195,397
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 84","Wood Buffalo",10,0,13,8,118,1,150,418
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 85A","Wood Buffalo",4,3,16,1,142,0,166,359
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 85B","Wood Buffalo",3,1,16,1,102,3,126,226
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 86A","Fort McMurray",4,1,58,6,53,1,123,410
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 86B","Fort McMurray",Merged with No./Fusionné avec le n°87,,,,,,,156
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 87","Fort McMurray",8,1,29,5,54,0,97,207
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 88","Fort McMurray",4,4,25,5,76,0,114,370
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 89","Fort McMurray",2,2,47,7,106,0,164,316
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 90","Fort McMurray",Merged with No./Fusionné avec le n°89,,,,,,,281
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 91","Fort McMurray",3,2,49,5,57,2,118,385
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 92","Fort McMurray",13,2,35,15,178,0,243,372
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 93","Fort McMurray",10,2,15,15,156,0,198,327
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 94","Fort McMurray",10,2,23,8,174,2,219,305
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 95A","Fort McMurray",Merged with No./Fusionné avec le n°101,,,,,,,97
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 95B","Fort McMurray",Merged with No./Fusionné avec le n°99,,,,,,,109
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 95C","Fort McMurray",Merged with No./Fusionné avec le n°98,,,,,,,110
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 95D","Fort McMurray",Merged with No./Fusionné avec le n°94,,,,,,,138
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 96A","Fort McMurray",Merged with No./Fusionné avec le n°100,,,,,,,98
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 96B","Fort McMurray",Merged with No./Fusionné avec le n°92,,,,,,,108
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 96C","Fort McMurray",Merged with No./Fusionné avec le n°97,,,,,,,90
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 96D","Fort McMurray",Merged with No./Fusionné avec le n°93,,,,,,,113
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 97","Fort McMurray",11,2,30,20,155,0,218,392
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 98","Fort McMurray",15,2,16,10,198,3,244,358
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 99","Fort McMurray",6,4,11,14,208,0,243,350
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 100","Fort McMurray",5,2,15,9,189,0,220,386
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 101","Fort McMurray",16,0,13,9,208,1,247,398
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 102","Fort McMurray",1,4,18,12,131,0,166,358
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 103","Fort McMurray",8,1,27,10,111,1,158,224
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 104","Fort McMurray",Merged with No./Fusionné avec le n°103,,,,,,,209
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 105","Fort McMurray",9,4,28,13,124,0,178,411
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 106","Fort McMurray",9,1,13,16,198,1,238,480
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 107","Fort McMurray",10,6,42,21,208,0,287,343
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 108","Fort McMurray",7,4,15,11,131,0,168,332
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 109","Fort McMurray",Merged with No./Fusionné avec le n°107,,,,,,,280
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 110","Fort McMurray",7,3,13,10,112,0,145,289
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 111","Fort McMurray",14,1,15,10,175,1,216,407
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 112","Fort McMurray",4,3,12,3,46,0,68,242
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 113","Fort McMurray",Merged with No./Fusionné avec le n°117,,,,,,,304
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 114","Fort McMurray",1,0,37,4,36,1,79,332
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 115","Fort McMurray",8,2,51,4,65,2,132,460
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 116","Fort McMurray",9,2,20,8,85,0,124,417
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 117","Fort McMurray",5,1,48,12,134,2,202,323
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 118","Wood Buffalo",6,4,37,5,78,0,130,403
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 119","Wood Buffalo",13,2,5,7,189,2,218,472
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 120A","Wood Buffalo",Merged with No./Fusionné avec le n°124,,,,,,,156
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 120B","Wood Buffalo",Merged with No./Fusionné avec le n°123,,,,,,,189
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 121","Fort McMurray",10,2,8,4,157,0,181,421
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 122","Fort McMurray",Merged with No./Fusionné avec le n°125,,,,,,,165
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 123","Fort McMurray",8,5,27,14,221,2,277,313
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 124","Fort McMurray",7,5,20,12,203,1,248,336
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 125","Fort McMurray",9,0,18,11,155,0,193,292
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 126","Fort McMurray",12,4,12,7,170,1,206,336
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 127","Fort McMurray",6,3,5,4,150,0,168,311
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 128","Fort McMurray",7,3,12,4,107,1,134,278
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 129","Fort McMurray",4,1,15,5,115,0,140,309
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 130","Fort McMurray",9,3,14,11,184,2,223,357
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 131","Fort McMurray",11,0,8,9,181,1,210,445
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 132","Fort McMurray",Merged with No./Fusionné avec le n°134,,,,,,,271
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 133","Fort McMurray",Merged with No./Fusionné avec le n°138,,,,,,,226
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 134","Fort McMurray",10,7,14,12,213,2,258,270
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 135A","Fort McMurray",Merged with No./Fusionné avec le n°136,,,,,,,153
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 135B","Fort McMurray",Merged with No./Fusionné avec le n°130,,,,,,,141
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 136","Fort McMurray",9,1,17,10,188,1,226,337
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 137","Fort McMurray",7,0,8,9,162,0,186,380
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 138","Fort McMurray",16,1,13,9,224,1,264,329
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 139","Saprae Creek",Merged with No./Fusionné avec le n°140,,,,,,,203
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 140","Saprae Creek",11,6,11,17,329,0,374,390
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 141","Anzac ",13,6,34,35,309,2,399,689
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 142","Janvier--Chard",4,4,20,14,15,1,58,240
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 143","Calling Lake ",1,8,38,23,93,0,163,414
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 144A","Breynat",3,3,10,10,198,1,225,386
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 144B","Breynat",Merged with No./Fusionné avec le n°146B,,,,,,,95
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 145A","Lac La Biche Mission",0,6,4,11,152,1,174,418
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 145B","Lac La Biche Mission",Merged with No./Fusionné avec le n°146B,,,,,,,105
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 146A","Plamondon",7,2,16,6,234,0,265,406
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 146B","Plamondon",5,4,5,8,162,0,184,195
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 147","Conklin",1,4,22,3,19,1,50,168
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 148","Owl River",8,2,10,5,132,0,157,315
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 149","Owl River",0,0,5,0,3,0,8,28
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 150","Barnegat",6,3,19,22,158,0,208,476
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 151","Lac La Biche",4,4,20,10,96,0,134,349
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 152","Lac La Biche",2,3,16,5,135,1,162,392
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 153","Lac La Biche",4,7,20,15,93,2,141,421
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 154","Lac La Biche",5,8,32,32,49,1,127,370
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 155","Lac La Biche",6,5,27,14,141,2,195,456
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 156A","Lac La Biche",4,13,24,39,113,0,193,451
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 156B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,0
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 157","Beaver Lake",5,6,29,17,154,1,212,493
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 158","Beaver Lake 131",2,1,2,16,4,0,25,162
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 159","Hylo",12,0,9,15,205,0,241,389
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 160","Beaver Lake 131",5,7,4,4,159,0,179,374
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 161","Rich Lake",4,3,2,2,127,0,138,240
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 162","La Corey",9,2,7,5,283,2,308,456
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 163","Happy Hollow",1,1,6,5,103,0,116,406
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 164","La Corey",6,3,8,16,232,2,267,347
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 165A","Happy Hollow",1,2,6,7,181,0,197,457
