Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rosemarie Falk,Larry Ingram,David Kim-Cragg,Jason MacInnis,Marcella Pedersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 19","Lloydminster (Part)",120,7,2,4,19,0,152,354
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 20","Lloydminster (Part)",148,7,2,3,26,4,190,436
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 21","Lloydminster (Part)",171,8,2,1,6,1,189,401
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 22","Lloydminster (Part)",154,4,1,1,12,1,173,338
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 23","Lloydminster (Part)",145,6,7,5,14,1,178,468
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 24","Lloydminster (Part)",143,23,1,3,9,1,180,431
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 25","Lloydminster (Part)",146,4,3,0,20,4,177,430
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 26","Lloydminster (Part)",151,10,0,6,10,1,178,413
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 27","Lloydminster (Part)",179,5,5,0,5,3,197,407
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 28","Lloydminster (Part)",136,6,3,2,11,1,159,392
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 29","Lloydminster (Part)",179,13,8,0,13,1,214,497
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 30","Lloydminster (Part)",241,11,4,3,25,4,288,655
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 31","Lloydminster (Part)",199,13,4,0,22,1,239,604
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 32","Lloydminster",198,1,3,6,18,0,226,344
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 33","Glaslyn",85,5,1,1,3,3,98,195
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 34","Glaslyn",190,12,2,5,11,0,220,406
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 35","Marshall",393,8,8,10,17,3,439,653
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 36","Lashburn",255,9,4,1,20,3,292,413
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 37","Lashburn",174,8,3,1,10,4,200,287
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 38","Lashburn",265,9,2,3,11,1,291,471
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 39","Mervin",143,11,6,0,6,1,167,253
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 40","Mervin",384,11,4,12,13,1,425,558
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 41","Maidstone",191,10,3,5,7,0,216,419
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 42","Maidstone",171,5,2,5,18,0,201,479
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 43","Maidstone",157,8,3,5,10,5,188,402
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 44","Medstead",278,4,7,7,18,2,316,417
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 45","Paynton",139,12,4,6,15,0,176,607
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 46","Saulteaux 159",7,106,1,1,21,0,136,199
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 47","Moosomin 112B",2,114,2,1,43,2,164,234
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 48","Marsden",347,5,1,4,13,0,370,508
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 49","Meota",290,12,4,5,25,0,336,799
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 50","Prince",200,9,2,1,10,2,224,359
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 51","Rabbit Lake",137,7,1,3,3,1,152,248
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 52","Cochin",134,44,6,1,36,4,225,638
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 53","Little Pine 116",5,58,6,1,121,4,195,267
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 54","Freemont",165,0,6,3,6,1,181,357
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 55","Freemont",240,4,1,1,13,2,261,354
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 56","Poundmaker 114",5,55,1,1,58,1,121,206
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 57","Delmas",146,7,3,3,11,1,171,321
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 58","Cut Knife",295,24,11,11,49,3,393,731
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 59","North Battleford",248,4,3,6,36,2,299,518
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 60","North Battleford",136,14,1,2,33,0,186,449
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61","North Battleford",123,12,1,6,44,2,188,390
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 62","North Battleford",133,17,5,2,46,2,205,442
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 63","North Battleford",218,22,6,4,29,5,284,521
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 64","North Battleford",107,23,6,1,46,6,189,490
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 65","North Battleford",125,28,5,5,35,2,200,431
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 66","North Battleford",151,20,2,4,37,0,214,468
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 67","Gallivan",40,44,7,1,104,3,199,432
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 68","North Battleford",185,17,4,2,36,4,248,428
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 69","North Battleford",162,17,6,1,17,2,205,377
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 70","North Battleford",182,14,8,3,42,0,249,462
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 71","North Battleford",171,24,3,5,53,0,256,488
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 72","North Battleford",112,20,1,5,54,3,195,447
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 73","North Battleford",151,19,7,3,42,1,223,424
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 74","North Battleford",120,20,3,5,49,3,200,463
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75","North Battleford",61,20,3,5,28,1,118,249
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 76","North Battleford",117,15,10,6,42,1,191,464
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 77","North Battleford",89,23,2,0,37,2,153,434
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 78","North Battleford",104,24,6,4,35,2,175,478
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 79","North Battleford",168,28,9,3,48,1,257,559
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 80","North Battleford",104,28,5,11,49,2,199,494
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 81","Macklin",321,4,6,5,14,6,356,498
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 82","Macklin",266,4,2,1,5,0,278,351
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 83","Macklin",331,10,0,9,12,0,362,476
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84","North Battleford",141,21,3,2,28,0,195,385
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 85","North Battleford",120,15,4,5,42,1,187,367
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 86","Unity",158,5,0,4,13,1,181,315
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 87","Unity",176,9,5,5,23,1,219,385
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 88","Unity",203,5,2,7,15,1,233,413
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 89","Unity",167,13,3,5,27,2,217,461
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 90","Unity",213,11,5,3,20,0,252,461
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 91","Battleford",145,10,5,1,35,2,198,506
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 92","Battleford",173,16,7,3,17,0,216,458
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 93","Battleford",130,12,2,5,32,0,181,384
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94","Battleford",190,27,6,5,47,1,276,535
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 95","Battleford",182,17,3,5,21,0,228,499
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96","Battleford",158,15,6,3,32,0,214,496
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 97","Battleford",142,13,8,3,38,0,204,447
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 98","Denholm",229,12,1,3,32,1,278,500
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 99","Porter",123,6,3,3,14,0,149,273
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 100","Reward",131,0,3,1,9,2,146,244
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 101","Swarthmore",141,3,2,5,5,1,157,262
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 102","Wilkie",119,5,3,1,9,3,140,275
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 103","Wilkie",106,20,4,6,22,0,158,323
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 104","Wilkie",116,6,0,4,12,0,138,250
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 105","Scott",140,2,1,1,8,1,153,423
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 106","Red Pheasant",13,60,2,0,100,0,175,299
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 107","Red Pheasant",49,10,0,1,8,0,68,156
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 108","Cactus Lake",150,2,1,1,3,3,160,251
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 109","Denzil",237,8,5,2,17,2,271,402
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 110","Luseland",232,10,6,5,23,4,280,424
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 111","Landis",134,9,2,3,19,1,168,248
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 112","Tramping Lake",79,0,2,1,4,2,88,168
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 113","Kelfield",135,1,0,3,12,0,151,297
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 114","Kerrobert",142,5,3,4,11,0,165,337
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 115","Kerrobert",216,6,7,7,14,0,250,520
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 116","Major",199,5,4,9,2,1,220,409
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 117","Coleville",211,6,4,2,2,0,225,314
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 118","Plenty",366,9,5,11,4,2,397,580
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 500","Mobile poll/Bureau itinérant",23,5,2,0,5,3,38,55
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 501","Mobile poll/Bureau itinérant",17,0,2,1,0,1,21,76
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 502","Mobile poll/Bureau itinérant",23,8,2,0,6,1,40,70
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 503","Mobile poll/Bureau itinérant",47,24,7,3,24,3,108,300
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 504","Mobile poll/Bureau itinérant",95,27,5,5,38,1,171,260
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 505","Mobile poll/Bureau itinérant",48,13,1,1,6,1,70,110
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 600","Elmhurst",0,0,0,0,0,0,0,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 601","Elmhurst",519,22,2,14,34,1,592,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 602","Lloydminster (Part)",1091,23,4,25,46,10,1199,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 603","Lloydminster",1007,28,12,14,59,21,1141,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 604","Lashburn",494,7,7,12,30,2,552,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 605","Livelong",270,11,3,5,12,0,301,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 606","Rabbit Lake",285,51,8,7,39,0,390,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 607","Denholm",746,59,19,31,123,6,984,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 608","North Battleford",497,77,22,12,135,6,749,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 609","Battleford",633,51,22,15,128,2,851,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 610","Gallivan",275,10,3,8,29,0,325,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 611","Lashburn",349,7,4,7,23,7,397,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 612","Macklin",610,27,7,11,59,1,715,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 613","Cando",304,18,11,9,35,3,380,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 614","Plenty",462,8,7,13,19,1,510,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 1/Groupe 1, 32,65,9,3,58,8,175,178
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",,Group 2/Groupe 2, 565,62,18,21,94,39,799,
