Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenica Atwin,Matt DeCourcey,Andrea Johnson,Brandon Kirby,Jacob Patterson,Jason Paull,Lesley Thomas,Mackenzie Thomason,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 63","Burpees Corner",54,35,82,1,0,9,0,12,0,193,341
13003,"Fredericton/Fredericton"," 64","Lower Burton",67,42,117,1,0,4,7,17,0,255,421
13003,"Fredericton/Fredericton"," 65","Burpees Corner",64,44,124,1,0,5,3,20,2,263,438
13003,"Fredericton/Fredericton"," 66","Burton",58,45,118,1,0,6,2,14,0,244,417
13003,"Fredericton/Fredericton"," 67","Burton",46,47,51,2,2,2,0,22,0,172,333
13003,"Fredericton/Fredericton"," 68","Fredericton",94,76,24,0,2,0,3,9,1,209,515
13003,"Fredericton/Fredericton"," 69","Fredericton",75,55,25,0,0,1,1,5,1,163,406
13003,"Fredericton/Fredericton"," 70","Fredericton",81,66,21,1,0,0,0,7,0,176,420
13003,"Fredericton/Fredericton"," 71","Fredericton",82,37,37,0,0,2,1,25,1,185,464
13003,"Fredericton/Fredericton"," 72","Fredericton",Merged with No./Fusionné avec le n°78,,,,,,,,,,400
13003,"Fredericton/Fredericton"," 73","Fredericton",85,41,19,1,1,1,0,10,1,159,405
13003,"Fredericton/Fredericton"," 74","Fredericton",80,88,35,0,1,0,2,6,1,213,418
13003,"Fredericton/Fredericton"," 75","Fredericton",80,69,33,0,0,0,1,13,1,197,537
13003,"Fredericton/Fredericton"," 76","Fredericton",108,60,41,1,1,2,0,12,1,226,484
13003,"Fredericton/Fredericton"," 77","Fredericton",84,59,32,2,2,6,0,19,0,204,494
13003,"Fredericton/Fredericton"," 78","Fredericton",179,104,52,2,2,1,2,36,1,379,454
13003,"Fredericton/Fredericton"," 79","Fredericton",106,45,29,1,0,0,3,32,3,219,598
13003,"Fredericton/Fredericton"," 80","Fredericton",75,33,13,0,0,0,0,20,1,142,395
13003,"Fredericton/Fredericton"," 81","Fredericton",84,62,23,1,0,0,0,8,0,178,425
13003,"Fredericton/Fredericton"," 82","Fredericton",52,66,40,0,1,5,2,14,0,180,400
13003,"Fredericton/Fredericton"," 83","Fredericton",48,52,40,0,0,1,2,1,1,145,383
13003,"Fredericton/Fredericton"," 84","Fredericton",57,87,38,0,0,3,1,2,0,188,421
13003,"Fredericton/Fredericton"," 85","Fredericton",Merged with No./Fusionné avec le n°86,,,,,,,,,,225
13003,"Fredericton/Fredericton"," 86","Fredericton",104,81,61,0,0,3,0,15,0,264,354
13003,"Fredericton/Fredericton"," 87","Fredericton",66,46,30,0,0,1,0,15,3,161,418
13003,"Fredericton/Fredericton"," 88","Fredericton",71,82,37,1,0,3,1,3,11,209,403
13003,"Fredericton/Fredericton"," 89","Fredericton",79,57,38,0,1,1,0,13,0,189,367
13003,"Fredericton/Fredericton"," 90","Fredericton",96,67,32,1,0,1,3,18,1,219,502
13003,"Fredericton/Fredericton"," 91","Fredericton",71,32,34,2,0,4,0,17,2,162,453
13003,"Fredericton/Fredericton"," 92","Fredericton",71,39,20,0,0,3,1,34,0,168,412
13003,"Fredericton/Fredericton"," 93","Fredericton",125,86,43,2,0,6,0,27,0,289,592
13003,"Fredericton/Fredericton"," 94","Fredericton",71,86,52,0,0,2,0,9,0,220,473
13003,"Fredericton/Fredericton"," 95","Fredericton",102,48,34,0,0,8,0,22,1,215,425
13003,"Fredericton/Fredericton"," 96","Fredericton",64,51,35,0,0,1,0,7,0,158,360
13003,"Fredericton/Fredericton"," 97","Fredericton",88,38,37,0,0,7,0,11,0,181,421
13003,"Fredericton/Fredericton"," 98","Fredericton",59,71,61,1,0,4,1,10,0,207,430
13003,"Fredericton/Fredericton"," 99","Fredericton",55,78,53,0,0,4,1,10,1,202,409
13003,"Fredericton/Fredericton"," 100","Fredericton",90,61,55,1,0,1,2,11,3,224,451
13003,"Fredericton/Fredericton"," 101","Fredericton",63,65,73,0,0,4,0,15,0,220,388
13003,"Fredericton/Fredericton"," 102","Fredericton",73,57,69,0,2,7,2,14,1,225,407
13003,"Fredericton/Fredericton"," 103","Fredericton",50,21,22,0,0,3,1,14,0,111,380
13003,"Fredericton/Fredericton"," 104","Fredericton",46,49,66,2,0,2,0,10,1,176,631
13003,"Fredericton/Fredericton"," 105","Fredericton",56,62,52,0,0,2,0,10,0,182,463
13003,"Fredericton/Fredericton"," 106","Parc Greenwood Park",56,41,45,0,0,2,1,9,0,154,449
13003,"Fredericton/Fredericton"," 107","Fredericton",50,79,63,0,0,3,2,22,1,220,560
13003,"Fredericton/Fredericton"," 108","Fredericton",81,90,93,0,0,3,1,13,1,282,679
13003,"Fredericton/Fredericton"," 109","Fredericton",63,41,23,0,0,2,2,9,0,140,404
13003,"Fredericton/Fredericton"," 110","Fredericton",60,74,52,1,0,0,1,13,0,201,461
13003,"Fredericton/Fredericton"," 111","Fredericton",72,65,57,0,0,2,0,4,0,200,442
13003,"Fredericton/Fredericton"," 112","Fredericton",Merged with No./Fusionné avec le n°113,,,,,,,,,,406
13003,"Fredericton/Fredericton"," 113","Fredericton",130,112,85,1,0,9,1,21,3,362,402
13003,"Fredericton/Fredericton"," 114","Fredericton",42,51,58,0,0,2,0,13,1,167,359
13003,"Fredericton/Fredericton"," 115","Fredericton",48,94,57,2,0,3,2,6,0,212,472
13003,"Fredericton/Fredericton"," 116","Fredericton",55,68,37,1,0,2,0,6,0,169,494
13003,"Fredericton/Fredericton"," 117","Fredericton",63,75,53,2,0,0,0,12,1,206,468
13003,"Fredericton/Fredericton"," 118","Fredericton",64,45,68,0,1,0,1,14,2,195,490
13003,"Fredericton/Fredericton"," 119","Lincoln",Merged with No./Fusionné avec le n°120,,,,,,,,,,291
13003,"Fredericton/Fredericton"," 120","Lincoln",92,64,109,0,0,4,1,17,0,287,378
13003,"Fredericton/Fredericton"," 121","Oromocto",52,25,39,0,0,6,1,6,4,133,459
13003,"Fredericton/Fredericton"," 122","Oromocto",50,34,72,0,0,5,0,20,1,182,575
13003,"Fredericton/Fredericton"," 123","Oromocto",36,20,112,0,1,5,2,31,1,208,743
13003,"Fredericton/Fredericton"," 124","Lincoln",Merged with No./Fusionné avec le n°128,,,,,,,,,,316
13003,"Fredericton/Fredericton"," 125","Lincoln",66,29,48,0,1,3,0,9,1,157,362
13003,"Fredericton/Fredericton"," 126","Lincoln",61,19,34,0,0,3,0,6,0,123,291
13003,"Fredericton/Fredericton"," 127","Lincoln",86,41,109,1,1,3,1,17,0,259,473
13003,"Fredericton/Fredericton"," 128","Lincoln",95,57,109,1,2,8,2,28,9,311,328
13003,"Fredericton/Fredericton"," 129","Oromocto",49,43,74,0,0,7,1,22,3,199,516
13003,"Fredericton/Fredericton"," 130","Oromocto",Results combined with No./Résultats combinés au n°131,,,,,,,,,,353
13003,"Fredericton/Fredericton"," 131","Oromocto",107,69,137,1,0,16,1,30,1,362,447
13003,"Fredericton/Fredericton"," 132","Oromocto",38,23,76,1,0,5,0,28,1,172,565
13003,"Fredericton/Fredericton"," 133","Oromocto",38,23,76,0,0,4,0,29,1,171,420
13003,"Fredericton/Fredericton"," 134","New Maryland",59,51,55,0,0,1,1,5,1,173,387
13003,"Fredericton/Fredericton"," 135","New Maryland",47,61,71,1,1,5,2,13,0,201,380
13003,"Fredericton/Fredericton"," 136","New Maryland",66,60,73,0,0,1,0,12,0,212,436
13003,"Fredericton/Fredericton"," 137","New Maryland",63,52,68,0,0,3,0,7,0,193,391
13003,"Fredericton/Fredericton"," 138","New Maryland",54,56,58,1,0,1,3,12,0,185,450
13003,"Fredericton/Fredericton"," 139","New Maryland",70,114,66,0,0,2,0,7,3,262,289
13003,"Fredericton/Fredericton"," 140","New Maryland",40,35,40,0,1,1,1,15,0,133,304
13003,"Fredericton/Fredericton"," 141","New Maryland",Merged with No./Fusionné avec le n°139,,,,,,,,,,255
13003,"Fredericton/Fredericton"," 142","New Maryland",28,43,44,0,0,1,1,3,0,120,292
13003,"Fredericton/Fredericton"," 143","Oromocto",31,18,77,0,0,1,0,19,3,149,435
13003,"Fredericton/Fredericton"," 144","Oromocto",Results combined with No./Résultats combinés au n°146,,,,,,,,,,496
13003,"Fredericton/Fredericton"," 145","Oromocto",84,67,92,0,0,4,1,15,0,263,643
13003,"Fredericton/Fredericton"," 146","Oromocto",177,111,202,1,6,7,2,33,1,540,684
13003,"Fredericton/Fredericton"," 147","Oromocto",89,61,115,1,2,5,1,21,0,295,692
13003,"Fredericton/Fredericton"," 148","Geary",53,33,77,1,0,0,2,13,0,179,363
13003,"Fredericton/Fredericton"," 149","Geary",Merged with No./Fusionné avec le n°150,,,,,,,,,,322
13003,"Fredericton/Fredericton"," 150","Waterville",97,43,155,1,1,9,3,27,0,336,339
13003,"Fredericton/Fredericton"," 151","Geary",38,29,94,0,0,2,0,10,2,175,312
13003,"Fredericton/Fredericton"," 152","Geary",59,42,119,1,1,13,0,15,3,253,399
13003,"Fredericton/Fredericton"," 153","French Lake",72,29,120,1,0,7,1,13,2,245,439
13003,"Fredericton/Fredericton"," 500A","Fredericton",Merged with No./Fusionné avec le n°17,,,,,,,,,,25
13003,"Fredericton/Fredericton"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,,,1
13003,"Fredericton/Fredericton"," 501A","Mobile poll/Bureau itinérant",31,45,37,2,0,1,3,4,1,124,258
13003,"Fredericton/Fredericton"," 501B","Mobile poll/Bureau itinérant",13,31,34,0,1,0,0,1,3,83,89
13003,"Fredericton/Fredericton"," 502A","Mobile poll/Bureau itinérant",27,29,26,1,0,1,0,2,2,88,89
13003,"Fredericton/Fredericton"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503B,,,,,,,,,,22
13003,"Fredericton/Fredericton"," 502C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,,33
13003,"Fredericton/Fredericton"," 502D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,,,44
13003,"Fredericton/Fredericton"," 502E","Fredericton",Merged with No./Fusionné avec le n°74,,,,,,,,,,2
13003,"Fredericton/Fredericton"," 503A","Mobile poll/Bureau itinérant",25,50,44,2,1,2,4,4,9,141,66
13003,"Fredericton/Fredericton"," 503B","Mobile poll/Bureau itinérant",29,38,37,1,0,3,0,1,5,114,131
13003,"Fredericton/Fredericton"," 600","Fredericton",362,261,416,4,1,15,14,62,6,1141,
13003,"Fredericton/Fredericton"," 601","Fredericton",166,149,202,0,0,9,2,29,4,561,
13003,"Fredericton/Fredericton"," 602","Oromocto",124,91,244,1,0,10,6,38,4,518,
13003,"Fredericton/Fredericton"," 603","Oromocto",310,313,590,2,2,23,15,109,12,1376,
13003,"Fredericton/Fredericton"," 604","Fredericton",260,233,303,1,1,14,6,59,0,877,
13003,"Fredericton/Fredericton"," 605","Fredericton",424,512,312,3,2,19,7,53,3,1335,
13003,"Fredericton/Fredericton"," 606","Fredericton",453,378,198,2,5,4,6,34,1,1081,
13003,"Fredericton/Fredericton"," 607","Fredericton",363,296,301,3,1,13,1,41,3,1022,
13003,"Fredericton/Fredericton"," 608","Fredericton",395,493,576,2,1,13,4,52,21,1557,
13003,"Fredericton/Fredericton"," 609","Fredericton",306,339,361,3,1,21,8,55,6,1100,
13003,"Fredericton/Fredericton"," 610","Fredericton",464,408,225,3,4,15,1,44,6,1170,
13003,"Fredericton/Fredericton"," 611","Fredericton",305,432,324,0,1,12,9,39,5,1127,
13003,"Fredericton/Fredericton"," 612","Fredericton",327,408,405,4,0,20,6,63,11,1244,
13003,"Fredericton/Fredericton"," 613","New Maryland",288,357,361,1,4,11,5,43,6,1076,
13003,"Fredericton/Fredericton",,Group 1/Groupe 1, 186,136,745,10,7,55,12,74,38,1263,204
13003,"Fredericton/Fredericton",,Group 2/Groupe 2, 1417,834,527,3,4,13,12,152,17,2979,
