Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Hartnell,Amanda Moddejonge,Marcus Powlowski,Linda Rydholm,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 121","Thunder Bay",7,18,84,70,85,0,264,465
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 122","Thunder Bay",0,7,58,31,63,1,160,578
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 123","Thunder Bay",5,11,78,44,71,1,210,446
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 124","Thunder Bay",6,10,81,27,52,0,176,332
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 125","Thunder Bay",0,9,101,50,83,1,244,433
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 126","Thunder Bay",4,13,69,33,62,0,181,379
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 127","Thunder Bay",1,4,65,28,65,4,167,338
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 128","Thunder Bay",2,11,85,38,81,1,218,424
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 129","Thunder Bay",7,6,69,46,53,6,187,406
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 130","Thunder Bay",1,7,43,27,31,2,111,254
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 131","Thunder Bay",2,6,50,32,65,2,157,438
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 132","Thunder Bay",2,7,63,28,49,0,149,360
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 133","Thunder Bay",4,10,70,40,68,2,194,419
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 134","Thunder Bay",5,13,83,36,100,2,239,515
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 135","Thunder Bay",10,18,65,32,108,2,235,545
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 136","Paipoonge",1,8,65,62,40,4,180,317
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 137","Paipoonge",3,8,64,109,43,0,227,406
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 138","Paipoonge",3,3,105,95,31,3,240,401
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 139","Paipoonge",3,5,89,109,30,4,240,408
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 140","Thunder Bay",4,2,70,28,88,2,194,478
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 141","Thunder Bay",5,3,93,37,88,0,226,448
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 142","Thunder Bay",7,11,78,50,95,1,242,473
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 143","Thunder Bay",4,15,66,41,82,2,210,477
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 144","Thunder Bay",0,9,68,97,42,1,217,380
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 145","Thunder Bay",0,6,69,47,39,1,162,299
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 146","Thunder Bay",0,7,88,51,58,0,204,371
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 147","Thunder Bay",1,6,64,61,39,3,174,327
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 148","Thunder Bay",6,17,51,35,58,2,169,394
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 149","Thunder Bay",1,8,64,35,46,2,156,391
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 150","Thunder Bay",1,2,50,26,67,2,148,360
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 151","Thunder Bay",1,14,79,54,100,1,249,462
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 152","Thunder Bay",2,9,57,29,55,0,152,348
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 153","Paipoonge",7,13,82,92,60,4,258,474
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 154","Thunder Bay",3,14,72,53,63,2,207,388
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 155","Thunder Bay",2,10,74,41,62,2,191,368
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 156","Thunder Bay",2,10,44,39,62,1,158,383
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 157","Thunder Bay",4,7,103,54,55,1,224,395
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 158","Thunder Bay",2,13,78,83,49,0,225,398
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 159","Thunder Bay",3,9,90,70,44,0,216,352
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 160","O'Connor",4,9,44,61,48,0,166,333
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 161","O'Connor",5,19,34,61,58,1,178,373
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 162","Thunder Bay",5,16,91,79,70,2,263,513
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 163","Thunder Bay",2,13,126,82,57,3,283,470
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 164","Thunder Bay",2,8,93,84,51,1,239,467
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 165","Thunder Bay",3,13,126,78,66,0,286,563
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 166","Thunder Bay",2,9,112,85,52,2,262,455
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 167","Paipoonge",1,10,55,86,30,2,184,275
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 168","Paipoonge",4,12,69,138,57,3,283,446
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 169","Fort William 52",1,1,41,5,60,0,108,402
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 170","Fort William 52",0,1,46,7,52,0,106,382
