Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ginette Boutet,Miranda Gallo,Georgia Kokotsis,Emmanuella Lambropoulos,Christopher Mikus,Thérèse Miljours,Richard Serour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 30","Saint-Laurent",1,22,14,116,3,9,24,1,190,496
24068,"Saint-Laurent/Saint-Laurent"," 31","Saint-Laurent",1,21,18,141,1,16,18,1,217,499
24068,"Saint-Laurent/Saint-Laurent"," 32","Saint-Laurent",0,24,11,127,0,14,30,2,208,446
24068,"Saint-Laurent/Saint-Laurent"," 33","Saint-Laurent",0,39,60,112,6,58,23,1,299,509
24068,"Saint-Laurent/Saint-Laurent"," 34","Saint-Laurent",0,31,14,129,5,14,34,3,230,542
24068,"Saint-Laurent/Saint-Laurent"," 35","Saint-Laurent",1,27,21,180,2,44,18,5,298,517
24068,"Saint-Laurent/Saint-Laurent"," 36","Saint-Laurent",0,28,11,118,2,23,33,6,221,479
24068,"Saint-Laurent/Saint-Laurent"," 37","Saint-Laurent",0,32,9,100,5,22,26,2,196,534
24068,"Saint-Laurent/Saint-Laurent"," 38","Saint-Laurent",2,21,6,99,0,5,19,3,155,445
24068,"Saint-Laurent/Saint-Laurent"," 39","Saint-Laurent",0,25,14,110,0,14,12,1,176,427
24068,"Saint-Laurent/Saint-Laurent"," 40","Saint-Laurent",1,31,11,129,3,21,23,2,221,421
24068,"Saint-Laurent/Saint-Laurent"," 41","Saint-Laurent",0,18,4,100,3,7,14,5,151,511
24068,"Saint-Laurent/Saint-Laurent"," 42","Saint-Laurent",0,16,7,135,2,10,26,2,198,514
24068,"Saint-Laurent/Saint-Laurent"," 43","Saint-Laurent",2,27,3,95,1,7,21,2,158,426
24068,"Saint-Laurent/Saint-Laurent"," 44","Saint-Laurent",0,5,1,83,0,8,13,1,111,332
24068,"Saint-Laurent/Saint-Laurent"," 45","Saint-Laurent",0,15,3,111,3,5,22,0,159,475
24068,"Saint-Laurent/Saint-Laurent"," 46","Saint-Laurent",0,18,4,92,1,15,10,1,141,381
24068,"Saint-Laurent/Saint-Laurent"," 47","Saint-Laurent",1,30,11,187,1,18,30,3,281,620
24068,"Saint-Laurent/Saint-Laurent"," 48","Saint-Laurent",1,16,10,98,3,9,14,0,151,466
24068,"Saint-Laurent/Saint-Laurent"," 49","Saint-Laurent",1,22,10,135,3,10,39,6,226,493
24068,"Saint-Laurent/Saint-Laurent"," 50","Saint-Laurent",1,24,22,147,2,13,48,2,259,489
24068,"Saint-Laurent/Saint-Laurent"," 51A","Saint-Laurent",0,26,12,51,3,13,18,1,124,195
24068,"Saint-Laurent/Saint-Laurent"," 51B","Saint-Laurent",Merged with No./Fusionné avec le n°74,,,,,,,,,234
24068,"Saint-Laurent/Saint-Laurent"," 52","Saint-Laurent",2,32,8,123,4,7,24,2,202,510
24068,"Saint-Laurent/Saint-Laurent"," 53","Saint-Laurent",0,32,15,100,4,14,20,5,190,489
24068,"Saint-Laurent/Saint-Laurent"," 54","Saint-Laurent",1,21,6,136,0,5,14,3,186,493
24068,"Saint-Laurent/Saint-Laurent"," 55","Saint-Laurent",2,16,7,140,0,8,19,9,201,540
24068,"Saint-Laurent/Saint-Laurent"," 56","Saint-Laurent",1,33,16,101,3,7,33,0,194,502
24068,"Saint-Laurent/Saint-Laurent"," 57","Saint-Laurent",0,24,6,104,3,17,13,2,169,405
24068,"Saint-Laurent/Saint-Laurent"," 58","Saint-Laurent",2,17,5,98,1,8,37,5,173,369
24068,"Saint-Laurent/Saint-Laurent"," 59","Saint-Laurent",1,30,15,141,7,29,20,2,245,453
24068,"Saint-Laurent/Saint-Laurent"," 60","Saint-Laurent",1,16,15,127,9,35,40,4,247,447
24068,"Saint-Laurent/Saint-Laurent"," 61","Saint-Laurent",0,13,11,119,4,9,27,0,183,422
24068,"Saint-Laurent/Saint-Laurent"," 62","Saint-Laurent",0,20,7,104,2,2,21,3,159,374
24068,"Saint-Laurent/Saint-Laurent"," 63","Saint-Laurent",1,19,13,103,3,6,23,3,171,431
24068,"Saint-Laurent/Saint-Laurent"," 64","Saint-Laurent",0,18,8,127,8,17,43,1,222,423
24068,"Saint-Laurent/Saint-Laurent"," 65","Saint-Laurent",0,21,9,161,5,12,25,3,236,459
24068,"Saint-Laurent/Saint-Laurent"," 66","Saint-Laurent",0,27,12,80,3,29,18,2,171,453
24068,"Saint-Laurent/Saint-Laurent"," 67","Saint-Laurent",2,28,20,103,0,19,27,4,203,472
24068,"Saint-Laurent/Saint-Laurent"," 68","Saint-Laurent",0,51,32,120,1,50,19,0,273,460
24068,"Saint-Laurent/Saint-Laurent"," 69","Saint-Laurent",0,34,35,98,1,55,19,2,244,454
24068,"Saint-Laurent/Saint-Laurent"," 70","Saint-Laurent",0,42,20,136,2,32,15,1,248,492
24068,"Saint-Laurent/Saint-Laurent"," 71","Saint-Laurent",2,44,17,71,5,29,26,5,199,486
24068,"Saint-Laurent/Saint-Laurent"," 72","Saint-Laurent",1,30,25,95,2,34,29,3,219,522
24068,"Saint-Laurent/Saint-Laurent"," 73","Saint-Laurent",0,46,20,104,0,29,30,0,229,467
24068,"Saint-Laurent/Saint-Laurent"," 74","Saint-Laurent",0,25,11,114,4,17,57,5,233,331
24068,"Saint-Laurent/Saint-Laurent"," 75","Saint-Laurent",0,34,16,106,2,9,20,3,190,403
24068,"Saint-Laurent/Saint-Laurent"," 76","Saint-Laurent",0,15,12,118,8,7,35,0,195,439
24068,"Saint-Laurent/Saint-Laurent"," 77A","Saint-Laurent",0,21,16,148,0,23,34,2,244,520
24068,"Saint-Laurent/Saint-Laurent"," 77B","Saint-Laurent",0,17,16,111,0,8,37,2,191,410
24068,"Saint-Laurent/Saint-Laurent"," 78","Saint-Laurent",0,23,14,113,1,11,44,0,206,427
24068,"Saint-Laurent/Saint-Laurent"," 79","Saint-Laurent",0,21,10,103,0,25,47,1,207,423
24068,"Saint-Laurent/Saint-Laurent"," 80","Saint-Laurent",0,21,10,131,1,12,27,0,202,434
24068,"Saint-Laurent/Saint-Laurent"," 81","Saint-Laurent",0,20,18,157,2,23,35,2,257,528
24068,"Saint-Laurent/Saint-Laurent"," 82","Saint-Laurent",0,33,12,126,0,23,49,2,245,457
24068,"Saint-Laurent/Saint-Laurent"," 83","Saint-Laurent",0,21,12,100,0,25,51,1,210,448
24068,"Saint-Laurent/Saint-Laurent"," 84","Saint-Laurent",0,21,17,119,7,22,53,3,242,494
24068,"Saint-Laurent/Saint-Laurent"," 85","Saint-Laurent",0,45,8,141,1,9,34,2,240,630
24068,"Saint-Laurent/Saint-Laurent"," 86","Saint-Laurent",0,13,3,69,3,4,20,2,114,310
24068,"Saint-Laurent/Saint-Laurent"," 87","Saint-Laurent",1,38,11,111,0,22,35,2,220,464
24068,"Saint-Laurent/Saint-Laurent"," 88","Saint-Laurent",0,32,13,130,2,13,36,2,228,483
24068,"Saint-Laurent/Saint-Laurent"," 89","Saint-Laurent",0,23,14,97,3,6,54,0,197,459
24068,"Saint-Laurent/Saint-Laurent"," 90","Saint-Laurent",0,16,16,100,1,20,42,0,195,446
24068,"Saint-Laurent/Saint-Laurent"," 91","Saint-Laurent",0,35,9,99,0,22,48,2,215,493
24068,"Saint-Laurent/Saint-Laurent"," 92","Saint-Laurent",0,22,16,132,1,17,35,2,225,572
24068,"Saint-Laurent/Saint-Laurent"," 93","Saint-Laurent",0,10,9,107,0,13,33,1,173,472
24068,"Saint-Laurent/Saint-Laurent"," 94","Saint-Laurent",0,14,10,147,6,15,28,1,221,409
24068,"Saint-Laurent/Saint-Laurent"," 95","Saint-Laurent",0,11,3,136,6,2,16,4,178,472
24068,"Saint-Laurent/Saint-Laurent"," 96","Saint-Laurent",0,24,11,104,2,7,45,3,196,431
24068,"Saint-Laurent/Saint-Laurent"," 97","Saint-Laurent",0,6,2,85,2,4,29,0,128,400
24068,"Saint-Laurent/Saint-Laurent"," 98","Saint-Laurent",0,11,9,104,1,26,20,4,175,337
24068,"Saint-Laurent/Saint-Laurent"," 99","Saint-Laurent",0,14,6,120,3,12,24,3,182,303
24068,"Saint-Laurent/Saint-Laurent"," 100","Saint-Laurent",0,44,10,127,2,15,29,5,232,455
24068,"Saint-Laurent/Saint-Laurent"," 101","Saint-Laurent",0,29,12,192,5,10,13,4,265,492
24068,"Saint-Laurent/Saint-Laurent"," 102","Saint-Laurent",0,14,15,115,3,13,48,2,210,466
24068,"Saint-Laurent/Saint-Laurent"," 103","Saint-Laurent",0,22,12,90,3,3,37,1,168,468
24068,"Saint-Laurent/Saint-Laurent"," 104","Saint-Laurent",1,15,7,113,7,4,28,1,176,532
24068,"Saint-Laurent/Saint-Laurent"," 105","Saint-Laurent",0,17,3,104,2,4,24,3,157,474
24068,"Saint-Laurent/Saint-Laurent"," 106","Saint-Laurent",0,20,2,138,0,13,19,5,197,518
24068,"Saint-Laurent/Saint-Laurent"," 107","Saint-Laurent",0,17,2,117,3,3,32,3,177,494
24068,"Saint-Laurent/Saint-Laurent"," 108","Saint-Laurent",0,21,5,116,0,3,22,0,167,358
24068,"Saint-Laurent/Saint-Laurent"," 109","Saint-Laurent",0,11,3,76,1,3,23,5,122,258
24068,"Saint-Laurent/Saint-Laurent"," 110","Saint-Laurent",0,15,7,135,2,7,20,3,189,458
24068,"Saint-Laurent/Saint-Laurent"," 111","Saint-Laurent",0,8,3,121,2,6,28,1,169,387
24068,"Saint-Laurent/Saint-Laurent"," 112","Saint-Laurent",0,18,8,83,2,6,52,1,170,454
24068,"Saint-Laurent/Saint-Laurent"," 113","Saint-Laurent",0,24,16,120,4,5,63,1,233,487
24068,"Saint-Laurent/Saint-Laurent"," 114","Saint-Laurent",0,16,13,94,0,7,44,4,178,479
24068,"Saint-Laurent/Saint-Laurent"," 115","Saint-Laurent",0,7,11,57,5,4,54,0,138,381
24068,"Saint-Laurent/Saint-Laurent"," 116","Saint-Laurent",0,12,4,84,2,0,69,1,172,450
24068,"Saint-Laurent/Saint-Laurent"," 117A","Saint-Laurent",0,15,8,80,3,11,71,2,190,386
24068,"Saint-Laurent/Saint-Laurent"," 117B","Saint-Laurent",0,32,8,98,1,7,65,1,212,442
24068,"Saint-Laurent/Saint-Laurent"," 118","Saint-Laurent",0,26,5,112,7,18,65,1,234,587
24068,"Saint-Laurent/Saint-Laurent"," 119","Saint-Laurent",0,14,6,98,2,11,29,2,162,501
24068,"Saint-Laurent/Saint-Laurent"," 120","Saint-Laurent",1,20,16,113,3,7,82,1,243,494
24068,"Saint-Laurent/Saint-Laurent"," 121","Saint-Laurent",0,19,7,127,5,10,75,4,247,481
24068,"Saint-Laurent/Saint-Laurent"," 122","Saint-Laurent",1,19,9,125,6,15,49,1,225,510
24068,"Saint-Laurent/Saint-Laurent"," 123","Saint-Laurent",0,15,12,105,1,13,54,1,201,501
24068,"Saint-Laurent/Saint-Laurent"," 124","Saint-Laurent",0,20,16,112,2,10,60,2,222,507
24068,"Saint-Laurent/Saint-Laurent"," 125","Saint-Laurent",0,12,3,69,1,3,36,0,124,505
24068,"Saint-Laurent/Saint-Laurent"," 126","Saint-Laurent",0,18,3,86,3,4,50,1,165,442
24068,"Saint-Laurent/Saint-Laurent"," 127","Saint-Laurent",0,8,5,84,4,3,29,1,134,399
24068,"Saint-Laurent/Saint-Laurent"," 128","Saint-Laurent",0,21,17,118,1,19,19,3,198,441
24068,"Saint-Laurent/Saint-Laurent"," 129","Saint-Laurent",1,14,16,81,13,32,34,3,194,450
24068,"Saint-Laurent/Saint-Laurent"," 130","Saint-Laurent",0,16,9,101,0,4,23,1,154,445
24068,"Saint-Laurent/Saint-Laurent"," 131","Saint-Laurent",0,13,2,64,5,4,27,0,115,402
24068,"Saint-Laurent/Saint-Laurent"," 132","Saint-Laurent",1,11,6,50,0,3,51,1,123,448
24068,"Saint-Laurent/Saint-Laurent"," 133","Saint-Laurent",0,2,7,68,4,2,18,5,106,300
24068,"Saint-Laurent/Saint-Laurent"," 134","Saint-Laurent",0,29,18,75,4,16,41,0,183,431
24068,"Saint-Laurent/Saint-Laurent"," 135","Saint-Laurent",0,10,6,97,1,11,30,2,157,364
24068,"Saint-Laurent/Saint-Laurent"," 136","Saint-Laurent",1,12,5,87,1,2,21,2,131,371
24068,"Saint-Laurent/Saint-Laurent"," 137","Saint-Laurent",0,16,5,88,3,9,33,2,156,469
24068,"Saint-Laurent/Saint-Laurent"," 138","Saint-Laurent",0,11,3,61,4,10,36,1,126,355
24068,"Saint-Laurent/Saint-Laurent"," 400","Saint-Laurent",0,3,1,53,0,14,6,13,90,129
24068,"Saint-Laurent/Saint-Laurent"," 401","Saint-Laurent",1,1,4,64,0,10,9,4,93,131
24068,"Saint-Laurent/Saint-Laurent"," 402","Saint-Laurent",0,13,10,95,4,11,33,5,171,315
24068,"Saint-Laurent/Saint-Laurent"," 403","Saint-Laurent",2,12,9,113,1,15,55,7,214,346
24068,"Saint-Laurent/Saint-Laurent"," 404","Saint-Laurent",0,15,7,82,2,15,23,4,148,307
24068,"Saint-Laurent/Saint-Laurent"," 405","Saint-Laurent",0,22,5,96,9,13,41,7,193,359
24068,"Saint-Laurent/Saint-Laurent"," 406","Saint-Laurent",0,2,1,101,0,13,8,4,129,194
24068,"Saint-Laurent/Saint-Laurent"," 407","Saint-Laurent",1,6,2,142,1,33,4,4,193,270
24068,"Saint-Laurent/Saint-Laurent"," 408","Saint-Laurent",1,6,3,62,0,8,5,4,89,130
24068,"Saint-Laurent/Saint-Laurent"," 409","Saint-Laurent",1,7,3,86,4,6,53,4,164,161
24068,"Saint-Laurent/Saint-Laurent"," 410","Saint-Laurent",Merged with No./Fusionné avec le n°409,,,,,,,,,187
24068,"Saint-Laurent/Saint-Laurent"," 411","Saint-Laurent",0,7,10,70,0,1,28,0,116,203
24068,"Saint-Laurent/Saint-Laurent"," 500","Mobile poll/Bureau itinérant",2,2,5,98,1,9,7,4,128,298
24068,"Saint-Laurent/Saint-Laurent"," 501","Mobile poll/Bureau itinérant",0,6,0,47,1,0,3,4,61,148
24068,"Saint-Laurent/Saint-Laurent"," 600","St. Laurent",1,22,11,260,2,23,41,6,366,
24068,"Saint-Laurent/Saint-Laurent"," 601","St. Laurent",0,17,13,261,3,18,47,4,363,
24068,"Saint-Laurent/Saint-Laurent"," 602","St. Laurent",1,73,55,270,3,94,65,4,565,
24068,"Saint-Laurent/Saint-Laurent"," 603","St. Laurent",0,45,30,303,8,81,80,8,555,
24068,"Saint-Laurent/Saint-Laurent"," 604","St. Laurent",1,75,32,352,5,72,72,11,620,
24068,"Saint-Laurent/Saint-Laurent"," 605","St. Laurent",4,88,50,528,5,98,110,12,895,
24068,"Saint-Laurent/Saint-Laurent"," 606","St. Laurent",2,101,65,595,8,70,77,28,946,
24068,"Saint-Laurent/Saint-Laurent"," 607","St. Laurent",2,54,30,420,10,51,102,5,674,
24068,"Saint-Laurent/Saint-Laurent"," 608","St. Laurent",0,39,25,325,9,49,127,4,578,
24068,"Saint-Laurent/Saint-Laurent"," 609","St. Laurent",0,90,42,565,16,64,209,7,993,
24068,"Saint-Laurent/Saint-Laurent"," 610","St. Laurent",3,71,69,469,11,88,198,20,929,
24068,"Saint-Laurent/Saint-Laurent"," 611","St. Laurent",2,41,29,430,8,18,196,20,744,
24068,"Saint-Laurent/Saint-Laurent"," 612","St. Laurent",2,45,31,390,6,17,433,9,933,
24068,"Saint-Laurent/Saint-Laurent"," 613","St. Laurent",0,62,29,378,7,34,162,3,675,
24068,"Saint-Laurent/Saint-Laurent",,Group 1/Groupe 1, 0,8,10,62,5,3,7,7,102,174
24068,"Saint-Laurent/Saint-Laurent",,Group 2/Groupe 2, 1,138,80,539,10,43,257,31,1099,
