Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monique Allard,Lyne Bessette,Steeve Cloutier,Bruno Côté,Lawrence Cotton,Normand Dallaire,Sylvie Jetté,François Poulin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 20","Magog",80,53,2,20,1,5,19,4,7,191,380
24016,"Brome--Missisquoi/Brome--Missisquoi"," 21","Magog",89,62,1,32,0,15,15,2,3,219,421
24016,"Brome--Missisquoi/Brome--Missisquoi"," 22","Magog",91,67,1,20,1,9,23,1,2,215,445
24016,"Brome--Missisquoi/Brome--Missisquoi"," 23","Magog",117,73,1,33,0,7,34,3,2,270,531
24016,"Brome--Missisquoi/Brome--Missisquoi"," 24","Magog",41,34,1,11,0,6,8,1,1,103,264
24016,"Brome--Missisquoi/Brome--Missisquoi"," 25","Magog",67,50,0,23,0,6,8,4,2,160,385
24016,"Brome--Missisquoi/Brome--Missisquoi"," 26","Magog",83,53,0,14,0,9,23,0,2,184,521
24016,"Brome--Missisquoi/Brome--Missisquoi"," 27","Stukely-Sud",93,41,0,10,0,9,14,0,1,168,315
24016,"Brome--Missisquoi/Brome--Missisquoi"," 28","Stukely-Sud",45,65,4,27,0,12,9,1,1,164,302
24016,"Brome--Missisquoi/Brome--Missisquoi"," 29","Stukely-Sud",78,58,2,22,1,12,12,4,0,189,317
24016,"Brome--Missisquoi/Brome--Missisquoi"," 30","Magog",53,59,2,17,0,5,16,0,0,152,312
24016,"Brome--Missisquoi/Brome--Missisquoi"," 31","Magog",57,57,2,20,1,7,14,0,4,162,376
24016,"Brome--Missisquoi/Brome--Missisquoi"," 32","Magog",43,21,3,17,0,10,12,0,1,107,313
24016,"Brome--Missisquoi/Brome--Missisquoi"," 33","Magog",88,64,3,18,0,5,12,2,3,195,379
24016,"Brome--Missisquoi/Brome--Missisquoi"," 34","Magog",47,49,2,18,0,8,11,0,5,140,356
24016,"Brome--Missisquoi/Brome--Missisquoi"," 35","Magog",56,23,3,12,0,9,14,1,9,127,412
24016,"Brome--Missisquoi/Brome--Missisquoi"," 36","Magog",57,63,1,10,0,5,12,3,0,151,457
24016,"Brome--Missisquoi/Brome--Missisquoi"," 37","Magog",70,46,1,16,0,13,15,1,3,165,407
24016,"Brome--Missisquoi/Brome--Missisquoi"," 38","Magog",72,103,0,17,0,15,20,2,4,233,609
24016,"Brome--Missisquoi/Brome--Missisquoi"," 39","Magog",80,69,2,18,1,10,18,0,1,199,465
24016,"Brome--Missisquoi/Brome--Missisquoi"," 40","Magog",81,107,1,23,0,6,11,1,2,232,485
24016,"Brome--Missisquoi/Brome--Missisquoi"," 41","Magog",57,68,2,14,0,9,16,1,6,173,404
24016,"Brome--Missisquoi/Brome--Missisquoi"," 42","Magog",78,52,3,21,1,15,16,3,4,193,453
24016,"Brome--Missisquoi/Brome--Missisquoi"," 43","Magog",70,57,1,35,2,12,11,0,4,192,357
24016,"Brome--Missisquoi/Brome--Missisquoi"," 44","Magog",52,46,0,10,0,7,6,3,3,127,402
24016,"Brome--Missisquoi/Brome--Missisquoi"," 45A","Magog",53,57,0,19,1,6,17,0,4,157,431
24016,"Brome--Missisquoi/Brome--Missisquoi"," 45B","Magog",60,48,0,22,0,19,13,4,4,170,89
24016,"Brome--Missisquoi/Brome--Missisquoi"," 46","Magog",75,66,3,20,1,7,22,1,6,201,416
24016,"Brome--Missisquoi/Brome--Missisquoi"," 47","Magog",61,47,0,19,0,3,19,0,0,149,381
24016,"Brome--Missisquoi/Brome--Missisquoi"," 48","Magog",40,26,0,5,1,6,8,1,1,88,355
24016,"Brome--Missisquoi/Brome--Missisquoi"," 49","Magog",55,42,3,12,0,13,13,1,4,143,477
24016,"Brome--Missisquoi/Brome--Missisquoi"," 50","Magog",41,31,1,13,0,7,3,0,0,96,365
24016,"Brome--Missisquoi/Brome--Missisquoi"," 51","Magog",87,75,2,35,2,18,25,2,2,248,516
24016,"Brome--Missisquoi/Brome--Missisquoi"," 52","Magog",65,54,3,28,0,15,15,0,10,190,377
24016,"Brome--Missisquoi/Brome--Missisquoi"," 53","Magog",104,102,2,30,0,11,24,1,3,277,557
24016,"Brome--Missisquoi/Brome--Missisquoi"," 54","Magog",60,58,0,20,0,8,15,0,1,162,357
24016,"Brome--Missisquoi/Brome--Missisquoi"," 55","Saint-Étienne-de-Bolton",102,63,2,18,1,9,13,2,1,211,323
24016,"Brome--Missisquoi/Brome--Missisquoi"," 56","Saint-Étienne-de-Bolton",101,67,3,11,2,17,19,1,0,221,322
24016,"Brome--Missisquoi/Brome--Missisquoi"," 57A","Magog",52,57,3,11,0,11,4,0,3,141,382
24016,"Brome--Missisquoi/Brome--Missisquoi"," 57B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,11
24016,"Brome--Missisquoi/Brome--Missisquoi"," 58","Magog",97,101,0,27,0,13,18,1,1,258,508
24016,"Brome--Missisquoi/Brome--Missisquoi"," 59","Magog",84,71,0,21,0,12,13,4,2,207,450
24016,"Brome--Missisquoi/Brome--Missisquoi"," 60","Magog",59,58,1,28,0,9,10,0,0,165,370
24016,"Brome--Missisquoi/Brome--Missisquoi"," 61","Magog",60,50,0,14,1,6,11,0,3,145,382
24016,"Brome--Missisquoi/Brome--Missisquoi"," 62","Magog",55,62,0,12,0,7,17,1,2,156,342
24016,"Brome--Missisquoi/Brome--Missisquoi"," 63","Magog",58,79,0,25,0,16,11,3,4,196,404
24016,"Brome--Missisquoi/Brome--Missisquoi"," 64","Magog",85,80,3,14,0,5,24,0,1,212,468
24016,"Brome--Missisquoi/Brome--Missisquoi"," 65","Magog",68,73,2,14,0,7,15,0,1,180,435
24016,"Brome--Missisquoi/Brome--Missisquoi"," 66","Magog",51,88,0,24,0,7,9,0,2,181,449
24016,"Brome--Missisquoi/Brome--Missisquoi"," 67","Magog",73,97,1,25,0,11,12,0,1,220,492
24016,"Brome--Missisquoi/Brome--Missisquoi"," 68","Magog",96,77,2,15,0,17,11,1,0,219,500
24016,"Brome--Missisquoi/Brome--Missisquoi"," 69","Magog",25,78,0,12,0,7,6,1,0,129,315
24016,"Brome--Missisquoi/Brome--Missisquoi"," 70","Magog",59,61,1,19,1,6,15,2,1,165,377
24016,"Brome--Missisquoi/Brome--Missisquoi"," 71","Magog",61,61,0,32,1,20,7,2,2,186,463
24016,"Brome--Missisquoi/Brome--Missisquoi"," 72","Austin",56,53,1,7,0,2,14,2,2,137,326
24016,"Brome--Missisquoi/Brome--Missisquoi"," 73","Austin",66,57,1,13,0,17,19,5,0,178,415
24016,"Brome--Missisquoi/Brome--Missisquoi"," 74","Austin",45,51,0,28,0,10,16,0,0,150,278
24016,"Brome--Missisquoi/Brome--Missisquoi"," 75","Austin",52,96,0,48,1,10,16,3,9,235,390
24016,"Brome--Missisquoi/Brome--Missisquoi"," 76","Bromont",70,151,1,20,0,8,21,0,0,271,589
24016,"Brome--Missisquoi/Brome--Missisquoi"," 77A","Bromont",57,86,0,8,0,12,14,1,0,178,357
24016,"Brome--Missisquoi/Brome--Missisquoi"," 77B","Bromont",57,85,0,8,1,5,11,0,1,168,386
24016,"Brome--Missisquoi/Brome--Missisquoi"," 78","Bromont",82,82,2,20,0,21,13,2,1,223,522
24016,"Brome--Missisquoi/Brome--Missisquoi"," 79","Bromont",71,60,1,4,0,14,32,2,3,187,469
24016,"Brome--Missisquoi/Brome--Missisquoi"," 80","Bromont",70,125,0,13,0,21,15,1,3,248,516
24016,"Brome--Missisquoi/Brome--Missisquoi"," 81","Bromont",59,70,1,13,0,13,13,2,0,171,368
24016,"Brome--Missisquoi/Brome--Missisquoi"," 82","Bromont",51,90,1,22,0,12,15,1,1,193,454
24016,"Brome--Missisquoi/Brome--Missisquoi"," 83","Bromont",71,110,0,16,1,23,21,2,2,246,597
24016,"Brome--Missisquoi/Brome--Missisquoi"," 84","Bromont",67,125,0,19,0,29,10,2,5,257,500
24016,"Brome--Missisquoi/Brome--Missisquoi"," 85","Bromont",89,121,1,28,0,16,31,3,6,295,568
24016,"Brome--Missisquoi/Brome--Missisquoi"," 86A","Bromont",54,67,1,12,0,7,11,0,1,153,315
24016,"Brome--Missisquoi/Brome--Missisquoi"," 86B","Bromont",38,77,0,15,1,5,19,0,0,155,307
24016,"Brome--Missisquoi/Brome--Missisquoi"," 87","Bromont",70,103,3,9,0,16,12,2,0,215,464
24016,"Brome--Missisquoi/Brome--Missisquoi"," 88","Bromont",56,88,0,11,0,18,17,5,0,195,459
24016,"Brome--Missisquoi/Brome--Missisquoi"," 89","Bromont",67,66,0,22,0,16,16,1,1,189,407
24016,"Brome--Missisquoi/Brome--Missisquoi"," 90","Lac-Brome",36,90,0,22,0,7,7,0,1,163,358
24016,"Brome--Missisquoi/Brome--Missisquoi"," 91","Lac-Brome",27,98,1,24,0,9,10,2,1,172,442
24016,"Brome--Missisquoi/Brome--Missisquoi"," 92","Lac-Brome",41,80,0,12,0,5,15,0,1,154,335
24016,"Brome--Missisquoi/Brome--Missisquoi"," 93","Lac-Brome",27,123,0,32,2,15,16,1,0,216,453
24016,"Brome--Missisquoi/Brome--Missisquoi"," 94","Lac-Brome",6,89,0,14,0,4,7,0,0,120,380
24016,"Brome--Missisquoi/Brome--Missisquoi"," 95","Lac-Brome",29,81,0,23,0,9,20,1,3,166,415
24016,"Brome--Missisquoi/Brome--Missisquoi"," 96","Bolton-Ouest",38,68,1,21,2,7,9,1,1,148,301
24016,"Brome--Missisquoi/Brome--Missisquoi"," 97","Bolton-Ouest",14,90,0,16,0,9,10,0,0,139,298
24016,"Brome--Missisquoi/Brome--Missisquoi"," 98","Bolton-Est",129,85,2,26,0,18,17,0,1,278,476
24016,"Brome--Missisquoi/Brome--Missisquoi"," 99","Bolton-Est",53,90,1,48,0,13,20,0,2,227,385
24016,"Brome--Missisquoi/Brome--Missisquoi"," 100","Bromont",69,73,1,29,2,9,11,1,3,198,355
24016,"Brome--Missisquoi/Brome--Missisquoi"," 101","Bromont",98,80,2,19,0,14,29,2,12,256,374
24016,"Brome--Missisquoi/Brome--Missisquoi"," 102","Lac-Brome",42,109,0,14,0,14,15,0,3,197,423
24016,"Brome--Missisquoi/Brome--Missisquoi"," 103","Lac-Brome",12,63,0,15,0,10,12,1,2,115,308
24016,"Brome--Missisquoi/Brome--Missisquoi"," 104","Lac-Brome",24,86,0,19,0,6,20,1,2,158,371
24016,"Brome--Missisquoi/Brome--Missisquoi"," 105","Lac-Brome",38,69,1,11,0,12,11,1,0,143,404
24016,"Brome--Missisquoi/Brome--Missisquoi"," 106","Lac-Brome",36,56,2,26,1,11,7,4,0,143,339
24016,"Brome--Missisquoi/Brome--Missisquoi"," 107","Lac-Brome",41,108,0,16,0,15,36,4,6,226,408
24016,"Brome--Missisquoi/Brome--Missisquoi"," 108","Brigham",62,37,1,26,0,4,10,1,5,146,305
24016,"Brome--Missisquoi/Brome--Missisquoi"," 109","Brigham",51,37,1,8,0,5,11,1,3,117,269
24016,"Brome--Missisquoi/Brome--Missisquoi"," 110","Brigham",32,44,0,20,0,4,14,1,0,115,308
24016,"Brome--Missisquoi/Brome--Missisquoi"," 111","Brigham",60,39,0,24,0,10,17,1,4,155,320
24016,"Brome--Missisquoi/Brome--Missisquoi"," 112","Brigham",70,68,0,14,0,17,11,0,2,182,313
24016,"Brome--Missisquoi/Brome--Missisquoi"," 113","Brigham",63,48,3,26,1,19,29,1,1,191,312
24016,"Brome--Missisquoi/Brome--Missisquoi"," 114A","Farnham",91,69,1,21,0,6,12,1,1,202,394
24016,"Brome--Missisquoi/Brome--Missisquoi"," 114B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,,,,,8
24016,"Brome--Missisquoi/Brome--Missisquoi"," 115","Farnham",76,57,0,17,1,2,12,2,5,172,439
24016,"Brome--Missisquoi/Brome--Missisquoi"," 116","Farnham",67,45,0,15,1,14,22,1,2,167,336
24016,"Brome--Missisquoi/Brome--Missisquoi"," 117","Farnham",103,60,1,30,3,11,18,0,5,231,456
24016,"Brome--Missisquoi/Brome--Missisquoi"," 118","Farnham",53,41,0,14,0,4,16,0,3,131,392
24016,"Brome--Missisquoi/Brome--Missisquoi"," 119A","Farnham",40,31,0,16,0,9,9,5,6,116,298
24016,"Brome--Missisquoi/Brome--Missisquoi"," 119B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,,,,,19
24016,"Brome--Missisquoi/Brome--Missisquoi"," 120","Farnham",69,47,2,35,0,5,18,1,8,185,407
24016,"Brome--Missisquoi/Brome--Missisquoi"," 121","East Farnham",53,57,1,23,0,11,20,1,2,168,236
24016,"Brome--Missisquoi/Brome--Missisquoi"," 122","East Farnham",59,47,4,23,3,16,17,0,0,169,252
24016,"Brome--Missisquoi/Brome--Missisquoi"," 123","Farnham",51,35,2,23,0,11,12,1,4,139,401
24016,"Brome--Missisquoi/Brome--Missisquoi"," 124","Farnham",72,27,6,20,0,6,7,1,4,143,425
24016,"Brome--Missisquoi/Brome--Missisquoi"," 125","Farnham",61,46,0,13,0,9,25,2,4,160,462
24016,"Brome--Missisquoi/Brome--Missisquoi"," 126","Farnham",72,62,1,12,2,11,16,1,6,183,381
24016,"Brome--Missisquoi/Brome--Missisquoi"," 127","Farnham",70,55,1,20,0,8,13,3,3,173,435
24016,"Brome--Missisquoi/Brome--Missisquoi"," 128","Farnham",63,37,0,26,0,8,8,2,1,145,473
24016,"Brome--Missisquoi/Brome--Missisquoi"," 129","Farnham",78,53,1,27,2,10,12,0,3,186,394
24016,"Brome--Missisquoi/Brome--Missisquoi"," 130","Farnham",79,23,0,14,1,8,15,2,2,144,437
24016,"Brome--Missisquoi/Brome--Missisquoi"," 131A","Farnham",61,30,1,30,2,12,15,1,5,157,358
24016,"Brome--Missisquoi/Brome--Missisquoi"," 131B","Farnham",67,32,1,20,0,13,16,4,2,155,349
24016,"Brome--Missisquoi/Brome--Missisquoi"," 132","Farnham",125,57,3,30,0,14,17,1,2,249,495
24016,"Brome--Missisquoi/Brome--Missisquoi"," 133","Brome",25,104,2,41,1,14,16,2,3,208,450
24016,"Brome--Missisquoi/Brome--Missisquoi"," 134A","Cowansville",53,57,0,19,1,6,17,0,4,157,384
24016,"Brome--Missisquoi/Brome--Missisquoi"," 134B","Cowansville",48,54,1,29,0,10,25,2,4,173,372
24016,"Brome--Missisquoi/Brome--Missisquoi"," 135","Cowansville",61,94,1,29,0,8,24,0,2,219,422
24016,"Brome--Missisquoi/Brome--Missisquoi"," 136","Cowansville",80,96,0,30,1,11,26,1,5,250,483
24016,"Brome--Missisquoi/Brome--Missisquoi"," 137","Cowansville",77,87,1,25,0,13,24,2,2,231,524
24016,"Brome--Missisquoi/Brome--Missisquoi"," 138","Cowansville",53,48,1,24,0,14,16,2,1,159,436
24016,"Brome--Missisquoi/Brome--Missisquoi"," 139A","Cowansville",63,92,1,21,0,5,15,4,2,203,386
24016,"Brome--Missisquoi/Brome--Missisquoi"," 139B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,,8
24016,"Brome--Missisquoi/Brome--Missisquoi"," 140","Cowansville",64,66,1,18,0,17,9,1,7,183,495
24016,"Brome--Missisquoi/Brome--Missisquoi"," 141","Cowansville",46,45,0,16,0,7,15,3,5,137,382
24016,"Brome--Missisquoi/Brome--Missisquoi"," 142A","Cowansville",80,86,1,22,1,8,13,1,5,217,555
24016,"Brome--Missisquoi/Brome--Missisquoi"," 142B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,,157
24016,"Brome--Missisquoi/Brome--Missisquoi"," 143","Cowansville",50,53,2,35,1,10,11,1,2,165,392
24016,"Brome--Missisquoi/Brome--Missisquoi"," 144","Cowansville",41,59,1,19,1,10,14,0,3,148,339
24016,"Brome--Missisquoi/Brome--Missisquoi"," 145","Cowansville",49,45,0,19,3,13,19,1,5,154,434
24016,"Brome--Missisquoi/Brome--Missisquoi"," 146","Cowansville",63,76,1,25,1,17,22,2,2,209,403
24016,"Brome--Missisquoi/Brome--Missisquoi"," 147","Cowansville",55,60,1,14,3,17,16,0,3,169,409
24016,"Brome--Missisquoi/Brome--Missisquoi"," 148","Cowansville",48,45,1,11,0,5,13,2,2,127,332
24016,"Brome--Missisquoi/Brome--Missisquoi"," 149","Cowansville",54,34,0,18,0,6,17,0,3,132,403
24016,"Brome--Missisquoi/Brome--Missisquoi"," 150","Cowansville",38,58,0,24,3,12,14,0,1,150,399
24016,"Brome--Missisquoi/Brome--Missisquoi"," 151","Cowansville",61,44,0,26,3,7,14,1,7,163,380
24016,"Brome--Missisquoi/Brome--Missisquoi"," 152","Cowansville",57,36,2,13,0,5,18,3,0,134,414
24016,"Brome--Missisquoi/Brome--Missisquoi"," 153","Cowansville",29,25,0,13,1,10,8,0,0,86,354
24016,"Brome--Missisquoi/Brome--Missisquoi"," 154","Cowansville",74,42,0,17,2,7,12,0,7,161,408
24016,"Brome--Missisquoi/Brome--Missisquoi"," 155","Cowansville",40,58,3,23,0,5,15,4,3,151,371
24016,"Brome--Missisquoi/Brome--Missisquoi"," 156A","Cowansville",55,42,1,17,0,8,13,1,4,141,350
24016,"Brome--Missisquoi/Brome--Missisquoi"," 156B","Cowansville",48,44,0,21,1,10,13,1,6,144,363
24016,"Brome--Missisquoi/Brome--Missisquoi"," 157","Cowansville",33,55,0,25,2,8,11,0,3,137,435
24016,"Brome--Missisquoi/Brome--Missisquoi"," 158A","Cowansville",44,69,0,17,0,5,13,1,3,152,398
24016,"Brome--Missisquoi/Brome--Missisquoi"," 158B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,,,129
24016,"Brome--Missisquoi/Brome--Missisquoi"," 159","Dunham",47,41,0,16,0,8,13,2,1,128,392
24016,"Brome--Missisquoi/Brome--Missisquoi"," 160","Sainte-Sabine",87,42,0,26,0,8,8,0,3,174,278
24016,"Brome--Missisquoi/Brome--Missisquoi"," 161","Sainte-Sabine",77,43,0,21,2,9,15,4,0,171,285
24016,"Brome--Missisquoi/Brome--Missisquoi"," 162","Sainte-Sabine",62,39,1,51,0,3,22,2,0,180,292
24016,"Brome--Missisquoi/Brome--Missisquoi"," 163","Potton",21,55,4,26,0,5,13,0,0,124,336
24016,"Brome--Missisquoi/Brome--Missisquoi"," 164","Potton",22,36,0,37,1,5,13,2,0,116,317
24016,"Brome--Missisquoi/Brome--Missisquoi"," 165","Potton",14,37,0,27,0,0,6,0,0,84,233
24016,"Brome--Missisquoi/Brome--Missisquoi"," 166","Potton",14,48,0,45,0,7,7,0,0,121,289
24016,"Brome--Missisquoi/Brome--Missisquoi"," 167","Potton",14,35,0,50,0,5,6,2,0,112,356
24016,"Brome--Missisquoi/Brome--Missisquoi"," 168","Sutton",30,90,0,13,0,13,12,1,0,159,351
24016,"Brome--Missisquoi/Brome--Missisquoi"," 169","Sutton",38,69,0,5,0,17,10,0,1,140,351
24016,"Brome--Missisquoi/Brome--Missisquoi"," 170","Sutton",36,70,1,10,2,7,11,4,2,143,367
24016,"Brome--Missisquoi/Brome--Missisquoi"," 171","Sutton",24,45,0,12,0,10,11,0,3,105,232
24016,"Brome--Missisquoi/Brome--Missisquoi"," 172","Sutton",29,65,3,13,0,14,20,0,4,148,370
24016,"Brome--Missisquoi/Brome--Missisquoi"," 173","Sutton",39,54,0,28,1,13,15,0,3,153,428
24016,"Brome--Missisquoi/Brome--Missisquoi"," 174","Dunham",67,47,2,29,2,10,9,1,3,170,349
24016,"Brome--Missisquoi/Brome--Missisquoi"," 175","Dunham",61,55,1,19,0,7,12,0,1,156,342
24016,"Brome--Missisquoi/Brome--Missisquoi"," 176","Saint-Ignace-de-Stanbridge",43,41,0,31,0,7,17,0,5,144,261
24016,"Brome--Missisquoi/Brome--Missisquoi"," 177","Saint-Ignace-de-Stanbridge",56,47,1,20,0,5,25,1,0,155,249
24016,"Brome--Missisquoi/Brome--Missisquoi"," 178","Dunham",36,46,1,22,0,14,13,2,3,137,335
24016,"Brome--Missisquoi/Brome--Missisquoi"," 179","Dunham",49,53,0,28,0,29,26,0,3,188,444
24016,"Brome--Missisquoi/Brome--Missisquoi"," 180","Dunham",61,59,0,12,0,9,18,0,1,160,359
24016,"Brome--Missisquoi/Brome--Missisquoi"," 181","Dunham",34,75,0,24,0,10,10,0,0,153,292
24016,"Brome--Missisquoi/Brome--Missisquoi"," 182","Dunham",67,38,1,19,0,11,15,2,1,154,331
24016,"Brome--Missisquoi/Brome--Missisquoi"," 183","Sutton",43,67,1,14,0,18,17,1,1,162,387
24016,"Brome--Missisquoi/Brome--Missisquoi"," 184","Sutton",35,74,1,12,0,19,19,0,0,160,404
24016,"Brome--Missisquoi/Brome--Missisquoi"," 185","Sutton",24,67,0,12,0,11,15,2,1,132,323
24016,"Brome--Missisquoi/Brome--Missisquoi"," 186","Sutton",37,81,0,1,0,14,11,1,3,148,315
24016,"Brome--Missisquoi/Brome--Missisquoi"," 187","Notre-Dame-de-Stanbridge",50,42,2,25,2,9,11,0,1,142,234
24016,"Brome--Missisquoi/Brome--Missisquoi"," 188","Notre-Dame-de-Stanbridge",71,56,1,37,2,10,15,1,6,199,282
24016,"Brome--Missisquoi/Brome--Missisquoi"," 189","Stanbridge East",39,103,1,35,1,11,33,2,1,226,344
24016,"Brome--Missisquoi/Brome--Missisquoi"," 190","Stanbridge East",41,93,0,38,0,15,25,3,2,217,355
24016,"Brome--Missisquoi/Brome--Missisquoi"," 191","Saint-Sébastien",67,52,1,34,0,6,11,5,5,181,286
24016,"Brome--Missisquoi/Brome--Missisquoi"," 192","Saint-Sébastien",62,42,1,29,0,4,7,3,4,152,248
24016,"Brome--Missisquoi/Brome--Missisquoi"," 193","Bedford",39,52,1,27,1,4,11,0,2,137,291
24016,"Brome--Missisquoi/Brome--Missisquoi"," 194","Bedford",29,49,2,13,0,7,9,0,4,113,290
24016,"Brome--Missisquoi/Brome--Missisquoi"," 195","Bedford",54,44,0,29,3,5,10,0,3,148,405
24016,"Brome--Missisquoi/Brome--Missisquoi"," 196","Bedford",51,53,1,18,0,10,13,0,3,149,373
24016,"Brome--Missisquoi/Brome--Missisquoi"," 197","Bedford",24,40,0,12,1,5,9,1,3,95,226
24016,"Brome--Missisquoi/Brome--Missisquoi"," 198","Bedford",40,49,2,23,0,4,14,1,3,136,327
24016,"Brome--Missisquoi/Brome--Missisquoi"," 199","Bedford",56,58,2,14,0,9,24,2,1,166,354
24016,"Brome--Missisquoi/Brome--Missisquoi"," 200","Bedford",41,67,0,38,1,5,11,0,1,164,323
24016,"Brome--Missisquoi/Brome--Missisquoi"," 201","Abercorn",48,66,2,24,1,5,16,0,0,162,273
24016,"Brome--Missisquoi/Brome--Missisquoi"," 202","Stanbridge Station",56,47,0,29,0,10,9,0,7,158,249
24016,"Brome--Missisquoi/Brome--Missisquoi"," 203","Saint-Pierre-de-Véronne-à-Pike-River",108,64,3,39,0,5,34,3,6,262,433
24016,"Brome--Missisquoi/Brome--Missisquoi"," 204","Henryville",104,48,0,41,1,1,13,2,3,213,387
24016,"Brome--Missisquoi/Brome--Missisquoi"," 205","Henryville",73,42,1,38,1,13,6,2,7,183,372
24016,"Brome--Missisquoi/Brome--Missisquoi"," 206","Henryville",82,44,2,39,0,7,11,0,1,186,393
24016,"Brome--Missisquoi/Brome--Missisquoi"," 207","Frelighsburg",57,80,2,14,7,6,29,0,1,196,304
24016,"Brome--Missisquoi/Brome--Missisquoi"," 208","Frelighsburg",50,70,3,5,0,24,26,2,3,183,296
24016,"Brome--Missisquoi/Brome--Missisquoi"," 209","Frelighsburg",54,69,2,16,0,7,24,0,0,172,322
24016,"Brome--Missisquoi/Brome--Missisquoi"," 210","Venise-en-Québec",88,37,3,27,1,4,12,1,6,179,381
24016,"Brome--Missisquoi/Brome--Missisquoi"," 211","Venise-en-Québec",82,57,2,32,2,11,12,1,5,204,461
24016,"Brome--Missisquoi/Brome--Missisquoi"," 212","Venise-en-Québec",67,30,2,14,1,0,2,2,5,123,309
24016,"Brome--Missisquoi/Brome--Missisquoi"," 213","Venise-en-Québec",64,61,0,23,0,4,7,0,3,162,423
24016,"Brome--Missisquoi/Brome--Missisquoi"," 214","Saint-Armand",39,78,1,24,0,21,17,2,2,184,306
24016,"Brome--Missisquoi/Brome--Missisquoi"," 215","Saint-Armand",67,72,2,33,0,10,10,1,3,198,324
24016,"Brome--Missisquoi/Brome--Missisquoi"," 216","Saint-Armand",47,84,1,22,1,10,18,4,2,189,364
24016,"Brome--Missisquoi/Brome--Missisquoi"," 217","Saint-Georges-de-Clarenceville",45,49,0,14,0,5,2,4,2,121,304
24016,"Brome--Missisquoi/Brome--Missisquoi"," 218","Saint-Georges-de-Clarenceville",61,61,0,16,0,5,6,1,0,150,333
24016,"Brome--Missisquoi/Brome--Missisquoi"," 219","Saint-Georges-de-Clarenceville",53,50,0,30,1,5,14,6,2,161,310
24016,"Brome--Missisquoi/Brome--Missisquoi"," 220","Noyan",61,60,1,18,0,2,7,0,5,154,317
