Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Bossio,Adam L. E. Gray,Derek Sloan,David Tough,Sari Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 93","Thomasburg",72,11,52,16,19,3,173,313
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 94","Wilton",78,4,68,54,15,1,220,458
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 95","Loyalist",98,4,83,44,25,4,258,599
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 96","Loyalist",82,4,93,42,21,4,246,515
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 97","Ernestown",79,7,82,48,12,0,228,511
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 98","Violet",61,10,57,38,14,0,180,371
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 99","Greater Napanee",78,7,110,22,6,0,223,424
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 100","Greater Napanee",84,5,96,34,13,3,235,447
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 101","Read",70,4,53,24,9,0,160,392
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 102","Read",80,4,88,30,11,3,216,420
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 103","Read",87,11,103,34,12,0,247,524
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 104A","Amherstview",96,6,75,48,4,1,230,481
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 104B","Amherstview",92,1,80,38,11,0,222,457
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 105","Amherstview",70,7,49,51,18,0,195,456
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 106","Rawdon",62,6,111,22,19,0,220,428
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 107","Rawdon",71,4,124,30,8,1,238,449
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 108","Rawdon",40,2,80,14,7,0,143,312
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 109","Rawdon",59,6,90,23,13,1,192,387
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 110","Amherstview",76,7,37,48,12,2,182,326
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 111","Amherstview",94,8,37,36,10,5,190,458
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 112","Amherstview",73,3,42,40,9,0,167,356
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 113A","Amherstview",86,3,50,38,9,1,187,374
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 113B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,34
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 114","Thomasburg",73,5,113,19,9,1,220,356
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 115","Huntingdon",82,6,123,30,16,0,257,403
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 116","Amherstview",42,4,31,35,13,0,125,305
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 117","Amherstview",55,1,28,32,7,0,123,288
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 118","Amherstview",42,4,32,34,5,0,117,308
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 119","Amherstview",84,10,41,43,6,0,184,395
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 120","Amherstview",70,4,60,42,11,0,187,392
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 121","Amherstview",112,4,48,45,16,2,227,449
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 122","Amherstview",29,1,18,20,5,0,73,248
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 123","Amherstview",79,3,43,26,9,2,162,320
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 124","Loyalist",76,2,40,36,7,0,161,350
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 125","Amherstview",79,3,76,39,12,2,211,422
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 126","Bayview",115,4,69,20,13,1,222,428
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 127","Greater Napanee",75,4,74,46,13,6,218,512
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 128","Greater Napanee",43,2,48,25,13,0,131,287
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 129","Ernestown",53,4,52,29,15,1,154,367
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 130","Millhaven",58,7,53,24,15,2,159,310
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 131","Greater Napanee",55,5,78,29,14,4,185,421
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 132","Greater Napanee",76,5,53,28,8,1,171,362
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 133","Greater Napanee",68,3,28,14,6,1,120,295
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 134","Greater Napanee",50,3,97,28,3,3,184,468
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 135","Greater Napanee",59,9,49,9,10,2,138,364
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 136","Greater Napanee",78,11,117,26,21,2,255,591
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 137","Greater Napanee",89,7,78,20,8,1,203,452
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 138","Ernestown",91,2,67,45,18,1,224,421
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 139","Loyalist",106,6,67,62,15,2,258,467
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 140","Loyalist",83,3,62,38,5,0,191,321
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 141","Bath",114,3,55,40,13,1,226,403
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 142","Greater Napanee",72,9,65,37,13,2,198,490
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 143","Greater Napanee",91,9,85,31,16,0,232,466
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 144","Greater Napanee",75,4,60,37,9,1,186,465
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 145","Greater Napanee",61,3,61,32,10,1,168,446
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 146","Greater Napanee",88,6,81,35,14,2,226,449
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 147","Greater Napanee",105,7,98,37,12,4,263,497
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 148","Greater Napanee",93,3,93,29,10,6,234,526
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 149","Read",104,2,48,14,15,0,183,326
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 150","Shannonville",111,4,72,20,11,3,221,406
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 151","Belleville",98,10,109,28,5,1,251,527
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 152","Belleville",54,1,52,12,7,0,126,284
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 153","Belleville",45,5,71,20,6,4,151,403
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 154","Belleville",78,1,138,34,16,4,271,554
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 155","Loyalist",175,3,131,21,9,3,342,579
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 156","Loyalist",116,1,52,23,4,0,196,338
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 157","Rawdon",84,6,78,28,18,2,216,427
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 158","Stirling",57,3,66,26,18,1,171,342
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 159","Rawdon",59,4,103,28,7,1,202,402
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 160","Greater Napanee",104,9,76,39,8,0,236,510
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 161","Greater Napanee",58,1,60,23,8,0,150,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 162","Greater Napanee",107,5,94,51,7,0,264,651
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 163A","Greater Napanee",67,3,69,20,7,0,166,356
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 163B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,73
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 164","Belleville",82,1,112,44,14,3,256,521
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 165","Belleville",94,11,135,34,18,0,292,547
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 166","Belleville",80,9,110,49,15,0,263,452
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 167","Belleville",52,4,79,20,6,0,161,411
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 168","Belleville",60,7,84,31,9,3,194,357
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 169","Marysville",108,9,76,25,9,2,229,431
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 170","Stirling",58,2,73,35,8,0,176,384
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 171","Stirling",68,9,57,28,14,0,176,408
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 172","Stirling",50,1,75,21,27,0,174,396
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 173","Shannonville",65,8,112,19,9,1,214,454
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 174","Belleville",66,4,114,29,12,0,225,481
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 175","Shannonville",52,2,43,13,11,0,121,318
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 176","Shannonville",64,3,44,32,7,0,150,367
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 177","Deseronto",80,5,59,37,11,3,195,377
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 178","Deseronto",61,4,51,20,7,1,144,317
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 179","Deseronto",61,4,73,35,14,1,188,340
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 180","Deseronto",76,8,82,53,11,1,231,471
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 181","Greater Napanee",87,3,89,35,18,1,233,390
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 182","Greater Napanee",64,5,72,20,12,1,174,383
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 183","Greater Napanee",91,7,108,22,19,0,247,480
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 184","Greater Napanee",79,5,83,21,3,1,192,447
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 185","Amherst Island",149,6,53,27,28,0,263,368
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 186","Tyendinaga Mohawk Territory",72,3,21,41,14,0,151,623
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 187","Tyendinaga Mohawk Territory",97,1,27,38,10,1,174,518
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 188","Tyendinaga Mohawk Territory",113,6,41,49,12,5,226,796
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 189","Belleville",140,4,119,35,17,1,316,724
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 190","Belleville",58,5,68,22,10,1,164,475
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 191A","Belleville",93,5,90,25,11,0,224,466
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 191B","Belleville",114,8,88,22,7,0,239,471
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 192A","Belleville",98,3,76,24,13,2,216,467
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 192B","Belleville",111,1,90,31,4,0,237,506
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 193","Belleville",80,6,79,32,5,1,203,452
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 194","Greater Napanee",105,3,107,32,12,2,261,461
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 195","Greater Napanee",130,14,112,31,18,1,306,601
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 400","Amherstview",24,0,22,8,1,0,55,149
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 500","Mobile poll/Bureau itinérant",35,1,30,6,7,3,82,198
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 501A","Mobile poll/Bureau itinérant",23,1,15,6,2,2,49,55
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,55
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 502A","Mobile poll/Bureau itinérant",64,6,44,11,7,4,136,120
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502C,,,,,,,52
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 502C","Mobile poll/Bureau itinérant",28,2,21,5,3,2,61,57
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 503","Mobile poll/Bureau itinérant",13,2,11,6,1,0,33,76
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 600","Bancroft",173,14,402,68,32,5,694,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 601","Bancroft",224,12,402,70,46,4,758,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 602","Addington Highlands",66,1,171,30,13,1,282,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 603","Queensborough",106,13,227,25,14,0,385,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 604","Madoc",322,51,574,81,48,10,1086,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 605","Stirling",217,10,286,49,54,2,618,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 606","Tweed",356,17,401,63,35,8,880,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 607","Actinolite",161,11,173,28,26,3,402,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 608","Tamworth",179,12,190,46,30,0,457,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 609","Stone Mills",192,11,160,58,24,0,445,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 610","Greater Napanee",402,22,445,122,53,3,1047,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 611","Read",154,5,191,41,27,2,420,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 612","Belleville",655,34,776,144,71,13,1693,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 613","Shannonville",158,5,149,57,21,3,393,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 614","Greater Napanee",564,26,621,130,53,7,1401,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 615","Odessa",285,16,282,95,45,2,725,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 616","Amherstview",564,8,416,177,46,5,1216,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 617","Amherstview",275,15,163,102,36,5,596,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington",,Group 1/Groupe 1, 74,7,72,15,18,9,195,117
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington",,Group 2/Groupe 2, 708,26,671,159,105,23,1692,
