Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Carlton Darby,Adam Laughton,Sven Spengemann,Cynthia Trentelman,Eugen Vizitiu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,160
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 600","Mississauga",350,0,64,513,51,10,2,990,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 601","Mississauga",409,5,95,529,52,15,9,1114,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 602","Mississauga",299,0,62,467,59,8,5,900,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 603","Mississauga",413,0,91,532,53,10,0,1099,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 604","Mississauga",243,1,61,452,41,12,5,815,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 605","Mississauga",463,2,49,439,34,9,8,1004,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 606","Mississauga",366,0,75,555,56,9,5,1066,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 607","Mississauga",465,4,67,555,67,12,2,1172,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 608","Mississauga",669,1,58,641,59,8,2,1438,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 609","Mississauga",413,0,72,544,50,6,0,1085,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 610","Mississauga",503,3,80,674,58,15,2,1335,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 611","Mississauga",481,1,56,541,59,12,0,1150,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 612","Mississauga",346,0,71,774,41,9,0,1241,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 613","Mississauga",324,1,83,580,54,11,3,1056,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 614","Mississauga",460,0,132,732,56,16,8,1404,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore",,Group 1/Groupe 1, 39,2,9,142,12,1,6,211,306
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore",,Group 2/Groupe 2, 752,3,156,937,109,16,45,2018,
