Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jack Harris,David Peters,Joedy Wall,Nick Whalen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 85","St. John's",161,9,33,104,1,308,515
10006,"St. John's East/St. John's-Est"," 86","St. John's",116,4,17,50,1,188,325
10006,"St. John's East/St. John's-Est"," 87","St. John's",124,8,11,64,0,207,430
10006,"St. John's East/St. John's-Est"," 88","St. John's",152,8,26,73,5,264,466
10006,"St. John's East/St. John's-Est"," 89","St. John's",111,8,4,50,2,175,337
10006,"St. John's East/St. John's-Est"," 90","Portugal Cove-St. Philip's",163,2,64,71,0,300,511
10006,"St. John's East/St. John's-Est"," 91","Portugal Cove-St. Philip's",127,2,51,82,3,265,539
10006,"St. John's East/St. John's-Est"," 92","Bauline",124,6,53,67,8,258,477
10006,"St. John's East/St. John's-Est"," 93","Portugal Cove-St. Philip's",132,3,50,75,1,261,530
10006,"St. John's East/St. John's-Est"," 94","Portugal Cove-St. Philip's",131,4,42,77,3,257,463
10006,"St. John's East/St. John's-Est"," 95","Portugal Cove-St. Philip's",128,5,52,64,1,250,419
10006,"St. John's East/St. John's-Est"," 96","St. John's",140,8,30,95,1,274,432
10006,"St. John's East/St. John's-Est"," 97","St. John's",118,11,36,117,2,284,458
10006,"St. John's East/St. John's-Est"," 98","St. John's",69,6,26,102,5,208,354
10006,"St. John's East/St. John's-Est"," 99","St. John's",79,8,32,87,2,208,380
10006,"St. John's East/St. John's-Est"," 100","St. John's",129,6,16,85,2,238,364
10006,"St. John's East/St. John's-Est"," 101","St. John's",111,5,9,37,4,166,337
10006,"St. John's East/St. John's-Est"," 102","St. John's",116,7,7,35,0,165,352
10006,"St. John's East/St. John's-Est"," 103","St. John's",94,3,21,81,4,203,421
10006,"St. John's East/St. John's-Est"," 104","St. John's",92,6,7,35,1,141,397
10006,"St. John's East/St. John's-Est"," 105","St. John's",76,2,10,40,3,131,333
10006,"St. John's East/St. John's-Est"," 106","St. John's",105,3,6,24,3,141,304
10006,"St. John's East/St. John's-Est"," 107","St. John's",108,8,14,53,0,183,387
10006,"St. John's East/St. John's-Est"," 108","St. John's",78,2,8,21,0,109,346
10006,"St. John's East/St. John's-Est"," 109","St. John's",93,4,7,24,3,131,371
10006,"St. John's East/St. John's-Est"," 110","St. John's",152,7,18,71,2,250,458
10006,"St. John's East/St. John's-Est"," 111","St. John's",94,6,7,46,2,155,414
10006,"St. John's East/St. John's-Est"," 112","St. John's",94,2,10,37,2,145,340
10006,"St. John's East/St. John's-Est"," 113","St. John's",104,1,17,52,0,174,385
10006,"St. John's East/St. John's-Est"," 114","St. John's",114,6,17,47,2,186,449
10006,"St. John's East/St. John's-Est"," 115","St. John's",91,2,23,47,3,166,396
10006,"St. John's East/St. John's-Est"," 116","St. John's",127,5,11,84,0,227,416
10006,"St. John's East/St. John's-Est"," 117","St. John's",77,1,18,21,0,117,373
10006,"St. John's East/St. John's-Est"," 118","St. John's",117,6,20,62,1,206,375
10006,"St. John's East/St. John's-Est"," 119","St. John's",95,8,31,46,5,185,346
10006,"St. John's East/St. John's-Est"," 120","St. John's",94,5,20,85,3,207,398
10006,"St. John's East/St. John's-Est"," 121","St. John's",124,4,28,59,3,218,481
10006,"St. John's East/St. John's-Est"," 122","St. John's",126,2,32,56,4,220,366
10006,"St. John's East/St. John's-Est"," 123","St. John's",105,4,36,65,0,210,396
10006,"St. John's East/St. John's-Est"," 124","St. John's",102,5,18,54,3,182,357
10006,"St. John's East/St. John's-Est"," 125","St. John's",121,3,27,48,0,199,404
10006,"St. John's East/St. John's-Est"," 126","St. John's",111,7,28,61,4,211,400
10006,"St. John's East/St. John's-Est"," 127","Wabana",34,1,36,26,0,97,312
10006,"St. John's East/St. John's-Est"," 128","Wabana",43,1,41,11,0,96,243
10006,"St. John's East/St. John's-Est"," 129","Wabana",45,1,27,13,4,90,310
10006,"St. John's East/St. John's-Est"," 130","Wabana",50,1,41,29,0,121,315
10006,"St. John's East/St. John's-Est"," 131","St. John's",88,4,49,79,0,220,439
10006,"St. John's East/St. John's-Est"," 132","St. John's",164,5,42,83,0,294,525
10006,"St. John's East/St. John's-Est"," 133","St. John's",134,6,43,71,0,254,526
10006,"St. John's East/St. John's-Est"," 134","St. John's",132,2,75,91,1,301,593
10006,"St. John's East/St. John's-Est"," 135","St. John's",112,2,59,104,3,280,628
10006,"St. John's East/St. John's-Est"," 136","Portugal Cove-St. Philip's",122,9,48,92,1,272,495
10006,"St. John's East/St. John's-Est"," 137","Portugal Cove-St. Philip's",120,5,45,74,1,245,467
10006,"St. John's East/St. John's-Est"," 138","Portugal Cove-St. Philip's",117,3,49,87,0,256,480
10006,"St. John's East/St. John's-Est"," 139","Portugal Cove-St. Philip's",103,4,45,71,0,223,421
