Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Angelique Belcourt,Chris Brown,Gerry Hawes,Stephen Makk,Valerie Powell,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 114A","Midland",25,2,51,1,17,48,0,144,455
35100,"Simcoe North/Simcoe-Nord"," 114B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°104B,,,,,,,,74
35100,"Simcoe North/Simcoe-Nord"," 115","Tay",27,0,58,2,16,67,2,172,384
35100,"Simcoe North/Simcoe-Nord"," 116","Tay",20,1,46,2,17,77,0,163,354
35100,"Simcoe North/Simcoe-Nord"," 117","Severn",29,1,53,0,15,116,0,214,396
35100,"Simcoe North/Simcoe-Nord"," 118","Severn",41,1,42,5,25,75,1,190,370
35100,"Simcoe North/Simcoe-Nord"," 119","Severn",42,0,68,4,21,131,0,266,449
35100,"Simcoe North/Simcoe-Nord"," 120","Severn",35,0,56,1,19,128,0,239,455
35100,"Simcoe North/Simcoe-Nord"," 121","Oro-Medonte",27,2,54,3,24,89,0,199,402
35100,"Simcoe North/Simcoe-Nord"," 122","Tay",16,0,71,1,22,80,2,192,396
35100,"Simcoe North/Simcoe-Nord"," 123","Tay",16,1,62,2,16,73,1,171,322
35100,"Simcoe North/Simcoe-Nord"," 124","Tay",23,2,25,5,12,76,1,144,290
35100,"Simcoe North/Simcoe-Nord"," 125","Orillia",36,0,117,2,40,113,1,309,675
35100,"Simcoe North/Simcoe-Nord"," 126","Orillia",33,0,44,2,21,57,3,160,351
35100,"Simcoe North/Simcoe-Nord"," 127","Orillia",23,3,50,4,15,65,3,163,391
35100,"Simcoe North/Simcoe-Nord"," 128A","Orillia",28,1,60,5,14,72,0,180,431
35100,"Simcoe North/Simcoe-Nord"," 128B","Mobile poll/Bureau itinérant",9,0,22,0,3,37,2,73,96
35100,"Simcoe North/Simcoe-Nord"," 129","Orillia",19,1,61,5,15,66,0,167,456
35100,"Simcoe North/Simcoe-Nord"," 130","Orillia",28,1,86,2,25,61,1,204,412
35100,"Simcoe North/Simcoe-Nord"," 131A","Orillia",18,0,42,0,9,47,0,116,243
35100,"Simcoe North/Simcoe-Nord"," 131B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°402,,,,,,,,121
35100,"Simcoe North/Simcoe-Nord"," 132","Orillia",19,0,74,2,16,55,1,167,403
35100,"Simcoe North/Simcoe-Nord"," 133","Orillia",37,3,60,3,15,57,1,176,388
35100,"Simcoe North/Simcoe-Nord"," 134","Orillia",33,0,53,3,26,56,0,171,396
35100,"Simcoe North/Simcoe-Nord"," 135","Orillia",31,0,83,9,22,57,0,202,408
35100,"Simcoe North/Simcoe-Nord"," 136","Ramara",27,1,65,7,17,105,0,222,440
35100,"Simcoe North/Simcoe-Nord"," 137","Ramara",26,0,57,2,20,97,1,203,366
35100,"Simcoe North/Simcoe-Nord"," 138","Ramara",24,0,50,4,10,87,1,176,332
35100,"Simcoe North/Simcoe-Nord"," 139","Ramara",20,3,76,4,12,67,0,182,368
35100,"Simcoe North/Simcoe-Nord"," 140A","Orillia",9,0,42,0,14,35,0,100,217
35100,"Simcoe North/Simcoe-Nord"," 140B","Mobile poll/Bureau itinérant",12,2,49,1,7,49,1,121,149
35100,"Simcoe North/Simcoe-Nord"," 140C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°140B,,,,,,,,131
35100,"Simcoe North/Simcoe-Nord"," 141","Orillia",22,0,47,9,22,71,1,172,451
35100,"Simcoe North/Simcoe-Nord"," 142","Orillia",40,1,47,4,5,55,1,153,348
35100,"Simcoe North/Simcoe-Nord"," 143","Orillia",14,3,52,5,10,64,3,151,285
35100,"Simcoe North/Simcoe-Nord"," 144","Orillia",23,2,39,7,7,30,0,108,343
35100,"Simcoe North/Simcoe-Nord"," 145","Orillia",36,1,55,0,19,78,6,195,369
35100,"Simcoe North/Simcoe-Nord"," 146","Orillia",14,0,60,3,7,84,1,169,383
35100,"Simcoe North/Simcoe-Nord"," 147","Orillia",28,2,79,2,25,80,0,216,488
35100,"Simcoe North/Simcoe-Nord"," 148","Orillia",17,0,48,2,19,38,1,125,356
35100,"Simcoe North/Simcoe-Nord"," 149","Orillia",29,0,58,4,17,68,0,176,392
35100,"Simcoe North/Simcoe-Nord"," 150","Orillia",25,0,80,5,20,55,1,186,334
35100,"Simcoe North/Simcoe-Nord"," 151","Severn",12,4,34,6,6,69,0,131,292
35100,"Simcoe North/Simcoe-Nord"," 152","Orillia",15,1,43,3,25,108,3,198,399
35100,"Simcoe North/Simcoe-Nord"," 153","Orillia",16,0,52,4,7,40,0,119,245
35100,"Simcoe North/Simcoe-Nord"," 154","Orillia",44,3,61,8,17,71,1,205,448
35100,"Simcoe North/Simcoe-Nord"," 155","Oro-Medonte",32,0,58,6,26,105,0,227,503
35100,"Simcoe North/Simcoe-Nord"," 156","Oro-Medonte",6,1,23,3,14,60,0,107,269
35100,"Simcoe North/Simcoe-Nord"," 157","Orillia",22,1,47,4,11,54,0,139,326
35100,"Simcoe North/Simcoe-Nord"," 158","Orillia",15,1,61,1,8,55,0,141,293
35100,"Simcoe North/Simcoe-Nord"," 159","Orillia",27,3,59,0,11,64,2,166,466
35100,"Simcoe North/Simcoe-Nord"," 160","Tiny",15,0,57,2,7,83,0,164,348
35100,"Simcoe North/Simcoe-Nord"," 161","Tiny",12,0,20,3,15,44,0,94,178
35100,"Simcoe North/Simcoe-Nord"," 162","Orillia",11,0,66,3,7,83,2,172,298
35100,"Simcoe North/Simcoe-Nord"," 163","Oro-Medonte",23,5,57,1,19,117,2,224,442
35100,"Simcoe North/Simcoe-Nord"," 164","Oro-Medonte",18,5,40,8,14,79,0,164,362
35100,"Simcoe North/Simcoe-Nord"," 165","Oro-Medonte",37,0,51,1,21,145,0,255,515
35100,"Simcoe North/Simcoe-Nord"," 166","Oro-Medonte",21,1,40,1,9,107,0,179,388
35100,"Simcoe North/Simcoe-Nord"," 167","Oro-Medonte",23,2,59,3,18,119,3,227,512
35100,"Simcoe North/Simcoe-Nord"," 168","Orillia",31,0,43,4,22,67,1,168,449
35100,"Simcoe North/Simcoe-Nord"," 169","Orillia",42,1,49,3,13,60,0,168,481
35100,"Simcoe North/Simcoe-Nord"," 170","Orillia",41,0,99,5,21,63,1,230,490
35100,"Simcoe North/Simcoe-Nord"," 171","Orillia",46,0,61,2,16,63,0,188,540
35100,"Simcoe North/Simcoe-Nord"," 172","Orillia",43,2,75,3,9,66,1,199,481
35100,"Simcoe North/Simcoe-Nord"," 173","Orillia",49,0,77,4,15,89,3,237,562
35100,"Simcoe North/Simcoe-Nord"," 174","Orillia",39,1,72,6,26,96,0,240,567
35100,"Simcoe North/Simcoe-Nord"," 175","Orillia",56,0,79,5,24,63,0,227,642
35100,"Simcoe North/Simcoe-Nord"," 176","Orillia",32,0,76,0,30,67,0,205,509
35100,"Simcoe North/Simcoe-Nord"," 177","Orillia",50,1,65,4,15,55,0,190,543
35100,"Simcoe North/Simcoe-Nord"," 178","Orillia",34,2,43,2,11,56,1,149,478
35100,"Simcoe North/Simcoe-Nord"," 179","Orillia",44,2,37,6,16,91,1,197,589
