Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julius Buté,Dwayne Cappelletti,Matthieu Couture,Angelo Esposito,Marguerite Howells,Angelo Iacono,Andriana Kocini,Michel Lachance,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 127","Laval",1,0,2,17,7,108,24,53,0,212,430
24004,"Alfred-Pellan/Alfred-Pellan"," 128","Laval",2,1,2,16,4,96,13,31,3,168,358
24004,"Alfred-Pellan/Alfred-Pellan"," 129","Laval",0,0,2,19,8,64,16,47,1,157,332
24004,"Alfred-Pellan/Alfred-Pellan"," 130","Laval",2,0,1,13,12,118,7,53,2,208,386
24004,"Alfred-Pellan/Alfred-Pellan"," 131","Laval",0,0,0,15,8,92,23,86,1,225,433
24004,"Alfred-Pellan/Alfred-Pellan"," 132","Laval",0,0,2,19,6,102,15,77,0,221,406
24004,"Alfred-Pellan/Alfred-Pellan"," 133","Laval",4,1,1,24,6,71,18,68,1,194,391
24004,"Alfred-Pellan/Alfred-Pellan"," 134","Laval",0,0,4,3,4,60,11,66,2,150,332
24004,"Alfred-Pellan/Alfred-Pellan"," 135","Laval",1,0,1,25,5,103,17,40,5,197,373
24004,"Alfred-Pellan/Alfred-Pellan"," 136","Laval",0,0,2,28,8,123,8,58,1,228,358
24004,"Alfred-Pellan/Alfred-Pellan"," 137","Laval",0,0,0,25,7,68,10,16,1,127,241
24004,"Alfred-Pellan/Alfred-Pellan"," 138","Laval",0,0,2,17,6,67,10,37,0,139,387
24004,"Alfred-Pellan/Alfred-Pellan"," 139","Laval",0,0,2,29,9,116,10,47,2,215,398
24004,"Alfred-Pellan/Alfred-Pellan"," 140","Laval",0,1,2,24,8,107,9,33,2,186,371
24004,"Alfred-Pellan/Alfred-Pellan"," 141","Laval",0,0,0,17,10,109,13,43,2,194,388
24004,"Alfred-Pellan/Alfred-Pellan"," 142","Laval",0,0,0,24,7,86,7,38,0,162,308
24004,"Alfred-Pellan/Alfred-Pellan"," 143","Laval",2,0,1,18,4,78,18,55,2,178,349
24004,"Alfred-Pellan/Alfred-Pellan"," 144","Laval",1,0,0,20,13,107,19,53,4,217,424
24004,"Alfred-Pellan/Alfred-Pellan"," 145","Laval",0,0,1,10,9,102,12,48,3,185,365
24004,"Alfred-Pellan/Alfred-Pellan"," 146","Laval",0,1,1,20,8,128,14,35,3,210,429
24004,"Alfred-Pellan/Alfred-Pellan"," 147","Laval",1,0,2,18,12,96,24,36,2,191,376
24004,"Alfred-Pellan/Alfred-Pellan"," 148","Laval",0,0,1,24,11,106,19,36,4,201,380
24004,"Alfred-Pellan/Alfred-Pellan"," 149","Laval",0,0,0,32,3,100,4,31,2,172,339
24004,"Alfred-Pellan/Alfred-Pellan"," 150","Laval",0,0,3,21,5,82,19,54,3,187,410
24004,"Alfred-Pellan/Alfred-Pellan"," 151","Laval",0,0,2,26,6,74,10,37,5,160,364
24004,"Alfred-Pellan/Alfred-Pellan"," 152","Laval",2,0,1,30,7,87,18,24,4,173,380
24004,"Alfred-Pellan/Alfred-Pellan"," 153","Laval",0,0,2,23,6,109,13,32,3,188,402
24004,"Alfred-Pellan/Alfred-Pellan"," 154","Laval",0,1,2,36,1,121,16,41,3,221,466
24004,"Alfred-Pellan/Alfred-Pellan"," 155","Laval",1,0,0,27,10,103,13,48,5,207,431
24004,"Alfred-Pellan/Alfred-Pellan"," 156","Laval",2,0,2,18,16,129,24,82,1,274,503
24004,"Alfred-Pellan/Alfred-Pellan"," 157","Laval",6,1,4,18,7,114,27,78,4,259,471
24004,"Alfred-Pellan/Alfred-Pellan"," 158","Laval",1,0,0,13,5,78,14,30,7,148,317
24004,"Alfred-Pellan/Alfred-Pellan"," 159","Laval",0,0,3,30,4,156,16,20,6,235,465
24004,"Alfred-Pellan/Alfred-Pellan"," 160","Laval",1,0,0,16,7,98,21,57,0,200,390
24004,"Alfred-Pellan/Alfred-Pellan"," 161","Laval",0,1,1,17,8,116,18,30,2,193,409
24004,"Alfred-Pellan/Alfred-Pellan"," 162","Laval",1,0,1,34,12,119,20,32,1,220,406
24004,"Alfred-Pellan/Alfred-Pellan"," 163","Laval",0,0,1,29,10,106,29,51,4,230,443
24004,"Alfred-Pellan/Alfred-Pellan"," 164","Laval",0,0,4,7,4,124,23,31,2,195,385
24004,"Alfred-Pellan/Alfred-Pellan"," 165","Laval",0,1,1,25,4,91,18,61,1,202,458
24004,"Alfred-Pellan/Alfred-Pellan"," 166","Laval",0,1,0,17,19,102,16,77,0,232,486
24004,"Alfred-Pellan/Alfred-Pellan"," 167","Laval",3,0,4,23,8,97,20,57,0,212,470
24004,"Alfred-Pellan/Alfred-Pellan"," 168","Laval",1,0,0,20,11,104,14,62,2,214,419
24004,"Alfred-Pellan/Alfred-Pellan"," 169","Laval",0,0,3,35,9,129,32,68,1,277,443
24004,"Alfred-Pellan/Alfred-Pellan"," 170A","Laval",2,1,2,19,10,105,16,63,6,224,349
24004,"Alfred-Pellan/Alfred-Pellan"," 170B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,,,11
24004,"Alfred-Pellan/Alfred-Pellan"," 171","Laval",0,0,2,29,19,105,35,82,4,276,408
24004,"Alfred-Pellan/Alfred-Pellan"," 172","Laval",1,0,2,22,15,109,20,69,7,245,398
24004,"Alfred-Pellan/Alfred-Pellan"," 173","Laval",1,1,1,12,8,78,19,77,2,199,355
24004,"Alfred-Pellan/Alfred-Pellan"," 174","Laval",0,0,0,22,14,101,13,55,2,207,389
24004,"Alfred-Pellan/Alfred-Pellan"," 175","Laval",1,1,1,20,10,101,23,79,6,242,504
24004,"Alfred-Pellan/Alfred-Pellan"," 176","Laval",2,2,2,17,5,91,15,112,3,249,448
24004,"Alfred-Pellan/Alfred-Pellan"," 177","Laval",2,1,1,10,15,122,28,78,5,262,418
24004,"Alfred-Pellan/Alfred-Pellan"," 178","Laval",1,1,2,11,4,85,14,56,3,177,399
24004,"Alfred-Pellan/Alfred-Pellan"," 179","Laval",0,2,0,20,14,122,20,55,1,234,456
24004,"Alfred-Pellan/Alfred-Pellan"," 180","Laval",0,0,3,19,15,84,32,37,3,193,516
24004,"Alfred-Pellan/Alfred-Pellan"," 181","Laval",0,0,1,14,5,83,11,45,4,163,426
24004,"Alfred-Pellan/Alfred-Pellan"," 182","Laval",1,1,3,10,4,81,14,48,5,167,378
24004,"Alfred-Pellan/Alfred-Pellan"," 183","Laval",2,0,0,15,3,51,17,34,0,122,357
24004,"Alfred-Pellan/Alfred-Pellan"," 184","Laval",2,0,2,13,9,92,14,45,7,184,382
24004,"Alfred-Pellan/Alfred-Pellan"," 185","Laval",1,0,3,8,5,57,12,33,2,121,386
24004,"Alfred-Pellan/Alfred-Pellan"," 186","Laval",1,0,0,14,9,77,18,35,7,161,351
24004,"Alfred-Pellan/Alfred-Pellan"," 187","Laval",0,1,3,10,8,61,18,46,2,149,401
24004,"Alfred-Pellan/Alfred-Pellan"," 400A","Laval",1,1,1,23,1,128,7,69,29,260,328
24004,"Alfred-Pellan/Alfred-Pellan"," 400B","Laval",4,3,3,25,4,108,2,87,16,252,298
24004,"Alfred-Pellan/Alfred-Pellan"," 400C","Laval",2,0,1,24,3,131,3,91,15,270,331
24004,"Alfred-Pellan/Alfred-Pellan"," 400D","Laval",0,1,1,34,2,151,3,84,15,291,353
24004,"Alfred-Pellan/Alfred-Pellan"," 500","Mobile poll/Bureau itinérant",0,0,0,1,0,10,1,5,3,20,134
24004,"Alfred-Pellan/Alfred-Pellan"," 501","Mobile poll/Bureau itinérant",0,0,0,4,1,24,0,11,8,48,194
24004,"Alfred-Pellan/Alfred-Pellan"," 502","Mobile poll/Bureau itinérant",1,1,0,2,1,43,0,13,10,71,279
24004,"Alfred-Pellan/Alfred-Pellan"," 600","Laval",4,1,10,88,31,213,56,464,15,882,
24004,"Alfred-Pellan/Alfred-Pellan"," 601","Laval",2,1,7,79,28,350,35,381,10,893,
24004,"Alfred-Pellan/Alfred-Pellan"," 602","Laval",4,4,4,87,28,355,49,396,27,954,
24004,"Alfred-Pellan/Alfred-Pellan"," 603","Laval",1,1,8,95,29,393,60,215,10,812,
24004,"Alfred-Pellan/Alfred-Pellan"," 604","Laval",1,1,16,168,12,422,50,13,13,696,
24004,"Alfred-Pellan/Alfred-Pellan"," 605","Laval",2,1,11,79,28,256,38,369,16,800,
24004,"Alfred-Pellan/Alfred-Pellan"," 606","Laval",3,1,7,149,41,490,60,227,18,996,
24004,"Alfred-Pellan/Alfred-Pellan"," 607","Laval",0,0,4,80,37,412,49,225,16,823,
24004,"Alfred-Pellan/Alfred-Pellan"," 608","Laval",0,1,10,121,45,521,69,347,18,1132,
24004,"Alfred-Pellan/Alfred-Pellan"," 609","Laval",4,0,8,80,38,494,58,276,14,972,
24004,"Alfred-Pellan/Alfred-Pellan"," 610","Laval",2,1,14,48,21,271,48,254,11,670,
24004,"Alfred-Pellan/Alfred-Pellan"," 611","Laval",1,3,5,66,26,251,42,251,8,653,
24004,"Alfred-Pellan/Alfred-Pellan"," 612","Laval",0,0,10,132,29,458,60,302,24,1015,
24004,"Alfred-Pellan/Alfred-Pellan"," 613","Laval",6,3,4,92,20,271,51,288,14,749,
24004,"Alfred-Pellan/Alfred-Pellan"," 614","Laval",2,3,13,66,34,371,57,295,9,850,
24004,"Alfred-Pellan/Alfred-Pellan"," 615","Laval",6,2,9,92,23,393,73,348,16,962,
24004,"Alfred-Pellan/Alfred-Pellan"," 616","Laval",0,5,7,149,24,540,63,275,15,1078,
24004,"Alfred-Pellan/Alfred-Pellan",,Group 1/Groupe 1, 1,0,3,7,9,32,2,4,14,72,87
24004,"Alfred-Pellan/Alfred-Pellan",,Group 2/Groupe 2, 2,0,11,150,75,865,95,306,48,1552,
