Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Bell,Paul Bordonaro,Danny Celovsky,Tim Durkin,Neil Ellis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Baie de Quinte"," 133","Quinte West",25,5,11,79,50,1,171,360
35006,"Bay of Quinte/Baie de Quinte"," 134","Quinte West",36,3,11,78,54,6,188,454
35006,"Bay of Quinte/Baie de Quinte"," 135","Quinte West",25,0,10,69,59,1,164,468
35006,"Bay of Quinte/Baie de Quinte"," 136","Quinte West",37,10,13,72,63,0,195,429
35006,"Bay of Quinte/Baie de Quinte"," 137","Quinte West",47,4,10,59,49,1,170,516
35006,"Bay of Quinte/Baie de Quinte"," 138","Quinte West",39,7,10,60,49,4,169,454
35006,"Bay of Quinte/Baie de Quinte"," 139","Quinte West",37,10,27,76,63,1,214,473
35006,"Bay of Quinte/Baie de Quinte"," 140","Quinte West",55,3,11,100,73,5,247,478
35006,"Bay of Quinte/Baie de Quinte"," 141","Prince Edward County",41,2,9,82,74,0,208,476
35006,"Bay of Quinte/Baie de Quinte"," 142","Prince Edward County",29,2,7,22,67,1,128,371
35006,"Bay of Quinte/Baie de Quinte"," 143","Prince Edward County",43,5,15,21,112,0,196,403
35006,"Bay of Quinte/Baie de Quinte"," 144","Prince Edward County",46,0,16,93,117,1,273,531
35006,"Bay of Quinte/Baie de Quinte"," 145","Prince Edward County",26,1,15,51,59,1,153,345
35006,"Bay of Quinte/Baie de Quinte"," 146","Prince Edward County",48,4,7,57,89,6,211,452
35006,"Bay of Quinte/Baie de Quinte"," 147","Prince Edward County",48,4,16,43,79,5,195,434
35006,"Bay of Quinte/Baie de Quinte"," 148","Prince Edward County",32,2,11,32,45,2,124,436
35006,"Bay of Quinte/Baie de Quinte"," 149","Quinte West",64,5,25,192,125,1,412,714
35006,"Bay of Quinte/Baie de Quinte"," 150","Quinte West",42,5,18,189,78,2,334,714
35006,"Bay of Quinte/Baie de Quinte"," 151","Quinte West",31,8,12,97,67,4,219,442
35006,"Bay of Quinte/Baie de Quinte"," 152","Quinte West",34,11,16,57,66,3,187,443
35006,"Bay of Quinte/Baie de Quinte"," 153","Quinte West",36,5,14,108,116,4,283,494
35006,"Bay of Quinte/Baie de Quinte"," 154","Quinte West",38,3,17,144,103,3,308,575
35006,"Bay of Quinte/Baie de Quinte"," 155","Prince Edward County",30,2,13,74,68,0,187,411
35006,"Bay of Quinte/Baie de Quinte"," 156","Prince Edward County",24,3,5,74,41,1,148,314
35006,"Bay of Quinte/Baie de Quinte"," 157","Prince Edward County",38,2,14,97,96,0,247,524
35006,"Bay of Quinte/Baie de Quinte"," 158","Prince Edward County",48,8,13,86,85,0,240,493
35006,"Bay of Quinte/Baie de Quinte"," 159","Quinte West",40,10,20,80,78,3,231,544
35006,"Bay of Quinte/Baie de Quinte"," 160","Quinte West",65,3,14,99,64,0,245,541
35006,"Bay of Quinte/Baie de Quinte"," 161","Quinte West",50,8,18,104,93,0,273,600
35006,"Bay of Quinte/Baie de Quinte"," 162","Quinte West",24,2,13,90,115,1,245,435
35006,"Bay of Quinte/Baie de Quinte"," 163","Quinte West",39,0,8,76,72,0,195,350
35006,"Bay of Quinte/Baie de Quinte"," 164","Quinte West",47,4,17,119,132,2,321,575
35006,"Bay of Quinte/Baie de Quinte"," 165","Quinte West",26,5,15,92,80,2,220,415
35006,"Bay of Quinte/Baie de Quinte"," 166","Prince Edward County",59,2,10,60,113,2,246,534
35006,"Bay of Quinte/Baie de Quinte"," 167","Prince Edward County",52,2,8,43,90,3,198,469
35006,"Bay of Quinte/Baie de Quinte"," 168","Prince Edward County",33,1,11,38,70,2,155,457
35006,"Bay of Quinte/Baie de Quinte"," 169","Prince Edward County",32,3,16,66,78,0,195,447
35006,"Bay of Quinte/Baie de Quinte"," 170","Prince Edward County",43,3,17,58,69,2,192,472
35006,"Bay of Quinte/Baie de Quinte"," 171","Quinte West",36,10,15,137,104,8,310,580
35006,"Bay of Quinte/Baie de Quinte"," 172","Quinte West",18,4,9,70,68,0,169,344
35006,"Bay of Quinte/Baie de Quinte"," 173","Quinte West",46,4,15,121,81,1,268,525
35006,"Bay of Quinte/Baie de Quinte"," 174","Quinte West",38,9,9,124,70,2,252,501
35006,"Bay of Quinte/Baie de Quinte"," 175","Quinte West",40,2,12,104,56,0,214,442
35006,"Bay of Quinte/Baie de Quinte"," 176","Prince Edward County",64,3,17,104,113,2,303,526
35006,"Bay of Quinte/Baie de Quinte"," 177","Prince Edward County",62,7,32,93,122,3,319,552
35006,"Bay of Quinte/Baie de Quinte"," 178","Prince Edward County",42,10,21,121,99,0,293,569
35006,"Bay of Quinte/Baie de Quinte"," 179","Prince Edward County",34,4,21,155,135,1,350,621
35006,"Bay of Quinte/Baie de Quinte"," 180","Quinte West",32,10,20,142,111,1,316,571
35006,"Bay of Quinte/Baie de Quinte"," 181","Prince Edward County",38,7,25,123,91,1,285,538
35006,"Bay of Quinte/Baie de Quinte"," 182","Prince Edward County",35,3,12,102,103,1,256,473
35006,"Bay of Quinte/Baie de Quinte"," 183","Prince Edward County",46,6,14,64,98,0,228,441
35006,"Bay of Quinte/Baie de Quinte"," 184","Prince Edward County",48,5,15,76,136,2,282,577
35006,"Bay of Quinte/Baie de Quinte"," 185","Prince Edward County",36,1,21,100,99,0,257,472
35006,"Bay of Quinte/Baie de Quinte"," 186","Prince Edward County",46,3,20,87,111,0,267,515
35006,"Bay of Quinte/Baie de Quinte"," 187","Prince Edward County",37,4,18,71,110,0,240,437
35006,"Bay of Quinte/Baie de Quinte"," 188","Prince Edward County",29,3,8,95,105,1,241,443
35006,"Bay of Quinte/Baie de Quinte"," 189","Prince Edward County",49,3,18,72,101,0,243,425
35006,"Bay of Quinte/Baie de Quinte"," 190","Prince Edward County",28,5,12,60,81,2,188,429
35006,"Bay of Quinte/Baie de Quinte"," 191","Prince Edward County",24,4,19,56,112,0,215,423
35006,"Bay of Quinte/Baie de Quinte"," 192","Prince Edward County",41,2,16,59,112,1,231,391
35006,"Bay of Quinte/Baie de Quinte"," 193","Prince Edward County",47,10,9,84,104,2,256,481
35006,"Bay of Quinte/Baie de Quinte"," 194","Prince Edward County",19,2,18,68,110,2,219,368
35006,"Bay of Quinte/Baie de Quinte"," 195","Prince Edward County",23,4,18,91,123,2,261,511
35006,"Bay of Quinte/Baie de Quinte"," 196","Prince Edward County",27,4,8,60,99,2,200,409
35006,"Bay of Quinte/Baie de Quinte"," 500","Mobile poll/Bureau itinérant",12,1,6,20,45,8,92,148
35006,"Bay of Quinte/Baie de Quinte"," 501","Mobile poll/Bureau itinérant",10,1,3,52,99,0,165,265
35006,"Bay of Quinte/Baie de Quinte"," 502","Mobile poll/Bureau itinérant",10,3,5,39,71,8,136,195
35006,"Bay of Quinte/Baie de Quinte"," 503","Mobile poll/Bureau itinérant",9,2,4,5,9,0,29,74
35006,"Bay of Quinte/Baie de Quinte"," 504","Mobile poll/Bureau itinérant",12,3,7,52,43,3,120,179
35006,"Bay of Quinte/Baie de Quinte"," 505","Mobile poll/Bureau itinérant",15,2,7,40,55,5,124,215
35006,"Bay of Quinte/Baie de Quinte"," 506","Mobile poll/Bureau itinérant",3,1,0,18,31,6,59,205
35006,"Bay of Quinte/Baie de Quinte"," 507","Mobile poll/Bureau itinérant",9,5,6,36,52,5,113,286
35006,"Bay of Quinte/Baie de Quinte"," 508","Mobile poll/Bureau itinérant",14,3,4,36,34,8,99,202
35006,"Bay of Quinte/Baie de Quinte"," 509","Mobile poll/Bureau itinérant",9,1,10,39,73,5,137,233
35006,"Bay of Quinte/Baie de Quinte"," 510","Mobile poll/Bureau itinérant",11,3,3,32,30,1,80,174
35006,"Bay of Quinte/Baie de Quinte"," 511","Mobile poll/Bureau itinérant",12,4,7,47,38,1,109,181
35006,"Bay of Quinte/Baie de Quinte"," 512","Mobile poll/Bureau itinérant",6,2,0,14,44,2,68,177
35006,"Bay of Quinte/Baie de Quinte"," 600","Quinte West",83,18,34,459,332,1,927,
35006,"Bay of Quinte/Baie de Quinte"," 601","Quinte West",124,29,74,527,324,12,1090,
35006,"Bay of Quinte/Baie de Quinte"," 602","Prince Edward County",104,17,62,462,329,0,974,
35006,"Bay of Quinte/Baie de Quinte"," 603","Quinte West",93,8,44,259,232,5,641,
35006,"Bay of Quinte/Baie de Quinte"," 604","Quinte West",144,26,41,354,260,4,829,
35006,"Bay of Quinte/Baie de Quinte"," 605","Quinte West",115,22,48,427,293,2,907,
35006,"Bay of Quinte/Baie de Quinte"," 606","Belleville",106,18,56,352,521,4,1057,
35006,"Bay of Quinte/Baie de Quinte"," 607","Belleville",120,9,62,409,473,8,1081,
35006,"Bay of Quinte/Baie de Quinte"," 608","Belleville",113,12,35,211,259,7,637,
35006,"Bay of Quinte/Baie de Quinte"," 609","Belleville",136,13,54,275,370,3,851,
35006,"Bay of Quinte/Baie de Quinte"," 610","Belleville",122,14,78,254,472,2,942,
35006,"Bay of Quinte/Baie de Quinte"," 611","Belleville",110,10,57,332,480,2,991,
35006,"Bay of Quinte/Baie de Quinte"," 612","Prince Edward County",94,12,64,443,389,6,1008,
35006,"Bay of Quinte/Baie de Quinte"," 613","Prince Edward County",125,7,60,277,518,4,991,
35006,"Bay of Quinte/Baie de Quinte"," 614","Prince Edward County",118,8,44,196,357,6,729,
35006,"Bay of Quinte/Baie de Quinte"," 615","Prince Edward County",88,4,38,167,233,4,534,
35006,"Bay of Quinte/Baie de Quinte"," 616","Prince Edward County",112,8,70,308,468,1,967,
35006,"Bay of Quinte/Baie de Quinte",,Group 1/Groupe 1, 88,26,56,368,184,26,748,209
35006,"Bay of Quinte/Baie de Quinte",,Group 2/Groupe 2, 235,27,142,768,783,32,1987,
