Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelvin Boucher-Chicago,Michael Di Pasquale,Eric Melillo,Bob Nault,Kirsi Ralko,Rudy Turtle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35042,"Kenora/Kenora"," 25","Balmertown",0,5,59,35,8,28,0,135,291
35042,"Kenora/Kenora"," 26","Balmertown",2,4,104,78,15,65,0,268,476
35042,"Kenora/Kenora"," 27","Balmertown",0,1,53,56,10,22,1,143,306
35042,"Kenora/Kenora"," 28","Red Lake",1,5,45,67,17,30,3,168,413
35042,"Kenora/Kenora"," 29","Ear Falls",1,12,95,23,8,19,0,158,420
35042,"Kenora/Kenora"," 30","Ear Falls",1,3,85,31,7,18,0,145,338
35042,"Kenora/Kenora"," 31","Red Lake",1,4,93,62,19,43,4,226,477
35042,"Kenora/Kenora"," 32","Red Lake",0,7,70,59,19,31,1,187,439
35042,"Kenora/Kenora"," 33","Madsen",0,6,69,51,17,32,1,176,457
35042,"Kenora/Kenora"," 34","Slate Falls",0,0,5,27,0,28,1,61,146
35042,"Kenora/Kenora"," 35","Saugeen First Nation",Merged with No./Fusionné avec le n°39,,,,,,,,28
35042,"Kenora/Kenora"," 36","Lac Seul 28",Merged with No./Fusionné avec le n°38,,,,,,,,19
35042,"Kenora/Kenora"," 37","Islington 29",3,0,3,35,2,92,2,137,478
35042,"Kenora/Kenora"," 38","Lac Seul 28",0,0,12,40,1,135,1,189,345
35042,"Kenora/Kenora"," 39","Savant Lake",0,0,2,8,3,9,0,22,39
35042,"Kenora/Kenora"," 40","Grassy Narrows",0,0,3,42,0,113,4,162,417
35042,"Kenora/Kenora"," 41A","Quibell",0,6,68,17,5,7,1,104,184
35042,"Kenora/Kenora"," 41B","Quibell",0,0,2,10,0,20,0,32,33
35042,"Kenora/Kenora"," 42","Machin",0,0,63,35,10,11,0,119,209
35042,"Kenora/Kenora"," 43","Machin",0,0,97,45,8,21,0,171,290
35042,"Kenora/Kenora"," 44","Lac Seul 28",1,8,48,45,8,49,2,161,370
35042,"Kenora/Kenora"," 45","Sioux Lookout",0,1,88,53,15,78,0,235,522
35042,"Kenora/Kenora"," 46","Sioux Lookout",0,3,28,59,11,105,0,206,499
35042,"Kenora/Kenora"," 47","Sioux Lookout",3,3,36,36,9,54,2,143,294
35042,"Kenora/Kenora"," 48","Sioux Lookout",0,1,58,41,19,59,0,178,327
35042,"Kenora/Kenora"," 49","Sioux Lookout",0,4,34,44,3,55,0,140,341
35042,"Kenora/Kenora"," 50","Sioux Lookout",0,2,70,58,21,43,2,196,413
35042,"Kenora/Kenora"," 51","Rugby Township",3,1,64,24,9,24,1,126,439
35042,"Kenora/Kenora"," 52","Oxdrift",1,11,119,53,18,33,2,237,442
35042,"Kenora/Kenora"," 53","Two Mile Corner",1,2,79,35,5,21,1,144,315
35042,"Kenora/Kenora"," 54","Sioux Lookout",0,1,64,46,5,84,0,200,444
35042,"Kenora/Kenora"," 55","Sioux Lookout",4,1,39,40,10,49,1,144,311
35042,"Kenora/Kenora"," 56","Sioux Lookout",0,2,34,28,7,53,0,124,294
35042,"Kenora/Kenora"," 57","Sioux Lookout",2,0,17,24,6,51,1,101,252
35042,"Kenora/Kenora"," 58","Kenora, Unorganized",0,2,38,48,7,49,2,146,328
35042,"Kenora/Kenora"," 59","Redditt",0,0,31,17,10,11,0,69,94
35042,"Kenora/Kenora"," 60","Minaki",5,0,27,15,5,9,0,61,121
35042,"Kenora/Kenora"," 61","The Dalles 38C",1,0,0,22,0,35,2,60,124
35042,"Kenora/Kenora"," 62","Kenora",1,6,111,81,20,48,2,269,500
35042,"Kenora/Kenora"," 63","Jaffray and Melick",8,4,99,71,19,73,2,276,487
35042,"Kenora/Kenora"," 64","Kenora",6,4,163,81,26,56,2,338,564
35042,"Kenora/Kenora"," 65","Pellatt",0,2,78,30,10,20,0,140,232
35042,"Kenora/Kenora"," 66","Laclu",4,0,115,63,10,23,0,215,351
35042,"Kenora/Kenora"," 67","Kenora",0,3,57,41,15,29,0,145,295
35042,"Kenora/Kenora"," 68","Kenora",1,1,56,60,6,42,1,167,419
35042,"Kenora/Kenora"," 69","Kenora",1,1,33,30,3,28,1,97,242
35042,"Kenora/Kenora"," 70","Kenora",2,4,50,58,11,66,0,191,465
35042,"Kenora/Kenora"," 71","Kenora",0,0,64,54,12,23,1,154,287
35042,"Kenora/Kenora"," 72","Kenora",1,2,43,41,2,46,1,136,308
35042,"Kenora/Kenora"," 73","Kenora",0,0,112,112,11,49,0,284,528
35042,"Kenora/Kenora"," 74","Two Mile Corner",3,3,95,60,17,45,1,224,619
35042,"Kenora/Kenora"," 75","Dryden",0,7,80,64,19,48,2,220,506
35042,"Kenora/Kenora"," 76","Dryden",1,3,53,37,5,39,0,138,355
35042,"Kenora/Kenora"," 77","Dryden",1,2,46,45,11,43,1,149,356
35042,"Kenora/Kenora"," 78","Kenora, Unorganized",0,0,67,43,6,22,0,138,261
35042,"Kenora/Kenora"," 79","Kenora, Unorganized",0,1,85,50,9,36,1,182,442
35042,"Kenora/Kenora"," 80","Kenora",1,1,45,41,16,64,1,169,484
35042,"Kenora/Kenora"," 81","Kenora",3,6,97,81,14,60,1,262,502
35042,"Kenora/Kenora"," 82","Kenora",3,0,61,44,4,31,1,144,315
35042,"Kenora/Kenora"," 83","Kenora",1,1,58,52,2,42,2,158,299
35042,"Kenora/Kenora"," 84","Kenora",1,3,69,51,13,28,1,166,433
35042,"Kenora/Kenora"," 85","Kenora",1,4,78,32,6,36,0,157,352
35042,"Kenora/Kenora"," 86","Kenora",0,0,52,51,12,14,1,130,279
35042,"Kenora/Kenora"," 87","Kenora",2,2,71,38,8,44,0,165,329
35042,"Kenora/Kenora"," 88","Kenora",4,1,67,53,10,61,2,198,387
35042,"Kenora/Kenora"," 89","Eagle River",2,5,162,78,20,31,2,300,569
35042,"Kenora/Kenora"," 90","Kenora",2,3,95,45,15,47,1,208,442
35042,"Kenora/Kenora"," 91","Kenora",2,7,65,62,15,43,3,197,422
35042,"Kenora/Kenora"," 92","Kenora",3,2,68,82,12,66,3,236,507
35042,"Kenora/Kenora"," 93","Kenora",3,3,111,96,26,45,2,286,512
35042,"Kenora/Kenora"," 94","Clearwater Bay--Granite Lake",0,1,40,13,5,15,0,74,124
35042,"Kenora/Kenora"," 95","Kenora",1,2,73,50,7,44,0,177,311
35042,"Kenora/Kenora"," 96","Kenora",0,1,89,48,6,34,1,179,404
35042,"Kenora/Kenora"," 97","Kenora",1,4,76,54,8,39,1,183,360
35042,"Kenora/Kenora"," 98","Kenora",0,2,63,52,8,22,1,148,352
35042,"Kenora/Kenora"," 99","Kenora",1,1,70,61,14,52,0,199,406
35042,"Kenora/Kenora"," 100","Kenora",0,0,71,68,12,20,0,171,358
35042,"Kenora/Kenora"," 101","Kenora",0,2,79,25,16,45,5,172,300
35042,"Kenora/Kenora"," 102","Dryden",1,4,39,55,15,37,3,154,342
35042,"Kenora/Kenora"," 103","Dryden",0,0,22,36,3,21,1,83,237
35042,"Kenora/Kenora"," 104","Dryden",2,9,102,70,16,44,1,244,472
35042,"Kenora/Kenora"," 105","Dryden",1,0,48,58,8,53,0,168,467
35042,"Kenora/Kenora"," 106","Dryden",0,2,57,65,7,38,4,173,373
35042,"Kenora/Kenora"," 107","Dryden",1,1,53,55,8,25,1,144,327
35042,"Kenora/Kenora"," 108","Dryden",0,3,60,66,11,35,2,177,396
35042,"Kenora/Kenora"," 109","Dryden",1,1,58,85,10,31,5,191,363
35042,"Kenora/Kenora"," 110","Dryden",0,3,63,88,9,20,1,184,355
35042,"Kenora/Kenora"," 111","Dryden",0,7,60,61,10,31,0,169,404
35042,"Kenora/Kenora"," 112","Dryden",1,3,53,45,10,12,0,124,286
35042,"Kenora/Kenora"," 113","Rat Portage 38B",3,1,2,32,1,121,0,160,196
35042,"Kenora/Kenora"," 114","Dryden",0,2,65,40,10,30,0,147,422
35042,"Kenora/Kenora"," 115","Dryden",1,4,109,52,23,31,2,222,524
35042,"Kenora/Kenora"," 116","Eagle Lake 27",0,0,0,36,1,59,0,96,185
35042,"Kenora/Kenora"," 117","Washagamis Bay",0,0,1,10,0,29,0,40,92
35042,"Kenora/Kenora"," 118","Kenora",2,4,110,66,22,54,2,260,471
35042,"Kenora/Kenora"," 119","Washagamis Bay",2,3,78,97,16,29,0,225,453
35042,"Kenora/Kenora"," 120","Longbow Lake",1,1,138,81,16,30,1,268,485
35042,"Kenora/Kenora"," 121","Iskutewiskayagun 39",3,0,1,48,3,60,0,115,250
35042,"Kenora/Kenora"," 122","Shoal Lake 40",1,0,1,30,1,30,3,66,122
35042,"Kenora/Kenora"," 123","Wabigoon Lake 27",1,0,1,22,2,31,0,57,65
35042,"Kenora/Kenora"," 124","Northwest Angle 34C & 37B",1,0,1,1,0,9,3,15,40
35042,"Kenora/Kenora"," 125","Ignace",2,6,56,56,10,39,1,170,594
35042,"Kenora/Kenora"," 126","Ignace",0,6,58,38,12,25,1,140,449
35042,"Kenora/Kenora"," 127","Sioux Narrows",0,0,0,2,0,18,1,21,30
35042,"Kenora/Kenora"," 128","Dinorwic",0,9,67,66,12,65,0,219,655
35042,"Kenora/Kenora"," 129","Whitefish Bay 32A",0,0,1,36,2,143,1,183,390
35042,"Kenora/Kenora"," 130","Sioux Narrows",0,3,104,79,11,19,2,218,352
35042,"Kenora/Kenora"," 131","Northwest Angle 34C & 37B",0,0,0,4,0,18,0,22,33
35042,"Kenora/Kenora"," 132","Whitefish Bay 32A",0,0,1,4,0,20,0,25,41
35042,"Kenora/Kenora"," 133","Onegaming",0,0,0,11,0,133,2,146,187
35042,"Kenora/Kenora"," 134","Nestor Falls",0,5,92,36,10,11,0,154,272
35042,"Kenora/Kenora"," 500","Mobile poll/Bureau itinérant",1,0,17,30,3,8,2,61,178
35042,"Kenora/Kenora"," 600","Sioux Lookout",1,4,203,165,32,170,2,577,
35042,"Kenora/Kenora"," 601","Red Lake",0,7,109,91,18,32,0,257,
35042,"Kenora/Kenora"," 602","Ear Falls",2,1,80,33,8,15,0,139,
35042,"Kenora/Kenora"," 603","Dryden",1,14,427,281,43,119,5,890,
35042,"Kenora/Kenora"," 604","Kenora",7,14,318,208,56,110,2,715,
35042,"Kenora/Kenora"," 605","Kenora",10,14,286,249,37,130,2,728,
35042,"Kenora/Kenora"," 606","Kenora",4,5,260,155,34,70,3,531,
35042,"Kenora/Kenora"," 607","Dryden",1,11,287,234,38,99,4,674,
35042,"Kenora/Kenora"," 608","Ignace",3,9,145,81,12,51,1,302,
35042,"Kenora/Kenora",,Group 1/Groupe 1, 5,2,9,63,28,52,6,165,173
35042,"Kenora/Kenora",,Group 2/Groupe 2, 10,21,750,523,131,272,32,1739,
