Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Lawrence,Mallory MacDonald,Kim Rudd,Frank Vaughan,Jeff Wheeldon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 227","Clarington",83,15,48,4,15,0,165,386
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 228","Clarington",75,11,62,1,12,1,162,322
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 229","Clarington",103,36,56,3,16,4,218,487
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 230","Clarington",114,35,78,4,19,1,251,481
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 231","Clarington",91,45,67,1,11,1,216,393
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 232","Clarington",94,36,63,2,17,3,215,397
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 233","Clarington",92,27,37,6,12,1,175,290
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 234","Clarington",78,35,58,7,16,0,194,381
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 235","Clarington",82,31,43,6,12,2,176,334
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 236","Clarington",75,31,47,2,4,1,160,292
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 237","Clarington",63,29,69,5,13,2,181,419
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 238","Clarington",120,36,89,6,14,3,268,644
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 239","Clarington",84,33,66,5,14,5,207,434
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 240","Clarington",101,47,104,4,15,4,275,540
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 241","Clarington",75,24,59,4,8,0,170,318
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 242","Clarington",66,31,66,6,8,3,180,345
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 243","Clarington",40,24,43,1,8,3,119,219
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 244","Clarington",101,39,63,3,26,0,232,466
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 245","Clarington",79,29,53,2,24,1,188,384
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 246","Clarington",47,36,48,2,19,2,154,290
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 247","Clarington",58,24,48,0,15,1,146,286
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 248","Clarington",65,33,73,2,5,4,182,386
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 249","Clarington",84,32,84,1,15,0,216,460
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 250","Clarington",62,16,69,4,16,0,167,345
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 251","Clarington",85,30,75,4,17,4,215,397
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 400","Trent Hills",31,5,29,0,3,2,70,80
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 500","Mobile poll/Bureau itinérant",24,4,21,0,1,0,50,89
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 501","Mobile poll/Bureau itinérant",28,7,22,1,4,3,65,81
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 502","Mobile poll/Bureau itinérant",16,1,13,3,2,1,36,51
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 503","Mobile poll/Bureau itinérant",10,5,19,1,2,1,38,81
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 504","Mobile poll/Bureau itinérant",41,12,71,2,8,0,134,212
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 505","Mobile poll/Bureau itinérant",14,4,29,1,3,1,52,92
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 506","Mobile poll/Bureau itinérant",28,7,41,1,5,0,82,128
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 507","Mobile poll/Bureau itinérant",15,4,25,0,1,4,49,78
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 508","Mobile poll/Bureau itinérant",23,11,34,2,3,6,79,147
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 509","Mobile poll/Bureau itinérant",30,8,44,2,11,3,98,122
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 510","Mobile poll/Bureau itinérant",24,13,25,1,3,0,66,102
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 600","Otonabee-South Monaghan",180,43,84,6,32,0,345,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 601","Donwood",279,71,188,8,51,5,602,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 602","Asphodel--Norwood",201,52,148,3,34,1,439,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 603","Hastings",311,59,184,11,56,1,622,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 604","Trent Hills",349,87,223,16,53,4,732,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 605","Trent Hills",352,69,268,19,58,2,768,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 606","Campbellford",199,56,243,14,59,0,571,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 607","Cramahe",284,80,168,17,47,1,597,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 608","Alderville 37",4,6,17,1,5,0,33,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 609","Centreton",293,49,191,10,55,3,601,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 610","Cobourg",331,49,237,2,34,3,656,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 611","Cobourg",251,48,183,14,29,2,527,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 612","Cobourg",209,57,148,21,46,0,481,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 613","Newcastle East",226,54,115,14,16,3,428,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 614","Newcastle West",249,55,137,9,34,2,486,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 615","Clarington",352,123,290,17,62,1,845,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 616","Newcastle East",349,78,248,17,48,1,741,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 617","Port Hope",248,43,230,12,37,1,571,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 618","Port Hope",281,60,265,8,39,0,653,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 619","Port Hope",208,70,414,40,9,7,748,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 620","Port Hope",240,70,284,8,51,8,661,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 621","Hamilton ",446,126,568,13,73,1,1227,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 622","Hamilton ",388,119,493,17,73,3,1093,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 623","Cobourg",303,85,420,7,72,3,890,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 624","Cobourg",292,85,415,13,61,10,876,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 625","Colborne",256,76,220,12,42,1,607,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 626","Colborne",303,71,349,18,111,0,852,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 627","Brighton",323,64,358,8,111,3,867,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 628","Brighton",322,80,291,18,89,1,801,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud",,Group 1/Groupe 1, 45,14,72,4,15,9,159,159
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud",,Group 2/Groupe 2, 636,176,726,27,156,44,1765,
