Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jonathan Giancroce,Erin O'Toole,Evan Price,Brenda Virtue,Sarah Whalen-Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 45","Scugog",76,89,21,7,42,1,236,468
35023,"Durham/Durham"," 46","Scugog",59,116,13,2,41,2,233,402
35023,"Durham/Durham"," 47","Scugog",37,64,14,7,23,2,147,310
35023,"Durham/Durham"," 48","Clarington",62,145,18,7,41,5,278,494
35023,"Durham/Durham"," 49","Clarington",45,113,9,2,26,3,198,418
35023,"Durham/Durham"," 50","Clarington",62,114,9,9,43,3,240,395
35023,"Durham/Durham"," 51","Clarington",64,118,15,9,30,0,236,454
35023,"Durham/Durham"," 52","Clarington",34,110,11,9,40,2,206,346
35023,"Durham/Durham"," 53","Clarington",55,97,10,3,19,1,185,342
35023,"Durham/Durham"," 54","Scugog",55,142,8,8,26,1,240,441
35023,"Durham/Durham"," 55","Scugog",70,88,17,3,22,1,201,429
35023,"Durham/Durham"," 56","Oshawa",59,87,18,2,26,0,192,357
35023,"Durham/Durham"," 57","Oshawa",54,122,13,3,32,0,224,395
35023,"Durham/Durham"," 58","Oshawa",69,95,10,3,29,1,207,374
35023,"Durham/Durham"," 59","Clarington",44,129,15,2,35,0,225,433
35023,"Durham/Durham"," 60","Clarington",61,108,7,5,20,0,201,331
35023,"Durham/Durham"," 61","Clarington",78,133,16,3,47,2,279,501
35023,"Durham/Durham"," 62","Clarington",49,101,7,3,24,0,184,336
35023,"Durham/Durham"," 63","Clarington",39,52,3,3,18,0,115,217
35023,"Durham/Durham"," 64","Clarington",32,102,15,3,16,3,171,294
35023,"Durham/Durham"," 65","Oshawa",110,93,3,3,37,2,248,541
35023,"Durham/Durham"," 66A","Oshawa",89,40,3,5,28,0,165,341
35023,"Durham/Durham"," 66B","Oshawa",76,46,2,2,23,0,149,354
35023,"Durham/Durham"," 67","Oshawa",85,101,9,1,51,2,249,561
35023,"Durham/Durham"," 68","Oshawa",88,81,3,0,48,2,222,452
35023,"Durham/Durham"," 69","Oshawa",53,66,12,1,44,1,177,351
35023,"Durham/Durham"," 70","Oshawa",99,70,3,5,33,0,210,465
35023,"Durham/Durham"," 71","Oshawa",121,98,7,3,68,5,302,538
35023,"Durham/Durham"," 72","Clarington",58,85,11,3,37,0,194,365
35023,"Durham/Durham"," 73","Clarington",47,77,13,6,48,0,191,367
35023,"Durham/Durham"," 74","Clarington",36,69,6,7,36,0,154,284
35023,"Durham/Durham"," 75","Clarington",66,78,12,0,38,3,197,344
35023,"Durham/Durham"," 76","Clarington",73,108,10,3,63,3,260,399
35023,"Durham/Durham"," 77","Clarington",71,85,5,4,52,0,217,439
35023,"Durham/Durham"," 78","Clarington",56,97,5,2,29,2,191,341
35023,"Durham/Durham"," 79A","Clarington",116,111,12,4,55,5,303,581
35023,"Durham/Durham"," 79B","Clarington",95,87,9,6,50,2,249,565
35023,"Durham/Durham"," 80","Clarington",64,69,6,6,32,2,179,419
35023,"Durham/Durham"," 81","Clarington",41,58,9,3,20,0,131,322
35023,"Durham/Durham"," 82","Clarington",24,59,8,4,25,1,121,286
35023,"Durham/Durham"," 83","Clarington",64,92,10,7,51,0,224,433
35023,"Durham/Durham"," 84","Clarington",61,82,1,4,32,2,182,305
35023,"Durham/Durham"," 85","Clarington",88,94,13,8,61,3,267,446
35023,"Durham/Durham"," 86A","Oshawa",100,55,8,4,27,4,198,419
35023,"Durham/Durham"," 86B","Oshawa",109,41,4,3,30,2,189,407
35023,"Durham/Durham"," 87A","Oshawa",124,48,8,5,31,5,221,482
35023,"Durham/Durham"," 87B","Oshawa",113,40,5,0,18,0,176,418
35023,"Durham/Durham"," 88","Oshawa",77,122,11,1,27,0,238,446
35023,"Durham/Durham"," 89","Oshawa",129,81,9,5,48,1,273,581
35023,"Durham/Durham"," 90A","Oshawa",90,66,9,6,35,1,207,376
35023,"Durham/Durham"," 90B","Oshawa",78,69,5,1,29,0,182,345
35023,"Durham/Durham"," 91","Oshawa",125,93,2,3,33,0,256,593
35023,"Durham/Durham"," 92A","Oshawa",63,64,3,3,32,2,167,330
35023,"Durham/Durham"," 92B","Oshawa",83,72,5,6,33,0,199,387
35023,"Durham/Durham"," 93A","Oshawa",123,79,6,2,49,1,260,507
35023,"Durham/Durham"," 93B","Oshawa",179,57,11,11,56,3,317,636
35023,"Durham/Durham"," 94","Clarington",46,106,10,2,33,0,197,362
35023,"Durham/Durham"," 95","Clarington",56,107,13,8,39,1,224,421
35023,"Durham/Durham"," 96","Clarington",91,83,19,14,58,2,267,525
35023,"Durham/Durham"," 97","Clarington",58,90,9,7,51,3,218,404
35023,"Durham/Durham"," 98","Clarington",70,99,7,3,75,2,256,531
35023,"Durham/Durham"," 99","Clarington",45,100,8,4,61,0,218,352
35023,"Durham/Durham"," 100","Clarington",76,94,11,5,79,0,265,432
35023,"Durham/Durham"," 101","Clarington",53,69,7,3,59,3,194,342
35023,"Durham/Durham"," 102","Clarington",99,124,10,5,56,0,294,540
35023,"Durham/Durham"," 103","Clarington",78,103,18,6,68,3,276,497
35023,"Durham/Durham"," 104","Clarington",76,78,4,3,44,0,205,386
35023,"Durham/Durham"," 105","Clarington",92,75,14,5,52,2,240,437
35023,"Durham/Durham"," 106","Clarington",81,88,2,6,64,1,242,459
35023,"Durham/Durham"," 107","Clarington",63,72,10,2,36,3,186,391
35023,"Durham/Durham"," 108","Clarington",52,73,7,4,70,0,206,379
35023,"Durham/Durham"," 109","Clarington",53,58,10,5,30,0,156,283
35023,"Durham/Durham"," 110","Clarington",73,80,11,6,39,1,210,397
35023,"Durham/Durham"," 111","Clarington",67,103,18,4,44,2,238,403
35023,"Durham/Durham"," 112","Clarington",72,104,8,3,60,0,247,432
35023,"Durham/Durham"," 113","Clarington",72,126,20,3,42,3,266,447
35023,"Durham/Durham"," 114","Clarington",66,113,20,6,43,1,249,479
35023,"Durham/Durham"," 115","Oshawa",90,75,11,3,52,0,231,433
35023,"Durham/Durham"," 116","Oshawa",119,133,8,6,62,2,330,622
35023,"Durham/Durham"," 117","Oshawa",110,92,9,3,83,4,301,641
35023,"Durham/Durham"," 118","Oshawa",87,111,15,44,1,2,260,487
35023,"Durham/Durham"," 119","Oshawa",101,85,13,1,58,1,259,536
35023,"Durham/Durham"," 120","Oshawa",95,90,9,2,38,7,241,427
35023,"Durham/Durham"," 121","Oshawa",69,95,22,1,48,2,237,443
35023,"Durham/Durham"," 122","Oshawa",118,96,13,5,73,3,308,586
35023,"Durham/Durham"," 123","Oshawa",70,118,9,0,38,0,235,506
35023,"Durham/Durham"," 124","Oshawa",106,113,11,7,74,1,312,613
35023,"Durham/Durham"," 125","Oshawa",122,92,9,4,49,6,282,613
35023,"Durham/Durham"," 126","Oshawa",95,85,11,0,32,0,223,503
35023,"Durham/Durham"," 127","Oshawa",104,90,15,8,54,0,271,531
35023,"Durham/Durham"," 128","Oshawa",103,66,7,2,37,2,217,467
35023,"Durham/Durham"," 129","Clarington",52,79,6,7,50,0,194,349
35023,"Durham/Durham"," 130","Clarington",49,79,8,4,27,0,167,309
35023,"Durham/Durham"," 131","Clarington",38,59,6,4,39,0,146,286
35023,"Durham/Durham"," 132","Clarington",49,71,9,4,53,0,186,369
35023,"Durham/Durham"," 133","Clarington",54,77,14,6,34,4,189,351
35023,"Durham/Durham"," 134","Clarington",42,85,14,1,19,0,161,342
35023,"Durham/Durham"," 135","Clarington",32,62,10,1,36,0,141,252
35023,"Durham/Durham"," 136","Clarington",50,74,17,10,36,3,190,364
35023,"Durham/Durham"," 137","Clarington",39,64,22,9,46,7,187,390
35023,"Durham/Durham"," 138","Clarington",52,62,13,5,46,0,178,332
35023,"Durham/Durham"," 139","Clarington",48,58,11,0,19,2,138,271
35023,"Durham/Durham"," 140","Clarington",25,62,10,3,36,0,136,271
35023,"Durham/Durham"," 141","Clarington",17,46,2,3,22,1,91,243
35023,"Durham/Durham"," 142","Oshawa",104,105,8,3,57,1,278,501
35023,"Durham/Durham"," 143","Oshawa",119,85,6,3,47,2,262,499
35023,"Durham/Durham"," 144","Oshawa",68,72,7,3,67,2,219,457
35023,"Durham/Durham"," 145","Clarington",38,64,8,2,22,2,136,319
35023,"Durham/Durham"," 146","Clarington",71,71,9,1,35,0,187,386
35023,"Durham/Durham"," 147","Clarington",62,73,8,3,43,0,189,367
35023,"Durham/Durham"," 148","Clarington",53,106,13,6,33,1,212,368
35023,"Durham/Durham"," 149","Clarington",79,83,11,7,32,2,214,408
35023,"Durham/Durham"," 150","Clarington",56,74,10,1,52,2,195,383
35023,"Durham/Durham"," 151","Oshawa",106,97,14,5,44,2,268,497
35023,"Durham/Durham"," 152","Oshawa",85,84,11,5,65,2,252,517
35023,"Durham/Durham"," 153","Oshawa",73,79,11,5,55,1,224,438
35023,"Durham/Durham"," 154","Oshawa",40,55,11,2,70,1,179,409
35023,"Durham/Durham"," 155","Clarington",38,50,6,5,32,0,131,242
35023,"Durham/Durham"," 156","Clarington",34,43,9,1,16,2,105,215
35023,"Durham/Durham"," 157","Clarington",81,59,10,7,41,0,198,386
35023,"Durham/Durham"," 158","Clarington",43,67,8,7,55,0,180,345
35023,"Durham/Durham"," 159A","Oshawa",122,51,7,2,48,0,230,513
35023,"Durham/Durham"," 159B","Oshawa",120,38,5,7,43,0,213,497
35023,"Durham/Durham"," 160A","Oshawa",102,45,2,2,45,0,196,471
35023,"Durham/Durham"," 160B","Oshawa",103,56,2,3,29,0,193,448
35023,"Durham/Durham"," 161","Oshawa",97,99,21,4,68,0,289,497
35023,"Durham/Durham"," 162","Clarington",30,55,2,7,20,0,114,263
35023,"Durham/Durham"," 163","Clarington",100,107,9,4,45,2,267,533
35023,"Durham/Durham"," 164","Clarington",94,65,6,2,32,1,200,375
35023,"Durham/Durham"," 165","Clarington",83,95,17,2,55,2,254,539
35023,"Durham/Durham"," 166","Clarington",58,72,5,4,43,1,183,398
35023,"Durham/Durham"," 167","Clarington",39,56,8,2,33,0,138,274
35023,"Durham/Durham"," 168","Clarington",32,46,4,4,44,1,131,294
35023,"Durham/Durham"," 169","Clarington",40,66,9,3,41,2,161,309
35023,"Durham/Durham"," 170","Clarington",59,87,6,2,37,1,192,338
35023,"Durham/Durham"," 171","Clarington",55,100,11,4,41,1,212,417
35023,"Durham/Durham"," 172","Clarington",27,63,12,0,28,2,132,287
35023,"Durham/Durham"," 173","Clarington",49,64,8,2,44,1,168,395
35023,"Durham/Durham"," 174","Clarington",30,51,18,3,52,3,157,298
35023,"Durham/Durham"," 175","Clarington",57,93,16,9,37,3,215,435
35023,"Durham/Durham"," 176","Oshawa",83,100,19,3,60,4,269,559
35023,"Durham/Durham"," 177","Oshawa",136,82,16,5,97,2,338,629
35023,"Durham/Durham"," 178","Oshawa",91,85,18,5,56,3,258,456
35023,"Durham/Durham"," 179","Oshawa",80,84,9,5,27,0,205,378
35023,"Durham/Durham"," 180","Oshawa",65,84,16,6,37,2,210,385
35023,"Durham/Durham"," 181","Clarington",60,94,9,2,26,0,191,294
35023,"Durham/Durham"," 182","Clarington",83,152,19,0,40,2,296,428
35023,"Durham/Durham"," 183","Clarington",54,81,9,1,20,4,169,252
35023,"Durham/Durham"," 184","Clarington",71,105,7,2,27,1,213,322
35023,"Durham/Durham"," 185","Clarington",70,122,12,1,10,3,218,316
35023,"Durham/Durham"," 186","Clarington",43,83,13,4,40,1,184,338
35023,"Durham/Durham"," 187","Clarington",45,83,11,8,36,0,183,343
35023,"Durham/Durham"," 188","Clarington",43,89,11,8,54,0,205,367
35023,"Durham/Durham"," 189","Clarington",39,38,7,2,31,0,117,231
35023,"Durham/Durham"," 190","Clarington",54,100,12,1,70,0,237,455
35023,"Durham/Durham"," 191","Clarington",32,76,12,0,41,0,161,316
35023,"Durham/Durham"," 192","Oshawa",42,53,13,10,57,3,178,390
35023,"Durham/Durham"," 193","Oshawa",49,90,12,8,76,5,240,605
35023,"Durham/Durham"," 194","Oshawa",78,99,12,7,53,0,249,526
35023,"Durham/Durham"," 195","Clarington",96,108,10,9,40,1,264,472
35023,"Durham/Durham"," 196","Clarington",47,68,5,2,17,0,139,261
35023,"Durham/Durham"," 197","Clarington",57,86,17,1,45,3,209,420
35023,"Durham/Durham"," 198","Clarington",78,77,21,4,45,3,228,425
35023,"Durham/Durham"," 199","Clarington",43,61,4,1,14,0,123,267
35023,"Durham/Durham"," 200","Clarington",60,44,17,2,48,0,171,320
35023,"Durham/Durham"," 201","Clarington",51,65,6,1,52,1,176,372
35023,"Durham/Durham"," 202","Clarington",65,89,16,7,55,0,232,413
35023,"Durham/Durham"," 203","Clarington",89,83,11,2,46,3,234,457
35023,"Durham/Durham"," 204","Clarington",76,61,10,5,48,4,204,392
35023,"Durham/Durham"," 205","Clarington",58,86,11,4,47,2,208,426
35023,"Durham/Durham"," 206","Clarington",63,70,13,5,33,0,184,372
35023,"Durham/Durham"," 207","Clarington",49,40,4,3,29,2,127,318
35023,"Durham/Durham"," 208","Clarington",91,146,10,8,48,2,305,604
35023,"Durham/Durham"," 209","Clarington",44,73,10,4,48,0,179,325
35023,"Durham/Durham"," 210","Clarington",58,82,16,5,40,1,202,370
35023,"Durham/Durham"," 211","Clarington",73,95,22,5,63,2,260,453
35023,"Durham/Durham"," 212","Clarington",39,37,6,2,36,0,120,239
35023,"Durham/Durham"," 213A","Clarington",58,71,17,0,44,1,191,380
35023,"Durham/Durham"," 213B","Clarington",58,59,8,2,34,1,162,336
35023,"Durham/Durham"," 214","Clarington",46,92,6,0,72,1,217,451
35023,"Durham/Durham"," 215","Clarington",66,92,10,4,50,3,225,434
35023,"Durham/Durham"," 216","Clarington",106,84,6,3,51,0,250,452
35023,"Durham/Durham"," 217A","Clarington",72,73,10,2,29,1,187,384
35023,"Durham/Durham"," 217B","Clarington",55,56,0,3,43,0,157,321
35023,"Durham/Durham"," 218","Clarington",52,61,12,0,41,1,167,329
35023,"Durham/Durham"," 219","Clarington",28,69,9,5,31,0,142,246
35023,"Durham/Durham"," 220","Clarington",53,78,16,7,34,0,188,355
35023,"Durham/Durham"," 221","Clarington",62,67,9,4,45,0,187,342
35023,"Durham/Durham"," 222","Clarington",78,84,11,3,55,1,232,379
35023,"Durham/Durham"," 223","Clarington",60,85,19,6,49,2,221,458
35023,"Durham/Durham"," 224","Clarington",82,65,13,5,44,0,209,460
35023,"Durham/Durham"," 225","Clarington",63,90,12,1,46,1,213,364
35023,"Durham/Durham"," 226","Clarington",67,97,12,3,49,2,230,390
35023,"Durham/Durham"," 227","Clarington",77,92,6,7,52,3,237,437
35023,"Durham/Durham"," 228","Clarington",37,84,15,7,27,1,171,374
35023,"Durham/Durham"," 229","Clarington",63,102,12,5,33,0,215,396
35023,"Durham/Durham"," 230","Clarington",36,70,7,3,36,1,153,272
35023,"Durham/Durham"," 231","Clarington",29,44,8,3,20,1,105,254
35023,"Durham/Durham"," 232","Clarington",54,51,8,6,28,0,147,295
35023,"Durham/Durham"," 233","Clarington",60,73,13,0,24,2,172,377
35023,"Durham/Durham"," 234","Clarington",36,60,5,5,38,1,145,274
35023,"Durham/Durham"," 235","Clarington",50,70,16,2,56,0,194,401
35023,"Durham/Durham"," 236","Clarington",68,85,12,4,48,1,218,368
35023,"Durham/Durham"," 237","Clarington",68,88,9,6,56,0,227,362
35023,"Durham/Durham"," 238","Clarington",66,91,15,2,23,2,199,364
35023,"Durham/Durham"," 239","Clarington",43,50,9,1,31,0,134,266
35023,"Durham/Durham"," 240","Clarington",54,73,20,4,57,2,210,389
35023,"Durham/Durham"," 241","Clarington",49,62,6,2,27,1,147,239
35023,"Durham/Durham"," 242","Clarington",85,83,9,11,55,0,243,436
35023,"Durham/Durham"," 243","Clarington",74,79,7,7,54,0,221,430
35023,"Durham/Durham"," 244","Clarington",82,77,8,5,61,0,233,463
35023,"Durham/Durham"," 245","Clarington",65,77,6,5,36,2,191,406
35023,"Durham/Durham"," 246","Clarington",72,82,11,7,33,0,205,453
35023,"Durham/Durham"," 247","Clarington",47,84,14,3,29,1,178,346
35023,"Durham/Durham"," 248","Clarington",70,82,9,5,39,0,205,416
35023,"Durham/Durham"," 249","Clarington",88,91,8,8,40,0,235,399
35023,"Durham/Durham"," 250","Clarington",60,59,6,0,35,1,161,263
35023,"Durham/Durham"," 251","Clarington",45,89,11,7,19,0,171,339
35023,"Durham/Durham"," 252","Clarington",72,81,7,1,38,1,200,442
35023,"Durham/Durham"," 253","Clarington",102,73,7,13,62,1,258,479
35023,"Durham/Durham"," 254","Clarington",56,72,6,4,50,0,188,330
35023,"Durham/Durham"," 255","Clarington",114,87,6,5,47,1,260,545
35023,"Durham/Durham"," 256","Clarington",55,58,14,4,37,1,169,327
35023,"Durham/Durham"," 257","Clarington",70,95,8,3,40,3,219,435
35023,"Durham/Durham"," 258","Clarington",73,67,2,3,46,0,191,399
35023,"Durham/Durham"," 259","Clarington",86,66,11,3,42,1,209,376
35023,"Durham/Durham"," 260","Clarington",71,101,12,4,34,2,224,430
35023,"Durham/Durham"," 500","Mobile poll/Bureau itinérant",15,46,2,2,11,5,81,175
35023,"Durham/Durham"," 501","Mobile poll/Bureau itinérant",43,33,5,1,8,5,95,195
35023,"Durham/Durham"," 502","Mobile poll/Bureau itinérant",38,23,2,1,5,2,71,134
35023,"Durham/Durham"," 503","Mobile poll/Bureau itinérant",32,27,5,2,10,4,80,151
35023,"Durham/Durham"," 504","Mobile poll/Bureau itinérant",45,51,5,0,9,3,113,156
35023,"Durham/Durham"," 505","Mobile poll/Bureau itinérant",30,54,5,1,9,4,103,170
35023,"Durham/Durham"," 600","Scugog North",188,395,59,12,54,1,709,
35023,"Durham/Durham"," 601","Scugog South",207,376,67,9,86,1,746,
35023,"Durham/Durham"," 602","Scugog South",256,383,63,8,82,0,792,
35023,"Durham/Durham"," 603","Scugog East",125,298,36,11,53,2,525,
35023,"Durham/Durham"," 604","Blackstock",80,224,37,11,56,1,409,
35023,"Durham/Durham"," 605","Clarington North",100,285,30,14,54,5,488,
35023,"Durham/Durham"," 606","Clarington North",109,225,29,3,58,0,424,
35023,"Durham/Durham"," 607","Oshawa",246,311,34,11,98,5,705,
35023,"Durham/Durham"," 608","Oshawa",362,284,34,13,122,6,821,
35023,"Durham/Durham"," 609","Oshawa",235,192,33,5,88,4,557,
35023,"Durham/Durham"," 610","Oshawa",352,363,42,4,104,2,867,
35023,"Durham/Durham"," 611","Oshawa",425,329,34,17,119,1,925,
35023,"Durham/Durham"," 612","Courtice North",158,264,39,6,69,1,537,
35023,"Durham/Durham"," 613","Courtice North",145,267,20,6,85,2,525,
35023,"Durham/Durham"," 614","Courtice East",175,247,28,8,110,2,570,
35023,"Durham/Durham"," 615","Courtice South",137,183,29,4,63,1,417,
35023,"Durham/Durham"," 616","Courtice South",144,226,21,9,75,1,476,
35023,"Durham/Durham"," 617","Courtice East",164,217,29,5,81,2,498,
35023,"Durham/Durham"," 618","Courtice East",192,230,29,23,96,1,571,
35023,"Durham/Durham"," 619","Bowmanville South",140,250,21,9,104,5,529,
35023,"Durham/Durham"," 620","Bowmanville West",170,251,20,14,78,2,535,
35023,"Durham/Durham"," 621","Bowmanville West",141,265,46,14,78,6,550,
35023,"Durham/Durham"," 622","Bowmanville North",178,214,32,9,80,3,516,
35023,"Durham/Durham"," 623","Bowmanville North",212,300,29,20,82,2,645,
35023,"Durham/Durham"," 624","Bowmanville East",112,190,14,6,112,2,436,
35023,"Durham/Durham"," 625","Bowmanville",143,193,37,4,83,0,460,
35023,"Durham/Durham"," 626","Bowmanville",110,254,36,10,70,0,480,
35023,"Durham/Durham"," 627","Bowmanville East",149,218,32,5,77,5,486,
35023,"Durham/Durham",,Group 1/Groupe 1, 57,31,4,1,14,6,113,144
35023,"Durham/Durham",,Group 2/Groupe 2, 350,482,82,23,234,52,1223,
