Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Deng,Sean McQuillan,Harjit S. Sajjan,Wai Young,Judy Zaichkowsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver South/Vancouver-Sud"," 135","Vancouver",1,42,54,44,5,2,148,396
59040,"Vancouver South/Vancouver-Sud"," 136","Vancouver",3,24,66,44,11,3,151,436
59040,"Vancouver South/Vancouver-Sud"," 137","Vancouver",1,49,68,26,10,1,155,535
59040,"Vancouver South/Vancouver-Sud"," 138","Vancouver",0,50,65,24,11,1,151,321
59040,"Vancouver South/Vancouver-Sud"," 139","Vancouver",1,25,47,59,7,1,140,356
59040,"Vancouver South/Vancouver-Sud"," 140","Vancouver",2,60,73,49,14,2,200,509
59040,"Vancouver South/Vancouver-Sud"," 141","Vancouver",0,29,52,59,4,0,144,409
59040,"Vancouver South/Vancouver-Sud"," 142","Vancouver",2,32,53,51,10,0,148,306
59040,"Vancouver South/Vancouver-Sud"," 143A","Vancouver",0,31,40,51,6,0,128,449
59040,"Vancouver South/Vancouver-Sud"," 143B","Vancouver",0,24,41,40,3,0,108,355
59040,"Vancouver South/Vancouver-Sud"," 144","Vancouver",2,24,62,57,6,1,152,386
59040,"Vancouver South/Vancouver-Sud"," 145","Vancouver",1,33,87,96,9,4,230,495
59040,"Vancouver South/Vancouver-Sud"," 146","Vancouver",2,27,67,65,4,4,169,313
59040,"Vancouver South/Vancouver-Sud"," 147","Vancouver",0,25,69,27,9,0,130,292
59040,"Vancouver South/Vancouver-Sud"," 148","Vancouver",Void/Supprimé,,,,,,,
59040,"Vancouver South/Vancouver-Sud"," 149","Vancouver",5,70,71,52,25,0,223,527
59040,"Vancouver South/Vancouver-Sud"," 150","Vancouver",2,45,87,48,9,0,191,425
59040,"Vancouver South/Vancouver-Sud"," 151","Vancouver",1,38,52,52,5,0,148,406
59040,"Vancouver South/Vancouver-Sud"," 152","Vancouver",2,44,62,25,13,1,147,389
59040,"Vancouver South/Vancouver-Sud"," 153","Vancouver",2,28,76,56,11,1,174,373
59040,"Vancouver South/Vancouver-Sud"," 154","Vancouver",0,30,54,30,18,1,133,363
59040,"Vancouver South/Vancouver-Sud"," 155","Vancouver",0,22,56,60,8,0,146,390
59040,"Vancouver South/Vancouver-Sud"," 156","Vancouver",2,11,57,80,3,1,154,341
59040,"Vancouver South/Vancouver-Sud"," 157","Vancouver",5,28,58,60,13,1,165,427
59040,"Vancouver South/Vancouver-Sud"," 158","Vancouver",2,40,48,26,21,1,138,399
59040,"Vancouver South/Vancouver-Sud"," 159","Vancouver",2,68,52,24,8,0,154,423
59040,"Vancouver South/Vancouver-Sud"," 160","Vancouver",0,52,59,44,12,0,167,407
59040,"Vancouver South/Vancouver-Sud"," 161","Vancouver",1,36,76,28,20,0,161,362
59040,"Vancouver South/Vancouver-Sud"," 162","Vancouver",5,43,74,27,21,3,173,430
59040,"Vancouver South/Vancouver-Sud"," 163","Vancouver",2,49,51,36,11,0,149,437
59040,"Vancouver South/Vancouver-Sud"," 164","Vancouver",2,54,53,17,26,0,152,391
59040,"Vancouver South/Vancouver-Sud"," 165","Vancouver",0,46,66,32,12,4,160,448
59040,"Vancouver South/Vancouver-Sud"," 166","Vancouver",0,20,47,34,8,0,109,321
59040,"Vancouver South/Vancouver-Sud"," 167A","Vancouver",0,31,65,80,5,0,181,507
59040,"Vancouver South/Vancouver-Sud"," 167B","Vancouver",1,24,47,43,5,0,120,380
59040,"Vancouver South/Vancouver-Sud"," 168","Vancouver",0,11,30,27,5,0,73,224
59040,"Vancouver South/Vancouver-Sud"," 400","Vancouver",1,11,20,8,3,0,43,170
59040,"Vancouver South/Vancouver-Sud"," 401","Vancouver",0,14,29,14,3,1,61,155
59040,"Vancouver South/Vancouver-Sud"," 402","Vancouver",0,15,23,8,6,1,53,138
59040,"Vancouver South/Vancouver-Sud"," 403","Vancouver",0,25,38,5,9,0,77,167
59040,"Vancouver South/Vancouver-Sud"," 500A","Mobile poll/Bureau itinérant",1,14,19,28,5,1,68,57
59040,"Vancouver South/Vancouver-Sud"," 500B","Mobile poll/Bureau itinérant",4,8,28,14,12,0,66,68
59040,"Vancouver South/Vancouver-Sud"," 501A","Mobile poll/Bureau itinérant",1,11,40,66,10,4,132,163
59040,"Vancouver South/Vancouver-Sud"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,50
59040,"Vancouver South/Vancouver-Sud"," 502","Mobile poll/Bureau itinérant",2,6,10,17,2,2,39,25
59040,"Vancouver South/Vancouver-Sud"," 503","Mobile poll/Bureau itinérant",3,12,20,15,9,0,59,91
59040,"Vancouver South/Vancouver-Sud"," 504A","Mobile poll/Bureau itinérant",0,20,17,24,7,2,70,93
59040,"Vancouver South/Vancouver-Sud"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,30
59040,"Vancouver South/Vancouver-Sud"," 505A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,14
59040,"Vancouver South/Vancouver-Sud"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,42
59040,"Vancouver South/Vancouver-Sud"," 600","Vancouver",14,146,399,277,55,5,896,
59040,"Vancouver South/Vancouver-Sud"," 601","Vancouver",18,83,386,407,67,3,964,
59040,"Vancouver South/Vancouver-Sud"," 602","Vancouver",4,220,774,357,77,20,1452,
59040,"Vancouver South/Vancouver-Sud"," 603","Vancouver",21,192,751,465,61,31,1521,
59040,"Vancouver South/Vancouver-Sud"," 604","Vancouver",10,137,594,229,28,20,1018,
59040,"Vancouver South/Vancouver-Sud"," 605","Vancouver",20,147,387,315,37,12,918,
59040,"Vancouver South/Vancouver-Sud"," 606","Vancouver",10,147,356,472,42,10,1037,
59040,"Vancouver South/Vancouver-Sud"," 607","Vancouver",13,108,278,335,32,11,777,
59040,"Vancouver South/Vancouver-Sud"," 608","Vancouver",20,192,504,272,90,6,1084,
59040,"Vancouver South/Vancouver-Sud"," 609","Vancouver",23,191,423,483,77,9,1206,
59040,"Vancouver South/Vancouver-Sud"," 610","Vancouver",17,189,361,420,52,12,1051,
59040,"Vancouver South/Vancouver-Sud"," 611","Vancouver",9,231,468,381,88,4,1181,
59040,"Vancouver South/Vancouver-Sud"," 612","Vancouver",9,252,488,449,113,2,1313,
59040,"Vancouver South/Vancouver-Sud",,Group 1/Groupe 1, 0,19,70,44,8,7,148,282
59040,"Vancouver South/Vancouver-Sud",,Group 2/Groupe 2, 14,232,551,249,105,16,1167,
