Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Bridges,Winter Fedyk,Naomi Hunter,Don Morgan,Jigar Patel,Warren Steinley,Trevor Wowk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lewvan/Regina--Lewvan"," 77","Regina",0,17,6,0,60,116,3,1,203,472
47007,"Regina--Lewvan/Regina--Lewvan"," 78","Regina",0,29,9,3,58,99,1,3,202,418
47007,"Regina--Lewvan/Regina--Lewvan"," 79","Regina",0,21,11,1,54,137,4,2,230,382
47007,"Regina--Lewvan/Regina--Lewvan"," 80","Regina",0,25,10,0,58,112,0,2,207,361
47007,"Regina--Lewvan/Regina--Lewvan"," 81","Regina",0,14,12,0,61,135,0,1,223,394
47007,"Regina--Lewvan/Regina--Lewvan"," 82","Regina",0,24,6,0,67,110,7,2,216,426
47007,"Regina--Lewvan/Regina--Lewvan"," 83","Regina",0,20,13,2,84,143,2,1,265,557
47007,"Regina--Lewvan/Regina--Lewvan"," 84","Regina",1,26,7,1,56,100,4,0,195,461
47007,"Regina--Lewvan/Regina--Lewvan"," 85","Regina",0,31,9,3,63,136,6,2,250,422
47007,"Regina--Lewvan/Regina--Lewvan"," 86","Regina",0,25,12,0,65,113,4,0,219,493
47007,"Regina--Lewvan/Regina--Lewvan"," 87","Regina",1,36,8,1,52,97,5,2,202,430
47007,"Regina--Lewvan/Regina--Lewvan"," 88","Regina",0,13,9,0,50,110,2,1,185,346
47007,"Regina--Lewvan/Regina--Lewvan"," 89","Regina",1,18,22,0,64,102,5,0,212,420
47007,"Regina--Lewvan/Regina--Lewvan"," 90","Regina",0,20,9,0,56,79,3,2,169,394
47007,"Regina--Lewvan/Regina--Lewvan"," 91","Regina",0,16,9,0,58,73,3,0,159,393
47007,"Regina--Lewvan/Regina--Lewvan"," 92","Regina",1,13,8,0,74,94,3,1,194,394
47007,"Regina--Lewvan/Regina--Lewvan"," 93","Regina",0,14,6,1,83,114,0,4,222,462
47007,"Regina--Lewvan/Regina--Lewvan"," 94","Regina",0,17,6,1,68,93,3,2,190,404
47007,"Regina--Lewvan/Regina--Lewvan"," 95A","Grand Coulee",0,31,5,1,70,111,2,0,220,442
47007,"Regina--Lewvan/Regina--Lewvan"," 95B","Grand Coulee",0,16,8,2,73,85,4,1,189,359
47007,"Regina--Lewvan/Regina--Lewvan"," 96","Regina",0,29,4,1,43,60,2,4,143,277
47007,"Regina--Lewvan/Regina--Lewvan"," 97","Regina",0,26,13,0,74,108,3,1,225,456
47007,"Regina--Lewvan/Regina--Lewvan"," 98","Regina",0,29,27,1,112,51,1,1,222,398
47007,"Regina--Lewvan/Regina--Lewvan"," 99","Regina",1,33,19,0,131,42,1,0,227,382
47007,"Regina--Lewvan/Regina--Lewvan"," 100","Regina",0,38,9,0,98,56,3,2,206,387
47007,"Regina--Lewvan/Regina--Lewvan"," 101","Regina",2,38,16,0,120,39,1,0,216,362
47007,"Regina--Lewvan/Regina--Lewvan"," 102","Regina",0,24,18,0,78,48,5,0,173,351
47007,"Regina--Lewvan/Regina--Lewvan"," 103","Regina",0,33,17,1,110,33,2,2,198,364
47007,"Regina--Lewvan/Regina--Lewvan"," 104","Regina",0,47,23,1,124,52,1,0,248,423
47007,"Regina--Lewvan/Regina--Lewvan"," 105","Regina",0,60,14,1,139,69,4,0,287,438
47007,"Regina--Lewvan/Regina--Lewvan"," 106","Regina",0,42,15,1,143,67,6,2,276,459
47007,"Regina--Lewvan/Regina--Lewvan"," 107","Regina",0,22,19,0,125,71,8,0,245,491
47007,"Regina--Lewvan/Regina--Lewvan"," 108","Regina",0,28,24,1,129,56,1,0,239,455
47007,"Regina--Lewvan/Regina--Lewvan"," 109","Regina",0,17,15,2,75,76,10,0,195,369
47007,"Regina--Lewvan/Regina--Lewvan"," 110","Regina",0,38,15,1,65,40,2,1,162,357
47007,"Regina--Lewvan/Regina--Lewvan"," 111","Regina",0,40,21,3,83,91,5,2,245,458
47007,"Regina--Lewvan/Regina--Lewvan"," 112","Regina",0,34,16,1,85,71,4,1,212,433
47007,"Regina--Lewvan/Regina--Lewvan"," 113","Regina",0,32,10,1,84,137,0,4,268,607
47007,"Regina--Lewvan/Regina--Lewvan"," 114","Regina",1,39,10,0,75,90,0,0,215,357
47007,"Regina--Lewvan/Regina--Lewvan"," 115","Regina",0,29,8,0,64,71,2,2,176,355
47007,"Regina--Lewvan/Regina--Lewvan"," 116","Regina",1,34,11,2,55,90,3,1,197,379
47007,"Regina--Lewvan/Regina--Lewvan"," 117","Regina",0,30,4,0,52,82,0,0,168,338
47007,"Regina--Lewvan/Regina--Lewvan"," 118","Regina",0,44,15,0,85,61,1,1,207,382
