Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Bernier,Sylvie Boucher,Gérard Briand,Caroline Desbiens,Manon Fortin,Richard Guertin,Jean-Claude Parent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 25","La Malbaie",0,29,5,73,31,2,1,2,143,326
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 26","La Malbaie",2,26,5,73,27,6,0,3,142,429
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 27","La Malbaie",0,24,11,80,41,8,1,2,167,338
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 28","La Malbaie",3,15,8,53,18,2,3,2,104,388
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 29","La Malbaie",1,30,7,61,43,4,3,0,149,329
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 30A","La Malbaie",0,18,2,48,22,6,1,1,98,290
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 30B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17B,,,,,,,,,40
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 31","Saint-Aimé-des-Lacs",2,58,0,74,18,6,1,6,165,303
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 32","Saint-Aimé-des-Lacs",2,39,2,64,25,0,0,2,134,268
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 33","Saint-Aimé-des-Lacs",3,46,4,77,27,3,0,3,163,314
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 34","La Malbaie",1,33,1,60,21,3,3,3,125,311
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 35","La Malbaie",0,21,9,74,24,6,2,1,137,332
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 36","La Malbaie",1,10,5,51,35,2,0,2,106,293
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 37","La Malbaie",0,23,2,52,16,6,1,5,105,304
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 38","La Malbaie",1,22,7,62,33,2,0,1,128,271
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 39","Notre-Dame-des-Monts",4,48,5,92,28,2,1,0,180,331
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 40","Notre-Dame-des-Monts",0,49,4,78,40,4,2,2,179,316
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 41","Saint-Irénée",0,42,7,71,36,5,1,1,163,282
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 42","Saint-Irénée",0,26,9,83,41,8,2,2,171,294
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 43","Saint-Hilarion",0,34,2,58,36,2,0,7,139,264
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 44","Saint-Hilarion",1,42,3,71,37,3,2,7,166,288
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 45","Saint-Hilarion",3,55,7,69,55,6,2,10,207,369
