Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Bregman,Gary Gladstone,Peter Kent,Waseem Malik,Sara Petrucci,Josh Rachlis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 67","Markham",2,91,136,1,25,13,3,271,550
35104,"Thornhill/Thornhill"," 68","Markham",1,82,67,2,11,8,4,175,364
35104,"Thornhill/Thornhill"," 69","Markham",0,68,53,0,15,3,3,142,346
35104,"Thornhill/Thornhill"," 70","Markham",1,111,79,0,28,8,2,229,487
35104,"Thornhill/Thornhill"," 71","Markham",0,83,57,0,17,7,6,170,386
35104,"Thornhill/Thornhill"," 72","Markham",2,86,30,5,24,9,2,158,362
35104,"Thornhill/Thornhill"," 73","Vaughan",0,53,116,0,4,3,2,178,431
35104,"Thornhill/Thornhill"," 74","Vaughan",0,58,107,0,9,2,1,177,493
35104,"Thornhill/Thornhill"," 75","Vaughan",0,71,91,0,4,7,0,173,344
35104,"Thornhill/Thornhill"," 76","Vaughan",0,68,103,0,18,5,0,194,424
35104,"Thornhill/Thornhill"," 77","Markham",0,59,36,0,9,5,1,110,322
35104,"Thornhill/Thornhill"," 78","Markham",1,39,62,0,5,5,1,113,290
35104,"Thornhill/Thornhill"," 79","Markham",1,59,82,0,11,6,4,163,424
35104,"Thornhill/Thornhill"," 80","Markham",0,66,56,0,13,11,3,149,367
35104,"Thornhill/Thornhill"," 81","Markham",4,80,69,0,8,7,4,172,375
35104,"Thornhill/Thornhill"," 82","Markham",1,94,109,0,24,16,2,246,524
35104,"Thornhill/Thornhill"," 83","Markham",2,116,71,0,12,7,4,212,383
35104,"Thornhill/Thornhill"," 84","Markham",0,20,8,0,3,6,1,38,75
35104,"Thornhill/Thornhill"," 85","Markham",1,57,26,0,7,4,1,96,239
35104,"Thornhill/Thornhill"," 86","Markham",2,122,86,0,19,11,3,243,531
35104,"Thornhill/Thornhill"," 87","Markham",0,63,61,0,16,9,4,153,389
35104,"Thornhill/Thornhill"," 88","Vaughan",0,30,81,0,2,2,1,116,377
35104,"Thornhill/Thornhill"," 89","Vaughan",1,83,120,1,11,5,1,222,613
35104,"Thornhill/Thornhill"," 90","Vaughan",0,21,55,0,1,3,1,81,263
35104,"Thornhill/Thornhill"," 91","Vaughan",0,36,79,0,13,1,0,129,385
35104,"Thornhill/Thornhill"," 92","Vaughan",0,44,40,0,4,4,0,92,255
35104,"Thornhill/Thornhill"," 93","Vaughan",2,41,47,0,18,2,1,111,414
35104,"Thornhill/Thornhill"," 94","Vaughan",0,70,148,0,15,3,1,237,454
35104,"Thornhill/Thornhill"," 95","Vaughan",2,52,94,0,12,4,3,167,390
35104,"Thornhill/Thornhill"," 96","Vaughan",2,72,158,0,3,6,7,248,480
35104,"Thornhill/Thornhill"," 97","Vaughan",3,41,157,1,12,3,3,220,514
35104,"Thornhill/Thornhill"," 98","Vaughan",2,77,75,0,12,2,10,178,340
35104,"Thornhill/Thornhill"," 99","Vaughan",1,49,124,1,7,2,2,186,390
35104,"Thornhill/Thornhill"," 100","Vaughan",1,38,129,1,17,2,3,191,421
35104,"Thornhill/Thornhill"," 101","Vaughan",0,19,59,0,6,2,1,87,458
35104,"Thornhill/Thornhill"," 102","Vaughan",0,30,59,0,10,2,3,104,482
35104,"Thornhill/Thornhill"," 103","Vaughan",0,45,80,0,5,0,0,130,432
35104,"Thornhill/Thornhill"," 104","Vaughan",1,31,45,0,5,2,1,85,366
35104,"Thornhill/Thornhill"," 105","Vaughan",0,33,44,0,8,0,1,86,365
35104,"Thornhill/Thornhill"," 106","Vaughan",1,13,43,0,1,1,0,59,315
35104,"Thornhill/Thornhill"," 107","Vaughan",0,16,45,0,1,2,0,64,449
35104,"Thornhill/Thornhill"," 108","Vaughan",0,21,31,0,9,1,0,62,357
35104,"Thornhill/Thornhill"," 109","Vaughan",0,73,151,0,10,5,4,243,509
35104,"Thornhill/Thornhill"," 110","Vaughan",0,53,133,0,15,10,2,213,466
35104,"Thornhill/Thornhill"," 111","Vaughan",1,93,141,0,5,11,3,254,504
35104,"Thornhill/Thornhill"," 112","Vaughan",2,33,61,0,12,7,2,117,322
35104,"Thornhill/Thornhill"," 113","Vaughan",0,41,74,1,6,11,2,135,348
35104,"Thornhill/Thornhill"," 114","Vaughan",1,44,60,2,7,3,0,117,369
35104,"Thornhill/Thornhill"," 115","Vaughan",1,57,97,0,12,5,0,172,511
35104,"Thornhill/Thornhill"," 116","Vaughan",1,66,70,0,16,5,2,160,471
35104,"Thornhill/Thornhill"," 117","Vaughan",2,101,79,0,13,5,0,200,466
35104,"Thornhill/Thornhill"," 118","Vaughan",0,18,42,0,2,3,1,66,543
35104,"Thornhill/Thornhill"," 119","Vaughan",0,72,99,0,25,5,1,202,443
35104,"Thornhill/Thornhill"," 120","Vaughan",0,61,69,1,18,8,1,158,446
35104,"Thornhill/Thornhill"," 121","Vaughan",0,58,63,0,14,2,2,139,378
35104,"Thornhill/Thornhill"," 122","Vaughan",0,76,83,0,18,1,3,181,484
35104,"Thornhill/Thornhill"," 123","Vaughan",1,46,56,0,13,4,1,121,375
35104,"Thornhill/Thornhill"," 124","Vaughan",0,38,87,0,9,6,2,142,495
35104,"Thornhill/Thornhill"," 125","Vaughan",2,94,91,1,23,13,1,225,465
35104,"Thornhill/Thornhill"," 126","Vaughan",2,102,81,1,13,5,2,206,473
35104,"Thornhill/Thornhill"," 127","Vaughan",0,106,100,0,14,5,3,228,441
35104,"Thornhill/Thornhill"," 128","Vaughan",0,132,83,0,12,9,0,236,512
35104,"Thornhill/Thornhill"," 129","Vaughan",0,101,105,2,18,5,0,231,527
35104,"Thornhill/Thornhill"," 130","Vaughan",0,25,50,0,9,3,0,87,412
35104,"Thornhill/Thornhill"," 131","Vaughan",0,27,48,0,8,6,1,90,475
35104,"Thornhill/Thornhill"," 132","Vaughan",0,23,39,0,6,5,0,73,454
35104,"Thornhill/Thornhill"," 133","Vaughan",1,37,67,0,12,4,1,122,492
35104,"Thornhill/Thornhill"," 134","Vaughan",0,35,58,0,3,1,2,99,366
35104,"Thornhill/Thornhill"," 135","Vaughan",1,103,78,0,16,6,0,204,637
35104,"Thornhill/Thornhill"," 136","Vaughan",0,33,39,2,5,4,1,84,349
35104,"Thornhill/Thornhill"," 137","Vaughan",1,34,68,0,5,1,2,111,330
35104,"Thornhill/Thornhill"," 138","Vaughan",0,59,108,1,13,15,0,196,496
35104,"Thornhill/Thornhill"," 139","Vaughan",2,55,66,1,10,3,0,137,384
35104,"Thornhill/Thornhill"," 140","Vaughan",0,76,82,0,24,3,2,187,509
35104,"Thornhill/Thornhill"," 141","Vaughan",2,69,108,1,7,3,0,190,527
35104,"Thornhill/Thornhill"," 142","Vaughan",0,52,50,0,11,4,4,121,415
35104,"Thornhill/Thornhill"," 143","Vaughan",2,107,50,1,23,12,3,198,516
35104,"Thornhill/Thornhill"," 144","Vaughan",0,82,102,0,14,3,1,202,454
35104,"Thornhill/Thornhill"," 145","Vaughan",0,73,69,0,18,7,2,169,431
35104,"Thornhill/Thornhill"," 146","Vaughan",4,73,122,0,20,7,1,227,484
35104,"Thornhill/Thornhill"," 147","Vaughan",0,91,83,0,32,2,2,210,463
35104,"Thornhill/Thornhill"," 148","Vaughan",0,73,96,0,22,6,1,198,498
35104,"Thornhill/Thornhill"," 149","Vaughan",0,51,62,0,7,2,2,124,450
35104,"Thornhill/Thornhill"," 150","Vaughan",4,91,80,0,20,6,3,204,452
35104,"Thornhill/Thornhill"," 151","Vaughan",1,81,62,0,23,5,6,178,412
35104,"Thornhill/Thornhill"," 152","Vaughan",0,102,121,0,19,5,2,249,496
35104,"Thornhill/Thornhill"," 153","Vaughan",1,71,85,0,9,2,5,173,381
35104,"Thornhill/Thornhill"," 154","Vaughan",0,61,48,2,15,9,4,139,295
35104,"Thornhill/Thornhill"," 155","Vaughan",1,114,113,1,21,6,6,262,550
35104,"Thornhill/Thornhill"," 156","Vaughan",0,81,51,1,16,1,3,153,316
35104,"Thornhill/Thornhill"," 157","Vaughan",0,122,90,0,21,8,4,245,473
35104,"Thornhill/Thornhill"," 158","Vaughan",0,36,50,0,7,4,2,99,312
35104,"Thornhill/Thornhill"," 159","Vaughan",1,96,72,1,8,5,2,185,371
35104,"Thornhill/Thornhill"," 160","Vaughan",0,88,64,0,20,8,0,180,373
35104,"Thornhill/Thornhill"," 161","Vaughan",0,97,59,1,11,10,2,180,333
35104,"Thornhill/Thornhill"," 162","Vaughan",0,106,57,1,13,6,5,188,441
35104,"Thornhill/Thornhill"," 163","Vaughan",0,142,93,1,38,8,3,285,539
35104,"Thornhill/Thornhill"," 164","Vaughan",3,125,87,1,15,2,3,236,532
35104,"Thornhill/Thornhill"," 165","Vaughan",1,127,97,0,24,16,2,267,515
35104,"Thornhill/Thornhill"," 166","Vaughan",0,106,72,0,25,8,4,215,359
35104,"Thornhill/Thornhill"," 167","Vaughan",2,125,93,0,29,9,3,261,474
35104,"Thornhill/Thornhill"," 400","Markham",2,113,66,0,13,9,5,208,292
35104,"Thornhill/Thornhill"," 401","Markham",0,52,45,0,2,1,2,102,141
35104,"Thornhill/Thornhill"," 402","Markham",0,43,49,1,17,6,3,119,216
35104,"Thornhill/Thornhill"," 403","Markham",0,70,54,0,14,2,4,144,235
35104,"Thornhill/Thornhill"," 404","Markham",2,48,51,0,11,2,2,116,212
35104,"Thornhill/Thornhill"," 405","Markham",1,44,53,0,12,5,3,118,209
35104,"Thornhill/Thornhill"," 406","Markham",1,78,46,0,8,5,2,140,211
35104,"Thornhill/Thornhill"," 407","Vaughan",1,53,50,0,10,1,2,117,377
35104,"Thornhill/Thornhill"," 408","Vaughan",0,32,40,0,0,0,0,72,134
35104,"Thornhill/Thornhill"," 409","Vaughan",0,51,80,0,4,4,0,139,262
35104,"Thornhill/Thornhill"," 410","Vaughan",0,48,94,1,13,7,4,167,337
35104,"Thornhill/Thornhill"," 411","Vaughan",0,35,70,0,4,5,1,115,251
35104,"Thornhill/Thornhill"," 412","Vaughan",0,42,70,2,9,5,1,129,229
35104,"Thornhill/Thornhill"," 413","Vaughan",1,83,133,1,25,6,0,249,214
35104,"Thornhill/Thornhill"," 414","Vaughan",Merged with No./Fusionné avec le n°413,,,,,,,,87
35104,"Thornhill/Thornhill"," 415","Vaughan",Merged with No./Fusionné avec le n°413,,,,,,,,204
35104,"Thornhill/Thornhill"," 416","Vaughan",0,21,53,1,8,1,6,90,165
35104,"Thornhill/Thornhill"," 417","Vaughan",2,30,86,0,6,1,6,131,260
35104,"Thornhill/Thornhill"," 418","Vaughan",2,47,125,0,3,4,2,183,353
35104,"Thornhill/Thornhill"," 419","Vaughan",0,52,130,0,6,1,2,191,352
35104,"Thornhill/Thornhill"," 420","Vaughan",3,75,124,0,3,6,1,212,387
35104,"Thornhill/Thornhill"," 421","Vaughan",0,42,68,1,5,1,0,117,305
35104,"Thornhill/Thornhill"," 422","Vaughan",0,19,50,0,3,0,2,74,238
35104,"Thornhill/Thornhill"," 423","Vaughan",0,22,37,0,6,0,0,65,237
35104,"Thornhill/Thornhill"," 424","Vaughan",3,75,98,0,11,8,1,196,338
35104,"Thornhill/Thornhill"," 425","Vaughan",2,51,121,0,8,3,5,190,320
35104,"Thornhill/Thornhill"," 426","Vaughan",0,45,96,0,6,3,0,150,297
35104,"Thornhill/Thornhill"," 427","Vaughan",1,46,92,2,10,2,14,167,254
35104,"Thornhill/Thornhill"," 428","Vaughan",2,45,102,0,6,2,9,166,307
35104,"Thornhill/Thornhill"," 429","Markham",1,82,76,0,16,7,1,183,257
35104,"Thornhill/Thornhill"," 430","Markham",Merged with No./Fusionné avec le n°429,,,,,,,,172
35104,"Thornhill/Thornhill"," 431","Markham",1,110,65,0,25,4,3,208,268
35104,"Thornhill/Thornhill"," 432","Markham",Merged with No./Fusionné avec le n°431,,,,,,,,281
35104,"Thornhill/Thornhill"," 433","Vaughan",0,58,88,0,8,5,0,159,283
35104,"Thornhill/Thornhill"," 434","Vaughan",4,5,37,0,4,0,2,52,185
35104,"Thornhill/Thornhill"," 435","Vaughan",1,58,77,0,10,3,5,154,320
35104,"Thornhill/Thornhill"," 436","Vaughan",1,70,52,0,11,7,5,146,243
35104,"Thornhill/Thornhill"," 437","Vaughan",2,77,48,0,3,0,3,133,159
35104,"Thornhill/Thornhill"," 438","Vaughan",0,30,72,1,9,2,1,115,188
35104,"Thornhill/Thornhill"," 439","Vaughan",1,21,66,0,7,4,2,101,181
35104,"Thornhill/Thornhill"," 440","Vaughan",1,41,135,0,10,3,2,192,349
35104,"Thornhill/Thornhill"," 441","Vaughan",0,36,51,1,8,11,2,109,175
35104,"Thornhill/Thornhill"," 442","Vaughan",4,61,118,0,9,2,9,203,339
35104,"Thornhill/Thornhill"," 443","Vaughan",1,31,76,0,8,4,1,121,199
35104,"Thornhill/Thornhill"," 444","Vaughan",0,47,80,0,15,1,0,143,250
35104,"Thornhill/Thornhill"," 445","Vaughan",0,38,60,0,6,4,2,110,221
35104,"Thornhill/Thornhill"," 446","Vaughan",1,71,61,1,7,3,2,146,228
35104,"Thornhill/Thornhill"," 447","Vaughan",1,60,58,0,14,7,0,140,239
35104,"Thornhill/Thornhill"," 448","Vaughan",0,100,53,0,18,12,6,189,363
35104,"Thornhill/Thornhill"," 449","Vaughan",0,103,59,1,23,9,1,196,361
35104,"Thornhill/Thornhill"," 500","Mobile poll/Bureau itinérant",0,66,52,0,4,14,6,142,161
35104,"Thornhill/Thornhill"," 501","Mobile poll/Bureau itinérant",0,101,80,2,2,8,5,198,253
35104,"Thornhill/Thornhill"," 600","Vaughan",1,378,672,1,53,34,5,1144,
35104,"Thornhill/Thornhill"," 601","Vaughan",7,374,1082,0,65,33,3,1564,
35104,"Thornhill/Thornhill"," 602","Vaughan",2,371,693,1,45,33,6,1151,
35104,"Thornhill/Thornhill"," 603","Vaughan",1,483,387,4,98,21,0,994,
35104,"Thornhill/Thornhill"," 604","Vaughan",7,330,805,0,81,39,0,1262,
35104,"Thornhill/Thornhill"," 605","Vaughan",3,230,438,1,38,26,2,738,
35104,"Thornhill/Thornhill"," 606","Vaughan",3,362,514,1,64,15,7,966,
35104,"Thornhill/Thornhill"," 607","Vaughan",4,262,517,2,47,20,3,855,
35104,"Thornhill/Thornhill"," 608","Vaughan",3,296,650,0,41,41,11,1042,
35104,"Thornhill/Thornhill"," 609","Vaughan",6,388,921,0,58,33,8,1414,
35104,"Thornhill/Thornhill"," 610","Markham",3,537,419,0,64,43,3,1069,
35104,"Thornhill/Thornhill"," 611","Markham",2,405,420,0,46,37,5,915,
35104,"Thornhill/Thornhill",,Group 1/Groupe 1, 1,85,51,0,15,8,13,173,298
35104,"Thornhill/Thornhill",,Group 2/Groupe 2, 8,648,3853,2,142,88,67,4808,
