Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Block,Jasmine Calix,Dean Gibson,Rebecca Malo,Cody Payant,Glenn Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 78","Warman",231,41,1,17,6,0,2,298,618
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 79","Warman",124,17,3,6,7,2,1,160,391
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 80","Warman",204,36,3,15,3,3,2,266,556
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 81","Warman",107,16,2,4,0,0,0,129,266
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 82","Martensville",181,40,10,13,4,0,0,248,545
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 83","Martensville",194,40,7,11,5,0,1,258,552
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 84","Martensville",149,41,6,7,2,0,0,205,430
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 85","Martensville",173,20,4,5,4,1,0,207,440
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 86","Martensville",139,29,1,7,3,2,2,183,453
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 87","Martensville",186,51,1,8,2,2,0,250,595
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 88","Martensville",241,59,6,18,5,1,5,335,737
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 89","Martensville",156,47,5,11,5,0,5,229,451
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 90","Martensville",122,34,3,8,2,0,0,169,423
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 91","Martensville",175,40,5,7,8,2,0,237,492
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 92","Martensville",138,33,5,5,5,3,1,190,443
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 93","Martensville",153,29,2,8,1,1,0,194,387
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 94","Martensville",187,30,2,11,4,1,3,238,519
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 95","Martensville",157,42,9,13,5,2,1,229,528
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 96","Martensville",160,25,8,11,5,4,0,213,479
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 97","Saskatoon",168,34,5,8,4,0,1,220,357
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 98","Prud'homme",115,20,6,6,1,0,2,150,208
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 99","Monarchvale",113,16,5,5,2,0,4,145,361
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 100","Biggar",108,17,1,6,4,1,0,137,393
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 101","Sokal",109,20,4,2,1,2,0,138,319
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 102","Biggar",107,19,4,5,2,1,1,139,344
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 103","Springwater",115,16,2,2,3,3,0,141,309
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 104","Biggar",148,31,8,12,0,1,1,201,397
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 105","Aberdeen",207,44,7,14,5,5,1,283,455
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 106","Aberdeen",183,43,1,6,2,2,0,237,403
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 107","Bergheim",254,49,7,24,14,4,0,352,638
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 108","Asquith",172,43,6,10,3,5,0,239,376
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 109","Asquith",120,40,7,10,2,2,0,181,333
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 110","Asquith",269,54,5,14,4,1,2,349,517
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 111","Dunfermline",168,33,14,6,6,3,0,230,351
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 112","Waldheim",116,25,4,5,4,2,0,156,284
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 113","Fulda",91,6,2,3,3,0,0,105,168
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 114","Kinley",189,37,8,9,4,3,3,253,367
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 115","Kinley",217,20,0,5,1,2,1,246,396
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 116","Vonda",193,39,12,18,10,8,0,280,497
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 117","Lake Lenore",180,13,2,4,12,0,1,212,287
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 118","Dana",158,13,1,5,3,0,1,181,307
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 119","Bruno",148,17,2,10,0,1,3,181,256
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 120","Bruno",120,19,0,6,0,1,3,149,197
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 121","Peterson",110,10,1,5,3,0,0,129,157
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 122","Annaheim",192,26,0,6,5,0,2,231,306
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 123","Cedar Villa Estates",105,33,7,9,4,2,0,160,430
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 124","Vanscoy",151,40,2,9,9,7,1,219,398
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 125","Vanscoy No. 345",119,41,5,7,3,11,0,186,336
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 126","Vade",161,16,2,6,2,12,0,199,406
