Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Harjit Singh Gill,Rabaab Khehra,Harpreet Singh,Holly Verchère,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 501","Mobile poll/Bureau itinérant",65,40,19,36,4,3,167,124
59033,"Surrey--Newton/Surrey--Newton"," 600","Surrey",446,250,26,193,17,5,937,
59033,"Surrey--Newton/Surrey--Newton"," 601","Surrey",664,410,53,279,33,25,1464,
59033,"Surrey--Newton/Surrey--Newton"," 602","Surrey",599,383,66,319,28,8,1403,
59033,"Surrey--Newton/Surrey--Newton"," 603","Surrey",789,495,41,217,19,0,1561,
59033,"Surrey--Newton/Surrey--Newton"," 604","Surrey",447,220,3,84,5,12,771,
59033,"Surrey--Newton/Surrey--Newton"," 605","Surrey",425,258,8,118,4,11,824,
59033,"Surrey--Newton/Surrey--Newton"," 606","Surrey",355,220,29,146,16,6,772,
59033,"Surrey--Newton/Surrey--Newton"," 607","Surrey",419,276,10,106,5,4,820,
59033,"Surrey--Newton/Surrey--Newton"," 608","Surrey",248,111,21,195,11,3,589,
59033,"Surrey--Newton/Surrey--Newton"," 609","Surrey",518,321,22,135,6,15,1017,
59033,"Surrey--Newton/Surrey--Newton"," 610","Surrey",889,585,34,335,11,21,1875,
59033,"Surrey--Newton/Surrey--Newton"," 611","Surrey",598,406,74,378,23,24,1503,
59033,"Surrey--Newton/Surrey--Newton"," 612","Surrey",853,532,46,400,20,30,1881,
59033,"Surrey--Newton/Surrey--Newton",,Group 1/Groupe 1, 55,18,6,9,2,7,97,130
59033,"Surrey--Newton/Surrey--Newton",,Group 2/Groupe 2, 669,368,46,286,18,24,1411,
