Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Driver,Sylvie Godin-Charest,Claire Kelly,Brad MacDonald,Luke MacLaren,Ginette Petitpas Taylor,Rhys Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 107","Moncton",4,35,18,2,23,50,1,1,134,444
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 108","Moncton",7,45,16,1,24,52,4,1,150,403
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 109","Moncton",4,32,29,4,34,42,1,0,146,385
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 110","Moncton",14,33,26,2,22,60,3,3,163,447
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 111","Moncton",7,44,41,5,21,45,0,1,164,411
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 112","Moncton",4,42,18,1,22,56,2,0,145,440
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 113","Moncton",8,42,36,1,38,99,1,2,227,527
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 114","Moncton",5,48,20,0,40,114,1,1,229,463
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 115","Moncton",5,47,46,3,40,98,0,1,240,572
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 116","Moncton",4,57,34,2,25,83,1,2,208,415
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 117","Moncton",7,40,40,0,22,64,0,3,176,465
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 118","Moncton",5,46,38,0,20,98,1,0,208,425
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 119","Moncton",0,44,39,3,49,77,0,1,213,490
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 120","Moncton",3,70,53,3,38,103,1,0,271,574
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 121","Moncton",9,42,38,2,15,87,3,0,196,432
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 122","Moncton",10,57,31,1,22,34,2,0,157,334
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 123","Moncton",5,41,26,0,26,62,0,2,162,372
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 124A","Moncton",5,22,19,0,17,41,1,4,109,351
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 124B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,,,81
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 125","Moncton",6,22,34,2,19,38,1,1,123,352
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 126","Moncton",5,26,39,1,13,52,0,2,138,386
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 127","Moncton",0,24,15,0,12,61,2,0,114,340
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 128","Moncton",2,28,48,2,32,84,1,1,198,437
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 129","Moncton",4,32,49,0,24,86,1,2,198,435
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 130","Moncton",5,39,17,1,14,58,1,1,136,354
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 131","Riverview",11,59,50,0,18,63,1,0,202,463
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 132","Riverview",5,71,57,1,28,48,1,0,211,474
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 133","Riverview",2,31,42,1,29,36,0,0,141,338
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 134","Riverview",9,42,37,1,27,58,0,2,176,391
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 135A","Riverview",7,62,43,6,27,56,0,3,204,402
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 135B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,,,13
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 136","Riverview",8,51,29,0,23,68,2,3,184,390
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 137","Moncton",2,47,37,2,24,74,2,0,188,408
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 138","Moncton",7,38,37,0,17,58,1,1,159,400
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 139","Moncton",7,64,34,0,24,74,3,1,207,476
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 140","Moncton",5,20,30,2,23,31,1,0,112,345
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 141","Moncton",5,44,28,1,32,89,3,0,202,418
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 142","Riverview",10,77,51,0,43,86,0,2,269,552
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 143","Riverview",8,60,44,2,41,83,0,2,240,480
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 144","Riverview",5,53,43,1,35,82,0,1,220,477
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 145","Riverview",8,50,43,2,29,59,1,0,192,385
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 146","Moncton",5,59,54,2,22,93,2,0,237,515
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 147A","Moncton",2,77,34,0,28,70,0,0,211,477
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 147B","Moncton",Merged with No./Fusionné avec le n°401,,,,,,,,,39
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 148","Moncton",8,66,40,0,16,124,0,0,254,545
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 149","Riverview",5,41,36,2,17,63,3,1,168,430
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 150","Riverview",6,57,47,2,31,56,3,3,205,457
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 151","Riverview",8,58,29,4,33,60,0,1,193,382
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 152","Riverview",2,58,43,1,36,54,0,2,196,337
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 153","Riverview",7,76,45,1,52,75,1,0,257,520
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 154","Riverview",7,57,29,0,34,44,1,3,175,423
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 155","Riverview",11,70,53,1,36,79,1,0,251,552
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 156","Riverview",6,110,33,0,29,99,0,4,281,522
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 157","Moncton",3,60,24,0,19,51,1,0,158,328
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 158","Moncton",11,86,42,1,37,59,3,1,240,504
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 159","Moncton",14,76,39,4,24,61,2,0,220,474
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 160","Moncton",13,100,50,2,41,103,1,0,310,522
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 400","Moncton",2,10,6,0,2,38,0,3,61,213
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 401","Moncton",4,93,24,1,10,111,5,14,262,310
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 500","Mobile poll/Bureau itinérant",3,12,7,2,6,88,4,2,124,241
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 501","Mobile poll/Bureau itinérant",3,11,9,6,1,64,2,1,97,144
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 502A","Mobile poll/Bureau itinérant",0,16,16,2,12,104,0,1,151,36
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,101
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 503","Mobile poll/Bureau itinérant",4,25,7,2,6,76,2,12,134,116
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 504","Mobile poll/Bureau itinérant",3,14,12,3,9,59,1,8,109,166
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 505A","Mobile poll/Bureau itinérant",3,5,6,0,0,15,2,0,31,41
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 505C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,,19
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 506","Mobile poll/Bureau itinérant",1,12,7,4,12,51,3,6,96,90
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 507","Mobile poll/Bureau itinérant",1,34,21,3,10,81,0,7,157,159
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 508A","Mobile poll/Bureau itinérant",5,38,9,4,3,42,1,3,105,238
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 508B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,,14
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 509","Mobile poll/Bureau itinérant",7,27,6,2,7,22,1,0,72,119
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 510","Mobile poll/Bureau itinérant",5,43,18,2,6,84,4,13,175,257
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 600","Moncton",25,342,224,9,136,492,4,5,1237,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 601","Moncton",27,465,280,8,164,732,4,8,1688,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 602","Moncton",45,578,240,8,156,718,11,5,1761,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 603","Moncton",14,193,100,6,64,315,4,6,702,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 604","Moncton",17,148,146,6,79,340,6,3,745,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 605","Moncton",13,213,149,7,74,571,6,8,1041,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 606","Moncton",29,310,206,8,105,569,5,16,1248,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 607","Moncton",25,162,220,6,94,503,5,5,1020,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 608","Moncton",22,197,188,6,101,377,7,2,900,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 609","Moncton",20,208,109,7,72,222,3,6,647,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 610","Moncton",12,355,211,8,94,394,10,4,1088,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 611","Moncton",20,331,231,4,111,337,4,5,1043,
