Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisson,Ali Dahan,Macarena Diab,Marie-Josée Guérette,Christian Hébert,Jérémie Juneau,Joël Lightbound,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 80","Québec",6,0,2,71,55,8,60,3,205,445
24044,"Louis-Hébert/Louis-Hébert"," 81","Québec",3,0,6,39,46,22,72,5,193,518
24044,"Louis-Hébert/Louis-Hébert"," 82","Québec",2,1,6,63,40,9,80,5,206,393
24044,"Louis-Hébert/Louis-Hébert"," 83","Québec",0,0,4,24,23,6,28,3,88,288
24044,"Louis-Hébert/Louis-Hébert"," 84","Québec",6,0,5,68,47,17,73,0,216,428
24044,"Louis-Hébert/Louis-Hébert"," 85","Québec",4,0,6,46,35,10,76,1,178,379
24044,"Louis-Hébert/Louis-Hébert"," 86","Québec",2,2,7,55,61,21,106,1,255,472
24044,"Louis-Hébert/Louis-Hébert"," 87","Québec",5,0,8,47,94,28,125,4,311,507
24044,"Louis-Hébert/Louis-Hébert"," 88","Québec",9,1,9,46,75,19,87,2,248,490
24044,"Louis-Hébert/Louis-Hébert"," 89","Québec",1,0,2,26,58,3,103,9,202,345
24044,"Louis-Hébert/Louis-Hébert"," 90","Québec",4,0,11,28,78,14,106,5,246,433
24044,"Louis-Hébert/Louis-Hébert"," 91","Québec",2,0,15,29,62,21,101,3,233,466
24044,"Louis-Hébert/Louis-Hébert"," 92","Québec",1,5,8,27,37,23,71,1,173,329
24044,"Louis-Hébert/Louis-Hébert"," 93","Québec",9,0,9,12,19,17,48,0,114,280
24044,"Louis-Hébert/Louis-Hébert"," 94","Québec",2,2,9,17,42,21,54,4,151,365
24044,"Louis-Hébert/Louis-Hébert"," 95","Québec",4,4,6,16,50,14,66,3,163,347
24044,"Louis-Hébert/Louis-Hébert"," 96","Québec",6,0,4,39,49,14,71,4,187,444
24044,"Louis-Hébert/Louis-Hébert"," 97","Québec",6,0,3,26,45,14,76,1,171,343
24044,"Louis-Hébert/Louis-Hébert"," 98","Québec",0,0,10,41,90,26,110,1,278,509
24044,"Louis-Hébert/Louis-Hébert"," 99","Québec",2,1,9,43,54,29,142,5,285,572
24044,"Louis-Hébert/Louis-Hébert"," 100","Québec",2,0,4,16,29,9,51,3,114,271
24044,"Louis-Hébert/Louis-Hébert"," 101","Québec",3,2,14,39,55,29,115,1,258,529
24044,"Louis-Hébert/Louis-Hébert"," 102","Québec",2,0,7,29,42,14,73,5,172,395
24044,"Louis-Hébert/Louis-Hébert"," 103","Québec",4,0,11,18,29,19,46,6,133,265
24044,"Louis-Hébert/Louis-Hébert"," 104","Québec",2,0,8,31,97,14,129,6,287,510
24044,"Louis-Hébert/Louis-Hébert"," 105","Québec",3,0,11,31,38,16,84,1,184,358
24044,"Louis-Hébert/Louis-Hébert"," 106","Québec",5,2,14,41,74,5,98,2,241,429
24044,"Louis-Hébert/Louis-Hébert"," 107","Québec",1,0,11,29,67,14,80,5,207,378
24044,"Louis-Hébert/Louis-Hébert"," 108","Québec",4,0,7,31,59,15,82,0,198,341
24044,"Louis-Hébert/Louis-Hébert"," 109","Québec",5,0,5,21,44,18,83,2,178,358
24044,"Louis-Hébert/Louis-Hébert"," 110","Québec",3,2,7,27,42,16,76,3,176,357
24044,"Louis-Hébert/Louis-Hébert"," 111","Québec",5,0,10,32,85,18,100,5,255,494
24044,"Louis-Hébert/Louis-Hébert"," 112","Québec",3,1,13,25,53,15,62,1,173,392
24044,"Louis-Hébert/Louis-Hébert"," 113","Québec",1,1,9,26,37,14,61,1,150,460
24044,"Louis-Hébert/Louis-Hébert"," 114","Québec",3,0,4,21,40,4,58,1,131,463
24044,"Louis-Hébert/Louis-Hébert"," 115","Québec",8,2,4,26,35,27,76,1,179,353
24044,"Louis-Hébert/Louis-Hébert"," 116","Québec",1,1,7,27,59,23,91,2,211,424
24044,"Louis-Hébert/Louis-Hébert"," 117","Québec",1,3,7,15,38,4,48,0,116,320
24044,"Louis-Hébert/Louis-Hébert"," 118","Québec",6,0,8,33,86,24,144,6,307,492
24044,"Louis-Hébert/Louis-Hébert"," 119","Québec",3,4,14,20,72,18,98,1,230,411
24044,"Louis-Hébert/Louis-Hébert"," 120","Québec",3,0,10,37,66,20,128,3,267,490
